Revolution 2018,Club - Mixed ,21,7,2018
San Francisco,CA,2018-07-21,2018-07-22
https://play.usaultimate.org/events/Revolution-2018/schedule/Mixed/Club-Mixed
Blackbird,1
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
0,Alexandra Stambaugh
0,Jacob Lohman
0,Julia Ting
0,Laura Moore
0,Max Udsen
0,Rachel Holz
0,Raj Maitra
1,David Libo-on
2,Corey Lee
5,Danny Miesen
7,Malina Wiebe
9,Adam Farren
10,Donnya Ajdari
11,Barrs Lang
13,Sally Mimms
13,Trevor Harper
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Bree Cahn
21,Stephen Sullivan
30,Megan Schoellhamer
32,Vivian Chu
37,Molly Hallweaver
40,Mac Taylor
b,r,e,a,k
Polar Bears,4
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
01,Alexander Max
02,Molly Munson
03,Ryan Takayama
04,Gabriel Edwards
05,Aaron Shi
06,Cheryl Hsu
09,Gregory Marliave
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
17,Margot Stert
18,Nicholas Alexander
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
25,Daniel Naruo
27,Aaron Hom
28,Catherine Chen
29,Amanda Meroux
33,Ian Sweeney
36,Sara Nolan
42,Bob Madden
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
BW Ultimate,5
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Bryant Wolf
0,Cooper Joy
0,Hidemasa Kato
0,Jake Tozer
0,James Pollard
0,Jeff Roeder
0,Asia Peureux
0,Benjamin Petroski
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Monica Hsiue
0,Sam Asin
0,Sarah Pihl
0,Zac Goldberg
1,Matthew Natali
2,Amy Chang
5,Radhika Bhargav
7,Michelle Slaughter
16,John Dugan
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
American Barbecue,8
teamInfo,,"San Francisco, California",www.abbq.org,,@ABBQfamily
0,Alex Pien
0,Alex Grande
0,Christy Cheung
0,Cullen Coyne
0,Gabriel Miranda
0,Hannah Louis
0,Isabel Clayter
0,JACOB SURPIN
0,Kayla Nowlin
0,Mathilda Farrell
0,Nicholas Weiss
0,Noel Arsenault
0,Paul Sohn
0,Peter van de Burgt
0,Peter LaFreniere
0,Philip Chang
0,Rebecca Evans
0,ROBERT MERK
0,Sophie Lu
10,Jee Witt
10,Julia Dunn
12,Benjamin Scharfstein
17,Alison Mathews
34,Elizabeth Sohn
46,Owen Bell
99,Maxwell Friedmann
b,r,e,a,k
7 Figures,3
teamInfo,,"Los Angeles, California",http://7figuresultimate.com/,https://www.facebook.com/7figuresultimate/,https://twitter.com/la7figures
0,Alexandra Diaz
1,Avery Jones
2,Daniel Oettinger
4,Gary Molano
5,Joseph Forbes
6,Peter Osseward
7,Stacy Tran
8,Alistair McIntyre
9,Amanda Albi
10,Emma Frankel
11,Julia Salvacion
14,Lu Wang
15,Hill Balliet
16,Joy Kang
19,Garrett Yung
22,Christopher Feeney
23,Zoe Tessler
24,Misha (Michael) Horowitz
27,NICK MINYEN
29,Juliana Jordan
34,Brian Stout
35,Alison Forbes
36,Linda Hamon
43,Nate Pascale
47,Daniel Kwok
81,Steven Wick
88,Alisha Stoun
b,r,e,a,k
Mischief,2
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
2,Corinne Hanson
3,Preeti Nalavade
4,Michael Dirda
6,James Hansell
7,Devon Williams
8,Julia Butterfield
10,Elliott Chartock
11,Cody Kirkland
12,Candice Tse
13,Robin Meyers
14,Youngsoo (Ellen) Rim
15,Nathan Young
17,Julia Kwasnick
18,Caitlin Rugg
19,Sean Childers
20,Jenny Wang
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
29,VY Chow
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
99,Max de Visser
b,r,e,a,k
Classy,6
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Dhwani Shah
3,Anna Liu
4,Matthew Rubashkin
6,Claudia Vasquez
7,Michael Denevan
9,"Dana ""Zuul"" Nelson"
10,Andrew Koerner
11,Zachary Bruno
14,Nicolas Sayavedra
15,Zhimin Xie
16,Charlie Hsu
17,Anna Iglitzin
18,Cappy Pitts
21,Josh Mitts
24,Nicholas Davis
29,Frances Hamkins-Indik
42,Sam Poppe
55,Tyler Condit
58,KYLE NICHOLS-SCHMOLZE
