Bay Area Ultimate Classic 2018,Club - Mixed ,9,6,2018
Dublin,CA,2018-06-09,2018-06-10
https://play.usaultimate.org/events/Bay-Area-Ultimate-Classic-2018/schedule/Mixed/Club-Mixed
Brewcade,1
teamInfo,,"San Francisco, California",,,
0,Alex Grande
0,Alexandra Stambaugh
0,Corey Lee
0,LAUREN PONGAN
0,LYUDA GRIGORIEVA
0,Mac Taylor
0,Rachel Holz
0,Raj Maitra
0,Ryo Kawaoka
0,Jacob Lohman
5,Danny Miesen
9,Adam Farren
10,Donnya Ajdari
12,Benjamin Scharfstein
21,John Kolb
21,Stephen Sullivan
30,Megan Schoellhamer
32,Vivian Chu
37,Molly Hallweaver
73,Kimmey Hardesty
b,r,e,a,k
Platypi,8
teamInfo,,"Chico, California",,,
1,Elizabeth Buhler
5,Helena Hoover
9,Marié Weverka
00,Michael Beeman
00,Nicholas Dahms
00,Nick McConnell
00,Payton Laurie
00,Madison Grenier
00,Stephen Nacis
00,Alyssa Rodriguez
00,BRIAN BEEMAN
00,Derek Miller
00,Devin Mitchell
10,Russell Helms
11,Jesus Alfaro
15,Genevieve Millin
17,Grace Jardine
21,Andrew Matheson
27,Loren Bloom
32,Allison Mueting
49,Kyle Harper
b,r,e,a,k
DR,12
teamInfo,,"Berkeley, California",,,
0,Anna Luberoff
0,Dani Carrillo
0,Erica Pool
0,Jacob Buckley
0,Jacob Maynard
0,Nic Domek
2,Marianne Olson
2,Katelyn Barrett
3,Andrew Racle
5,Amy Chou
12,Kim Laflin
16,Danielle Ngo
24,David Whiteneck
25,Jennifer Ames
28,Victoria Kaasa
28,Phillip Hailey
80,Scott Beamer
b,r,e,a,k
VU,13
teamInfo,,"San Francisco, California",https://www.vampireultimate.com/,https://www.facebook.com/VampireUltimate/,
0,Alicia Chang
01,Rafael Castro
02,Ginger Wong
03,Sam Gerber
04,P. N. Raju
05,Stefan Kirk
06,Alexander Shearer
07,Jennifer Gross
09,Nick Molzahn
10,Maria Dumanis
11,Karin  Lin
13,Amber Huang
14,Meryl Charleston
16,Vishal Yadav
17,Matthew Burkert
18,Frederick Lough
19,Jennifer Wei
22,Tristan You
33,Eric Lauterbach
49,Tiffany Nguyen
55,Kelly Billings
64,Charles Boyd
69,HANNAH DILLARD
84,Quan Nguyen
88,James Gallerani Jr
b,r,e,a,k
BW Ultimate,2
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Asia Peureux
0,Benjamin Petroski
0,Benjamin Levinsky
0,Bernadette Hsu
0,Bryant Wolf
0,Cooper Joy
0,Emily McCarter
0,Hidemasa Kato
0,Jake Tozer
0,Jeff Roeder
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Monica Hsiue
0,Sam Asin
0,Yvonne Cheng
0,Zac Goldberg
1,Matthew Natali
2,Amy Chang
5,Radhika Bhargav
18,Sayako Uchida
19,Will Price
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
Firefly,7
teamInfo,,"San Francisco, California",,facebook.com/fireflydisc,
0,Abigail Karp
0,Angus Kitchell
0,Arianna Aldebot
0,Dana Manochi
0,Danielle Kleidon
0,Andrew Galiger
0,Erica Messner
0,Jake Rifkin
0,Jon Schlosberg
0,Kaitlin Marin
0,KATIE ZWEBER
0,Paul Kantlehner
0,Peter Zellman
0,Charles Vallejo-Anderson
0,Charles Stratton
4,Austin Benavides
5,Suk lyn Lim
7,Zachary Purdy
11,Timothy Reilly
13,Madelyn Wright
14,Dan  Greeley
17,Chris Godek
17,Noelle Nelson
21,FINLEY BABA
b,r,e,a,k
Spoiler Alert,14
teamInfo,,"Los Angeles, California",,,
6,Alison Yoho
8,Stephen Nachreiner
03,Jennifer Taylor
04,Theodore Lannert
05,JT Taylor
07,Greta Becker
10,Erwin Davis Jr
16,Nicole Follman
18,Megan Timmerman
25,Joy Kim
25,Radmila Dancikova
25,Sean Mills
36,Cynthia Love
39,Xavier McCormick
42,Bryan DeVore
58,Alec Johnson
71,DEREK LAY
76,Alex Sobel
b,r,e,a,k
Absolute Zero,11
teamInfo,,"Santa Clara, California",,https://www.facebook.com/absolutezeroultimate/?fref=ts,
0,Bryan Ng
0,Jonathan Davis
00,Joseph Gagliano
00,KAREN NG
00,Kelly Bruce
00,Krystal Caldwell
00,Matthew Ferrari
00,MICHELLE LISSNER
00,Emeric Bisbee
00,Gina Contolini
00,James Yang
00,Jeffrey Stein
00,Sean Johnston
00,Taylor Martin
00,Van Duong
04,Tyler Gates
06,Bryan Dang
07,Angela Louh
12,Jade Bedley
24,Christopher Hocutt
30,Rachel Roberts
42,Steve Mahoney
72,Wiharjobudi Sosrodjojo
91,J Ishida
98,Emily Loo
b,r,e,a,k
Classy,3
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Dhwani Shah
0,Mackenzie Bailey
3,Anna Liu
4,Matthew Rubashkin
6,Claudia Vasquez
7,Michael Denevan
9,"Dana ""Zuul"" Nelson"
10,Andrew Koerner
11,Zachary Bruno
14,Nicolas Sayavedra
15,Zhimin Xie
16,Charlie Hsu
17,Anna Iglitzin
18,Cappy Pitts
19,David Shipway
20,Melissa Hassler
21,Josh Mitts
24,Nicholas Davis
29,Frances Hamkins-Indik
37,Eda Altiok
42,Sam Poppe
55,Tyler Condit
58,KYLE NICHOLS-SCHMOLZE
64,Joseph Bryan
75,Riley O'Neill
85,Simone Stolzoff
99,Angela Xiong
b,r,e,a,k
Alchemy,6
teamInfo,,"San Francisco, California",,https://www.facebook.com/alchemyultimate,
0,Alexis Whitaker
0,Charlie Capron
0,Deanna Abrams
0,Easton Archibald
0,Emily Kampa
0,Kohji Sugioka
0,Rachel Kalnbach
0,Rebecca Plotnick
0,Samuel Trachtman
0,Matthew Kissmann
0,Nadine Levin
0,Thomas Kilmer
2,Crystal Alton
5,Evan Hoyt
5,Elliot Goodrich
6,Kristina Geddert
7,Emily Paris
9,Eric Shaw
11,Claire Leichter
13,Brett Naul
16,Thomas Konogeris
27,CHASE BOWMAN
32,Joshuah Kapilivsky
33,Kailee Craig
44,Alexander Lloyd-Evans
64,Chloe Carothers-Liske
80,Nick Petru
b,r,e,a,k
AC Bandits,10
teamInfo,,"Oakland, California",,https://www.facebook.com/acbandits/,
0,Christopher Akers
0,Colin Tardrew
0,Emma Goldfinch
0,Jacob Steinhardt
0,Joseph Norat
0,Kara Ramos
0,Laurel Estes
0,Melissa Glass
0,Peter Nachbaur
8,Reilly Brock
9,Tiffany Bucher
30,Aaron Gemmell
32,Dennis Clement
37,Seamus Burpee
83,John Moore
b,r,e,a,k
Sebastopol Orchard,15
teamInfo,,"Sebastopol, California",,,
0,Jonah Baumgartner
0,Noah Bernhardt
00,Jae Yu
00,Omar Cornejo-Esquivel
00,Stefani Ewell
00,Jonathan  Nozzari
00,Josh Fontes
00,Karissa Dedmon
00,Kendall Ciesielski
00,Matthew Gibbons
00,Megan Gaitan
00,Nicholas Jensen
39,Noble Schlueter
39,Noah Abrams
b,r,e,a,k
Donuts,5
