Women's Centex 2018,College - Women ,24,3,2018
Austin,TX,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Womens-Centex-2018/schedule/Women/CollegeWomen/
Colorado,1
teamInfo,Kali,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/Kaliultimate
coaches,Anna Updyke
3,Nhi Nguyen
5,Rachel Wilmoth
6,Emma Capra
7,Liza  Hasan
8,Jean Russell
9,Mahalie Hill
10,Katiana Hutchinson
11,Megan Henderson
13,Jessica Chesnut
14,Elizabeth Rothrock
21,Saioa Lostra
22,Jordan Stockdale
24,Riley Swift
26,Becky Nevin
32,Alana Chen
33,Fiona Dragonfly
35,Britta Bergstrom
36,Katherine McCormick
41,Katherine Macri
93,Sarah Nadler
94,Mikayla Seaward
96,Zoe Collins Rath
99,Kelsey Bennett
b,r,e,a,k
UCLA,8
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Alexander Korb
3,Catherine Paulson
5,Cameron Hastings
6,Malia Smith
7,Maddy Fisher
8,Francesca Clarke
9,Morgan Baxter
02,Emily Beck
04,Katherine Jordak
11,Chloe Zilliac
12,Sonia Lele
14,Amy Zhu
15,Claire Simpson
17,Kristin Monson
19,Erin Doyle
20,Moorea Henn
21,Audree Hsu
22,Caroline McKee
27,Vivian Liu
28,Tahlia Hodes
b,r,e,a,k
Georgia Tech,9
teamInfo,Wreck A,"Atlanta, Georgia",http://wreckultimate.wordpress.com/,https://www.facebook.com/pages/Wreck/157511247708349,https://www.twitter.com/GTWreckU
coaches,Madeleine (Maddy) Frey
0,Allison Nastasi
0,Katie Dai
3,Aimee Gerold
6,Ushma Patel
11,Alexandra Towner
12,Tara Poteat
13,Bridget Nabb
14,Jenny Choi
15,Emma Pettit
16,Almaze Lema
17,Megan Yang
18,Sarah Brock
20,Ollie Peterson
22,MADELEYNE VACA
69,Samantha Loop
71,Allison Wong
87,Genevieve Brandt
96,Maria Saito
b,r,e,a,k
MIT,16
teamInfo,sMITe,"Cambridge, Massachusetts",http://scripts.mit.edu/~womens-ult/,https://www.facebook.com/ultismite,https://twitter.com/ultismite
04,Samantha D'Alonzo
07,Kelly Chen
08,Serena Xu
10,Michelle Chen
12,Claire Duvallet
14,Lilia Poteat
15,Kimberly Yu
16,Madelyn Focaracci
18,Helen Li
19,Alexis Oriole
21,Ivana Alardin
23,Mary Zhong
27,Saroja Erabelli
36,Amy Liu
54,Nikita Waghani
60,Marjorie Buss
81,Maggie Zhang
b,r,e,a,k
Texas,2
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facedbook.com/utexasultimate/,https://twitter.com/txmelee
0,Angela Stephenson
0,Kathryn Raska
0,Shannon Ray
02,Alysa Chiovatero
03,Domenica Sutherland
04,Cameron Bryan
06,Ivy Harrison
07,Lindsey Cox
10,Gaby Cuina
11,Amberly Malone
12,Caroline OConnell
13,Jasmine Anand
17,Marissa Land
21,Katelynn Zacharias
22,Emma Berrigan
23,Laura  Gerencser
44,Katia Krupa
47,Anna Hutton
72,Hannah DeVault
88,Briana Roberts
99,Alexandra Magid
b,r,e,a,k
Florida,10
teamInfo,FUEL,"Gainesville, Florida",modules/common/gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
0,Charlotte Talham
0,Emily Matthews
0,Kaitlin O'Keefe
0,Katie Huettel
0,Kelly Gallagher
0,Gianna Arcuri
0,Pilar Alvarez
0,Rosemary Murray
0,Tessa Ricker
1,Natori Cummings-Haynes
2,Courtney Testa
4,Lien Nguyen
8,Lucy Berman
14,Sydney Weiner
69,Jenn Maresca
69,Gabrielle  Krajniak
69,Lauren Bahng
83,Nevena Stanojevic
b,r,e,a,k
Northeastern,7
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
2,Brianna  Considine
3,Katharine Gilbert
5,Eleanor Patten
7,Lamia Farah
9,Duschia Bodet
11,Arielle Nelson
12,Katherine Murray
13,Ellen  Harsha 
15,Julianne Kloza
17,Anna Cullen
18,Natalie Hopkins
19,Isabel Tripp
24,Vivian Lee
28,Ariel Bloch
31,Helen Gilbert-Snyder
46,Sofia Horan
