Warm Up: A Florida Affair 2018,College - Men ,16,2,2018
Tampa,FL,2018-02-16,2018-02-18
https://play.usaultimate.org/events/Warm-Up-A-Florida-Affair-2018/schedule/Men/CollegeMen/
Brigham Young,4
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
coaches,Bryce Merrill
0,Colton Bledsoe
4,Devon Terry
5,David Shum
6,Matt Ricks
8,Sean Connole
9,Bryson Chipman
10,Braden Eberhard
11,Taylor Barton
12,Ryan Savage
13,Seokhee Burningham
15,Benjamin Hodson
16,Ben Guthrie
20,Nate McMurdie
22,Quinn Everett
25,Andrew Larsen
27,Brandon Jordan
33,Joseph Merrill
43,Jacob Miller
50,Austin Alpeter
63,Nolan Hutchings
66,Jordan Kerr
b,r,e,a,k
Minnesota,15
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,@1Duck1Love
coaches,Justin Gilbert
0,Cash Barber
0,Joe Bosshardt
0,Sam Jordan-Wood
0,Samuel Morris
0,Trevor Graham
2,David Zheng
3,Malakai Stern
6,Brian Thompson
7,Zach Trosvig
8,Cole Wallin
9,Tom Duret
11,Sam Kaminsky
12,Wystan Duhn
13,Nicholas Hammer
13,Cole Jurek
14,Jackson Cade
15,Daniel Meiland
18,James Nguyen
19,Oscar Leinbach
21,Joshua Pratt
21,Codi Wood
22,Adam Meckstroth
23,Saurav Dubey
25,Jonah Malenfant
48,Wyatt Mekler
88,Jonah Jossart
99,Tristan Van De Moortele
b,r,e,a,k
Virginia Tech,22
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,David Slade
1,Gunnar Biebighauser
2,Henry Primavera
3,Noah  Taylor
4,Joe Novak
5,Owen  Wright
6,Ryan Rossum
8,Marc Lasorsa
10,Adam Manes
11,Conner Fox
13,David van Pelt
14,Daniel Sablosky
16,Evan McLean
17,Colum Bergeron
19,Ian Connerney
20,Dylan Hitt
21,Rhys Bergeron
22,Ferry Akbar Buchanan
23,Jon Tiernan
24,Zachary Hill
25,Matthew Beaudet
27,Matthew Tassiello
32,Alexander DeLuca
