North Central Mixed Regional Championship,Club - Mixed ,22,9,2018
https://play.usaultimate.org/events/North-Central-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
00,Alicia Carr
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
05,Greta Regan
07,Blake Trantina
08,Claire Oakley
09,Emily Regan
10,Martha Lien
12,Marty Adams
13,Jacob Lien
14,Austin Lien
16,Brian Schoenrock
17,James Hron
18,Ellie Sjordal 
19,Tavis Leighton
20,Neal Hanke
21,Tyler Thomegreene
22,Kathryn Ritzmann
25,Eva Maxson
31,Josh Hemmesch
33,Jaime Glader
37,Sierra Barthen
43,Bryan Vohnoutka
44,Sarah Meckstroth
49,Caleb Denecour
55,Charlie Schuweiler
b,r,e,a,k
Bird,8
0,Stephen Alexander
3,Greta Friedrichs
01,Cole Jensen
02,Emilia Lewis
05,Samuel Hedrick
07,David Shirley
08,Patrick La Course
10,Erin Mirocha
11,Clara Bils
11,Philip Arets
14,Jessica Hendrickson
16,Rebecca Morales
17,Jacob Salzman
18,Angelica Montanez
21,Anna Barrett
22,Natalie Cooper
23,David Stemper
27,Leslie Boey
28,Joseph Nelson
30,THOMAS GRUND
39,CHRISTINE ROSEN
43,Dustin Rooffener
44,Jonathan Lovagnini
61,Brandon Matis
81,Tyler Meyer
97,Steven Anderson
99,James Kittlesen
b,r,e,a,k
Hellbenders,16
00,Haylie Shoemaker
01,Jonathan Wood
02,Ashley Slater
03,Jaimasen Williams
04,Seth Day
05,Ethan Harting
06,Wendy Larson
07,Erik Larson
08,William Curtis
09,Cole Wheeler
10,MICHAEL BLACKWELL
11,Rusty McDonald
12,James Engelhardt
13,Doug Jacobs
17,TJ Ridge
22,Alicia Sullivan
23,Jackson Reid
24,Josue Bolanos
26,Jessica Jones
28,Mitchell Weinstein
30,Kristina Beckham
32,Joshawa Ryun
33,Taylor Alicea
42,David Henry
55,Kristen Keeney
77,Stephanie Jacobs
81,Zach Carlson
b,r,e,a,k
Chalice,9
0,Alyssa Renaud
0,BRIAN LEACHMAN
0,Chris Sedgwick
0,Daniel Brennan
0,Delmar Tarrago
0,Dustin Tierney
0,Eliza Hutchings
0,Gabriella Lavezzi
0,Julia Clare
0,Julia Hill
0,Justin Van Sant
0,Kate Halloran
0,Kellen Key
0,Kevin McCarthy
0,Lindsay Stith
0,Neil Wessling
0,Patrick Austermann
4,Henry Sundermann
6,Emma Randolph
7,Cody Fox
10,Kyle Flores
21,Nathaniel Mahieu
21,William (Will) Imming
24,Loren Goodrich
29,Stephen Hawkins
69,Mahliyah Adkins-Threats
98,Julia Schroeder
b,r,e,a,k
No Touching!,2
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
06,Brianna Andrighetti
09,Tyler McKean
13,Paul Norgaard
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
20,Jimmy James McDonald
24,Justin Simanson
26,Joe Andrighetti
27,Michael Swain
29,Sam Pepe
31,Anna Shanedling
32,Rachel Elbing
33,Graham Brayshaw
38,Arthi Padmanabhan
42,Sam Valesano
64,Michael Lin
78,Jeremy Keiser
83,Jeremiah Gagner
88,Patrick Jensen
96,Brian Edgerton
99,Anna Hagstrom
b,r,e,a,k
Mojo Jojo,10
0,Dayna Trimborn
1,Stephanie Pieper
2,Brian Wilson
3,Graham Sutherland
4,Andrew Lawrence
5,Daniel Schultz
6,Ryan Fortune
7,Ryley Tennyson
9,Alison Schmitz
11,Justin Wollin
12,Alyxandra Averkamp
14,Ben Valley
16,Brittany Faust
18,Julia Barton
19,Caitlin Reis
20,Amy Erlandson
22,Sam Munkeby
24,Brendan Gessner
26,April Strzelczyk Haverstock
27,McKenna Hage
29,Alex Kaplan
42,Malik Earle
72,Mackenzie Olson
84,Jake Kretschmer
88,Jonah Giese
94,Patrick Cashman
99,Amanda Huber
b,r,e,a,k
Minnesota Star Power,7
01,Tristan Grovender
06,Leah Arnt
07,Danica Cutshall
08,Kevin Ruda
09,Ben Roske
10,Alex Kensgaard
11,Rachel Thompson
12,Taylor Van Oosbree
13,Kelsey Mueller
15,Leona DeRango
16,Lisa Barnes
17,Alex Ma
19,Eric Vandermolen
21,Max Stillman
21,Tyler Mahony
24,Eric Alexander
25,Joe Moravec
27,Jessie Lambert
28,Cole Stiegler
29,Kelsey Peterson
31,Bradley Malmsten
37,Ming Cheng Chew
48,Anik Regan
57,Ellory Roske
76,Erin Moravec
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Pandamonium,15
0,Alex Lord
0,Alison Kidd
0,Amy Suek
0,Cloid Green
0,Ellen Block
0,Emma Hammond
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jonah Shaver
0,Jonathan Jaunty
0,Julie Bender-Awalt
0,Kaiya Sygulla
0,Katherine Johnson
0,Arbor Otalora-Fadner
0,Megan Wencl
0,Nicole Bridgland
0,Reed Bailey
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
17,Raechell Nelson
22,Mikhail Golben
26,Andy Holt
38,Abigail Shilts
47,Ian Andre-Knudsen
77,Will McGrath
89,Micah Peterson-Brandt
b,r,e,a,k
NOISE,3
00,Brian Hart
00,Kyle Weigand
01,Francis Kelley
03,Cody Rebholz
06,Ian Hahn
07,Vanessa Cannaday
08,Maria Signore Becker
09,Joshua Wilson
10,Tom Annen
12,Chris Wilen
13,Becky LeDonne
15,Carl Deffenbaugh
17,Emily Dayton
18,Sarah Mondschein
19,Haley Hudson
20,Lauren Perucco
24,Dayu Liu
25,Joann Wong
26,Kayla Patterson
30,Natan Lee-Engel
33,Katy Stanton
34,Matthew Becker
41,Jenni Konigsburg
43,Kevin Cannaday
53,Arjun Kumar
60,Claire Cech
77,Jack Kelly
b,r,e,a,k
Northern Comfort,6
00,Laura Nelson
02,Oliver Rytman
03,Erika Watson
04,TAYLOR DAVIS
06,Abby Snell
08,Heather Vilbrandt
