Dust Bowl 2018,College - Men ,24,2,2018
Tulsa,OK,2018-02-24,2018-02-25
https://play.usaultimate.org/events/Dust-Bowl-2018/schedule/Men/CollegeMen/
Texas State,1
teamInfo,Buckets,"San Marcos, Texas",,,
04,Trenton Hebert
05,Paul Passmore
06,Eric Brodbeck
07,Cole Lamkins
11,Evan Dayton
12,James Sims
13,James Washburn
16,Brandon Sanders
17,Anthony Shelton
20,Gabriel Cavazos
27,Jake Reinhardt
38,Chandler Wells
44,David Haeussler
50,Michael Racz
69,Cole Smith
b,r,e,a,k
Arkansas,8
teamInfo,Ludicrous Speed ,"Fayetteville, Arkansas",,,
69,Andrew Hall
69,Andrew Watson
69,Bradley Stalder
69,Edward Corron
69,James Genova
69,Kaplan Maurer
69,Kenneth Cole
69,NASEER NASEEM
69,Ryland Arnold
69,Trent Woessner
b,r,e,a,k
Oklahoma State,5
teamInfo,Ultimato,"Stillwater, Oklahoma",,https://www.facebook.com/OstateUltimato/,https://twitter.com/OstateUltimato
0,Alex Southard
0,Blake Duncan
0,Cheng Hao Tan
0,Cole Strickling
0,Connor Olson
0,Drew Starkey
0,Jonathan Costello
0,Kendra Hess
0,Li Ya Cheng
1,Josh Cunningham
7,Karina Jarzen
8,Sawyer Locke
11,Conor Henry
27,Tyler Niskanen
51,John Athens
69,Caleb Dixon
99,Alexander McNiel
b,r,e,a,k
North Texas,9
teamInfo,UNT X,"Denton, Texas",,,
0,Brandon Martin
0,Cameron Young
0,Garrett Davis
0,Louis Gingras
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
4,Ryan Pingenot
9,Benjamin Meaders
10,Austin Ferrari
15,Corey Gendron
16,Andy Evans
17,Matt Klespis
20,Enrique  Alegria
21,Connor DeLuna
22,Chiao-Tan Chuang
77,Ian Ambrose
b,r,e,a,k
Luther,4
teamInfo,LUFDA,"Decorah, Iowa",,,https://twitter.com/lutherultimate
0,Carlos Silva
0,Henry Cravens
0,Jamison Schuh
0,John Mai
0,Marshall Creech
0,Matthew Deetz
0,Samuel Moyer
0,Spencer Schattauer
1,Blake Krapfl
4,Joel Alvarado
5,Paul Fritzell
7,Matt Smith
12,Jack Jagielski
13,Arlen Bonson-Anderson
17,Chad Villhauer
20,Chad Messerich
27,Owen Schleif
29,Peter Scott
33,Jay Puffer
44,Jonathan Lovagnini
b,r,e,a,k
Texas Tech,2
teamInfo,Tumbleweed,"Lubbock, Texas",,https://www.facebook.com/groups/TTUUltimate/,https://twitter.com/techtumbleweed?lang=en
0,Austin Wargin
0,Bradley Pfeiffer
0,Caleb Hughes
0,Christian Lauzy
0,Emmanuel Uzodike
0,Jacob Garcia
1,Dillon Rathman
3,Michael Paniagua
6,John Aucar
7,Paul Yacoub 
8,Sam Kuhn
10,Cutler Hassell
11,Broderick Watson
12,Jansen Ivie
14,Reese  Gregory
16,Thomas McPherson
17,Austin Ficken
19,Winstein Hungbui
22,Grant Golder
23,Kyle Henke
35,Alexander Brewster
44,Junaid Ramzan
49,Michael Wode
78,Jace Drennan
99,Nick Reents
b,r,e,a,k
Nebraska,3
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",http://www.unl.edu/cornfed/,,https://twitter.com/cornfedultimate
coaches,Grant Maynard,Brad Ashley
0,Adam Anderson
0,Alec  Williams 
0,Daniel Forsyth
0,Jackson Cutsor
0,Kameron Heyen
0,ROBBY ELSNER
0,Ryan Dornbusch
0,Shane Mueller
0,Vincent Rice
3,Ryan Aurich
6,Noah Ross
7,Jack Sarles
9,Jake Lindvall
10,Stephen Lunde
13,Cole Petsche
15,Kyler Lecomte
20,David Forsyth
21,Jackson Schuerman
26,Marty Praska
34,Joshua Adams
41,CRISANTO DUBUC
55,Jacob Morrow
b,r,e,a,k
John Brown,6
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Levi Knowles
00,Joel Stennett
00,Andrew Hastings
00,Brandon Swindle
00,Bryson Cobb
00,Garrit Headley
05,Nolan Campbell
07,Parker Gulbranson
12,Josiah Heikes
18,Brendan Culp
19,Ethan Bolthouse
42,Ian Staalsen
67,Spencer Patterson
74,Clinton Carroll
96,Drew Fain
99,Harrison  Kretzer
b,r,e,a,k
Saint Louis,10
teamInfo,Archangel,"St. Louis, Missouri",,,
0,John Wooldridge
1,Brian Thomas
2,Devin Belvin
8,ZACH WRIGHT
12,Raymond Moylan
13,Daniel Stork
24,John Carey
26,Nick Hornal
34,Scott Lambert
36,Eric Husa
41,Greg Farnsworth
88,Troy Lensing
b,r,e,a,k
Rice,7
teamInfo,Cloud 9,"Houston, Texas",modules/common/cloud9.rice.edu,,@riceultimate
0,Chatham Abate
0,Collin Allen
0,Dylan Riddell
0,ELI BADGIO
0,Gabriel Vacaliuc
0,Jack Kaplan
0,James Brigman
0,Augustin Liebster
0,Avery Zaleski
0,Nicholas Lester
0,Patrick Chickey
0,Patrick Kelly
0,Veeral Shah
3,Brian Walker
4,Adrish Anand
10,Chase Hinman
13,Alexander Jiang
14,Zach Moxley
17,Olasina Awe
19,Andrew Marshall
21,Sam Burke
23,Michael Young
43,Brandon Chow
b,r,e,a,k
Texas A&M (B),26
teamInfo,Dozen Matter,"College Station, Texas",modules/common/ultimatefrisbee.tamu.edu/,,
coaches,Alexander Kalin
0,Alec Myers
0,Alex Rzasnicki
0,Alexander Thompson
0,Charlie Clark
0,Chase Skweres
0,Cody Ragan
0,Cole Woodeshick
0,Hayden Pfaff
0,Josh Hein
0,Nick Whitty
0,Tae Jung Yang
0,Zachary Hillard
2,Reece Rose
3,Stephen Harden
5,Joseph  Moore
12,Nicolas Lanas
14,Christopher Ault
19,Jonathan Tran
23,Daxton Davidson
27,Matthew Wilson
68,Braden Winklepleck
70,Clint Blackwell
80,Jason Wehring
81,David Turlip
b,r,e,a,k
Denver,19
teamInfo,Sourdough,"Denver, Colorado",http://www.du.edu/ritchiecenter/studentprograms/clubsports/clubs/ultimatefrisbee/,https://www.facebook.com/uofdenverclubultimate,
9,Matthew Myers
02,Evan Hicks
04,Aidan Cunningham
09,Peter Halvorson
10,Sage Bard-Gilbert
11,Oliver Pesso
19,Mike Nichols
20,Austin Wolfe
21,Miles Dorrance
23,Josh Lucero
25,Cameron Peschel
28,Jordan Stern
32,Jake Lauinger
55,Jeffrey Ready
56,Eric Silverman
60,Thane Gehring
69,Jackson Spear
b,r,e,a,k
Kansas State,11
teamInfo,Wizards,"Manhattan, Kansas",,,
0,Brett Dare
0,Cody Pretzer
0,Darien Parr
0,Drew Mechnig
0,Erik Hjelmaas
0,Luke Grieger
0,Nash Johnson
0,Spencer Roberts
4,John Winter
7,John Benfer
23,Alan Pohl
b,r,e,a,k
Central Arkansas,18
teamInfo,Abduction,"Conway , Arkansas",,,
02,Michael Wyatt
03,Eriq Deaver
04,Preston Long
11,Taylor Phillips
12,Madison Dodd
13,Matthew King
14,Gregory Jacobus
21,Jonah Stephens
27,Cody Padgett
32,Garrett Brown
33,Raymond Graham
42,Dylan Green
88,Jerry Robertson
b,r,e,a,k
Kansas (B),27
teamInfo,Vertikillz,"Lawrence, Kansas",,,
coaches,Tommy Gebhardt
0,Brett Voth
0,Ethan Seiler
0,Justin Herrig
0,Justin Tech
0,Nicholas Perkins
0,Travis bohannan
0,Tristan Pittenger
0,William  Ruhe
6,Gavin Walker
10,Hua Deng
19,Robert Castaneda
b,r,e,a,k
Missouri State,17
teamInfo,Missouri State,"Springfield, Missouri",,https://www.facebook.com/MissouriStateUltimate/,
0,Jacob Bahr
3,Brandon Sears
8,Adam  Pesek
01,James Engelhardt
05,Ethan Harting
06,Cole Wheeler
10,Jonathan Wood
16,Evan Petrich
17,TJ Ridge
21,Daniel Holsten
22,Michael Stokes
23,Jackson Reid
24,Caleb Laurent
32,Joshawa Ryun
33,Rami Issawi
41,Austin Yuan
42,Jaimasen Williams
49,Gabe Olender
68,Matthew Moore
77,Mitchell Weinstein
b,r,e,a,k
Missouri S&T,12
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://twitter.com/miner_threat?lang=en
0,Gavin Adams
0,Jose Sarratud
0,Lunden Brent
00,Mitchell Zimmmermann
00,Rusty McDonald
00,Sandy Gu
00,Seth Day
00,William (Will) Imming
00,Justin Flynn
00,Jacob Crouse
00,John Mauntel
00,Benjamin Alber
00,Cameron Leonard
00,Christopher Dolles
00,Daniel Drury
00,David Szatkowski
05,Quinten Volz
10,Ezekiel Peterson
12,Brendan Carriel
15,Shashank Nedungadi
16,Nate Clancy
16,David Druzynski
18,Nicholas Morton
20,Jared McKay
21,Brody Johnson
25,Kelly Mauntel
28,Eric Chavez
30,Trevor Nenninger
35,Richard Murphy
36,Louie Bertoncin
42,John Markiewicz
44,Lawrence Eastman
56,Zachary De Craene
68,Dallas Buchanan
69,Robert Taylor
72,Tristan Chan-smith
b,r,e,a,k
Colorado State (B),28
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida_b?lang=en
0,Erik Peaslee
00,Alfredo Macha
05,Jackson Akin
06,Josh Martinez
10,Kenny Bui
15,Mason Kiefer
19,Charlie Pitcock
26,Jonathan  Wegleitner
27,Kenneth Rathmann
31,Colin Crawford
35,David Slifka
35,Samuel Frisz
37,Stephen Garrison
39,William Ouimet
42,Jack Browne
43,Tucker Martin
44,Michael  Sekman
52,Jackson Turner
64,Zac Seitz
65,Trevor Isaacson
69,Ira Weiss
71,Trevor Schneider
77,Joel Cavaliere
b,r,e,a,k
Tulsa,20
teamInfo,Party Fowl,"Tulsa, Oklahoma",,https://www.facebook.com/PartyFowlTU,
coaches,David Beeson
0,Dean Pappademos
0,Willy Martin
5,Brian Luczak
02,JT Stancil
06,Jimmy Pignetti
10,Kyle Flores
13,Henry Luepke
17,Benjamin Brown
22,Joshua Milford-Rosales
23,Brennen Gray
25,Peter Simmons
27,William Schuller
34,Nikos Foundas
41,Jacob Berg
69,Andrew Lackey
b,r,e,a,k
Oklahoma (B),25
teamInfo,Apes of Wrath B,"Norman, Oklahoma",http://oklahomaultimate.com/,https://www.facebook.com/OklahomaUltimate,https://twitter.com/wrathfulapes
0,Corbin Joel Milchesky
0,Harry Mutton
0,J.D. Ingendorf
0,Kadon Velasco
0,Nathan Winslow
0,Ryan Turcotte
02,Wesley Zhang
04,Caroline Bantug
05,Joseph Dal Santo
07,Logan Allen
09,Harper Stanfield
10,Jack Williams
13,Joseph Fortunato
14,Nathaniel Loyd
15,Andrew Turcotte
16,Tyler Jennings
19,Preston Godinich
21,Jonathan Grill
22,Connely Lambert
24,Alex Mudd
25,Daniel Pfaff
31,Christopher Leonard
32,Christopher Bluth
34,Cyle Famuliner
42,Will Hanson-Regan
50,Noah Brown
53,Dawson Pleasant
88,Jacob Good
95,Brandon Widner
96,Austin Gould
b,r,e,a,k
Colorado-Denver,16
teamInfo,Frostbite,"Denver, Colorado",,,
0,Cruz Alvarez-Machado
0,Dakota Chauncey
0,Donovon Locke
0,Greyson McDaniel
0,Julian Pena
0,Kyle Harford
0,Matthew McCoo
0,Nathan Gusky
0,Nathan Fulton
0,Rami  Hussein
0,Sam Wilson-Moses
0,Scott Cao
0,Alex Kacsh
0,Bijan Imansepahi
0,Brian Bell
0,Casey Hodges
0,Chad LeFebre
0,Conor Tabor
4,Corey Nuechterlein
b,r,e,a,k
Arkansas State,21
teamInfo,Red Wolf Ultimate,"Jonesboro, Arkansas",http://redwolfultimate.weebly.com/,https://www.facebook.com/pages/Red-Wolf-Ultimate/1431214147101320,https://twitter.com/redwolfultimate
0,Jeremy DeLon
0,Kyle  Walker
0,Lucas Hyde
0,Steven Holmquist
0,Wat Sakamoto
2,Drew Slaven
4,Clayton Howard
5,Brandyn Wilcox
7,Mason Keeling
13,Zach Ruple
43,Spencer Sandy
78,Gunnar Etzkorn
87,Easton Adams
b,r,e,a,k
Washington University (B),29
teamInfo,Contraband,"St. Louis, Missouri",,,https://www.twitter.com/wucontraband
0,Daniel Sosebee
0,Hayden Reynolds
0,Isaac Kaufer
0,Jason Oberstein
0,Justin Kroll
0,Justin Suh
0,Martin Goree
0,Nicos Topulos
0,Noah  Saldana
0,Tyler Jackson
0,Zachary Leonard
4,Benjamin Bridgforth
16,WillIam Altschul
22,David Lopez
27,Eli Schneider
33,Christopher Palmer
39,Aidan Flynn
57,David Kibbe
72,Daniel Cherenson
86,Matt Geer
99,Spencer Williams
b,r,e,a,k
Hendrix,24
teamInfo,Hendrix,"Conway, Arkansas",,,
05,Zackary Brownlee
07,Storm Gardner
08,John Hooker
09,Tate Zellner
10,Aaron Lombardi
11,David Pojunas
13,Rory MacNicol
17,Hayden May
b,r,e,a,k
Colorado School of Mines,15
teamInfo,Entropy,"Golden, Colorado",,,
coaches,Aaron (AJ) Abraham
0,Adam Parler
0,Caleb Sanders
0,Cameron Beaton
0,Frank Reddy
0,Ian Kellogg
0,Jack Girard
0,Matthew Lambert
0,Morgan Cox
0,Randy Lemons
0,Sean Kopel
0,Sean Hinkle
0,Zacary Parkhill
0,Zachary Cotter
2,Tom Parry
5,Scott Jarriel
5,Jonathon McNabb
11,Caleb Bevers
12,Clayton Howeth
12,Nikos Jordan
26,Weston Mauz
32,Zachary Aparicio
42,Mark Jeska
56,John Arndt
66,Parker Damon
69,Noah Traeger
69,Nathan Giffin
69,Jared Parrish
77,Thomas Hennen
91,Tanner Cook
b,r,e,a,k
Stephen F Austin,14
teamInfo,Frontier,"Nacogdoches, Texas",,,
0,Cameron Meaux
0,Jared Brawner
0,Lizzie Moore
0,Griffin Hall
0,Parker Lambes
0,Taylor Gill
5,Trevor McCulley
12,Anna Highsmith
14,Emry Collier
22,James Phillips
24,Tyler Baker
30,Matthew Doxey
39,Michael Musslewhite
43,Ethan Donart
67,Edward Salinas
69,Thomas Griffin
99,Tanner Roberts
b,r,e,a,k
Texas-Dallas (B),22
teamInfo,Woof,"Richardson, Texas",,,
00,John Cruz
00,Joshua Pritchett
03,Timothy Champion
07,Udit Bhatt
13,Joseph Thurston
15,Jacob Paullus
16,Dylan Kreth
20,Kevin Hwang
21,Benny Rubanov
27,Aaron Schuette
33,Garrett Fish
34,Samuel Todd
69,Trevor Ellis
77,Parker Clemmons
86,Alexander Estevan
b,r,e,a,k
North Texas (B),30
teamInfo,UNT Y,"Denton, Texas",,,
0,Brendan Rojas
0,Christopher Colon
0,David Kalkwarf
0,Evan Hughes
0,Isaac Flores
0,Joshua Rozeboom
0,Kenneth Brown
0,Robert McCullough
0,Ryan Sterzenbach
0,Thomas Moore
0,Zackery Bohnsack
13,Brandon  Odell
19,Darren Churn
51,Juan Christiansen
55,Jacob Hanson
98,Emiliano Flores Ruiz 
b,r,e,a,k
Creighton,23
teamInfo,Tuskers,"Omaha, Nebraska",http://creightonultimate.weebly.com/,,
0,Cat  Henning 
0,Colin McGrew
0,Olivia Burleigh
0,Zach Frevert
5,Marah Miller
13,Craig Schmerbauch
21,Casey Kerin
32,David Kasper
b,r,e,a,k
TEAM_NAME_NOT_FOUND,31
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pools
pool,Pool A
Texas State,North Texas,11,6,"02/24/2018, 13:00",Pool A,Final
Oklahoma State,Arkansas,7,10,"02/24/2018, 13:00",Pool A,Final
Texas State,Oklahoma State,9,6,"02/24/2018, 14:10",Pool A,Final
Luther,Arkansas,4,11,"02/24/2018, 14:10",Pool A,Final
Arkansas,North Texas,11,7,"02/24/2018, 15:20",Pool A,Final
Luther,Oklahoma State,6,8,"02/24/2018, 15:20",Pool A,Final
Texas State,Arkansas,10,6,"02/24/2018, 16:30",Pool A,Final
Luther,North Texas,5,6,"02/24/2018, 16:30",Pool A,Final
Texas State,Luther,11,2,"02/24/2018, 17:40",Pool A,Final
Oklahoma State,North Texas,11,6,"02/24/2018, 17:40",Pool A,Final
pool,Pool B
Texas Tech,Saint Louis,9,6,"02/24/2018, 13:00",Pool B,Final
John Brown,Rice,8,6,"02/24/2018, 13:00",Pool B,Final
Texas Tech,John Brown,7,8,"02/24/2018, 14:10",Pool B,Final
Nebraska,Rice,10,5,"02/24/2018, 14:10",Pool B,Final
Rice,Saint Louis,8,9,"02/24/2018, 15:20",Pool B,Final
Nebraska,John Brown,9,5,"02/24/2018, 15:20",Pool B,Final
Texas Tech,Rice,8,6,"02/24/2018, 16:30",Pool B,Final
Nebraska,Saint Louis,10,5,"02/24/2018, 16:30",Pool B,Final
Texas Tech,Nebraska,9,5,"02/24/2018, 17:40",Pool B,Final
John Brown,Saint Louis,10,6,"02/24/2018, 17:40",Pool B,Final
b,r,e,a,k
pools,Emerge Pools
pool,Pool C
Kansas State,Kansas (B),11,3,"02/24/2018, 13:00",Pool C,Final
Denver,Texas A&M (B),7,5,"02/24/2018, 13:00",Pool C,Final
Kansas State,Denver,7,5,"02/24/2018, 14:10",Pool C,Final
Texas A&M (B),Kansas (B),7,4,"02/24/2018, 15:20",Pool C,Final
Kansas State,Texas A&M (B),6,9,"02/24/2018, 16:30",Pool C,Final
Denver,Kansas (B),11,3,"02/24/2018, 17:40",Pool C,Final
Central Arkansas,Texas A&M (B),5,7,"02/25/2018, 04:10",Pool C,Final
Central Arkansas,Denver,5,6,"02/25/2018, 05:20",Pool C,Final
Central Arkansas,Kansas (B),6,4,"02/25/2018, 06:30",Pool C,Final
Kansas State,Central Arkansas,5,0,"02/25/2018, 07:40",Pool C,Final
pool,Pool D
Missouri S&T,Colorado State (B),11,8,"02/24/2018, 13:00",Pool D,Final
Missouri S&T,Tulsa,11,5,"02/24/2018, 14:10",Pool D,Final
Missouri State,Tulsa,11,8,"02/24/2018, 15:20",Pool D,Final
Missouri State,Colorado State (B),11,7,"02/24/2018, 16:30",Pool D,Final
Missouri S&T,Missouri State,10,11,"02/24/2018, 17:40",Pool D,Final
Tulsa,Colorado State (B),10,11,"02/24/2018, 17:40",Pool D,Final
Tulsa,Oklahoma (B),11,10,"02/24/2018, 20:00",Pool D,Final
Missouri State,Oklahoma (B),11,1,"02/24/2018, 21:10",Pool D,Final
Oklahoma (B),Colorado State (B),7,6,"02/24/2018, 22:20",Pool D,Final
Missouri S&T,Oklahoma (B),7,6,"02/24/2018, 23:30",Pool D,Final
pool,Pool E
Arkansas State,Hendrix,11,2,"02/24/2018, 13:00",Pool E,Final
Colorado-Denver,Washington University (B),11,3,"02/24/2018, 13:00",Pool E,Final
Colorado-Denver,Hendrix,11,0,"02/24/2018, 14:10",Pool E,Final
Arkansas State,Washington University (B),10,2,"02/24/2018, 14:10",Pool E,Final
Hendrix,Washington University (B),3,8,"02/24/2018, 15:20",Pool E,Final
Colorado-Denver,Arkansas State,11,2,"02/24/2018, 15:20",Pool E,Final
pool,Pool F
Stephen F Austin,North Texas (B),9,1,"02/24/2018, 13:00",Pool F,Final
Colorado School of Mines,Creighton,11,0,"02/24/2018, 14:10",Pool F,Final
Creighton,North Texas (B),4,6,"02/24/2018, 15:20",Pool F,Final
Stephen F Austin,Creighton,10,6,"02/24/2018, 16:30",Pool F,Final
Colorado School of Mines,North Texas (B),11,0,"02/24/2018, 16:30",Pool F,Final
Stephen F Austin,Colorado School of Mines,2,11,"02/24/2018, 17:40",Pool F,Final
Texas-Dallas (B),Creighton,6,4,"02/24/2018, 20:00",Pool F,Final
Stephen F Austin,Texas-Dallas (B),11,3,"02/24/2018, 21:10",Pool F,Final
Colorado School of Mines,Texas-Dallas (B),11,1,"02/24/2018, 22:20",Pool F,Final
Texas-Dallas (B),North Texas (B),8,3,"02/25/2018, 12:40",Pool F,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Texas State,Arkansas,15,10,"02/25/2018, 14:30",Championship,Final
Texas State,Oklahoma State,15,6,"02/25/2018, 12:30",Semis,Final
Arkansas,Texas Tech,14,9,"02/25/2018, 12:30",Semis,Final
Texas State,North Texas,15,4,"02/25/2018, 10:30",Quarters,Final
Oklahoma State,Nebraska,13,9,"02/25/2018, 10:30",Quarters,Final
John Brown,Arkansas,8,15,"02/25/2018, 10:30",Quarters,Final
Luther,Texas Tech,11,15,"02/25/2018, 10:30",Quarters,Final
North Texas,Rice,13,8,"02/25/2018, 08:30",Pre-Quarters,Final
Oklahoma State,Texas A&M (B),15,6,"02/25/2018, 08:30",Pre-Quarters,Final
Nebraska,Colorado-Denver,14,8,"02/25/2018, 08:30",Pre-Quarters,Final
John Brown,Missouri State,15,14,"02/25/2018, 08:30",Pre-Quarters,Final
Arkansas,Colorado School of Mines,14,8,"02/25/2018, 08:30",Pre-Quarters,Final
Saint Louis,Luther,9,15,"02/25/2018, 08:30",Pre-Quarters,Final
bracket,3rd Place Champs
Oklahoma State,Texas Tech,11,10,"02/25/2018, 14:30",3rd Place,Final
bracket,5th Place
North Texas,John Brown,7,6,"02/25/2018, 21:30",5th Place,Final
North Texas,Nebraska,13,10,"02/25/2018, 12:30",Pre-5th,Final
John Brown,Luther,14,13,"02/25/2018, 12:30",Pre-5th,Final
bracket,7th Place
Nebraska,Luther,15,10,"02/25/2018, 02:30",7th Place ,Final
bracket,9th Place
Texas A&M (B),Missouri State,6,15,"02/25/2018, 14:30",9th Place,Final
Texas A&M (B),Rice,15,13,"02/25/2018, 12:30",9th Semis,Final
Saint Louis,John Brown,7,0,"02/25/2018, 19:30",9th Semis,Final
Rice,Colorado-Denver,13,11,"02/25/2018, 10:30",9th Qrtrs,Final
Colorado School of Mines,Saint Louis,13,15,"02/25/2018, 10:30",9th Qrtrs,Final
bracket,11th Place
Rice,Luther,7,0,"02/25/2018, 14:30",11th Place,Final
bracket,13th Place
Colorado-Denver,Colorado School of Mines,15,13,"02/25/2018, 12:30",13th Place,Final
b,r,e,a,k
brackets,Emerge Bracket
bracket,Emerge Bracket
Missouri S&T,Colorado State (B),15,10,"02/25/2018, 02:30",Emerge Finals,Final
Denver,Missouri S&T,10,14,"02/25/2018, 12:30",Emerge Semis,Final
Colorado State (B),Stephen F Austin,12,9,"02/25/2018, 12:30",Emerge Semis,Final
Denver,Tulsa,14,11,"02/24/2018, 22:30",Emerge Qrtrs,Final
Missouri S&T,Kansas State,13,12,"02/24/2018, 22:30",Emerge Qrtrs,Final
Colorado State (B),Central Arkansas,15,5,"02/25/2018, 12:30",Emerge Qrtrs,Final
Stephen F Austin,Oklahoma (B),12,9,"02/25/2018, 05:30",Emerge Qrtrs,Final
Denver,Creighton,15,3,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Tulsa,Hendrix,14,7,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Missouri S&T,TEAM_NAME_NOT_FOUND,1,0,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Kansas State,North Texas (B),15,0,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Arkansas State,Colorado State (B),6,11,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Texas-Dallas (B),Central Arkansas,10,12,"02/25/2018, 10:30",Emerge Pre-Qs,Final
Stephen F Austin,Kansas (B),15,5,"02/24/2018, 20:30",Emerge Pre-Qs,Final
Oklahoma (B),Washington University (B),13,9,"02/25/2018, 03:30",Emerge Pre-Qs,Final
bracket,Emerge 3rd Place
Denver,Stephen F Austin,15,4,"02/25/2018, 14:30",3rd Place,Final
bracket,Emerge 5th
Kansas State,Central Arkansas,9,2,"02/26/2018, 04:30",5th Place,Final
Tulsa,Kansas State,3,15,"02/25/2018, 12:30",5th Semis,Final
Central Arkansas,Oklahoma (B),11,10,"02/26/2018, 02:30",5th Semis,Final
bracket,Emerge 7th
Tulsa,Oklahoma (B),5,15,"02/25/2018, 21:30",7th Place,Final
bracket,Emerge 9th
Creighton,Arkansas State,1,1,"02/25/2018, 14:30",9th Place,Final
Creighton,North Texas (B),12,9,"02/25/2018, 12:30",9th Semis,Final
Arkansas State,Washington University (B),13,12,"02/25/2018, 12:30",9th Semis,Final
Creighton,Hendrix,15,8,"02/25/2018, 10:30",9th Qrtrs,Final
TEAM_NAME_NOT_FOUND,North Texas (B),0,1,"02/25/2018, 10:30",9th Qrtrs,Final
Arkansas State,Texas-Dallas (B),12,1,"02/25/2018, 17:30",9th Qrtrs,Final
Kansas (B),Washington University (B),4,15,"02/25/2018, 10:30",9th Qrtrs,Final
bracket,Emerge 11th
North Texas (B),Washington University (B),0,0,"02/25/2018, 14:30",11th Place,Final
bracket,Emerge 13th
Hendrix,Kansas (B),1,1,"02/25/2018, 14:30",13th Place,Final
Hendrix,TEAM_NAME_NOT_FOUND,1,0,"02/25/2018, 12:30",Pre-13th,Final
Texas-Dallas (B),Kansas (B),0,1,"02/25/2018, 19:30",Pre-13th,Final
bracket,Emerge 15th
TEAM_NAME_NOT_FOUND,Texas-Dallas (B),0,1,"02/25/2018, 21:30",15th Place,Final
b,r,e,a,k
