Midwest Throwdown 2018,College - Women ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Women/CollegeWomen/
Washington University,6
teamInfo,Iron Horse,"St. Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
00,Nina Mantegna
02,Hannah Aaron
04,Sarah Connelly
05,Katie Madden
06,Rachel Dreher
09,Stephenie Wang
11,Miranda Neil
12,Ainsley Tran
15,Alexandria Rutherford
17,Sylvia Snyderman
18,Emily Lawrence
19,Daniela Jimenez
21,Kylie Mink
23,Dorothy Chan
27,Jennifer Smith
31,Allison Murphy
32,Rachel Stockdale
34,Christina Stellwagen
35,Marissa Lerner
37,Mary Hermann
45,Sophia Smith
46,Marisa DelSignore
64,Isabel Shapiro
69,Mahliyah Adkins-Threats
81,Alli Levitas
96,Mina Bozeman
b,r,e,a,k
Kansas,1
teamInfo,Betty Ultimate,"Lawrence, Kansas",modules/common/www.bettyultimate.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
0,Bri Honma
0,Mackenzie Burns
3,Meeli Patel
4,Karley Pearson
5,Zoe Mixon
9,Brandi Schneider
10,Malaina Piyassaphan
11,Jordan Alonzo
13,Camille Curley
14,Sowmya Ragothaman
16,Julia  Blank
17,Sydney Nelson
25,Miriam Delrahim
26,Jordan Eissner
29,Madison Foster
36,Hannah Kroll
42,Haley Williams
49,Heather Fielding Gebhardt
89,Lizzie Stierwalt
94,Julia Roston
99,Sarah Murphy
b,r,e,a,k
Chicago,7
teamInfo,Supersnatch,"Chicago, Illinois",,,https://twitter.com/SnatchSuper
0,Angela Li
0,Daisy Barbanel
0,Gabby Skifstad
0,Caitlyn Tien
0,Kristine McLellan
0,Molly O’Donnell
03,Madison Moore
04,Annie Yang
05,Marta De Giuli
07,Rachel Hildebrand
09,Cassandra Brown
10,Gianna Sparks
11,Ashley Yu
13,Thara Nallamothu
15,Jenny Wang
17,Nancy Cheng
18,Li Arditi
20,Briana Morales
28,Sofia Collins
37,Jessica Hanlon
b,r,e,a,k
Iowa,12
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/pages/Saucy-Nancy-Ultimate/134360866670281,https://twitter.com/SaucyNancyIowa
0,Caroline Meek
0,Claire Meyer
0,Erin McFadden
0,Kelsie Tingle
0,Margaret Norland
0,Greta Larget
8,Brooke O'Hollearn
10,Chloe Malkinson
11,Sarah Kersten
14,Esther Chovan
15,Michele Siamis
16,Mina Rao
20,Rebecca Crown
24,Faradis Lindblom
33,Kaitlin Brooks
35,Alexis Abbeduto
36,Stevie Watts
42,Raleke Hughes
82,Bridget Joers
b,r,e,a,k
Triangle Tourists,8
teamInfo,,"Triangle, North Carolina",,,
coaches,Mike Shyu,Brian Dobyns
0,Logan Boshoff
00,Darcy Boast
00,Ella Brandford
02,Evie LeDuc
06,Jennie Bob Bizal-Clark
08,Clil Phillips
09,Sydney Rehder
11,Dawn Culton
14,Ellen Yu
19,Lanie O'Neill
21,Elizabeth Manturuk
88,Liana Bradley
b,r,e,a,k
Minnesota,2
teamInfo,Ninjas,"Minneapolis, Minnesota",http://ninjawomensultimate.weebly.com,https://www.facebook.com/NinjaWomensUltimate,https://twitter.com/NinjaUltimate
coaches,Patrick Niles,Katie Godfrey
0,Lilly Shapiro
03,Makella Daley
04,Emma Leith
05,Ellie Sjordal 
08,Erin McCann
09,Hannah Wood
10,Michelle Walkup
11,Aarilee  Lorenzen
13,Maggie Peck
14,Emma Jaschke
16,Carolyn Brand
19,Sadie Reding
20,Sofie Fitzsimmons
24,Sumaya Mohamed
26,Margaret Sleeth
30,Louise Beck
31,Lily Kelley
33,Kayla Blanek
37,Hadley Nellis
39,Jessica Halverson
69,Cassidy Krawczak-Kummrow
99,Louise Garfias
b,r,e,a,k
Wisconsin,5
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnaatropa.wordpress.com,,https://www.twitter.com/bdultimate
01,Jackie Welsch
02,Sabrina Hoffman
03,Carly Siewert
04,Vanessa Villasenor
05,Lauren Allin
06,Rachel Knutson
07,Amber Waite
09,Lilly Iverson
10,Caitlin Murphy
12,Kaitlynne Roling
13,Brittney Kokinos
14,Courtney Trescher
16,Molly Berkholtz
17,Lindsey Waite
18,Sarah Mondschein
19,Emily Cohen
20,Helen Walz
21,Emily Jewell
22,Michelle Zaber
24,Camila Flowerman
46,Dominique  Maderal
60,Claire Cech
99,Jane Zheng
b,r,e,a,k
Illinois,11
teamInfo,Illinois,"Champaign-Urbana, Illinois",http://illinoismenace.tumblr.com/,https://www.facebook.com/IllinoisWomensUltimate,https://twitter.com/IllinoisMenaceU
0,Ellie Porath
0,Emely Arroyo
0,Gabrielle Jones
9,Brittney Gorman
02,Amy Copper
12,Brianna Anderson
12,Naomi Gonzalez
13,Monica VanDuyne
20,Shirley Saunders
21,Kelsey Thompson
32,Faith Zou
38,Cora Wessman
55,Natalie Stephan
b,r,e,a,k
Iowa State,3
teamInfo,Woman Scorned,"Ames, Iowa",http://iswomanscorned.blogspot.com/,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
0,Emma Lorenz
0,Emma Hoffman
0,Jillian Olson
5,Megan Halverson
7,Ellen Reed
9,Samantha Kokjohn
14,Taylor Reth
19,Margaret Schnaufer
21,Abby Nissen
22,Nicole Wolf
23,Lauren Meyer
24,Megan Jameson
25,Anna Erickson
27,Grace Carlson
52,Rachel Bates
73,Kaitlyn Christiansen
b,r,e,a,k
Colorado State,4
teamInfo,Hell's Belles,"Fort Collins, Colorado",,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
coaches,Molly Clay,Sarah Pesch
0,Deanna Sadecki
8,Erin Berg
02,Jessica Affolter
04,Nicole Hardesty
05,Hannah Mimmack
06,Jessica  Peterson
09,Kiera Lindgren
13,Elena Gratton
16,Julia Young
17,Sarah Hill
18,Laura McLean
20,Caitlin Tamblyn
24,Elena Donharl
47,Morgan Lester
49,Kaci Cessna
52,Annalee Altenberg
55,Chloe Carlstrom
69,Stevie Shock
81,Sarah Leichty
91,Eva Dunlap
98,Emily Tuckwood
b,r,e,a,k
Northwestern,10
teamInfo,GungHo,"Evanston, Illinois",http://nugungho.com,https://www.facebook.com/NUgungho,GungHoUltimate
01,Olyvia Chinchilla
03,Sara Gnolek
06,Samantha Cohen
07,Sydney Stelzer
08,Grace Goulson
09,Morgan Walker
11,ABBY MATHIER
12,Caitlin Hayner-Slattery
14,Kylie Chesner
15,Martha Dunbar
16,Sarah Kim
19,Anna Scarbrough
20,Corinne Burger
24,Lena Goren
25,Hindeke Tewodros
27,Rachel Anderson
28,Talia Willmert
44,Grace Young
68,Erin Bruns
88,Julia Wilkins
98,Cindy Mei
b,r,e,a,k
St Olaf,9
teamInfo,Vortex,"Northfield, Minnesota",http://vortexultimate.weebly.com/,https://www.facebook.com/VortexWomensUltimate/,https://twitter.com/STOWomensUlti
02,Isabel Sullivan
04,Victoria Knutson
06,Olivia Peer
07,Katie Sherer
08,Haley Challgren
09,Samantha Peterson
10,Amelia Schneider
11,Sarah Willstein 
12,Lauren Johnson
13,Kimberly Nissen
14,Tulsa Douglas
15,Evelyn Wakeley
16,Kaitlyn Mulhern
17,Maggie Truitt
21,Sally  Manninger
22,Aidan Zielske
23,Lise Ramaley
24,Kelsey Halverson
26,Emma Purcell
32,Annika Peterson
41,Marit McQuaig
42,Anna Ruehlow
b,r,e,a,k
Truman State,13
teamInfo,TSUnami Women's Ultimate,"Kirksville, Missouri",http://tsunamiultimate.weebly.com/,https://www.facebook.com/tsunamiultimate/,https://twitter.com/tsunamiultimate
0,Lauren Wiggins
1,Elizabeth Chang
2,Mallory Bell
3,Sarah Kimbrough
4,Anna Sullivan
5,Alexandria Thomas
6,Valerie Kanarowski
7,Emily Royer
9,Ama Idun
12,Brooke Johnson
14,Sarah Finley
14,Mattea Pezza
15,Rita Hanch
18,Allison Jackson
20,Makayla Bindel
21,Kaitlyn Baker
22,Madison Fulte
23,Claire Trumbull
25,Jessica Tiller
26,Mandi Matteucci
27,Katie Bruggeman
28,Emilia Budzowski
33,Kelly Vallal
37,Julia Siebecker
41,Lydia Schuchard
42,Kathryn Ashton
57,Emily Tucker
75,Clare Bolesta
b,r,e,a,k
Northwestern (B),28
teamInfo,GungHo B ,"Evanston, Illinois",,,
0,Caroline Ward
0,Christine Hwang
0,Eileen Herbers
0,Jessica Cohen
0,Sophie Boorstein
5,Alex Sher
13,Hannah Gaertner
17,Emma Hartley
21,Kristen Stuzynski
29,Jade Hostein
65,Ivy Gao
82,Vivian Chen
b,r,e,a,k
Wisconsin-Milwaukee,20
teamInfo,BlackCat ,"Milwaukee, Wisconsin",http://blackcatultimate.org,,https://twitter.com/BlackCat_Women
0,Alexandra LaMere
0,Allison Hinkel
0,Alysa Schulte
0,Emily Kaldenberg
0,Emma Madden
0,Erica Reiners
0,Cailin Ahnen
0,Haylie Craig
0,Lillian Livingston
0,Lydia Olejniczak
0,Rebecca Roderick
4,Taylor Blad
7,Peyton Miller
05,Tessa Mallegni
10,Elizabeth Jacobson
11,Gabi Pazos-Baumann
13,Samantha Hodgson
14,Fiona McGilligan
15,Rose Ricca
19,Bridget Murphy
21,Hayley Smith
27,Kensington Naze
28,Kaitlyn Brunette
72,Grace Litscher
b,r,e,a,k
Tulsa,29
teamInfo,Coriolis Force,"Tulsa, Oklahoma",,https://www.facebook.com/tulsaCoriolis/,
coaches,Tyler Tiger
03,Abigail Chellis
05,Madison Stutler
06,Anna Wentling
07,Shea Metzler
08,Abby Arbas
09,Claire Dang
12,Grace Talmage
13,Julia Bohnert
14,Rachel Deeds
16,Lauren Herrington
17,Jade Johnson
18,Emily Tran
21,Hannah Murphy
30,Karen Cole
42,Kacy Luker
88,Selina Brinkmann
b,r,e,a,k
Drake,21
