Philly Invite 2018 ,Club - Mixed ,7,7,2018
Norristown,PA,2018-07-07,2018-07-08
https://play.usaultimate.org/events/Philly-Invite-2018-/schedule/Mixed/Club-Mixed
Loco,1
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/wcmixed/,https://twitter.com/loco_ultimate
coaches,Daniel O'Connor
0,Beata Artz
0,Ben Crescenzo
0,Christopher Pokorny
0,Declan French
0,Dustin Sullivan
0,Andrew Creighton
0,Ashley Cantasano
0,Elena López
0,Ian Coyne
0,Lindsay McKenna
0,Rachel Crew
0,Rachel Alfano
0,Samuel Esser
0,Sarah Roberts
0,Will Hoehne
3,Austin Lillis
3,Sarah Coyne
6,Jessica Brand
6,Ashwin Pothukuchi
10,Ryan Dealy
17,Eileen Peach French Regan
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
72,Justin Creighton
91,Kenneth Wells
b,r,e,a,k
Sparkle Ponies,9
teamInfo,,"Rockville, Maryland",,,
0,James Anderson
0,James Kirchhoff
0,Joseph Becker
0,John-Paul Moraca
0,Joshua Zinger
0,Katherine Mallory
0,Keerti Goorah
0,LT Tucker
0,Andrew Fine
0,Corrie Willson
0,Maria Packard
0,Matt Williams
0,Paul Butterfoss
0,Paul Corbett
0,Seth Buchsbaum
0,Michaela Gramzinski
1,Grace Alston
10,Bridget Van Fleet
13,Chris Muller
13,Dan Jacobson
20,Lee Langston
20,Myco Paulo
36,Sheila McGraw
37,Max Trifillis
44,Gunnar Olgren
b,r,e,a,k
The Feminists,8
teamInfo,,"New York, New York",,,
0,Chi Hiu Yim
0,Chris Nelson
0,Christina Chin
0,Courtney Remm
0,Cynthia Jones
0,David Vuckovich
0,Eliot Bemis
0,Jan Vanous
0,Alberto Alarcon
0,ANDREW WILKES
0,Anna Meyendorff
0,Brandon Contarsy
0,Kim Tischler
0,Kristie Wong
0,Rebekah Souder-Russo
0,Robert Devoogd
0,Samuel Taylor
0,Sophie Hines
0,Tom Sum
0,Wesley Wong
0,Minerva Muzquiz
5,Peter Gilchrist
24,Brendan Awerbuch
27,Lionel Wininger
31,Julie Paik
33,Luke Wolckenhauer
42,John Geraghty
b,r,e,a,k
Peep Show,16
teamInfo,,"Allentown, Pennsylvania",,,
0,Aaron Mos
0,Chris Hayen
0,Emily Polefka
0,Emma Hillman
0,Janet  Ro
0,Jeffrey Yeager
0,Jessie Mitchell
0,Laine Cravotta
0,Laura VanArsdale
0,Luke Laubscher
0,Matthew Foley
0,Matthew Mos
0,Nathaniel Reiter
0,Stuart Gordon
1,Steven Parker
