Invite Plan B 2015,College - Men ,28,3,2015
Bourbonnais and Manteno,IL,2015-03-28,2015-03-29
https://play.usaultimate.org/events/Invite-Plan-B-2015/schedule/Men/CollegeMen/
Brigham Young,1
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
0,Taylor Caldwell
1,CODY SIMMONS
5,Spencer Hodson
7,CHRISTOPHER (MICHAEL) BJORLING
9,Brad McKeen
10,Ben Olpin
11,ROBERT BODILY
12,Kristopher McIntire
13,Seokhee Burningham
14,Devin Kimball
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
23,Jesse Taylor
24,Patrik Connole
32,Nacody de la Rosa
42,Brayden Connole
55,Wyatt Nethercott
64,Jason McKeen
72,Jordan Hill
99,Dan Doxey
b,r,e,a,k
Edinboro,8
teamInfo,Haggis,"Edinboro, Pennsylvania",,,@HaggisUltimate
00,LEWIS RHINE
00,LUCAS MENEES
01,Max Sheppard
02,Mark  Kozlowski
03,Michael Smith
07,Michael Feroce
09,Yunong (Rock) XIA
15,Rob Perez
18,Matt Zello
21,Rob Kemp
25,Philip Young
32,Steven Mogielski
35,Devin Christian
48,DEREK ORT
92,Dakota Cohen
b,r,e,a,k
Wheaton (Illinois),9
teamInfo,Mastodons,"Wheaton, Illinois",,,
0,Parker Allen
3,Hawken Sawyer
3,ALEXANDER HEIMANN
4,Mitchell McElroy
5,CHRIS BARWEGEN
7,Don Gates
9,Skyler Aspegren
11,Jonathan Hric
13,David Barbalas
15,Alexander Neevel
19,Luke Rynbrandt
20,Laramie Aspegren
22,ALEC FOJTIK
24,Joshua Creedon
34,Colin McLaughlin
42,Steven Rongley
56,Jonathan Oldham
88,Joseph Burley
b,r,e,a,k
Rose-Hulman,17
teamInfo,Elephantitis,"Terre Haute, Indiana",http://www.rose-hulman.edu/ufc/,,
00,BRIAN GREENBLATT
00,Cort Pugh
00,Noah Severyn
00,SETH KIEFER
00,MATTHEW LASH
00,Matthew Gehrich
00,NICHOLAS FRENCH-SEATS
00,JOSH MAURER
00,Robert Larson
00,JOHN PETRY
00,Ryan Evans
00,Michael Hunter
00,Patrick Barr
00,JORDAN MUTH
00,DREW BLANDFORD
46,ALIJAH OCONNOR
b,r,e,a,k
Northwestern (B),16
teamInfo,Bolt,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/BoltUltimate
05,COLLIN BARNWELL
06,William Blackwell
10,Matthew Niemer
15,Will Molter
23,Kevin Russell
25,Jonathan Piech
30,ERIC KLAUS
32,Alex Rubin
32,John Lanuti
35,Patrick Doyle
39,Alex Lin
55,DANIEL SANDERS
66,Arseniy Minasov
77,Ryan Miller
83,Jacob Swan
b,r,e,a,k
Indiana Wesleyan,2
teamInfo,Huck Dynasty,"Greenwood, Indiana",modules/common/iwuultimate.com,https://www.facebook.com/IWUultimate,https://twitter.com/IWU_Ultimate
0,Xavier Payne
0,Derek Anthes
0,Hannah Kleber
0,Michael  Lupinetti
1,Lucas Mendel
2,Zakk Mabrey
5,Nikolas Evans
6,Trevor McMunn
7,CALEB LIGHT
9,Liz DeMoss
12,Nick Martens
13,Derric Gowan
14,Kiana Broadley
15,Matthew Wiegmann
16,Chris Carter
22,Caleb Clendaniel
37,Travis Carpenter
72,Clint Carson
77,Jon Clark
99,Trent Blaser
b,r,e,a,k
Olivet Nazarene,7
teamInfo,Black Penguins,"Bourbonnais, Illinois",http://www.blackpenguinsultimate.com,https://www.facebook.com/pages/Olivet-Nazarene-Black-Penguins/141726015948860?ref=ts&fref=ts,https://twitter.com/blackp3nguins
0,Andrew Lindell
4,Robert Hannah
5,AARON ABRASSART
6,BEN PRINCE
7,RILEY DALE
11,Jaron Parke
13,David Decker
15,Craig Cook
16,Luke Vihnanek
17,JACK SALSGIVER
19,Kellen Lake
21,Nick Schoon
24,John Gargiulo
25,Scott Fischer
28,Will Mims
31,Edwin deWerff
33,Mitch Brummel
36,Zac Carlton
39,Genesis Perez
54,TAYLOR SCHOTT
95,Kevin Siciak
97,Robert Harjo
99,Kyle Fiala
99,Noah Wilson
b,r,e,a,k
St Olaf,10
teamInfo,Berzerkers,"Northfield, Minnesota",,,
2,BRIAN STROINSKI
3,LUKAS LEBENS
4,EVAN WESELMANN
5,IAN WALLACE
7,Rolf Bergford
8,JOSEPH RYNASKO
10,Samuel Brand
11,Benjamin Liska
13,Cole Conner
16,Colin Krueger
17,Nate LeBrun
18,Mark Robinson
21,Alexander Pham
22,Ben Marolf
24,MARCUS EDHOLM
27,DAVID ANDERSON
33,Daniel Bynum
38,ANDREW HOISINGTON
42,Andrew O'Neill
54,MATTHEW GREENE
58,Andrew Lawrence
69,DOMINIC BOWER
71,CULLEN RAASCH
b,r,e,a,k
Notre Dame (B),15
teamInfo,Opus D's,"Notre Dame, Indiana",,,
0,John Lane
0,Sean Graham
0,Quinton Fitzgerald
0,Hudson Ozello
0,JAY MICHUDA
0,Sean Driscoll
0,Ryan Mackey
5,Benjamin Israel
9,Keith (Jacob) Kinnard
14,Andrew McNally
33,Jack Klamer
35,Benjamin Seasly
64,John Szigety
77,Neal Sheehan
87,BRIAN GAOUETTE
88,Franklin Mejia
b,r,e,a,k
Illinois (B),19
teamInfo,Boomland,"Champaign, Illinois",,,
0,Nathan Reid
