Great Lakes Men's Regionals,Club - Men ,12,9,2015
West Chester,OH,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Great-Lakes-Mens-Regionals-2015/schedule/Men/Club-Men/
HIGH FIVE,1
teamInfo,,"Ohio &, Michigan",,https://www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
1,Alex Edinger
2,HAMZA DODO
3,Matt Wilken
4,Nick Hamilton
5,Austin Engel
6,James Highsmith
7,John-Michael Guest
8,JESSE WOHL
9,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
14,Mike Bruce
15,Connor Haley
16,Kevin Coulter
17,NATE BOTTI
19,Paul Arters
20,Eliot Alexander
21,Ben Ayres
22,Michael Dagher-Margosian
23,Benjamin Whiteman
28,Michael Jahn
34,Jesse Buchsbaum
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
Chicago Machine,2
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,Andrew Neilsen
0,Jonathan Helton
01,Craig Poeppelman
02,NICK ZEMAN
04,Benjamin Spielman
05,Noah Backer
07,Brett Kolinek
08,Stephan Mance
10,Von Alanguilan
14,Bob Liu
15,Andrew Sheehan
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
25,Ron Kubalanza
26,Kevin Kelly
27,Travis Carpenter
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
45,Brett Matzuka
51,Andrew (AJ) Nelson
64,Neal Phelps
73,Adrian King
99,George Hughes
b,r,e,a,k
Brickyard,5
teamInfo,,"Indianapolis, Indiana",,,
0,Blake Vanderbush
0,Rick Gross
0,Jason Yoder
0,Nickolas Hutton
0,RYAN FERGUSON
0,Stephen Dickerson
0,Keenan Plew
0,John Jones
0,Samuel Sohn
0,Alexander Hutton
0,SPENCER LOSCAR
0,David Hortemiller
1,Jarod Brock
16,Heath Kalaba
19,Daniel Blanc
22,Chase Hardebeck
22,Kyle Cox
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
48,Levi Jacobs
51,Nathan Page
52,Jacob Phillips
62,Charles Lowe
66,ERIC LEONARD
69,Nick Loughran
91,Eric Johnson
b,r,e,a,k
Smokestack,3
teamInfo,,"Cleveland, Ohio",http://smokestackultimate.com/,,https://twitter.com/CLE_Smokestack
0,DANIEL LEHMAN
0,Tarik Akyuz
0,Erik Lindberg
0,Jonathon Grgat
0,Nathan Buddemeyer
0,Anthony Davis
0,Jason Beffel
0,John Marotta
0,David Picone
0,Jeffrey Brauning
0,Jacob Lunn
1,Shawn McCarthy
3,Daniel Young
3,Steven Her
5,Amir Kaghazwala
6,Matt Woods
6,KEVIN WAYNER
10,Eric Zarobila
12,Dan Sluka
13,Jared VanLandingham
17,Adam Davenport
21,LOGAN VANTREASE
26,Zach Johnston
27,Felipe Delgado
27,Brandon Thomas
34,Daniel Lynch
82,Dutch Kirkman
b,r,e,a,k
Enigma,9
teamInfo,,"Dayton, Ohio",,https://www.facebook.com/pages/Enigma/112703698822469?ref=hl,
02,Evan Wilder
03,CHRIS PICKARD
05,Scott Gay
06,JASMINDER GREWAL
09,Ryan Kindell
10,Chad Gregory
11,Michael Koho
13,Benny Rider
15,Matthew Huntington
17,Andrew Kramer
18,Dillon de Medeiros
19,Samuel Lemmon
20,Alex Stevenson
21,Ryan Krouse
22,Matthew Muhlenkamp
23,CAMERON HEIGHTLAND
25,JAKE EHRLICH
26,Andrew Wiebe
34,Ian Cannon
37,Tony Donato
44,Luke Eastman
54,Avery Moeller
55,Ryan Schubert
73,Adam Luthman
76,Jordan Kinde
77,Eric Shomo
83,Chase Gregory
b,r,e,a,k
Black Market,4
teamInfo,,"Lombard, Illinois",https://youtube.com/BlackMarketUltimate,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
0,JAMES HANSEN
00,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
06,Kevin Cleary
07,Kevin Yngve
08,Johnny Saniat
15,Matt West
16,Kevin DeAngelis
19,Steven Czechowski
22,Brian Rathunde
23,Ryan Smith
24,Dominick Peluso
24,PRAYAG  PATEL
28,Jeremy Piech
29,James Roush
34,Christopher O'Hara
42,Nathan Kinsinger
45,Chris Santiago
57,Max Richards
70,NICK PROZOROVSKY
77,Scott Klein
80,Peter Bennett
82,Kyle Weigand
87,Kevin Bruns
88,Adam Wright
b,r,e,a,k
Beachfront Property,6
teamInfo,,"Chicago, Illinois",,,
0,Alex Birko
0,Milo Korman
0,Michael Wormley
0,Nick Myhre
0,Kyle Sternkopf
0,Michael Ng
0,MICHAEL CALDERBANK
0,Drew Levorsen
0,ANDREW PAUL EDWARDS
0,Jeffrey Spetter
0,Robert Olney
0,Judah Newman
0,STEFAN BREITLING
0,Alex Nimmer
2,MARK MASTRANGELO
5,JAMES TUNNEY
6,Bradley Bolliger
7,Jack Shanahan
10,Robert Lau
12,Jeremy Burril
13,Karl Beck
16,Nick Lindeke
29,Hafeez Shams
33,Wesley Groth
45,Jeff Robinson
63,Zubair Abdulla
81,Michael McCafferty
b,r,e,a,k
Haymaker,7
teamInfo,,"Chicago, Illinois",,,
0,Brian Casey
0,Ian Blanke
0,STEVE MEYER
0,Zach Zebarth
0,Preston Bailey
0,MICHAEL HULBURT
0,Richard Aycock
0,Damen Erf
0,Ricky Chung
0,Max Trotter
0,Robert Geer
0,Ryan Shea
0,Jacob Ward
0,Michael Hanley
0,Willem Longendyke
5,Richard Andy Spencer
11,Cameron Albin
12,Rodrigo Arcibar
13,Kevin Jamieson
17,Rob Greenberg
19,KEVIN KOPROWSKI
24,Andrew Fischer
35,Steven Cummings
47,Dan Kang
54,Alex Stumphauzer
96,Daniel Baker
b,r,e,a,k
Maverick,16
teamInfo,,"Columbus, Ohio",,,
0,KEVIN SMEARSOLL
0,Evan Stahlman
0,Stephen Mckinney
0,Eric Momenee
0,Edward (Ted) Landis
0,Khang Nguyen
0,Dan Urbanek
0,Gregg Vaillancourt
0,Austin Eilbeck
0,John Kammerer
0,Max Heuft
0,Neil Taylor
0,Andrew Farrand
0,Amifred Williams
0,Kyle Bayes
4,Eric Schumacher
6,Ben Krumpelman
7,Cody Fox
12,Alec Mathena
14,Dan  Mrachko
15,Ethan Stahlman
17,Benjamin Reith
19,Marcus Perry
20,Andrew Klarner
98,Mark Jaworski
99,Joey Chiu
99,Kevin Ryan
b,r,e,a,k
Kentucky Flying Circus,8
teamInfo,,"Louisville, Kentucky",modules/common/kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
0,Jason Crowe
0,MICHAEL SENDELBACH
0,Xavier Payne
0,Darin Graves
0,JON LARSON
0,Josh Turner
0,Justin Latz
0,Corey Hardesty
0,Hobart Yeager
0,Aaron Corley
0,Colin Grandon
0,LOGAN HYMAN
2,Alex Hamilton
2,Kendrick Pennington
3,BRIAN PATE
7,Evan Mack
9,Russell Allen
19,Stephen Hendrickson
20,Wesley Haub
34,Eric Brinkman
37,Seth Pierce
52,Kane Olson
76,Tommy Tappel
b,r,e,a,k
Black Market II,12
teamInfo,,"Lombard, Illinois",https://www.youtube.com/BlackMarketUltimate,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
0,Mati Chessin
00,ALEX BISKIS
00,Justin Manuel
03,Michael Armstrong
12,Ben Sabourin
14,ANDY KILINSKIS
15,Jacob Komenda
25,Syed Akbar Jaffery
27,Wilson Wang
32,Nick Johnson
33,Ronald Hensler
35,Jarred Elliott
39,Ross Tuttle
40,Canaan Murray
43,Christopher Pierce
47,Daniel O'Dell
55,SHANE O'FARRELL
61,Juan Amador
61,Yashas Abbott
75,Richard Davis
76,Girolamo S Kelly
79,Jordan Dong
81,Chris Buchta
85,Matthew Lemaitre
91,Bradley Johnson-Bice
95,Zachary Diener
b,r,e,a,k
Pocket City Approach,13
teamInfo,,"Evansville, Indiana",http://www.evansvilleultimate.com/club.html,,
0,Jesse Wyatt
01,Eric Gehlhausen
02,Nathaniel Mull
04,Uriah Alldredge
05,Donald Bhe
06,DREW COLES
07,Nathan Sevenish
12,Andrew Martin
15,DOUG WHEATON
17,Aaron  Costlow
17,Noah Rickelman
18,Kyle Wood
19,Josh Hammett
20,Joseph  Cowser
20,Austin Keller
21,Anthony Goth
24,Nathanael Sparks
28,Ryan Bell
33,Dana Granholm
40,Ryan Fehrenbacher
45,SAMUEL ENGELS
49,Derek Berggren
97,EDUARDO RODRIGUEZ
b,r,e,a,k
Bounty Hunters,14
teamInfo,,"Chicago, Illinois",,,https://twitter.com/BntyHuntersUlti
0,BRIAN PORRETT
0,GRANT BLANKENSHIP
0,Elliott Siu
0,Jeffrey Greenwald
0,Carlton Nelson
0,Mark Hamm
0,Joshua Shamouil
0,Alexander McEachin
4,Ryan Mehaffey
6,BRENT  GUSTAFSON
9,Michael Hamburger
12,Scott Sivright Jr
13,Thomas Williams
23,Jonathan Burrell
23,Alexander Rummelhart
31,Daniel Miller
33,Jakub Jezusek
34,John Lanuti
57,Bif Reiser
82,William Hoover
b,r,e,a,k
Black Sheep,11
teamInfo,,"Bloomington, Indiana",,https://www.facebook.com/blacksheepulti,https://twitter.com/blacksheep_ulti
0,JAKE FRIEDLY
0,David Wang
1,Robert Woodcock
02,Jeremy Davis
03,Clark Barco
05,William Kasprzycki
06,Matthew Johnsen
07,MARK YELLON
11,MACKENZIE CONRAD
12,Zachariah Weldon
15,Zephyr Wenrich
21,KYLE PHEGLEY
22,Hillel Sapir
23,Ryan Opal
30,Walter Kasprzycki
32,Patrick Nieto
42,Jonathan Snider
44,Kye Butler
b,r,e,a,k
Spoiler,10
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/SpoilerUltimate
0,Michael Digiovanni
0,Benjamin Bielajew
0,Robert (Bobby) Moyer
0,Ben Sadis
0,Alexander Gaggino
0,Benjamin Page
0,Anton Loukianov
0,Matt Cornish
0,Alex Barber
0,Travis Compo
0,Henry Tyler
3,MICHAEL LYNCH
7,Jonathan Lee
8,Chenxi Sun
8,CHAD MILANDO
17,Andrew Foldesi
18,David Innis
22,Nathan Adamski
26,Owen Funk
27,Jake Steslicki
38,ANDREW HOISINGTON
41,Daniel Lee
66,Daniel Fonte
74,John Fonte
83,Andrew Curtin
87,Josh Becker
91,Nicholas Simopoulos
b,r,e,a,k
Spin-Itch,15
