TCT Elite-Select Challenge 2015 (Oshadega Invite),Club - Mixed ,11,7,2015
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2015/schedule/Mixed/Club-Mixed
AMP,1
00,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
10,Calvin Trisolini
11,Michael Ing
13,Nico Lake
14,Stuart Hean
15,Max Charles
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Kevin McCormick
22,Allysha Dixon
26,KATIE ERIKSON
33,Katy Stanton
40,Jessica Glazer
44,Owen Murphy
88,Matt Carter
b,r,e,a,k
Steamboat,8
0,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Nicholas Wetzel
05,Ryan Gorman
06,Stephanie Mack
07,Emily Ash
08,Tim Settles
09,Alexander Riahi
10,Jennifer Golan
11,Christopher Misleh
13,Kate McInerney
15,Aaron Bacon
17,Keegan North
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Kendalyn Paulin
27,Christopher Powers
28,Jeff Haney
30,Lucia Derks
31,Kristin Baxter
38,Joe Mozloom Jr
46,Isaac Jeffries
b,r,e,a,k
RUA,12
1,Heather Ayers
2,Emily Hanson
3,Karl Doege
4,Alyssa Shanahan
5,Eric Kearney
6,JACOB PERRY
7,Andrewa Ritchie
9,Victoria Lyda
10,James Cantwell
11,Matt Jackson
12,SIMON JARRETT
13,DANIEL PERL
15,Alexander Brammer
18,Megan Pleshek
21,Chris Brosh
22,HANNAH COLE
23,Kate Pearson
24,ASHLEY PERL
25,JORDAN WHITE
31,Justin Adams
37,Jody Ayers
42,JOSH ANDERSON
54,Olivia Harrington
57,Andrew Dunn
b,r,e,a,k
Omertà,13
00,THOMAS MILLER
00,Ariel Choi
00,Lauren Guzman
00,Samantha Sadlier
00,CASSANDRA WHITFORD
00,MIKE HINZE
00,Jordan Lange
00,Will Hsieh
00,Eric Leppink
00,Meagan Brown
00,MAGGIE  KENNY
01,CASSANDRA SAKAI
13,Jimmy Robin
16,BRANDON TARBET
22,Emily Eddy
23,Cameron Hodgkinson
24,James Sykora
25,Bradley Johnson
26,Patrick Kaufmann
27,Sarah Schram
29,James Kurley
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
71,Marc Furigay
77,DOUG CAPADONA
91,Maggie Paoli
b,r,e,a,k
7 Figures,2
0,Emma Frankel
0,Christopher Feeney
0,Orin Moore
0,Alexa Cohen
0,Peter Zhou
0,Mia Greenwald
