Easterns Qualifier 2015,College - Men ,21,2,2015
North Myrtle Beach,SC,2015-02-21,2015-02-22
https://play.usaultimate.org/events/Easterns-Qualifier-2015/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
coaches,GREGORY VASSAR,Brian Casey
0,John  Wright 
0,GABRIEL FULLER
0,Kevin Mateer
0,Carlton  Rouse
0,JAMES ROYAL
0,MATT MASON
0,Xavier Maxstadt
0,Jason Alexander
0,JAMES HARUM
0,Austin McGrayne
0,Erik Esposto
0,Charlie Lian
0,Jack Williams
0,DANIEL MERCER
0,WILKIN HANAWAY
2,Carl Matysek
3,Cale Ward
6,Kyle Warfel
9,Frederick Hennighausen
10,William Stewart
10,Luke Hancock
18,Grayson Sanner
25,Jake Gallagher
42,Jonathan Callahan
99,PARKER GRISSOM
b,r,e,a,k
Michigan State,8
teamInfo,ARC,"East Lansing, Michigan",http://msultimate.com/,https://www.facebook.com/michiganstateultimate?ref=hl,https://twitter.com/msu_ARC
0,Ian Crane
0,Daniel Stephens
1,Andrew Tang
2,Nate Boddy
5,Braeden Emrick
8,Daniel Brown
9,ERIC GAVIGLIO
10,Blake Seippel
12,Kyle Nussdorfer
13,Tom O'Brien
14,Jay Andreani
16,Matthew Goeman
17,Max Bommarito
18,Charles Robertson
19,David Vanderzee
21,Jake Blankemeier
25,Ryan Yergin
26,Nathan Cottrell
29,Ashton Hoffman
37,EITAN SPIVAK
39,BRIAN WYSS
42,Mohamadou Diatta
69,Jacob Richison
82,Kevin Kern
90,Michael Giles
99,Alex Smith
b,r,e,a,k
James Madison,17
teamInfo,Hellfish,"Harrisonburg, Virginia",,,https://twitter.com/hellfishulti
0,Aaron Bouchard
0,Colin Doescher
0,Christian Bonebrake
0,Garrett Braun
0,Andrew Parnarouskis
2,Bjorn Johnson
3,Cam Barnhardt
6,James Friscia
7,MATT MURPHY
8,William Strauss
17,Kevin O'Malley
20,Kyle Woodward
21,Benjamin Green
25,John Dickerson
28,ABNER REYES
30,Quinn Bergeron
33,Torin Porter
36,Matthew Johnston
52,Ned Sieverts
56,TANNER POST
79,Ryan Ayres
b,r,e,a,k
Emory,16
teamInfo,Emory Juice,"Atlanta, Georgia",,,
0,Greg Bright
0,Pradyumna Singhania
0,WILLIAM GODWIN
0,Ishaan Dave
0,Jeremy Zackon
0,Caleb Parsons
0,Daniel Lor
0,Jonah Adler
0,Hersh Agarwal
0,JACOB WHITACRE
0,Gideon Weiss
0,BENNETT OSTDIEK
0,Bradley Mintz
0,Christian Olsen
0,Elijah Nwefo
0,Christopher Broecker
0,Willie Cobb
9,Zachary Schuyler
16,David Kim
23,Zachary Cole
34,James (Drew) Barkley
57,Randall Miller
69,Michael Mazursky
b,r,e,a,k
Mississippi State,9
teamInfo,Dark Horse,"Starkville, Mississippi",www.msuultimate.com,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/MSU_Ultimate
7,Caleb Turner
06,Jason Case
11,Jon Thomas Williams
12,BENJAMIN LANG
15,Zachary Thomas
25,Jake Brouwer
27,RYAN CROSS
29,Dalton Blakeney
42,HUNTER MARTIN
96,Daniel Gallagher
b,r,e,a,k
Georgia,2
teamInfo,Jojah,"Athens, Georgia",www.jojahultimate.com,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Benjamin Gray,NATHAN KELLEY
0,Vasiliy (Vasia) Mishin
0,Neal Raines
0,John Langstaff
0,Sebastian Di Francesco
0,NATHAN HASKELL
0,RILEY  ERICKSON
2,Joseph Lavine
3,CHRIS ROGERS
4,Aidan Rogers
5,Elliott Erickson
7,Parker Bray
9,Samuel Little
10,Adam Burgess
12,ANDREW BERECZ
13,MICHAEL PETERS
19,RYAN PAPPAFOTIS
20,Derek Cooper
21,Sheryar Ali
23,MATTHEW ROBINSON
28,Tyler Haskell
34,George Summers
38,SOHAUM PAUL
77,Wright (William) Dickerson
82,Sam Batson
87,Gino Mattace
b,r,e,a,k
Virginia,18
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
0,David Maser
0,MICHAEL MALINOWSKI
0,Evan  Hurley
0,JOSEPH URBANEK
0,Owen Robinson
0,Nicholas Kwan
1,JACK CRAWFORD-BROWN
2,MAX MULCAHY
3,NAZZARENO SPURIO
4,Dane Warner
7,HENRY LEGARD
8,Kristopher Harrison
9,PHILIP ADDINGTON
10,JEREMY GOLDEN
11,Richard Young
18,JARED PASETSKY
19,JORDAN ROBARGE
23,Emilio Craddock
24,PATRICK DONOVAN
27,Ethan Schwab
28,ANDREW KAIDEN
33,BRANDON HENTON
35,COLBY ISENBERG
55,GRAHAM SNOW
b,r,e,a,k
Ohio State,7
teamInfo,Leadbelly,"Columbus, Ohio",leadbellyultimate.com,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,Adam Green
0,Neil Taylor
0,Eric Momenee
2,DAN ARTERS
3,KEVIN SMEARSOLL
4,Eric Schumacher
6,ETHAN SPADE
6,AARON COOLMAN
7,Anthony Lokar
7,Cody Fox
8,Zachary Weaver
9,Ryan Kindell
11,HAMZA DODO
14,Dan  Mrachko
15,Ethan Stahlman
17,Ben Krumpelman
18,Amifred Williams
19,Paul Arters
20,Andrew Klarner
23,Benjamin Whiteman
24,JEREMY MOSS
25,Dan Urbanek
35,Mitchell O'Connor
88,Zach Peugh
b,r,e,a,k
Mississippi,10
teamInfo,Xanadu,"Oxford, Mississippi",,,
0,Dillon Hall
0,Chanler  samples
0,Ramsey Salloum
0,EARL KING
0,Brandon Tzib
11,Matthew Riddle
11,Mark Sandefur
14,OMAR YASSIN
18,ANDREW JANSEN
21,Sean Williamson
34,Jason Teng
42,Douglas Caulfield
81,Amit Tzivion
99,JAKE MOORE
b,r,e,a,k
Illinois State,15
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/pages/Illinois-State-Ultimate/223013237713080,https://twitter.com/isugnomes
0,Ricky Ramirez
0,George Van Den Driessche
0,Patrick Pearce
0,Stephen McCracken
0,Jacob Stachewicz
4,Ryan Fitzgerald 
5,JAMES TUNNEY
7,Jack Shanahan
12,Jeremy Burril
13,Karl Beck
16,Kevin DeAngelis
29,Eric Lempa
73,Justin Reeverts
83,BRADLEY CLARK
92,TJ Czop
93,Nick Storter
b,r,e,a,k
Auburn,3
teamInfo,Auburn,"Auburn, Alabama",https://auburnultimate.wordpress.com/,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Chandler Foster
0,Matthew Zheng
0,Robert Alongi
0,James Hershey
0,Jimmie Taylor
0,Jared Waters
0,Jacob Helf
0,Chris Atchison
0,Samuel Murphree
0,Hank Womble
2,Keith Mize
3,Blake Galloway
5,Eric Sjostrom
6,Evan Caldwell
6,Garris Bugg
9,Dustin Register
10,PHILLIP LANGLAND
12,Ryan Landry
21,John Davidson
23,Martin Newman
27,Michael Volz
28,Reid Thackerson
34,ZAC CAIN
35,Clark Missildine
85,Evan Boecking
89,ANDREW MONTGOMERY
b,r,e,a,k
Tennessee,19
teamInfo,Agent Orange,"Knoxville, Tennessee",,,https://twitter.com/TennUltimate
0,CARLTON SEARCY
0,ZACH CARTER
0,Anthony George
0,Alan Pezeshki
0,MITCHELL SHOPE
0,TAYLOR BECKETT
0,Clay Leach
0,Daniel Caplan
0,Matthew Groendyke
0,CHANDLER ALLAN
0,Kevin Dopatka
0,ALEC AFFOLTER
0,ZAC MUSGROVE
2,Mac McClellan
8,Richard Lavosky
9,Christopher Calhoun
12,Phillip Dougherty
16,Joseph Cole
17,Jacob Lambert
22,John Carden
22,Paul Lally
34,Tommy Cianciolo
37,GRANT GIVEN
44,LUKE HUDGIN
47,MICHAEL MASON
70,Earth Reed
b,r,e,a,k
Delaware,6
teamInfo,Sideshow,"Newark, Delaware",,,
0,JAKE HOROWITZ
0,Kyle Weinberg
0,John Maher
0,Joseph Wheeler
1,Charles McCutcheon
2,JOSEPH CARVER
5,Michael Smith
8,Charles Weinberg
9,Robert Kalish
10,SVEN JOHNSON
11,Eric Nardelli
13,Greg Mohler
21,Jonathon Chann
22,Colton Lubaszka
23,DANNY KATZ
26,Mark Frasco
30,Brian McAloon
39,Andrew Skocypec
40,SAM RUDOW
55,Matthew Hale
66,Stephen Cockerill
77,Andrew Schwartz
91,BRIAN GRAHAM
92,ARTHUR ETHGEN
b,r,e,a,k
William & Mary,11
teamInfo,Darkhorse,"Williamsburg, Virginia",http://wmdarkhorse.com/,,WMUltimate
coaches,Geoffrey Horsfield
0,SETH HAGE
0,Henry Trotter
0,John Boyle
0,Zachary Nimmo
0,Nicholas Som
0,Zachary Oppler
1,Luke Hart-Moynihan
2,HENRY TESSIER
3,Benjamin Helm
4,Will Evans
8,KEVIN TOLAND
10,JOSHUA ARMITAGE
16,Patrick So
17,Moussa Dia
17,Tommy Harris
20,Samuel Brecker
22,WILL SWEETSER
23,Thomas  Rosen
26,Matthew Wattendorf
37,ZANDER MEITUS
b,r,e,a,k
Pennsylvania,14
teamInfo,Void,"Philadelphia, Pennsylvania",http://www.dolphin.upenn.edu/ultimate/void/,https://www.facebook.com/groups/2200077065/,https://twitter.com/VoidUltimate
05,Emilie Mohler
06,Doug Roman
08,PETER ARRIAZA
10,Jason Wright
11,PHILLIP CHENG
13,CHRIS LU
18,Connor Boyle
20,Grant Steiger
22,Saran Viswanathan
25,JAMES JANOPAUL-NAYLOR
26,ANDREW BIAESCH
33,Chris Wang
36,David Shields
39,ZACHARY TAYLOR
43,Gabriel Robinson-Barr
99,Neil Brett Zhang
b,r,e,a,k
North Carolina State,4
teamInfo,NCSU Wolfpack,"Raleigh, North Carolina",http://wolfpackultimate.com/,https://www.facebook.com/wolfpackultimate,https://twitter.com/wolfpackultim8
0,Daniel Bayha
0,D. Paul Barnes
0,Wesley Dudas
0,Blaine Taylor
0,Jacob McGoogan
0,Ryan Walden
0,Dyon Vega
0,LUIS MOLINA
0,Jamie Haigh
0,Taylor Waters
0,REED BERGER
0,Mason Gardner
0,Clayton Carey
5,Danny Schmitt
7,Samuel Shearer
10,John Luke Sumerel
12,Jeff Wiltgen
13,ANDREW LOUGHRAN
14,Kiron Allen
15,Daniel Rolando
23,Patrick Cheeves
25,Alec Grusky
26,Troy Miller
34,Davis Mossman
38,Jeffrey Perkins
b,r,e,a,k
Appalachian State,20
teamInfo,Nomads,"Boone, North Carolina",,,
0,Josh Louie
0,MITCHELL HALLORAN
0,Anthony Morlacci
0,Ryan Dolan
0,Daniel Schopler
3,Christian Solberg
3,Ryan  Schanz
8,Benj Thomsen
9,Daniel Hickman
11,Adam Russell
12,Austin Olive
13,Mikko Rich-Voorhees
21,Caleb Louie
21,ERIC CONKLIN
22,NICK SIMPSON
23,Jeff Nordgren
27,KEVIN BYRLEY
33,Jeffrey Colby
47,Alexander Nicholos
52,Michael  McKay
69,WILLIS WOOD
72,ROB SPRANKLE
83,Ian Barry
99,Spencer Colwell
b,r,e,a,k
Washington University,12
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
0,BRENDAN KELLY
0,Nathan Vogt
0,Lucas Christopherson
0,Ben Krupp
0,Ian Bernstein
0,AARON DAVIDOFF
0,JOHNNY HEIN
0,Arman Guerra
1,Evan Karson
2,Josh Rotker
3,Joseph Marmerstein
4,Ryan Sharma
5,Rett Hooper
8,Nathan Stanfield
9,Jared Crane
10,Tony Bumatay
11,Maor Gordon-Guterman
12,Alexander Antrum
13,Akshay Shanker
14,Matthew McElduff
16,Yuval Pearl
17,Evan Wilder
23,Eric Sussman
33,Jeremy Marcus
36,Kelly Caldwell
84,JACOB HESSION-KUNZ
b,r,e,a,k
Georgetown,5
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
0,Logan Willits
0,Houston Parks
5,IVAN ROBINSON
7,Matthew Cullom
01,Matthew Javitt
02,Jacob Marsh
08,Perry Cao
09,MICHAEL WEIL
11,Ismael Elhelbawey
12,John Recchia
13,Nico Lake
14,Jordan Mallen
15,MICHAEL MCGRATH
17,Cooper Joy
19,Anthony Bernard-Sasges
23,ADAM DORKO
24,ALEX LAWRENCE
25,Danie Fain
26,CHARLES PETITPAS
27,Steven Wartinbee
30,Christian Boxley
55,Joshua Tsung
78,HOLDEN CHOI
80,Troy Holland
88,CHARLES ZHOU
b,r,e,a,k
Connecticut,21
teamInfo,UConn Grind,"Storrs, Connecticut",,,https://twitter.com/UConnGrind
0,Alex Jayakar
0,Walter Esker
0,ALEXANDER SHRAGIS
0,Brian Abedon
3,John Friedman
9,Ryan Kennedy
01,Pat Kunkel
02,NICHOLAS SILBART
03,Michael Rice
06,Phil Case
10,Owen Casey
11,Corey Danko
12,MILES RADIN
20,Will Percival
24,CHRISTOPHER POLSON
25,Jake Hansen
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
99,Gavin Clemmey
b,r,e,a,k
Georgia Southern,13
teamInfo,Eagles,"Statesboro, GA, Georgia",gsultimate.com,https://twitter.com/gsultimate,https://twitter.com/GASo_Ultimate%20%20%20
0,Hamilton Mebius
01,James ONeal (Neal) Hollis
02,Zach  Tsang
03,WILLIAM PAPLEACOS
06,Philip Long
07,Zaki Durry
08,Tyler Hedges
10,CARVER WESTENDORFF
12,Blaine Brown
13,ANDREW ROBERTSON
19,Rashad Weeks
20,James Rink
21,Samuel Trent
22,AHMAD WEEKS
25,Andrew Bogle
28,THOMAS SOWELL
31,Jones Durham
34,Christopher Clark
47,Brannon Thompson
69,Sean Huneycutt
74,JAMES NEEDHAM
83,Cardinal Clarke
96,Louis Macuch
99,Dylan Whalen
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
North Carolina-Wilmington,James Madison,15,8,"02/21/2015, 09:00",Pool A,Final
Mississippi State,Emory,6,11,"02/21/2015, 09:00",Pool A,Final
North Carolina-Wilmington,Mississippi State,15,1,"02/21/2015, 10:40",Pool A,Final
Michigan State,Emory,15,4,"02/21/2015, 10:40",Pool A,Final
Emory,James Madison,5,13,"02/21/2015, 12:20",Pool A,Final
Michigan State,Mississippi State,15,10,"02/21/2015, 12:20",Pool A,Final
North Carolina-Wilmington,Emory,15,2,"02/21/2015, 14:00",Pool A,Final
Michigan State,James Madison,15,14,"02/21/2015, 14:00",Pool A,Final
Mississippi State,James Madison,10,11,"02/21/2015, 15:40",Pool A,Final
North Carolina-Wilmington,Michigan State,15,9,"02/21/2015, 17:20",Pool A,Final
pool,Pool B
Georgia,Virginia,15,8,"02/21/2015, 09:00",Pool B,Final
Ohio State,Illinois State,15,5,"02/21/2015, 10:40",Pool B,Final
Illinois State,Virginia,3,15,"02/21/2015, 12:20",Pool B,Final
Georgia,Illinois State,15,2,"02/21/2015, 14:00",Pool B,Final
Ohio State,Virginia,11,13,"02/21/2015, 14:00",Pool B,Final
Mississippi,Illinois State,11,10,"02/21/2015, 16:00",Pool B,Final
Georgia,Ohio State,15,7,"02/21/2015, 17:20",Pool B,Final
Georgia,Mississippi,14,1,"02/21/2015, 17:40",Pool B,Final
Ohio State,Mississippi,10,5,"02/21/2015, 19:20",Pool B,Final
Mississippi,Virginia,9,15,"02/21/2015, 22:40",Pool B,Final
pool,Pool C
Auburn,Tennessee,14,9,"02/21/2015, 09:00",Pool C,Final
William & Mary,Pennsylvania,15,13,"02/21/2015, 09:00",Pool C,Final
Auburn,William & Mary,13,12,"02/21/2015, 10:40",Pool C,Final
Delaware,Pennsylvania,14,8,"02/21/2015, 10:40",Pool C,Final
Pennsylvania,Tennessee,4,15,"02/21/2015, 12:20",Pool C,Final
Delaware,William & Mary,15,8,"02/21/2015, 12:20",Pool C,Final
Auburn,Pennsylvania,15,12,"02/21/2015, 14:00",Pool C,Final
Delaware,Tennessee,11,13,"02/21/2015, 14:00",Pool C,Final
William & Mary,Tennessee,11,13,"02/21/2015, 15:40",Pool C,Final
Auburn,Delaware,12,11,"02/21/2015, 17:20",Pool C,Final
pool,Pool D
North Carolina State,Washington University,12,11,"02/21/2015, 09:00",Pool D,Final
Georgetown,Appalachian State,7,13,"02/21/2015, 09:00",Pool D,Final
Georgetown,Connecticut,13,12,"02/21/2015, 10:40",Pool D,Final
Washington University,Appalachian State,6,13,"02/21/2015, 10:40",Pool D,Final
North Carolina State,Connecticut,13,5,"02/21/2015, 12:20",Pool D,Final
Georgetown,Washington University,7,13,"02/21/2015, 12:20",Pool D,Final
North Carolina State,Appalachian State,13,7,"02/21/2015, 14:00",Pool D,Final
Washington University,Connecticut,14,12,"02/21/2015, 14:00",Pool D,Final
Appalachian State,Connecticut,13,5,"02/21/2015, 15:40",Pool D,Final
Georgia Southern,Connecticut,7,13,"02/21/2015, 16:00",Pool D,Final
North Carolina State,Georgetown,14,13,"02/21/2015, 17:20",Pool D,Final
North Carolina State,Georgia Southern,13,4,"02/21/2015, 17:40",Pool D,Final
Georgia Southern,Appalachian State,5,13,"02/21/2015, 19:20",Pool D,Final
Georgetown,Georgia Southern,13,12,"02/21/2015, 21:00",Pool D,Final
Washington University,Georgia Southern,13,9,"02/21/2015, 22:40",Pool D,Final
b,r,e,a,k
brackets,Sunday
bracket,Championship Bracket
North Carolina-Wilmington,Georgia,17,16,"02/22/2015, 13:00",Championship,Final
North Carolina-Wilmington,North Carolina State,16,14,"02/22/2015, 11:00",Semis,Final
Auburn,Georgia,5,15,"02/22/2015, 07:00",Semis,Final
North Carolina-Wilmington,Virginia,15,8,"02/22/2015, 09:00",Quarters,Final
North Carolina State,Tennessee,15,11,"02/22/2015, 09:00",Quarters,Final
Auburn,Appalachian State,15,13,"02/22/2015, 09:00",Quarters,Final
Georgia,Michigan State,15,5,"02/22/2015, 09:00",Quarters,Final
bracket,5th Place Bracket
Michigan State,Virginia,9,13,"02/22/2015, 13:00",5th Place,Final
Michigan State,Appalachian State,15,9,"02/22/2015, 11:00",5th Place Semis,Final
Tennessee,Virginia,10,15,"02/22/2015, 11:00",5th Place Semis,Final
bracket,3rd Place Bracket
Auburn,North Carolina State,15,8,"02/22/2015, 13:00",3rd Place,Final
bracket,7th Place Bracket
Tennessee,Appalachian State,13,11,"02/22/2015, 13:00",7th Place,Final
bracket,9th Place Bracket
James Madison,Ohio State,5,15,"02/22/2015, 13:00",9th Place,Final
James Madison,Washington University,16,15,"02/22/2015, 11:00",9th Place Semis,Final
Georgetown,Ohio State,12,15,"02/22/2015, 11:00",9th Place Semis,Final
James Madison,Mississippi,15,4,"02/22/2015, 16:00",9th Place Quarters,Final
Washington University,William & Mary,15,11,"02/22/2015, 09:00",9th Place Quarters,Final
Delaware,Georgetown,14,15,"02/22/2015, 09:00",9th Place Quarters,Final
Ohio State,Emory,15,5,"02/22/2015, 09:00",9th Place Quarters,Final
bracket,13th Place Bracket
Delaware,William & Mary,0,1,"02/22/2015, 13:00",13th Place,Final
Emory,Delaware,14,15,"02/22/2015, 11:00",13th Place Semis,Final
William & Mary,Mississippi,15,2,"02/22/2015, 18:00",13th Place Semis,Final
bracket,11th Place Bracket
Georgetown,Washington University,0,1,"02/22/2015, 13:00",11th Place,Final
bracket,15th Place Bracket
Mississippi,Emory,0,1,"02/22/2015, 20:00",15th Place,Final
bracket,17th Place Bracket
Connecticut,Georgia Southern,15,11,"02/22/2015, 20:00",17th Place,Final
Mississippi State,Connecticut,6,15,"02/22/2015, 11:00",2,Final
Pennsylvania,Georgia Southern,14,16,"02/22/2015, 16:00",2,Final
Illinois State,Connecticut,14,15,"02/22/2015, 09:00",1,Final
bracket,21st Place Bracket
Illinois State,Pennsylvania,10,15,"02/22/2015, 11:00",21st Place,Final
bracket,19th Place Bracket
Mississippi State,Pennsylvania,4,11,"02/22/2015, 13:00",19th Place,Final
b,r,e,a,k
