Revolution 2023,Club - Mixed ,8,7,2023
San Francisco,CA,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Revolution-2023/schedule/Mixed/Club-Mixed
LIT Ultimate,1
teamInfo,,"South Bay, California",https://instagram.com/lit.ulti?igshid=MjEwN2IyYWYwYw==,,
0,Benjamin Kato
0,Calvin Jungreis
0,Charlize Tan
0,Allison Doami
0,Andrew Ma
0,Christine Chen
0,Doris Chang
0,Geoffrey Iyer
0,Kelly Tan
0,Krista Holden
0,Roselene  Chen
0,Tristan Johnson
0,Veeral Shah
1,James Yang
6,Myron Loke
13,Jean Tuvilla
16,Nicholas Yun
24,Christopher Hocutt
25,Julia Tang
34,Justin Chang
43,Chloe Li
59,Benjamin Sokolowsky
77,Sheneth BellAlbero
80,Matthew See
b,r,e,a,k
Donuts,4
teamInfo,,"Bay Area, California",http://www.instagram.com/donutsultimate,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
01,Maxwell Tomsick
02,Emily Beck
06,Christina Casler
07,Jonathan Goldsmith
09,Victor Zhou
10,Karen Ying
11,Stephanie Rogers
12,Visakha Hoang
13,Trevor Hawks
14,Jeffro Valeros
16,Thomas Murray
18,Joseph Gagliano
19,Megan Nguyen
21,Alexander You
22,Andrew Ouyang
23,Caylin Gentile
27,Rachel Anderson
28,Katie Palmer
31,Judith Wang
32,Helen Yuan
33,Samantha Hing
53,Matthew Ferrari
64,Marcello Molinaro
77,Alec Surmani
88,Isabelle Deputy
97,Jeremie Gabor
b,r,e,a,k
Hive,5
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Agnes Lee
0,Azen Jaffe
0,Blake Murray
0,Cameron Lamont
0,Crystal Still
0,Jacob Artz
0,Jamie Johnson
0,Jeremy Randolph-Flagg
0,Kim Dorr
0,Lauren Lynch
0,Leo Finley
0,SJ Kim
0,Timothy Wood
2,Colleen Nakanishi
7,Devon Graham
8,Kenzie Wingard
10,Christopher Olson
11,Sebastian  Williamson
14,Haley Bartolomei
18,Ellen Kalenscher
19,Owen Heh
29,Dean Romine
32,Hal Robinson
80,Nathan Braun
98,Martis Artis
b,r,e,a,k
Sunshine,8
teamInfo,,"Bay Area, California",,,https://twitter.com/sunshineult
0,Athena Lynch
0,Chuc Luu
0,Corey Lee
0,Ethan Kleinman
0,Jillian Du
0,Lili Gu
0,Reeve Grobecker
0,Russell Wynne
0,Sam Kanner
3,Margo Urheim
5,Nathan Kwon
7,Zachary Purdy
8,Morgan Sommer
02,Catherine Chen
10,Karl Kingma
13,Robin Anthony-Petersen
14,Keaton Viadro
17,Noelle Nelson
19,Alexander Pan
23,Julia Raney
23,Ryan Messersmith
28,Kelsey Viadro
35,Lucas Dallmann
55,Jillian Magtoto
77,Emily Prader
90,Markham Shofner
b,r,e,a,k
Tower,2
teamInfo,,"Sacramento, California",,,https://twitter.com/towerulti
0,Adam Schobinger
0,Amanda Hesterman
0,Anders Eckburg
0,Connor Levesque
0,Daniela Jimenez
0,Danielle Murray
0,Julianna Madigan
0,Kevin Cocks
0,Logan Hanagan
0,Lucy Campbell
0,Mark Leggio
0,Morgan Morris
0,Rachel Sniderman
0,Sonny Zaccaro
0,Tyler Bacon
5,Nick Shepard
7,Gavin Lawrence
9,Jonathan Martindill
10,Rachel Clarkson
17,April Lu
18,James Nguyen
19,Annie Mills
29,Zack Thompson
30,Megan Schoellhamer
49,Robyn Fennig
95,Brandon Widner
b,r,e,a,k
BW Ultimate,3
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Cullen Coyne
0,Emma Morimoto
0,Gary Dixon
0,Gretchen Berndt
0,Hidemasa Kato
0,James Pollard
0,Jessica Lee
0,Jessie Moore
0,Bettina Chen
0,Cecilia Bao
0,Kelly Liu
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Monica Hsiue
0,Shirley Saunders
0,William Chang
7,Michelle Slaughter
7,Angela Louh
16,John Dugan
23,Vincent Su
27,Aaron Hom
44,Conor Bauman
98,Wyatt Berreman
b,r,e,a,k
American Barbecue,6
teamInfo,,"San Francisco, California",www.abbq.org,www.facebook.com/ABBQfamily/,@ABBQfamily
0,Aaron Kaplan
0,Amelia Farinas
0,Bryce Walsh
0,Connor Stuart-Paul
0,Delilah Masket
0,Elise Bruguera
0,Georgia  Van der Linden
0,Jacqueline Martinez
0,Karen Reyes
0,Kayla Hickey
0,Leila Troxell
0,Leo Jacoby
0,Liam Kreiss
0,Noel Arsenault
0,Rebecca Liebschutz
0,Samuel Du
0,Zach Weiss
0,Zora Ott
0,Myron Liu
0,Nicholas Weiss
5,Christian Cortes
8,Adam Wulkan
16,Jason Seidler
23,Noah Chen
26,Liam Kilbridge
b,r,e,a,k
Cutthroat,7
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Abigail Baier
0,Daniel Wang
0,Kyle Glanzmann
0,Mary Clingerman
0,Megan Farrell
0,Moeses Chavez
0,Natalie Harmor
0,Rachel Block
0,Rodney Wolfgang
0,Spencer Lee
2,R. Miguel Gonzales
4,Pete Marshall
9,Thomas Fiock
12,Daniel Ortiz
16,Savannah Chambers
17,Eric  Nielsen
21,Kathleen Mills
27,Morgan Greenwood
35,Raymond Lopez
44,Giovanni Danforth
b,r,e,a,k
Mango,9
teamInfo,,"San Francisco, California",https://www.instagram.com/mangoultimate/,,
0,Abigail Schuster
0,Alexander Lloyd-Evans
0,Alexi Zalk
0,Charlie Capron
0,Matthew Silverman
0,Michelle Chen
0,Nathaniel Henning
0,Nick Goelz
0,Patrick Sharp
0,Rachel Widner
0,Rebecca Cawkwell
0,Katelyn Mann
0,Lauren Byrne
0,Sara Doyle
0,Simon Senter
0,Sofia Lavrentyeva
0,Taylor Love
3,Aviva Weinbaum
3,Brieana Polk-Perez
6,Andrew Tang
7,Samuel Miles
15,Robert Barron
26,Hannah Barnstone
77,Margaret Eisfelder
79,Dan Dzoan
b,r,e,a,k
Nebula,12
teamInfo,,"Portland, Oregon",,,
0,Ryan Schluter
0,Sierra Gray
1,Max Vogel
3,Natalie Georgitsa
3,Ben Scheiner
4,Michael Hayes
5,Logan Chantelois
6,Kevin Mahr
8,Natalie Powell
9,Elizabeth Ohmer
10,Simon Bilsky-Rollins
11,Becca Reighard
12,Ashley Brown
13,Holly Gibson
14,ANNIE PADEN
15,Morgan Wilbur
18,Jessica Whelan
21,Raju Roleru
69,Leah Kenney
78,Ewan Lang
83,Emmett Williamson
88,Robin Hopkins
90,Samuel Perreth
b,r,e,a,k
Shipwreck,13
teamInfo,,"San Diego , California",,,
coaches,Ash Schwartz
02,Kenneth Magoon
05,Maya Anthony
06,Stephanie Lamb
07,Jack Sarles
08,Sierra Landaiche
09,Courtney Lau
10,Ty Torregrosa
11,Leiasa Horanic
13,Nick Hollon
14,Daichi Siegrist
15,Xuan Feldman
17,Kaya Phillips
18,Sydney Horanic
19,James Rapoza-Lee
21,Marlo Ramada
22,Curtis Kinz
24,Tyler Wallace
30,Sylvia Liang
37,Chip Selden
52,Jasmine Allred
55,Marley Standard
56,Elias Marsh 
64,Charles Boyd
72,George Robert Halvorsen Jr.
82,Liana Lin
b,r,e,a,k
Grit City,15
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
0,Kenneth O'Kelley
01,Nicholas Mahan
02,Hunter Hill
03,Andrew Page
04,Melissa Ostendorf
05,Lydia Carle
06,David Hutchison
07,Zachery Laycock
08,Sarah Ciambrone
09,Zac Nix
10,CB Wolf
11,Nicholas Poolman
12,Veronica Tse
13,Jessica Haga
16,Christina Chelf
22,Maryjo Sampang
23,Ophir Klein
30,Brandon Ishise
31,Traci Leaumont
39,Michael Leaumont
44,Eugenia Prezhdo
45,Alexander Lichtenstein
57,Matthew Ostendorf
b,r,e,a,k
Firefly,10
teamInfo,,"San Francisco, California",www.fireflyultimate.com,facebook.com/fireflydisc,
0,Abe McKay
0,Abigail Karp
0,Amanda Cornfield
0,Anna Sciaruto
0,Anna O'Malley
0,Brenton Kimmi
0,David Adams
0,Erica Messner
0,Gabe Taylor
