Club Terminus 2023,Club - Men ,8,7,2023
Peachtree City,GA,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Club-Terminus-2023/schedule/Men/Club-Men/
Charleston Heat Stroke,9
teamInfo,,"Charleston, South Carolina",,https://www.facebook.com/CharlestonHeatStroke,https://twitter.com/HeatStrokeCHS
0,Cannon Yarborough
0,David VanAuker
0,Hunter Nadeau
0,Blake Paulson
0,Brett Egger
0,Justin Morrison
0,Logan Johnston
0,Matt Hardie
0,Paul Marotta
0,Ryan Saffa
0,Stephen Young
0,Sylvester Norris
1,Nicholas Hocking
3,Adam Bailey
6,Hussain Bhagat
10,Sean Erdenbrack
13,Ryan Wartenberg
18,Oddom Vong
22,Matt Hunt
29,Brian Shonka
37,Wes Copenhaver
b,r,e,a,k
Little Red Wagon,16
teamInfo,,"Atlanta, Georgia",,,
0,Alex Winsness
0,Andrew Chung
0,Brett Virgin-Downey
0,Cole Flournoy
0,DANIEL  PRICE
0,Harrison Coorey
0,Ishaan Dave
0,Jason Evans
0,Michael Price
0,Michael-Angelo Humm
0,Lucas Kim
0,Mac Little
0,Troy Baker
1,Jonathan Su
2,Andrew Thai
5,Javier Pardo
6,Aubrey Roberts
7,Christopher Zuo
8,Samuel Munnis
9,Amatheon Bohan
11,Robert Roper
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
72,Rylan Gordon
91,Matthew Allan
b,r,e,a,k
Lost Boys,1
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Michael Miller
1,Kyle Woodberry
2,Adam Chase
5,Brandon Wider
6,Luke Hatchl
8,Matthew Hogue
10,Colin Sauls
11,Nicholas Headden
12,Johnnie Lynch
13,Tyler Catton
14,Stuart Hughes
15,Corey Bennett
16,Clarence Frady
18,Chris Wilson
23,John Bonas
24,Stephen Trello
29,Daniel Ouk
52,Kevin Halprin
64,Jacob Blackman
81,Deven Riley
88,Cleve Fisher
91,Gerald Renato
b,r,e,a,k
Dyno,8
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Benton
0,Austin Thomas
0,Bryce Rawson
0,Christian Thomas
0,José  Caetano
0,Joshua Ngotiaoco
0,Keir Mitchell
0,Kishan Patel
0,Kody Cotton
0,Michael Burke
0,Stephen Mckinney
0,Zane Tschirhart
2,Derek Rizzi
3,Sachin Zachariah
6,Drew Teachout
8,Victor Ochoa-Lorenzo
14,Matthew Greenberg
15,Richard Bragg
18,Patrick Ufer
21,Andrew Frazer
23,Eric Trollinger
24,Matthew Mills
27,Evan Davies
28,Bryson Bien
42,Eric Gluckman
92,Geoffrey 'Bo' Price
b,r,e,a,k
baNC,2
teamInfo,,"Charlotte, North Carolina",,,
0,Alex Ballentine
0,Ben Simmons
0,Jason Chung
0,Kevin Mateer
0,Kevin Zhang
0,Ransome Martin
0,Samuel Lee
0,Tejas Sivarajakumar
0,Michael Sweeney
0,Nick Talone
1,Hunter Frederick
2,Jerrel Bushel
3,Colin White
3,Diego Collazo
4,Wesley Dudas
9,Frederick Hennighausen
21,Erik Messina
22,Jack Simmons
29,Mason Cary
42,Oliver Vickers Batzdorf
51,Damian Delgado
59,Thomas Yoxsimer
69,Bryce Markel
81,Dylan Lipps
88,Christopher Saacks
92,John Colyer
b,r,e,a,k
Black Lung,10
teamInfo,,"Lexington, Kentucky",,,https://twitter.com/blacklungulti?lang=en
0,Andrew Blair
0,Colin Winter
0,Daniel Swastek
0,David Durrance
0,Jeffrey Durrance
0,Joseph Neuzel
0,Joseph Lindemuth
0,Justin Colon
0,Kendrick Yuen
0,Nathan Riffell
0,Nicholas Riffell
0,Mason Montgomery
0,Matthew  John
1,Adam Houk
2,Tyler Karnes
5,Joshua Wu
8,Nathan Meade
