Stanford Open,College - Men ,4,2,2023
Stevinson,CA,2023-02-04,2023-02-05
https://play.usaultimate.org/events/Stanford-Open/schedule/Men/CollegeMen/
Gold Rush,1
teamInfo,,"San Francisco, California",https://www.bayultimateyouth.org/club-teams,,
coaches,Manisha Daryani,Elijah Kerns,Caleb Merriam
2,Stefan McCall
6,Zen Trejo
7,Otto Koops-Elson
01,Henry Garcia
03,Zach Weiss
09,Raffi Cannon
11,Ryan Weng
12,Ben Brochard
13,Karek Walker
14,Joseph Wolfman
16,Alexander Vu
17,Jason Gutstadt
18,Jadon Finkelor
21,Cole Mires
22,Dylan Nice
26,Raekwon Adkins
31,Jefferson Wright
32,Reggie Masket
41,Dakarai  Palen
81,Drew Vetteth
86,Owen Kuwayti
92,Seamus Shogren
99,LJ Dixon 
b,r,e,a,k
Washington (B),16
teamInfo,Washington B,"Seattle, Washington",,,https://twitter.com/undodgers
7,Max Kinsel
03,Aimon Benfield-Chand
08,Justin Hla
09,Nicholas Wyatt
11,Charles Craemer
12,Ryan Brady
13,Zachary Sanders
14,Gabriel Morris
15,Jonah Lin
16,Tharyn McConnell
21,Garrett Leung
24,Charlie Cai
26,Sam Bolduan
28,Sangbeom Yang
54,Max Gillespie
66,Jake Stevenson
67,Delano Cordova
88,Quinton Yap
89,Quinnan Mack
90,Nathan Trimble
91,Slava Trifonov
b,r,e,a,k
Puget Sound,8
teamInfo,Postmen,"Tacoma, Washington",http://www.upsultimate.com/,https://www.facebook.com/PugetSoundPostmen,https://twitter.com/upsultimate
0,Gabriel Guinn
0,Jeremy Gordon
0,Kevin Cuda
0,David Pearce
0,Sam Robertson
0,Samuel Bequette
0,Thomas Angstadt
0,Monte Razee
03,Alex Rossmeissl
07,Sahaj Olivar
08,Xander  Nobel Rudolph
09,Ben McAuliffe
15,Lawson Hunt
16,Lucas Calaff
20,Chris Nicol
30,Conner Millison
43,Dominick Navarre
51,Kevin Covarrubias
69,Noah Zimmer
88,August Medley
b,r,e,a,k
San Jose State,17
teamInfo,Spartans,"San Jose, California",https://sjsusports.com/sports/ultimate,https://www.facebook.com/SJSUUltimate/,
coaches,Matthew McCormick
0,Billy Lai
0,Christopher Herrera
02,David Tran
03,Micah Ruff
05,Xavier Herrera
08,Joseph Faso
09,Julio Santillan
10,Tyler  Yang
11,Vlad Loktev
12,Jason Huang
14,Jakob  Lail
18,Kevin Camelin
22,Jose Gabriel Solis
23,Sakhin Anooj Selvamani
24,Dominic Sequeira
28,Theodore Bullockus
43,Joshua Fountain
88,Charles Torpey
91,Aryan Saini
b,r,e,a,k
"California State University, Chico",9
teamInfo,Chico State,"Chico, California",,,
0,Jonny Nguyen
0,Robert Blair Blair
02,Dylan Allen
05,Kyle Miller
06,Jack Frantz
07,Gavin Lawrence
10,Benjamin Norton
11,Christian Reinig
18,Samuel Jimenez
19,Brady Brandt
21,Benjamin Laplante
23,Alvaro Robles
35,Ian Diaz
66,Spencer Carr
69,Christian Casarez
83,Gavin Tyler Tilles
83,Milton Diaz
85,Benjamin Santiago-Kemp
87,Saul Mooradian
88,Owen Onatanian
b,r,e,a,k
Santa Clara University,2
teamInfo,SCAB,"Santa Clara, California",,,https://twitter.com/SCABUltiFris
coaches,Ryan Messersmith
0,Liam Reese
5,Peyton Clark
10,Gavin Malone
11,William Bennett
14,Keaton Viadro
15,Skyler Weight
16,Willy Martinez
18,Agustin Pace
20,Mason Gerwig
22,Rowan Olds
23,David Cummings
24,Daniel Flores
27,Jonah Engelmann
29,Miles Falcone
31,Will DeGasparis
33,Ambrose Vellequette
37,Holden Abramonte
41,Declan Bernal
68,Logan Barnes
88,Declan Lavery
99,Zachary Harvey
b,r,e,a,k
Claremont,10
teamInfo,Braineaters,"Claremont , California",https://www.brainsultimate.com/,,https://twitter.com/BrainsUltimate
0,Elias Gradinger
0,Elijah Axt
0,Isaac Hinton
0,Tanveer Singh Chabba
03,Arenaria Cramer
05,Cianan Gamble
06,Cooper Nissenbaum
09,Ezra Marcus-Tyler
12,Will Howard
15,Sloan Senofsky
17,Logan Stouse
19,August Cosinuke
21,William Yik
23,Johnny Russell
31,Sam Fischer
43,Griffin Campion
55,David DAttile
77,Arya Goutam
80,Isaiah Curtis 
87,Ta'ir (Ty) Rocker 
97,Andrew Baxter
b,r,e,a,k
Portland,18
teamInfo,Uprise,"Portland, Oregon",,,
coaches,Timmy Perston
0,Ben Yarrish
0,Brian Parks
0,Elias Marcelino
0,Franz Hafner
0,Jonah Talmadge
0,Kian Craig
0,Aaron Margolis
0,Luke Sage
0,Matthew Boland
0,Pierce Soderquist
0,Remington Reinking
0,Samuel Schwartz
0,Shoji Mori
0,Trent Matsushima
2,Kyle Schraner
7,Matt David
8,Ashton Char
9,Dylan Aubrejuan
12,Luke Anthony Bukikosa
22,Michael  Tang
33,Bryce Manley
51,Charlie DeKlotz
74,Christian Mibach
b,r,e,a,k
Stanford (B),7
teamInfo,Huck Syndrome,"Stanford, California",https://www.instagram.com/stanford_huck_syndrome/,,
0,Declan Murphy Zink
0,Harry Voorhis
0,Kai Fronsdal
0,Mehul Arora
0,Michael Massey
0,Rohan Ranganath
0,William Li
0,Alex Ecker
0,Zijian Luo
06,Colin Schultz
08,Marco Pizarro
10,Zev Granowitz
b,r,e,a,k
California-Santa Cruz (B),15
teamInfo,Ooze),"Santa Cruz, California",,,
0,Daniel Perlov
0,Eetai Shwartz
0,Jackson Friday
0,Jackson Pilisuk
0,Jaisuraj Kaleeswaran
0,Jason Bruni
0,Joe Colonius
0,Joseph Donovan
0,Joseph Finklang
0,Milo Ridenour
0,Peter Van Esch
0,Ryan Nelson
0,Ryan Chapman
0,Shane Stearns
0,Thomas Paff
75,Bodie Shargel
89,Zane Smith
b,r,e,a,k
California-Davis,3
teamInfo,Davis Dogs,"Davis, California",https://davisdogsultimate.weebly.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,https://twitter.com/dogsultimate
0,Aaron Li
0,Aidan McKelvey
0,Alexandro Murillo
0,Cooper Bass
0,Julian Korchin
0,Kaden Brownie
0,Keenan McKelvey
0,Kincaid  Johnson 
0,Landen Sudduth
0,Liam Ginsberg
0,Patrick Hong
0,Peter Reifenstein
0,Reilly Berberian
0,Timo Williamson
2,Gannon Janisch
3,Leo Rapoport
4,Abrahan Cortes
7,Eli Fischberg-Robinson
19,Adam Vera
22,Yahir Mariles Guzman
26,Alec White
28,Ian Morritse
b,r,e,a,k
Occidental,11
teamInfo,Detox,"Los Angeles, California",,https://www.facebook.com/detoxultimate/,
coaches,Reilly Dalleska
0,Aidan Kilpatrick
0,Aidan Trinity
0,Emerson Staley
0,Jack Loudermilk
0,Kaelen Hoseth
7,Emerson Weiss
08,Liam Schedler
10,Ian Terell
11,Cole Lewis
12,Brady Kurad
13,Alex Bukovec
17,Alexander Chiriboga
18,Ari Wigder
22,Levi Trestan
