2023 Southeast Men's Regional Championship,Club - Men ,23,9,2023
Advance,NC,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Chain Lightning,1
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
coaches,William Arnold,Miranda Knowles
2,Hunter Taylor
00,Liam Haberfield
03,Patrick Earles
04,Jeremy Langdon
05,Michael Fairley
06,Brett Hulsmeyer
07,Parker Bray
08,Lukas McClamrock
09,Kenni Taylor
10,Max Thorne
11,Tyler Randall
13,Adam Grossberg
14,John Stubbs
16,Edward Ramsey
17,Hayden Austin-Knab
18,Adam Miller
19,Tannon Hedges
20,Scott Whitley
21,Coleman Tappero
22,Tanner Robinson
26,Christian Gaeta
36,Nick Spiva
42,Francisco Fernandez
44,Mike Kobyra
66,Jan Schmidt
85,Tom Tulett
b,r,e,a,k
Second Nature,14
teamInfo,,"Huntsville, Alabama",,,
0,Brian Bekken
0,Carl Schoenholz
0,Chandler Foster
0,Daniel Bekken
0,Darren Bradley
0,Jacob Kingsford
0,Jere Goldsmith
0,Michael Mobley
0,Robert Alongi
1,Garrett Nix
4,Riley Bong
5,Daniel Downs
14,Tanner Coleman
17,Carson Owen
19,Dominic Kenyon
22,Jonathan Lee
23,Kody Shively
25,Connor Rigby
25,Jake Brouwer
27,Riley Park
34,John Shields
35,Clark Missildine
55,Aaron Aberle
78,Gunnar Etzkorn
84,Denis O'Sullivan
99,Colby Bong
b,r,e,a,k
Delirium,8
teamInfo,,"Kennesaw, Georgia",,,
0,Chase Miller
0,Cole Chanler
0,Cole Krucke
0,Daniel Palladino 
0,Ian Maddox
0,Caleb Myatt
0,Jesus Gonzalez
0,Ryan Hill
0,Sam Rose
0,Sam Batson
0,William Lindquist
0,Zach Brennan
4,Eric Sinkler
7,Jack Stephenson
9,Jacob Dangler
9,Madison Head
10,Evan Marshall
13,Jake Powell
13,Ryan Murphy
14,Ryan Flick
14,Charles Loudermilk
22,Jon Ross Ingley
26,Sam Diffin
62,Ross Barnes
69,Samuel Trent
80,William Fleming
b,r,e,a,k
Little Red Wagon,11
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Chung
0,Alex Liu
0,Cole Flournoy
0,DANIEL  PRICE
0,Ishaan Dave
0,Jacob Slade
0,Jason Evans
0,Mac Little
0,Michael Price
0,Michael-Angelo Humm
1,Jonathan Su
2,Andrew Thai
3,Matthew Knowles
6,Aubrey Roberts
7,Christopher Zuo
8,Samuel Munnis
9,Amatheon Bohan
10,Adam Burgess
11,Matthew Shu
11,Robert Roper
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
72,Rylan Gordon
91,Matthew Allan
b,r,e,a,k
Ring of Fire,2
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
03,Suhas Madiraju
04,Suraj Madiraju
05,Andrew Li
06,Dylan Hawkins
07,John McDonnell
09,Matt Tucker
10,Ben Dameron
12,Liam Searles-Bohs
13,Sean Wiles
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
19,Justin-Cooper Williams
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
24,Noah Saul
25,Rutledge Smith
30,Andrew McKelvey
31,Matthew Rehder
51,Kevin Pignone
76,Trevor Lynch
77,Ben Snell
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Hooch,13
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Zachary Hart
6,Matthew Fazzalaro
01,Ashton HIll
02,Lyle Caballes
03,Sam Merritt
04,Bradley Seuntjens
05,Curtis Landry
07,Daniel Knight
08,Skyler Pitts
11,Johnny Griffing
13,Joseph Griffing
17,"Alexander ""Sascha"" Vogel"
19,Collin Cassidy
21,Kofi Reeves-Miller
23,Collin Hill
25,Robert Hunt
27,Owen Mork
30,Kyle Johnson
33,Edward Stephens
37,Kolbie Carrell
39,Antoine Cava
47,David van Pelt
50,Charles Huff
87,Gino Mattace
88,Luke Cranor
b,r,e,a,k
baNC,7
teamInfo,,"Charlotte, North Carolina",,,
0,Alex Ballentine
0,Ben Simmons
0,Brian Trowbridge
0,Jason Chung
0,Kevin Mateer
0,Kevin Zhang
0,Michael Sweeney
0,Nick Talone
0,Ransome Martin
0,Samuel Lee
0,Tejas Sivarajakumar
1,Hunter Frederick
2,Jerrel Bushel
3,Colin White
3,Diego Collazo
4,Wesley Dudas
9,Frederick Hennighausen
21,Erik Messina
22,Jack Simmons
29,Mason Cary
42,Oliver Vickers Batzdorf
51,Damian Delgado
59,Thomas Yoxsimer
69,Bryce Markel
88,Christopher Saacks
92,John Colyer
b,r,e,a,k
Space Cowboys,12
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,Andrew  Lamberson
0,J Seymour
0,Jack Cioffi
1,Andrew Wetzel
1,Trip Crowley
2,Logan McMillen
3,Andrew Allen
5,Ian Stone
6,Ethan Phillips
7,Austin McCallum
8,Jonathan Brennan
9,Thomas Loar
13,Jacob Luksik
15,Matt Green
18,Jake Barton
19,Kenneth Peters
20,Quentin Fossing
21,David Wingo
22,Caleb  Gunter
24,Lucas Skidmore
31,Tucker McMillen
39,MICHAEL PREUS
44,James Lowell
68,Zac Patterson
79,Patrick Fossing
99,michael hayes
b,r,e,a,k
Raleigh-Durham United,3
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
0,Matthew Nightingale
4,Houston Parks
01,Kirkwood Alex Cloud
03,Myles Grady
05,George Lampron
07,Tobias Brooks
08,Cam Bellando
09,Michael Meilstrup
10,Jacob Louie
11,Wilson Matthews
12,William Coffin
13,Ramzi Cope-Musleh
21,Caleb Louie
22,Luke Duan
28,Ty Naquin
32,Albert Yuan
34,Marcus Rovner
35,Xander Wilcox
42,Sam Gabrielson
44,Dillon Bruer
45,Brett Matzuka
49,Daniel Ferriter
52,Kamron Daftari
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
b,r,e,a,k
Alliance,9
teamInfo,,"Alabama, Alabama",,,
01,Shane  Denman 
03,Tyler  Menix
05,Cam Copeland
09,Lee Thomas
10,Noah Runyan
11,Joseph Sucgang
12,Jeffrey Martin
12,Joshua Bowers
13,Noah Angles
14,Sam Kilgore
17,Devin Kelly
19,Joseph Gilroy
20,Mitchell Parker
21,Matthew Green
23,Joshua Thomas
25,Blake Stratton
28,Reid Thackerson
30,David Allen
31,Andrew Letson
37,Jimmy Herbert
39,Brandon Beers
40,James  Poe
44,Landon Sagle
69,Michael Poe
84,Martin Newman
99,Cross Jenkins
b,r,e,a,k
Cash Crop 2,6
teamInfo,,"Chapel Hill, North Carolina",,,
00,Thomas Harley
00,Thomas Williams
01,Aaron Wei
02,Elijah Danley
03,Tommaso Piccorossi
04,Samuel Redinbo
06,Seth Fried
07,Leonardo Tapia
09,Gage Rogers
10,John Bradley
11,Reed Burkert
12,Bailey Roberts
14,Bodhi Harmony
15,Matti Lee
16,Max Goetz
17,Wesley Britt
22,Josh Singleton
24,Kalen Morrison
25,Jayden Feagans
27,Jason Manning
34,Noah Bush
66,Eli Fried
77,Christopher Humphrey
80,Will Scudder
88,Henry Chen
b,r,e,a,k
Queen City Kings,16
teamInfo,,"Charlotte, North Carolina",,,
0,Avery Dunham
0,Brooks Fleming
0,Daniel Papazian
0,Daniel Eure
0,Daniel Dabnis
0,Erik Kirby
0,Gautam Das
0,Jake Hutchinson
0,Juan Mancera
0,Kartik Sethuraman
0,Matthew Alexander
0,Max Povejsil
0,Sathvik Avulapati
0,Shawn Cook
0,Tyler Lucas
4,Nicholas Lopez
5,Jeffy Joshy
8,Jackson  Dye
11,Timothy Rees
12,Nathan Silvestri
14,Simon Jenkins
16,Jaren Robbins
19,Jordan Knox
24,Parker Shahdad
77,Michael Hultquist
99,George Bumgardner
b,r,e,a,k
UpRoar,4
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,Daniel McNamara
0,David Witte
0,Garrett Knobel
0,Jack  Wisner 
0,Joshua Webb
0,Michael Kromer
0,Quinn Hunziker
0,Ronald Peterman
0,Kyle Krukowski
0,Ryan Thomas
0,Samuel Scherer
0,Thomas Theunissen
0,Thomas Wilkinson III
1,Jacob Clary
2,Matt Ryan
4,Jaime Perez
7,Jarett Cox
7,Ryan Hiser
8,Justin Montalbano
20,Tom Chrzanowski
22,Jacob Lane
37,Caleb Posey
43,Dean Stupar
66,Matthew Mcdonald
69,Stephen Krajeski
96,Ryan Moore
b,r,e,a,k
Lost Boys,10
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Michael Miller
3,Ethan Johnson
5,Brandon Wider
6,Luke Hatchl
01,Kyle Woodberry
02,Adam Chase
07,William Carmichael
08,Matthew Hogue
10,Colin Sauls
11,Nicholas Headden
12,Johnnie Lynch
13,Tyler Catton
15,Corey Bennett
16,Clarence Frady
18,Chris Wilson
22,Matthew Herbst
23,John Bonas
24,Stephen Trello
25,Jacob Brunson
29,Daniel Ouk
36,Alexander Cartledge
52,Kevin Halprin
64,Jacob Blackman
81,Deven Riley
83,Cleve Fisher
88,Gavin Russell
b,r,e,a,k
Tanasi,5
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Ben Anderson
