2023 Men's Northwest Plains Sectional Championship,Club - Men ,9,9,2023
Hartland,WI,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mens-Northwest-Plains-Sectional-Championship/schedule/Men/Club-Men/
Sub Zero,1
teamInfo,,"Minneapolis, Minnesota",http://www.subzeroultimate.com/,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,https://twitter.com/SubZeroUltimate
coaches,Gregory Cousins
0,Brandon Macho
1,Will Brandt
2,Michael Walsh
3,Colin Berry
4,Noah Hanson
5,Jordan Taylor
7,Eric Crosby Lehmann
8,Leo Sovell-Fernandez
9,Sebastian Brauer
11,Will Casperson
12,Gordon Larson
13,Ian Hahn
15,Kristian Johnson
19,Austin King
22,Austin Gin
23,Paul Krenik
24,Aiden  Lomen
25,Matej Petrovic
32,Saurav Dubey
33,Matt Johnson
34,Levi Dohman
44,Malachi Raymond
51,Blake Krapfl
81,Andrew Otterlei
82,Michael (Mike) Petersen
99,Tristan Van De Moortele
b,r,e,a,k
NOMAD,12
teamInfo,,"Edina / St. Louis Park , Minnesota",https://www.nomadultimate.com/home,,
0,Nicholas Quast
0,Parker Knudson
00,Thomas Shope
00,James (Jac) Cullen
01,James Harvey
02,Luke Rubin
03,Ross Krueger
06,Beau Finley 
08,Eli Schmelzer
11,Eli Lessin Burris
13,Connor McKeown
15,Max Muench
17,Aaron Casey-Fix
19,Benjamin Klepfer
21,Mikey Wagner
22,Boden Oelhafen
23,J Calvin Rice-Slothower
31,Ben O’claire
33,Brett Duncan
34,James Briscoe
44,Graham Imholte
66,Clayton Rabe
95,Derek Krueger
97,Owen Mitchell
98,Luke Walsh
99,Jim Shope
b,r,e,a,k
Dinkytown Doughboys,7
teamInfo,,"Minneapolis, Minnesota",,,
0,Akos Konkoly
3,Thomas Donahue
00,Andrew Barnard
00,Benjamin Brauer
00,Brenden Baty
00,Drew Bonnabeau
00,Evan Ellis
00,Gunnar  Mikko
00,Ishaan Lukhey
00,Jackson Cade
00,Jacob Markus
00,Jaxson Baty
00,Jedidiah Pratt
00,John Helgeson
00,Kellen OConnor
00,Kenji Her
00,Kevin Bruns
00,Max  Dehlin
00,Maximilian Dewberry
00,Owen Schigiel
00,Owen Cloutier
00,Paul Liang
00,Peter Helgeson
00,Reese Grailer
00,Theo Mahaffey
b,r,e,a,k
Rubicon Rapids,10
teamInfo,,"Hartford, Wisconsin",,,
0,Derrick Houmey
0,Dylan  Stern
0,James Quinn
0,Matthew Zabawski
0,Miciah Cantrall
2,Vincent Hesprich
8,Jeremiah Cantrall
9,Brian Peller
15,Daniel Pietz
17,Spencer Pischke
18,Samuel Pietz
23,Caleb Gamble
24,Taylor Muth
30,Stephen Cantrall
31,Caleb Hummel
32,Isaac Gamble
35,Eli Baumann
42,Joshua Hummel
88,Dan Hummel
99,Lucas Frede
b,r,e,a,k
THE BODY,16
teamInfo,,"Minneapolis, Minnesota",,https://www.facebook.com/TheBodyMN/,https://www.twitter.com/TheBodyMN/
0,Ben Blahosky
0,Caleb Kugel
0,John Lei
0,Joseph Sheehan
0,Joseph Cregan
0,Josh Hendrickson
0,Joshua Kugel
0,Kyle Smith
0,Luke Bertram
0,Nathaniel Rowe
0,Neil DeVries Smith
0,Jacob Lamont
0,Rahul Polavarapu
0,Willis Ehrler
5,Brendon Sackey
7,Charlie Kiolbasa
7,Kabor Namarra
13,Joshua Kuhn
17,Joe Hendrickson
18,Trevor Day
42,Evan Snyder
42,Carter Genrick
44,Adam Herzuck
77,Patrick Eikens
84,Christian Elmquist
b,r,e,a,k
Mallard,3
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/mplsmallard,https://twitter.com/mplsmallard
coaches,Tyler Smith
0,Joe Bosshardt
1,Adam Meckstroth
3,Simon Mulrooney
7,Erik Aadalen
8,Cash Barber
9,Tom Duret
10,Anthony Jirele
12,Ryan Welch
13,Josh Kautz
14,Michael Kovash
16,William Johnson
17,Mark Roos
20,Blake Trantina
21,Trevor Graham
22,Marco Dregni
23,Alex Tsvetkov
24,Theodore McGowan
27,Jonah Engelmann
30,Becker Mathie
34,Luis Caballero
42,Raheem Ishaque
45,Josh Yira
69,Owen Gin
73,Jordan Wright
77,Alejandro (Alex) Perez
95,Ellis Newhouse
b,r,e,a,k
Knights of Ni,5
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
0,Alex Kraft
0,Alex Kozitza
0,Ashton Robinson
0,Brian LaFrance
0,Cade Ashland
0,Erik Quam
0,Griffin Geving
0,Holden Fahnhorst
0,Jack Dupee
0,Lucas Kempf
0,Matthew Racky
0,Max Wolpert
0,Michael Ruble
0,Patrick La Course
6,Grayson Pangburn
7,Danny Gollin
9,Joe Simonelli
11,Justin Wollin
24,Brendan Gessner
25,Mitchell Allen
26,Sam Resnick
28,Greg Cepuran
41,Samuel Bumsted
44,Ethan Ode
52,Max Lang
74,Jakob Yedo
b,r,e,a,k
Nomads,9
teamInfo,,"Sioux Falls, South Dakota",,,
0,Blake Hagberg
0,Brayden Johnson
0,Cameron Carney
0,CODY PEARSON
0,Connor Hodkinson
0,Cullen Belisle
0,Anthony Lesnar
0,Ethan Mikkelson
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Kyle Murphy
0,Michael Schwaderer
0,Nolan Lee
0,Owen Schweitzer
0,Reese Johnson
0,Samuel Whempner
0,Seth Harris
0,Tye Klinnert
6,Daniel Cabrera
11,Austin Bright
13,Daniel Stork
20,Carter Whalen
24,Gavan Flammang
25,Kyle Orians
84,Aaron Bauer
99,Grant Dunbar
b,r,e,a,k
DCVIII,14
teamInfo,,"Madison , Wisconsin",,,
0,Chase Mecham
0,Connor Taplick
0,Hagan Leeds Richman
0,Hagan Leeds Richman
0,Haoyang Yan
0,Koby Seaborne
0,Logan Derheimer
0,Malek Champion
0,Simi Fadiran
0,Tyler Grim
0,Zachary Cestkowski
4,Ardian Yudawan
7,Devaughntae Wright
7,Griffin Glassel
9,Ronaldo Lopez Vega
13,Ryan Munger
16,Jay Lonetree
26,Saul Diaz
29,Yuhao Wu
31,Andrew McGinley
35,Henry Lyne
42,Nicholas Gueldner
77,Kian Dilweg
88,Kieran Mandli
b,r,e,a,k
Milwaukee Revival,18
teamInfo,,"Milwaukee, Wisconsin",,,https://twitter.com/MKE_Revival
0,Anthony  Om
0,Benjamin Bolz
0,Caleb Sharer
0,Jonathan Snell
0,Josh Lopez
0,Justice Sanders
0,George Kane
0,Jason Moens
0,Max Klessig
0,Noah Kaye
0,Sean Habash
0,William Halm
0,Zachary Artz
3,Denny Malec
19,Evan Frias
28,Kyle Reader
29,Matthew Munson
56,Ryan Laughlin
88,Johnathan Mika
b,r,e,a,k
General Strike,2
teamInfo,,"Winnipeg, Manitoba CA",,https://www.facebook.com/WinnipegGeneralStrike,https://twitter.com/strikeultimate
0,Matthew Pagé
0,Tom Boyle
0,Will Medwick
1,Quinn Wilson
04,Jesse Greenberg
05,Mathew Ladyman
08,Stephen Crew
09,Liam Gutkin
10,Caleb Snider
11,Jeffrey Boris
15,Dylan Kagan
16,Devin Cohen
18,Jack Murray
21,Noah Hoffman
26,Isaac Peterson
27,Cameron Burden
31,Jared Lehotsky
36,Matthew Loxley
67,Nick McFaddin
68,Brayden Nemetchek
72,Jacob Duquette
85,Sam  Peterson
89,Mark Lloyd
92,Jadon Rich
96,Zach Goldberg
98,Quinn Snider
b,r,e,a,k
Bux,8
teamInfo,,"Milwaukee, Wisconsin",,,
00,Donte  Buckingham 
01,Xavier Stein
02,Tafika-Kenan Valhmu
03,Sam Pieper
04,Jackson McCausland
05,Jonny Holstead
06,Leo Ohkerrmann
07,Deng Deng
08,Benjy Keren
09,Patrick LaVallee
10,Nick  Snyder
11,Andrew Ericson
12,Emmet O'Connell
13,Jonathan Schlaefer
13,Jordan Benson
14,Ken Adams
15,Charlie Benforado
23,Gunnar Thompson
24,Justin Stubbe
28,Noah Nicol
41,Jacob Schlaefer
66,Graeme Alexander
88,Brian Benge
98,Troy Roberts
99,Zane Stein
b,r,e,a,k
DINGWOP,11
teamInfo,,"Duluth, Minnesota",,https://www.facebook.com/DingwopUltimate,
0,Tyler McBride
0,Tyler Thomegreene
69,Wyatt Hall
69,Zac Larson
69,Alejandro Christenson
69,Alex Hubley
69,Alex Griswold
69,Andrew Olson
69,Brandon Krekelberg
69,Brandon Wentworth
69,David Huber
69,Diego Umana
69,Garrett Geib
69,Jacob WIlson
69,Johnathan Pratt
69,Kjell Olmanson
69,Kyle DeJesus
69,Luke Howard
69,Nathan Salberg
69,Nick Staudinger
69,Noah White
69,Patrick Andresen
69,Riley Siewert
69,Sam Bates
69,Trent Brunner
