2023 Men's East Coast Sectional Championship,Club - Men ,9,9,2023
Knoxville,TN,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mens-East-Coast-Sectional-Championship/schedule/Men/Club-Men/
Delirium,2
teamInfo,,"Kennesaw, Georgia",,,
0,Chase Miller
0,Cole Chanler
0,Cole Krucke
0,Daniel Palladino 
0,Ian Maddox
0,Caleb Myatt
0,Jesus Gonzalez
0,Ryan Hill
0,Sam Rose
0,Sam Batson
0,William Lindquist
0,Zach Brennan
4,Eric Sinkler
7,Jack Stephenson
9,Jacob Dangler
9,Madison Head
10,Evan Marshall
13,Jake Powell
13,Ryan Murphy
14,Ryan Flick
14,Charles Loudermilk
22,Jon Ross Ingley
26,Sam Diffin
62,Ross Barnes
69,Samuel Trent
80,William Fleming
b,r,e,a,k
Space Cowboys,7
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,Andrew  Lamberson
0,J Seymour
0,Jack Cioffi
1,Andrew Wetzel
1,Trip Crowley
2,Logan McMillen
3,Andrew Allen
5,Ian Stone
6,Ethan Phillips
7,Austin McCallum
8,Jonathan Brennan
9,Thomas Loar
13,Jacob Luksik
15,Matt Green
18,Jake Barton
19,Kenneth Peters
20,Quentin Fossing
21,David Wingo
22,Caleb  Gunter
24,Lucas Skidmore
31,Tucker McMillen
39,MICHAEL PREUS
44,James Lowell
68,Zac Patterson
79,Patrick Fossing
99,michael hayes
b,r,e,a,k
Dyno,10
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Benton
0,Austin Thomas
0,Bryce Rawson
0,Christian Thomas
0,José  Caetano
0,Joshua Ngotiaoco
0,Kody Cotton
0,Matthew Riddle
0,Ravi Kodali
0,Stephen Mckinney
0,Zane Tschirhart
2,Derek Rizzi
8,Victor Ochoa-Lorenzo
14,Lucas Maurer
15,Richard Bragg
18,Patrick Ufer
23,Eric Trollinger
27,Evan Davies
27,Mason Myler
28,Bryson Bien
42,Eric Gluckman
92,Geoffrey 'Bo' Price
b,r,e,a,k
Power Point Ultimate,15
teamInfo,,"Augusta, Georgia",,,
0,Aeden Cummings
0,Alexander Buchanan
0,Trevor Alexander
2,Alex Moses
3,Dante Tollefson
4,Ashton Tucker
7,Adelius Johnson
13,Nathan Massey
13,Samuel Acevedo
14,Cristobal Ibanez
