TCT Select Flight East 2023,Club - Men ,29,7,2023
Columbus,OH,2023-07-29,2023-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-East-2023/schedule/Men/Club-Men/
GOAT,1
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Micheal Kukucska,Patrick Russell
0,David Petsinis
0,Isaiah Masek-Kelly
0,Ryan Poloz
0,Ty Sadler
04,Matt O'Brien
06,Jason  Lam
07,Michael MacKenzie
09,Jaret Meron
11,Jonathan (JJ) Edwards
12,Remi Ojo
13,Iain MacKenzie
14,Marijo Zlatic
15,Luc Comire
21,Geoffrey Powell
26,Bryan Kuo
26,Kelvin Huang
35,Samuel Lewis
41,Keith McRae
43,Andrew Ouchterlony
44,Kevin Jay
55,James Lewis
61,Adam O'Donnell
83,Jason Huynh
92,Adam Turcotte
b,r,e,a,k
Alamode,7
teamInfo,,"San Antonio, Texas",,,
0,Connor Ross
0,Enrique Trejo
1,Skye Knight
2,Justin Shelby
7,Gavin Hart
9,Kevin McGloin
10,Chase Stegall
13,George Tharakan
14,Brody Johnson
16,Jake Johnson
21,Stuart Hanson
23,Jordan Salazar
27,Tat Whitley
27,Keith Register
32,Zain Asher
33,Corey Mika
34,Blake Marlowe
44,David Haeussler
47,John Shelley
69,Christian Paterka
78,Aidan Stevens
81,Jacob Rosen
91,Austin Wehrheim
92,Benjamin Andrade
b,r,e,a,k
Flying Dutchmen,16
teamInfo,,"Columbus, Ohio",,,
0,Aaron Lott
0,Adam Perks
0,Eric Wright
0,Eric Coglianese
0,Jacob Anthuvan
0,Jason Wherry
0,Kenton Lawson
0,Calum Ridenour
0,Lloyd Furuta
0,Lucas Nestor
3,David Braden
4,David Hazlett
7,Brock Stephan
9,Austin Riegel
11,Andrew Thompson
12,Alec Mathena
15,Ben Haywood
15,Nicholas Kaiser
16,Anthony Sanderell
19,Avery Gleeson
23,Kyle Murray
32,Nate Dikeman
72,Shane Spiegel
93,Peter Zhang
98,Brian Griffiths
b,r,e,a,k
Delirium,10
teamInfo,,"Kennesaw, Georgia",,,
0,Chase Miller
0,Cole Chanler
0,Cole Krucke
0,Caleb Myatt
0,Ian Maddox
0,Jack Krugler
