Colorado Summer Solstice 2023,Club - Mixed ,24,6,2023
Boulder,CO,2023-06-24,2023-06-25
https://play.usaultimate.org/events/Colorado-Summer-Solstice-2023/schedule/Mixed/Club-Mixed
shame.,1
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
coaches,Marvin Vuong
0,Joseph Anderson
0,Matthew Russell
0,Sandy Brown
0,Shayna Brock
0,Thomas Brewster
3,Kelcie Glick
8,Lauren Foster
04,Sarah Itoh
09,Sam Goldstein
10,Dani Tran
14,Jade McLaughlin
15,Spencer Tibbs
24,Ethan Peck
25,Marilyn Reich
26,Owen Westbrook
27,Chris Gauen
29,Casey Wu
32,Kevin Johnson
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
52,Nicholas Snuszka
56,Jacob Juszak
88,Kasey Anderson
97,Sarah Pesch
99,Rory Veldman
b,r,e,a,k
Flagstaff Ultimate,8
teamInfo,,"Flagstaff, Arizona",,,
0,Maxwell Sewell
01,Rudy Jimenez
02,Bryan Esmond
03,Alexis Mohler
04,Jake Anderson
06,Jacob Raatz
07,Melissa Huegerich
08,Hannah Volpert-Esmond
09,Dylan George-Sills
10,Ashley Stahl
13,Rebecca Manns
15,Stefanie Nguyen
16,Samantha Myland
17,Mike  Hall
26,Grant Eschmann
31,Kelsey Bradley
34,Trevor Smith
37,Sarah Hoffmann
38,Emma Ressler
42,Joseph Huegerich
44,Jordan Harn
56,Alix Goldstein
69,Kaetlynn Daoust
77,Jen Palmero
96,Joshua Washburn
97,Kaleb Pickering
b,r,e,a,k
Space Ghosts,16
teamInfo,,"Denver, Colorado",,https://www.facebook.com/profile.php?id=100089552481541,https://twitter.com/SpaceGhostsUlti
0,Jesse Rossman
2,Daryl Lewis
01,Adrian Cisneros
03,Macey Sandford
04,Gretchen Mathiason
05,Daniel Schultz
06,Steven Campillo
07,Ryan Liberman
08,Erin Berg
09,Presley Philipp
10,Shane McDevitt
13,Ellen Grimes
14,Colleen Amori
15,CHAD MCCORMICK
16,Russell Yang
17,Jonathan Spencer
19,Betsy Basch
20,ALYXANDRA PAISNER
27,Jeffrey Adams
31,Malea Marxer
43,Matthew Pollard
77,Kaila Lacagnina
89,Camilla Hallin
b,r,e,a,k
Sego,9
teamInfo,,"Salt Lake City, Utah",,,
0,Alicia Seeley
2,Chanel van Ginkel
4,Eugene L'Heureux
6,Iszabella Kemp
6,Parker Bert
7,Ben Hirschman
8,Josiah Peck
9,Kellie Koester
03,Taylor Williams
10,Jacob Jahnke
13,Casstique Williams
16,Caleb Guziak
16,Ben Guthrie
18,Zachary Nebeker
21,David Shum
22,Eleanor Wachtel
23,Kate Corr
25,Aimee Gerold
34,Scott Groux
66,Noah Li
88,Brad Ellis
89,Alejandro Palomino
90,Liz Bunderson
b,r,e,a,k
Kansas City United,2
teamInfo,,"Kansas City, Kansas",,,https://twitter.com/turtleskc
0,Christian Simpson
0,Claire Hackl
0,Clare Frantz
0,Eliza Hutchings
0,Jordan Eissner
0,Lauren Wiggins
0,Madison Fulte
0,Nadine Rowen
0,Sowmya Ragothaman
4,Joe Young
4,Gabriel Valencia
5,Allen Jones
5,Courtney Walbe
11,Thomas Schreiber
22,Travis Pratt
24,Danny Kurz
25,Jessica Tiller
32,Drew Taylor
33,Ryan Tuschhoff
42,David Valentine-Elam
86,Amanda Johnson
b,r,e,a,k
Mile High Trash,7
teamInfo,,"Denver, Colorado",,,
1,Jack Hinchsliff
05,Son Nguyen
09,Charles Cannon
10,Tristan Weber
12,James Shanahan
13,Hill Balliet
16,Abigail Thorpe
17,Zane Barber
19,Jonathan Costello
20,Arielle Nelson
21,Fern Beetle Moorcroft
21,Will McDonald
22,Allysha Dixon
23,Annie Mei
24,Megan Jameson
27,Tyler Nguyen
28,Austin Gould
29,Haley Sanner
30,Jonathan Stirk
31,Courtney Ngai
34,Ingrid Petterson
51,Max Hamilton
69,Bristol Lovoy
77,Janie Mockrish
84,Hallie Dunham
b,r,e,a,k
Green Chiles,10
teamInfo,,"Denver, Colorado",https://www.instagram.com/greenchilesultimate/,,
0,Ana  Prada
0,Anna Lockwood
0,Ben Whitman
0,Cate Brady
0,David Ball
0,Emma Boyd
0,Hannah Paborsky
0,Harper Ellsworth
0,Ian Whitman
0,Madison Asher
0,Matt Cornish
0,Matt Slowinski
0,Max Cormier
0,Rachael Reddin
0,Sarah Fee
0,Shane Abeshaus
0,Tabetha Ridgway
0,Timothy Brady
0,Kelly Moses
3,Paloma Oteiza
7,Joseph Oaks
17,Will Eckert
21,Alison Brzostowicz
27,Ginie Kwan
37,Laurel Baker
99,Brandon Mestnik
b,r,e,a,k
The Strangers,15
teamInfo,,"Westminster, Colorado",,https://www.facebook.com/TheStrangersUltimate,
0,Alyssa Strickler
0,Bekah Richard
0,Brooke McKelvey
0,Catherine Smith
0,Dalton Chaffee
0,Mitch Lindsey
0,Morgan Colacone
0,Randall Waymire
0,Sam Martinson
0,Scott Harris
0,Stephen Cholvat
0,Tessa O'Donnell
0,Don Nguyen
0,Elizabeth Smith
0,Ellie Stanish
0,James Smith
3,Hannah Dryke
4,Dana Jefferson
6,Brenden Fischer-Femal
17,Thomas Parry
23,Michael Richard
25,Craig Johnson
52,Jackson Danley
55,Chloe Carlstrom
84,Alison Haddad
b,r,e,a,k
Love Tractor,3
teamInfo,,"Denver, Colorado",,https://www.facebook.com/lovetractorultimate/,https://twitter.com/love_tractor
coaches,Wesley Williams
0,Ella Crowley
0,Ellie Hasenohr
03,Maggie Chen
04,David Protter
07,Robin Fassett-Carman
08,Cole Wallin
10,James Cantwell
11,Heather Kraft
14,Michael Fielden
16,Hilary Walker
17,Shannon Reid
21,Julia Longinotti
22,Jesse Roehm
24,Hilary Egan
27,Lukas Nesheim
29,Matt Gleason
30,Steven Pearlman
32,Michelle Yang
33,Eric Hubbard
34,Henry Konker
35,Britta Bergstrom
44,Joel Ives
66,Akane Kleinkopf
83,Zachary Nager
88,Wil St. Charles
97,Megan Kenny
b,r,e,a,k
Impact,6
teamInfo,,"Wichita, Kansas",,https://www.facebook.com/ImpactUltimate/,https://twitter.com/ImpactUltimate
2,Tanner Lee Gesell
01,Kez Gesell
03,Dustin Dye
06,Amanda Baker
07,Brittany Parks
09,David Jochems
10,Carissa  Dye
11,Anna Christensen
12,Charity Felton
13,Angela Reimer
14,Kiana Broadley
16,Ellane Bergen
18,Samuel Mehan
19,Joel Hampton
21,Reid Christensen
22,Isaac Blick
24,Ryan Dornbusch
33,Cody Rebholz
37,Jake Reimer
42,Westen Gehring
46,Noelle Wickham
51,Isaac Entz
81,Patrick Loganbill
86,Emily Beeson
88,Abigail Ned
88,Jayne Roberts
b,r,e,a,k
Karma,14
teamInfo,,"Tucson, Arizona",,,
0,Darrien Dorr
0,Dylan Cobean
0,Evangeline Erickson
0,Hannah Youngwirth
0,Hayden Pfaff
0,Holt Newton
0,John Priest
0,Joseph Lindsay
0,Luna Falk
0,Nicholas Arnaud
0,Abigail Lindsay
0,Amy Swartz
0,Nicholas Huttsell
0,Rebecca Hildenbrand
0,Rebekah Rossman
0,Russell Knox
0,Stephen Sobansky
0,Taylor Hicks
0,Tyler Crockett
3,James Weinstein
12,Christine Miller
32,Philip Kletzli
35,Nicholas Bontrager
60,Joe Sobansky
b,r,e,a,k
Springs Mixed Greens,11
teamInfo,,"Colorado Springs, Colorado",,,
0,Cari Hanrahan
00,David Sun
00,Emily DeYoung
00,Emily Buford
00,Adam Sandstedt
00,Adam Neu
00,Ashley Gitchel
00,JULIANNA YAHN
00,KATRINA COX
00,Mabon Russo-Way
00,Ryan Seay
00,Serena Muser
00,Xander Shenberger
03,Raymond Palazzo
05,Trevor Corsello
10,Jennifer  Bullock
11,Alex Bullock
13,Jeno Saghi
13,Paul Norgaard
22,Patience Russo-Way
27,Heidi Heckel
41,Cara Utesch
42,Ryan Benitez
42,Sam Valesano
43,Gregory  Benavidez
74,David Jensen
b,r,e,a,k
California Burrito,4
teamInfo,,"San Diego, California",https://www.instagram.com/california_burrito_ultimate/,,
0,Abe Shklar
0,Alistair McIntyre
0,Anders Ruden
0,Casey Shugarman
0,Catherine Trevino
0,Catherine Lindeman
0,Christina Debowski 
0,Elliott Eve
0,Emma Ellefson-Frank
0,Ethan Li
0,Mazden Mastromauro
0,Peter Osseward
0,Theresa Zettner
0,Tim Klacik
0,Vincent Liang
0,Julia McIntyre
12,Neha Vaingankar
15,Jessica Wan
16,Lauren Stuart
18,Emma Smith
21,Nicole Love
23,Zoe Tessler
29,Nolan Schmalenberger
49,Denika Hallin
b,r,e,a,k
Flight Club,5
teamInfo,,"Denver, Colorado",,https://www.facebook.com/FlightClubUltimate/,https://twitter.com/flightclubult
coaches,Madison Olesen
0,Ryan Meinkoth
00,Madison Boyd
03,Michael Armstrong
04,Alex Walsh
05,Stephen Lin
06,Alex Flamm
07,John Stavinga
08,Daniel Leo Hogan
10,Anna Zucchero
12,Benjamin Godwin
13,Linda Jencyowski
14,Jennie Wainer
15,Ellie Wood
16,Lucia Wei
17,Claire Simpson
22,Caroline McKee
27,Andrew Muller
30,David Yu
31,Marianna Malin
32,Rachel Stockdale
33,Holly Webb
37,Mackenzie Timbel
44,Nicholas Wetzel
85,Zachary Radcliff
92,Hannah Filley
99,Michael Faaborg
b,r,e,a,k
Sin Nombre,13
teamInfo,,"Albuquerque, New Mexico",,,
0,Elizabeth Zoe Hosmer-Dillard
0,Karly Phillips
0,Mikolangelou Roura
0,Phanny Herman
0,Steven Eckert
0,Victor Shen
2,Trent Spencer
3,Joelle Bobinsky
6,Jason Denning
8,Duncan Norwood 
10,Ariana Gutierrez
10,Tram Le
11,Caitlin Turberville
11,Jacob Stewart
12,Aspen Shafer
13,Mikayla Sanchez
19,Riley McCarthy
22,Madison Shields
22,Nathan Drumm
48,Sean Timm
69,Hunter Gibson
80,Ryan Wortman
83,Laura Carr
96,Cassara Higgins
96,Derek Belka
99,Alan Hsieh
b,r,e,a,k
Mesteño,12
teamInfo,,"Denver, Colorado",bluehorseultimate@gmail.com,https://www.facebook.com/mestenoultimate,@MestenoUltimate
0,Augy Cohn
0,Becca Wainess
0,Brian Moore
0,Caleigh Moore
0,Jessica Brisbois
0,Jimmy Wiesbrock
0,Christine Kamin
0,Lillian Caldwell
0,McKenzie Grace
0,Meagan Fairchild
0,Meredith Mason
0,Michael Stowe
0,Nicole McDaniel
0,Philip Walker
0,Steven Trenfield
0,Trent Cooper
10,Matthew Olah
10,Hilliard Chesteen
19,Teal Dabney
21,Megan Vanderhooft
24,Chandler Shelton-Swenson
29,Matthew Dirkes
30,Matthew Sabin
31,Jordan Chen
92,Kyle Follmer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
shame.,Sego,15,2,"06/24/2023, 09:00",Pool A,Final
Flagstaff Ultimate,Space Ghosts,13,12,"06/24/2023, 09:00",Pool A,Final
shame.,Space Ghosts,0,0,"06/24/2023, 10:45",Pool A,Scheduled
Flagstaff Ultimate,Sego,0,0,"06/24/2023, 10:45",Pool A,Scheduled
shame.,Flagstaff Ultimate,0,0,"06/24/2023, 12:30",Pool A,Scheduled
Sego,Space Ghosts,0,0,"06/24/2023, 12:30",Pool A,Scheduled
pool,Pool B
Kansas City United,Green Chiles,0,0,"06/24/2023, 09:00",Pool B,Scheduled
Mile High Trash,The Strangers,0,0,"06/24/2023, 09:00",Pool B,Scheduled
Kansas City United,The Strangers,0,0,"06/24/2023, 10:45",Pool B,Scheduled
Mile High Trash,Green Chiles,0,0,"06/24/2023, 10:45",Pool B,Scheduled
Kansas City United,Mile High Trash,0,0,"06/24/2023, 12:30",Pool B,Scheduled
Green Chiles,The Strangers,0,0,"06/24/2023, 12:30",Pool B,Scheduled
pool,Pool C
Love Tractor,Springs Mixed Greens,15,3,"06/24/2023, 09:00",Pool C,Final
Impact,Karma,15,4,"06/24/2023, 09:00",Pool C,Final
Love Tractor,Karma,0,0,"06/24/2023, 10:45",Pool C,Scheduled
Impact,Springs Mixed Greens,0,0,"06/24/2023, 10:45",Pool C,Scheduled
Love Tractor,Impact,0,0,"06/24/2023, 12:30",Pool C,Scheduled
Springs Mixed Greens,Karma,0,0,"06/24/2023, 12:30",Pool C,Scheduled
pool,Pool D
California Burrito,Mesteño,14,7,"06/24/2023, 09:00",Pool D,Final
Flight Club,Sin Nombre,13,7,"06/24/2023, 09:00",Pool D,Final
