Huck Finn,College - Men ,1,4,2023
O'Fallon,IL,2023-04-01,2023-04-02
https://play.usaultimate.org/events/Huck-Finn1/schedule/Men/CollegeMen/
Washington University,1
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
0,Christopher Heron
0,Ethan  Zhang
0,Evan Tompkins 
0,Ian Grochocinski
0,Jake Hyman
0,Mitchell Oldham
0,Noah Kaller
1,Noah Stovitz
3,Cameron Freeman
6,Bennett Schwartz
7,Sam Schwartz
8,Joel Brown
9,Nicholas Jeschke
10,Zachary Kahn
13,Wilson Tryon
15,Jacob Tindall
17,Dylan Plemper
24,Seth Fisher-Olvera
25,Benjamin Deppen
28,Elie Weitzman
33,Nicolas Sprague
35,Benjamin Reimler
36,Jakob Ayala
44,David Higuchi
77,Nicolas Rios
81,Nate Ackerman
88,Cole Segal
99,Oliver Every
b,r,e,a,k
Emory,4
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
coaches,Matthew Shu
0,Andrew Huang
0,Austin Chuang
0,Ben Campion
0,Dean Damon
0,Jacob Sencer
0,Jason Evans
0,Ethan  Wesselkamper
0,Harrison Coorey
0,Josh Gelfond
0,Kaicheng Chen
0,Ki Greene
0,Lucas Kim
0,Miguel Urena
5,Justin Burnett
9,Nolan Baxendell
18,Sreekar Bommireddy
20,Ammon Longenecker
21,Isaac Gittleman
22,Warren Chang
25,Justin Davis
26,Jesse Rider
37,Elias Heanue
69,William Dougherty
81,Joel Lee
89,Jordan Leslie
95,Reed Karman
b,r,e,a,k
Cincinnati,5
teamInfo,Bearcats,"Cincinnati, Ohio",,,https://twitter.com/UCUltimate
coaches,Joel Houmes
0,Andrew Potter
0,Aurius Calloway
0,Bradley Caldwell
0,brayden Spencer
0,Fraser Wetton
0,Joe Wilkie
0,Robby Fitzgerald
0,William Sheridan
7,Nihaal Sidhu
9,Jake Blue
10,Calvin Caldwell
12,Kyle Bates
13,Justin Murdick
14,Dermot Fox
19,Nate Montgomery
24,Jalal Sylvester
26,Zachary Belegrin
28,Michael Bruggeman
29,Yuhao Wu
47,Maximillian  Humbert
48,Ryan Grabowski
54,Nick Miller
69,Sam Moushey
69,Tyson Neff
74,Matthew Bruggeman
b,r,e,a,k
Notre Dame,8
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Aidan Vogel
0,Andrew Canzano
0,Brian Wagner
0,Jacob Hepler
0,Jonathan Henry
0,Matthew Capps
0,Sean Miranda
