Heavyweights 2023,Club - Men ,8,7,2023
Aurora and Montgomery,IL,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Heavyweights-2023/schedule/Men/Club-Men/
Nomads,9
teamInfo,,"Sioux Falls, South Dakota",,,
0,Anthony Lesnar
0,Blake Hagberg
0,Brayden Johnson
0,Cameron Carney
0,CODY PEARSON
0,Connor Hodkinson
0,Cullen Belisle
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Kyle Murphy
0,Michael Schwaderer
0,Nolan Lee
0,Owen Schweitzer
0,Reese Johnson
0,Samuel Whempner
0,Tye Klinnert
0,Zach Andersen
0,Ethan Mikkelson
0,Ezekiel (Ziggy) Nunez
6,Daniel Cabrera
13,Daniel Stork
20,Carter Whalen
24,Gavan Flammang
b,r,e,a,k
Colonels,1
teamInfo,,"Louisville, Kentucky",https://louisvilleultimate.org/,https://www.facebook.com/colonelsfrisbee/,https://twitter.com/colonelsfrisbee
0,Elliot Hawkins
0,Joe Wilkie
7,Nathan Sevenish
02,Daniel Alpiger  
03,Ryan Fehrenbacher
08,Andrew DePuy
11,Daniel Harrison
16,Nathan Davis
18,Amal Patel
24,Jared Payne
25,Justin Rankin
31,Bradley Kennis
33,Nick Galbreath
43,Nathan Stippler
59,Jonathan Gerth
60,Corey Hardesty
69,Drew Happe
72,Benjamin Landry
73,Noah Rickelman
91,Matthew Wilhite
93,Richard Murt
b,r,e,a,k
MKE,8
teamInfo,,"Milwaukee, Wisconsin",mkeultimateclub@gmail.com,https://www.facebook.com/MKEUltimate/,https://twitter.com/MKE_ultimate
0,Abraham Frolichstein-Appel
0,Jack Loomis
0,John Wall
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Kyle East
0,Patrick Guarasci
0,Peter Kuenzle
4,Reid Lancaster
7,Samuel Dirks
13,Glenn Kaboskey
14,Alex Martinich
14,Jackson Seltzer
15,Jack Dipaolo
17,Elias Magallanes Jr.
19,Ryan Waller
24,Jack Drolen
39,Francis Nuguid
b,r,e,a,k
UFO,17
