Southeast Club Men's Regional Championship 2021,Club - Men ,2,10,2021
Bermuda Run,NC,2021-10-02,2021-10-03
https://play.usaultimate.org/events/Southeast-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
Ring of Fire,1
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
8,Terrence Mitchell
01,Justin Allen
02,Seth Weaver
04,Suraj Madiraju
05,Ben Dameron
07,Jonathan Nethercutt
10,Henry Fisher
11,Ryan Osgar
12,Liam Searles-Bohs
14,Dillon Lanier
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
26,Allan Laviolette
28,Jack Williams
30,Andrew McKelvey
43,Marcus Rovner
50,Matthew McKnight
52,Connor Russell
76,Trevor Lynch
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Right Coast,10
teamInfo,,"Wilmington, North Carolina",,,
00,Alex Bleuzen
00,Caleb Avery
00,Christopher Nelson
00,Colby Francfort
00,Cole Feltman
00,Colin Hines
00,Dasan Bender
00,Ethan Ylizarde
00,Jack Liebling
00,Jacobb Murphy
00,James Thomas
00,Jesse Thornton
00,Jup Patel
00,Kameron Williamson
00,Kevin Huerta
00,Lukas Becker
00,Luke Merrill
00,Michael Richards
00,Owen Maskelony
00,Pablo Velosa
00,Patrick Grossheim
00,Quinn Garner
00,Rafael Hopf
00,Ryan Watson
00,Santiago Velosa
b,r,e,a,k
Swarm,15
teamInfo,,"Oxford, Alabama",,,https://twitter.com/OxfordSwarm
0,Immanuel drew
0,Seth Newton
8,Duncan Carville
00,Jason Russell
01,Shane  Denman 
03,Tyler  Menix
06,James Myatt
07,Matt Williams
08,Cam Copeland
09,Donald Quinones
10,Wesley Carr
12,Kennith Taylor
13,Noah Angles
14,Nathan  Carr
16,Max Goldsmith
17,Stuart Hughes
21,Brantley Bargerhuff
22,Caleb Myatt
23,Joshua Thomas
24,Jacob Whitmire
25,Brett Prill
27,Tiernan Whytock
39,Jarrett Swanson
88,Thomas O'Donnell
99,Tanner Coleman
b,r,e,a,k
Rush Hour ATL,8
teamInfo,,"Atlanta, Georgia",,,@rushhouratl
0,Alec Powers
0,Cole Flournoy
0,Dylan Whalen
0,Ishaan Dave
0,Jacques Perivier
0,Kiran Potula
0,Krishan Chib
0,Sam Diffin
0,Samuel Trent
3,John Boezi
5,Brendan McCluskey
5,Thomas Rink
6,Raymond Jia
7,Zaki Durry
9,Amatheon Bohan
11,Jackson McHugh
12,Andrew Chung
14,Luke Anderson
20,Carter Tegen
30,Austin Hegmon
33,Devon Rogers
42,Jon Fey
72,Rylan Gordon
82,Michael Price
91,Matthew Allan
b,r,e,a,k
Chain Lightning,2
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
coaches,Miranda Knowles,Timothy Stapleton,Timothy Martin
0,Bobby Ley
0,Edward Ramsey
0,Karl Ekwurtzel
0,Tanner Robinson
2,Austin Taylor
3,Andrew Roney
4,Player Pierce
5,Michael Fairley
6,Aidan Downey
6,Brett Hulsmeyer
7,Parker Bray
8,Patrick Dougherty
8,Christian Olsen
10,Benjamin Gagne-Maynard
11,Kelvin Williams
14,Jakeem Polk
14,John Stubbs
17,Hayden Austin-Knab
18,Adam Miller
26,Christian Gaeta
69,Bradley Seuntjens
80,Antoine Davis
81,Joseph Burns
87,Trenton Spinks
88,Matthew Smith
b,r,e,a,k
Lost Boys,7
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Jonhenry Allen
0,Michael Miller
1,Trip Crowley
6,Kyle Woodberry
05,Carter Hayes
07,William Carmichael
08,Matthew Hogue
11,Nicholas Headden
12,Johnnie Lynch
16,Clarence Frady
17,Christopher Church
18,Chris Wilson
22,Thomas Nye
24,Stephen Trello
25,Jacob Brunson
26,Brandon Wider
27,Joseph  Cammarata
29,Daniel Ouk
30,"Alexander ""Sascha"" Vogel"
36,Alexander Cartledge
41,Andrell Caldwell
45,Lukas McClamrock
64,Jacob Blackman
66,Robert Gunshefski
81,Deven Riley
88,Andy Larsen
b,r,e,a,k
UpRoar,9
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
9,David Witte
01,Richard Miller
03,Tim Lootens
05,Robert Anderson
07,Dylan O'Connor
09,Dario Milano
11,Mitchell Blanchard
12,Paden Hestorff
15,Corey Bennett
20,Yale Lin
22,Jacob Lane
24,Michael Gray
27,Anthony Gutierrez
28,Josh McKisic
32,Joey Lisko
37,Caleb Posey
43,Dean Stupar
45,Bryan Redden
60,Thomas Wilkinson III
66,Matthew Mcdonald
67,Nicholas Dahms
69,Stephen Smith
74,John Fonte
85,Cody Coates
88,Matt Chandler
b,r,e,a,k
Tanasi,3
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
01,Brendn Swam
02,James Russnogle
03,Zack Avello
04,Jeremiah Branson
05,Neil Place
06,Alex Stevenson
07,Jacob Lipford
08,Brian Newsom
09,Javier Ortiz
10,Jared Beazley
11,Ethan Baughman
12,Bryan Sansbury
16,Colin Flowers
19,James  Poe
21,Carson Chamberlain
22,Ridge Carter
23,Matthew Smith
24,Fletcher Hare
25,Andrew Geisel
27,Aaron Hazen
28,Cody Havens
29,Jordan Hennessy
32,Nicholas Amendolare
54,John Lithio
64,Bryan Sandidge
97,Vasili Doan
b,r,e,a,k
El Niño,6
teamInfo,,"Oakland Park, Florida",http://elninoultimate.com,,https://twitter.com/ElNinoUltimate
0,Charles Lieberman
0,Jason Warley
0,Jigo Lontoc
0,Louis Nagle
2,Charlie Smith
3,Robert Dennis
5,Samuel Good
10,Byron Fang
11,Christian Luneburg
11,Colton Steiner
12,Travis Catron
13,Alan Hancock
15,Wes Geisenberger
20,Anthony Lopez
21,Anish Indhupuru
22,Edwin Sanchez
22,Jeremy Langdon
23,Jacob Larsen
23,Michael Fioramonti
30,Bradford Capuozzo
33,Alex Jacoski
34,Thomas Stollar
39,Alex Warters
85,Jorge Delgado
95,Luis Paz
99,Carlos Nunez
b,r,e,a,k
Barefoot,13
teamInfo,,"Tupelo, Mississippi",,,
0,Jacob  Cook
0,Jason Price
0,Steven McDonell
2,Connor Norris
3,Travis Castleberry
5,Jonathan King
6,Thomas Beam
9,Sam Stoop
04,Daniel Rhea
07,Lee Kleyla
10,Paul Ballard
12,Luke Hatcher
13,Stephen Rhea
15,Zach Pitts
17,Robert Coltharp
18,Trey  Leonard
27,Justin Hare
31,Brad Brashier
50,Michael Hinze
50,Jon Hall
60,Gregory Howe
86,Timothy Lewis
b,r,e,a,k
Bash Bros,12
teamInfo,,"Cary, North Carolina",,,
00,Adam Luthman
00,Alex Davis
00,Andrew Tong
00,Aston King
00,Charlie Muniz
00,Chris LeBlanc
00,Christian Forde
00,Dylan Shields
00,Eamon Horrigan
00,Ian Pratt
00,JD Rust
00,Jimmy Holtzman
00,Joshua Connelly
00,Kavinayan Sivakumar
00,Kerry Green
00,Kevin Stroud
00,Kiah Wells
00,Michael Hultquist
00,Paul Wynkoop
