Southwest Club Mixed Regional Championship 2021,Club - Mixed ,2,10,2021
San Bernardino,CA,2021-10-02,2021-10-03
https://play.usaultimate.org/events/Southwest-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Polar Bears,4
teamInfo,,"Bay Area, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
0,Shane Earley
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
06,Qingyun Lu
07,Charles Cao
08,James Pollard
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Keaton Viadro
16,Vincenzo Vitiello
17,Margot Stert
19,Jason Shnipes
22,Andrew Ouyang
23,Ryan Messersmith
24,Allyson Tsuji
25,Jonah Malenfant
33,Molly Hallweaver
36,Sara Nolan
37,Paige Applegate
42,Matt Jaffe
52,Samantha Applegate
73,Kristen Pojunis
b,r,e,a,k
Lawless,3
teamInfo,,"Phoenix, Arizona",,,
coaches,Harrison Schwarzer,Mark Borger
0,Andrew Kohl
0,Caden Sigerud
0,Carl Morgenstern
0,John Patinella
0,Joshua Kohl
0,Mark Mendelevitz
0,Merideth Byl
0,Nathan Bridges
0,Ryan Lacy
0,Ryan Irvin
0,Seam Ham
7,Cynthia Thomas
8,Helen Eifert
8,Shelby Petty
00,Megan Maxfield
00,Jordan Harn
05,Dakota Lippincott
11,Melissa Dunn
12,Christopher Bernard
18,Jamie Eriksson
19,Zac Petty
22,Lindsey Doyle
24,Benjamin Lacy
29,Marshall Crawford
49,Jake Hadziev
51,Kay Powell
b,r,e,a,k
Lotus,1
teamInfo,,"Los Angeles, California",,,https://twitter.com/LALotusUltimate
0,Alexandra Diaz
0,Amy Halvorsen
0,Avery Jones
0,Bryan Nguyen
0,Jake Coleman
0,Kelli Iwamoto
0,Maggie O'Connor
0,Nathan Warden
0,Rebeca Ellis
0,Sharon Tseng
0,Stephanie Pritchard
2,Daniel Oettinger
4,Amy Lee
12,Leo Kitchell
14,Lu Wang
16,Jorie Moore
20,Brandon Nadres
23,Steven Wick
30,Walter Kasprzycki
39,Chris Mazur
40,Veronica Yee
42,Edwin Finley
43,Kevin Goldberg
84,Jesse Cohen
91,Grant Boyd
97,Katie Killebrew
b,r,e,a,k
California Burrito,2
teamInfo,,"San Diego, California",https://www.instagram.com/california_burrito_ultimate/,,
00,Aaron Coble
00,Abe Shklar
00,Anders Ruden
00,Ava Hanna
00,Benjamin Eto
00,Blair Messner
00,Catherine Trevino
00,Christina Debowski 
00,Dan Hunt
00,Ethan Li
00,Jessica Wan
00,Jordan Denecour
00,Kristine Mendoza
00,Kylie Shen
00,Lauren Hanna
00,Lauren Stuart
00,Leslie Willis
00,Mazden Mastromauro
00,Michael Noblett
00,Nolan Schmalenberger
00,Peter Osseward
00,Steven Brooks
00,Tim Klacik
00,Vincent Liang
00,Yana Rose
00,Zoe Tessler
b,r,e,a,k
Donuts,8
teamInfo,,"Bay Area, California",modules/common/wearedonutsultimate@gmail.com,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
02,Scott Miller
06,Christina Casler
07,Jonathan Goldsmith
08,Adam Koren
10,Annie Chen
12,Visakha Hoang
13,Trevor Hawks
15,Marissa Lerner
16,Thomas Murray
18,Joseph Gagliano
20,Jennifer Thomas
22,Karin  Lin
23,Caylin Gentile
27,Rachel Anderson
28,Judith Wang
34,Christina Stellwagen
37,Daniel Zakaria
48,Christopher Lung
53,Matthew Ferrari
55,Kwai Philpott
58,Jaclyn Wataoka
64,Marcello Molinaro
68,Juleon Robinson
77,Alec Surmani
94,Sarafina Angstadt-Leto
97,Jeremie Gabor
b,r,e,a,k
Classy,5
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
1,Matthew Zelin
2,Ashwin Anantharaman
6,Claudia Vasquez
7,Joseph Ricks
8,Justin Hinman
9,James Sheridan
10,Andrew Koerner
11,Zachary Bruno
14,Arianna Aldebot
15,Zhimin Xie
16,Sarah Kaufman
17,Sheila Robles
18,Cappy Pitts
19,Crystal Alton
20,Melissa Hassler
21,Anne Hemmelgarn
23,David Shipway
24,Camila Flowerman
30,Jeremy Kharrazi
31,Tim Records
32,Christy Cheung
43,Philip Chang
55,Tyler Condit
75,Riley O'Neill
82,Joel Anton
98,Janelle Lee
b,r,e,a,k
Mischief,6
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
0,Alexi Zalk
0,Anna MacNaughton
0,Beth Daviess
0,Brett Petersen
0,Claire Toth
0,Cody Kirkland
0,Connie Chan
0,Cory Fauver
0,Devin Drewry
0,Gina Schumacher
0,Jordan Jeffery
0,Julia Ting
0,Julia Kwasnick
0,Kyle Johnson
0,Lily Steponaitis
0,Mac Taylor
0,Max de Visser
0,Piers MacNaughton
0,Robin Meyers
0,Vicki Chen
5,Matthew Crawford
14,Sean Childers
18,Nicholas Alexander
25,Han Chen
32,Vivian Chu
96,Patricia Anderson
b,r,e,a,k
Mango,10
teamInfo,,"San Francisco, California",,,
0,Jake Rifkin
0,Matthew Kissmann
0,Michael Dirda
0,Michelle Chen
2,Jack Lyon
3,Brieana Polk-Perez
7,Emily Paris
10,Sarah Tenpas
11,Tom Nudell
12,James (Jim)  Boley
15,Robert Barron
16,Thomas Konogeris
16,Katelyn Mann
17,Noelle Nelson
19,Rebecca Plotnick
23,Lauren Byrne
24,Jamie Lam
25,Kathryn Stoltz
27,Audrey Love
29,Eric Shaw
30,Nick Goelz
42,Taylor Love
44,Alexander Lloyd-Evans
66,Stephen Cockerill
87,Charlie Capron
99,Amanda Karakoudas
b,r,e,a,k
LIT Ultimate,16
teamInfo,,"South Bay, California",,,
0,Sam Kunz
01,Brian Bedord
02,Sophey Dong
03,Adele Zawada
04,Emily Loo
05,Kosuke Hasegawa
06,Geoffrey Iyer
07,Angela Louh
10,Nick James
11,Jade Bedley
12,Rebecca Culver
15,Joseph Barker
20,J Ishida
21,Nicole Love
23,Julia Raney
24,Christopher Hocutt
25,Sophie Chen
32,Myron Loke
34,Justin Chang
41,Yvonne Cheng
43,Chloe Li
47,Adam Koehler
59,Benjamin Sokolowsky
77,Sheneth Bell
78,Mauricio Bell'Albero
86,Jordan Seaberg
b,r,e,a,k
Cutthroat,9
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Aaron Nunn
0,Becca Reighard
0,Daniel Wang
0,Devin Mitchell
0,Eliza McCall
0,Justine Habibian
0,Monica Davis
0,Natalie Harmor
0,Rebecca Mills
0,Rodney Wolfgang
0,Sage Kruleski
2,R. Miguel Gonzales
3,Logan Greenwood
4,Pete Marshall
9,Thomas Fiock
10,Ryley Hill
12,Ryan Takayama
12,Daniel Ortiz
13,Brent Moore
21,Kathleen Mills
24,Krista Takayama
27,Morgan Greenwood
27,Evan Kerr
44,Giovanni Danforth
94,Ryan Schoenfeld
b,r,e,a,k
Robot,12
teamInfo,,"Santa Barbara, California",,,
0,Andrew Lorentson
0,Andrew Kirchhoff
0,Emre Boz
0,Hannah Stepanek
0,Holly Ragan
0,Joy Kang
0,Kalin Hanson
0,Leilani Borrego
0,Sarah Conn
0,Steven Moliterno
0,Tom Drtina
11,Connor Cusi-Asquith
12,Trung Pham
12,Risa Lewis
19,Ann Lee
27,Kelsey McClung
42,Ben Durfee
52,Erick Lankey
99,Joel Conn
b,r,e,a,k
Family Style,13
teamInfo,,"Los Angeles, California",,https://www.facebook.com/FamilyStyleUltimate,https://twitter.com/playfamilystyle
0,Avalon Igawa
0,Ben Ben Hirschman
0,Caitlin OBara
0,Cheryl Lee
0,Corey Howard
0,Ellen Ebat
0,Eric Owens
0,James Ivey
0,Jason Lee
0,Kelsey Turner
0,Madeline Spolin
0,Rebecca Velez
0,Sean Gai
0,Sophie Havranek
0,Thomas Lin
09,Chelsea Baldemor
11,Emily Ash
11,Hudson Stuck
14,Andrew McRae
18,Devin Feigelson
20,Adam Paicely
35,Valentin Post
42,Bryan DeVore
46,Sarah Kibler
48,Alex Rubin
77,Greta Becker
b,r,e,a,k
Calamity,14
teamInfo,,"Tempe, Arizona",,,
0,Abbey Estrada
0,Ashley Stahl
0,Georgia Sullivan
0,Joe Nolan
0,John Dupee
0,Kelsey Bradley
0,Leah Jameson
0,Lisa Diethelm
0,Nathan Brodie
0,Sabrina Roberts
0,Sierra Ross
2,Micah Gross
3,Ryan Blackman
8,Elijah Salmon
9,Dylan George-Sills
12,Ethan Gaiser
13,Trevor Harper
17,Taylor Van Oosbree
30,Michael Simeone
35,Caleb Lundeen
38,Emma Ressler
39,Noelle Kiesz
42,Christopher Sowards
42,Michael Nassief
55,Adam Wiechman
89,Adam Whitton
b,r,e,a,k
Flagstaff Ultimate,11
teamInfo,,"Flagstaff, Arizona",,,
0,Dawson Peters
0,Emily Francia
0,Jia Xie
0,Melissa Huegerich
02,Bryan Esmond
03,Michael Ising
07,Alexis Mohler
09,Mariana Lopes
10,Caitlin Winterbottom
12,Chip Chang
13,Kari LaPlante
16,Samantha Myland
17,Erin Donahue
18,Eric Bay
25,Rachel Kalnbach
26,Patrick Kaufmann
29,Mike  Hall
32,Bradley Cislo
42,Joseph Huegerich
51,Dustin Doyle
55,Brad Wylam
69,Kaetlynn Daoust
77,Jen Palmero
96,Joshua Washburn
99,Drake DenHartog
b,r,e,a,k
BW Ultimate,7
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Gary Dixon
0,William Chang
01,Jacqueline Lee
03,Matthew Yee
06,Xia Liu
07,Michelle Slaughter
09,Melissa Slaughter
10,Cullen Coyne
12,Jeff Roeder
14,Hidemasa Kato
15,John Dugan
16,Max Herrmannsfeldt
17,Monica Hsiue
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
25,Bernadette Hsu
26,Christopher Leung
30,Rachel Roberts
35,Lucas Young
36,Pin-Wen Wang
43,Bettina Chen
73,Sarah Pihl
85,Benjamin Petroski
88,Jordan Gatti
b,r,e,a,k
American Barbecue,15
teamInfo,,"San Francisco, California",modules/common/www.abbq.org,modules/common/www.facebook.com/ABBQfamily/,@ABBQfamily
0,Abigail Schuster
0,Abigail Lew
0,Alex Pien
0,Ashwin Vaidyanathan
0,Brandon Kwock
0,Cidney Weng
0,Elise Bruguera
0,Elizabeth Clark
0,Gabriel Miranda
0,Isabel Clayter
0,Jacqueline Martinez
0,Karen Reyes
0,Liam Kreiss
0,Mathilda Farrell
0,Molica Anderson
0,Nicholas Weiss
0,Noel Arsenault
0,Samuel Sohn
0,Solan Israel-Megerssa
0,Sydney Horanic
5,Elliot Goodrich
7,Andrea Brown
8,Chenxi Sun
11,Glenn Wysen
15,Audrey  Sheehy
16,Jason Seidler
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship Bracket
bracket,1st Place
Polar Bears,Lawless,9,15,"10/03/2021, 11:00",1st Place,Final
Lotus,Polar Bears,9,15,"10/02/2021, 13:10",1st Place Semis,Final
Lawless,California Burrito,15,4,"10/02/2021, 13:10",1st Place Semis,Final
Lotus,Donuts,12,6,"10/02/2021, 11:20",1st Place Quarters,Final
Classy,Polar Bears,8,13,"10/02/2021, 11:20",1st Place Quarters,Final
Lawless,Mischief,13,9,"10/02/2021, 11:20",1st Place Quarters,Final
Mango,California Burrito,7,13,"10/02/2021, 11:20",1st Place Quarters,Final
Lotus,LIT Ultimate,11,9,"10/02/2021, 09:30",1st Place Prequarters,Final
Cutthroat,Donuts,10,13,"10/02/2021, 09:30",1st Place Prequarters,Final
Classy,Robot,13,7,"10/02/2021, 09:30",1st Place Prequarters,Final
Family Style,Polar Bears,5,13,"10/02/2021, 09:30",1st Place Prequarters,Final
Lawless,Calamity,13,3,"10/02/2021, 09:30",1st Place Prequarters,Final
Flagstaff Ultimate,Mischief,5,13,"10/02/2021, 09:30",1st Place Prequarters,Final
BW Ultimate,Mango,11,13,"10/02/2021, 09:30",1st Place Prequarters,Final
American Barbecue,California Burrito,8,13,"10/02/2021, 09:30",1st Place Prequarters,Final
bracket,2nd Place/Game to Go
Polar Bears,Lotus,15,9,"10/03/2021, 13:00",Game to Go,Final
Lotus,California Burrito,15,11,"10/03/2021, 11:00",2nd Place Semis,Final
Mischief,Lotus,11,13,"10/03/2021, 09:00",2nd Place Quarters,Final
Classy,California Burrito,13,14,"10/03/2021, 09:00",2nd Place Quarters,Final
Cutthroat,Mischief,5,13,"10/02/2021, 15:00",2nd Place Pre-Quarters,Final
Classy,Donuts,13,12,"10/02/2021, 15:00",2nd Place Pre-Quarters,Final
Mango,Cutthroat,10,11,"10/02/2021, 13:10",2nd Place Round 2,Final
Mischief,Family Style,13,9,"10/02/2021, 13:10",2nd Place Round 2,Final
Classy,Flagstaff Ultimate,13,11,"10/02/2021, 13:10",2nd Place Round 2,Final
Donuts,American Barbecue,13,8,"10/02/2021, 13:10",2nd Place Round 2,Final
LIT Ultimate,Cutthroat,9,12,"10/02/2021, 11:20",2nd Place Round 1,Final
Robot,Family Style,8,9,"10/02/2021, 11:20",2nd Place Round 1,Final
Calamity,Flagstaff Ultimate,5,13,"10/02/2021, 11:20",2nd Place Round 1,Final
BW Ultimate,American Barbecue,9,11,"10/02/2021, 11:20",2nd Place Round 1,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,5th Place Bracket
Classy,Mischief,13,12,"10/03/2021, 11:00",5th Place,Final
bracket,7th Place Bracket
Donuts,Cutthroat,12,14,"10/03/2021, 09:00",7th Place,Final
b,r,e,a,k
pools,Placement Pools
pool,9th-12th
American Barbecue,Family Style,12,9,"10/03/2021, 09:00",9th-12th,Final
Flagstaff Ultimate,Mango,15,10,"10/03/2021, 09:00",9th-12th,Final
American Barbecue,Mango,10,12,"10/03/2021, 11:00",9th-12th,Final
Flagstaff Ultimate,Family Style,15,9,"10/03/2021, 11:00",9th-12th,Final
American Barbecue,Flagstaff Ultimate,7,9,"10/03/2021, 13:00",9th-12th,Final
Family Style,Mango,4,5,"10/03/2021, 13:00",9th-12th,Final
pool,13th-16th
BW Ultimate,Robot,11,10,"10/02/2021, 13:10",13th-16th,Final
Calamity,LIT Ultimate,10,13,"10/02/2021, 13:10",13th-16th,Final
BW Ultimate,LIT Ultimate,14,10,"10/03/2021, 09:00",13th-16th,Final
Calamity,Robot,9,13,"10/03/2021, 09:00",13th-16th,Final
BW Ultimate,Calamity,15,7,"10/03/2021, 11:00",13th-16th,Final
Robot,LIT Ultimate,13,14,"10/03/2021, 11:00",13th-16th,Final
b,r,e,a,k
