Stanford Open 2024,College - Men ,3,2,2024
Stevinson,CA,2024-02-03,2024-02-04
https://play.usaultimate.org/events/Stanford-Open-2024/schedule/Men/CollegeMen/
Gold Rush,1
teamInfo,,"San Francisco, California",https://www.bayultimateyouth.org/club-teams,,https://twitter.com/GoldRushU20
coaches,Manisha Daryani,Elijah Kerns,Caleb Merriam
0,Nirel Barthelom
1,Henry Garcia
2,Stefan McCall
4,Ronan Mai
5,Oscar Mendelson
6,Zen Trejo
7,Jasper Graf
8,Nicolas Rusa
10,Lewis Parkinson
11,Ryan Weng
16,Alexander Vu
17,Reggie Masket
18,Nathan Levy
19,Maksim Zykov-Chisholm
19,Sarek Mallareddy
21,Cole Mires
22,Jadon Finkelor
23,Lane Mires
24,Gabriel Lloyd
31,Jefferson Wright
32,Zulqarnain Sheikh
49,Gabriel Schwartz-Ketchner
84,Charles Bitler
97,Theo Kojan
99,Lawrence James Dixon 
b,r,e,a,k
Portland,13
teamInfo,Uprise,"Portland, Oregon",,,
0,Aaron Margolis
0,Alex Kersell
0,Ben Yarrish
0,Brian Parks
0,Charlie Loudermilk
0,Elias Marcelino
0,Jonah Talmadge
0,Kian Craig
0,Luke Sage
0,Payton Frampton
0,Remington Reinking
0,Samuel Schwartz
0,Shoji Mori
0,Trent Matsushima
2,Kyle Schraner
7,Brennen Gibbins
8,Ashton Char
10,Nick Jacobsen
18,Quinn Grove
22,Michael  Tang
27,Sebastian Anderson
42,Troy Carpenter
51,Charlie DeKlotz
74,Christian Mibach
b,r,e,a,k
Claremont,8
teamInfo,Braineaters,"Claremont , California",https://www.brainsultimate.com,,https://twitter.com/BrainsUltimate
02,Michael Yu
03,Arenaria Cramer
05,Jacques Paradis
08,Emmett Levine
09,Ezra Marcus-Tyler
11,Adrian Blumberg
15,Sloan Senofsky
16,Leo Furr
20,luxuan Chang
21,William Yik
22,Dante Gilbert
23,Johnny Russell
28,Jamie Miller
30,Isamu Masayoshi Sims
31,Sam Fischer
43,Griffin Campion
56,Clay Rasmussen
71,Elijah Axt
77,Jeremy Kaufman
80,Isaiah Curtis 
93,Jack Sheehan
99,Jacob Leichter Wilson
b,r,e,a,k
San Jose State,12
teamInfo,Spartans,"San Jose, California",https://sjsusports.com/sports/ultimate,https://www.facebook.com/SJSUUltimate/,
00,Billy Lai
00,Caleb Mok
00,Charles Torpey
00,Isaac Thongthap
00,Jacob Linares
00,Jake Dapiran
00,Jakob  Lail
00,Joseph Faso
00,Joshua Krone
00,Kevin Camelin
00,Mark Blackburn
00,Matthew Moscoso
00,Ryan Nguyen
00,Tadeas Horn
00,Vincent Cook
00,Xavier Herrera
10,Tyler  Yang
23,Sakhin Anooj Selvamani
24,Dominic Sequeira
43,Joshua Fountain
69,Rafael  Antipuesto
b,r,e,a,k
Oregon State (B),18
teamInfo,Oregon State B,"Corvallis, Oregon",,,
0,Finn Bednorz
0,Fisher West
0,Graham Jones
0,Jack Huang
0,Jackson Woodbury
0,Joshua Negreanu
0,Nicklaus Leong
0,Austin Davidson
0,Carter Cripe
0,Dillon Cambra
0,Emmet Rohweder
0,William Morton
6,Fen Truitt
14,Troy Quinton
36,Elliott Haberman
51,William Scherle
71,Boston Clark
b,r,e,a,k
Seven Hills Bx,2
teamInfo,,"Seattle, Washington",,,
coaches,Sadie Jezierski
00,Aage Bonnell
00,Aidan Brannon
00,Daniel Chickering
00,David Andrew Isom
00,Denny Beaumon
00,Ethan Murray
00,Griffin Laliberte
00,Isak Synnestvedt 
00,Jasper Horner-Devine
00,Jayden Satterfield
00,josue ostos
00,Jude Small
00,Kenji Lorenz
00,Leopold Hamm
00,Matthew Wyatt
00,Max Goglia
00,Naldo robancho
00,Nolan Muongchan
00,Owen Sprague
00,Paul Dinh
00,Phoenix  Laliberte
00,phong  hang
b,r,e,a,k
Washington (B),7
teamInfo,Washington B,"Seattle, Washington",,,https://twitter.com/undodgers
0,Andrew Phillips
0,Antonio Franada
0,David Ramirez Vadillo
0,Edwin Ramirez Aquino
0,Gus Abramowitz
0,Hank Buttleman
0,jacob mulugeta
0,Jake Stevenson
0,Juerell Pascua
0,Justin Hla
0,Nicholas Wyatt
0,Slava Trifonov
0,Tyler Watkins
7,John Hodges
15,Jonah Lin
19,Aidan Hale
27,Xander Geurkink
28,Sangbeom Yang
54,Max Gillespie
b,r,e,a,k
California-Santa Cruz (B),17
teamInfo,Ooze,"Santa Cruz, California",,,
0,Ameek Singh
0,Daniel Perlov
0,Darren Sze
0,Eetai Shwartz
0,Jackson Pilisuk
0,James Bartlett
0,Lincoln Zaltas
0,Luca Guiga
0,Milo Ridenour
0,Paul Leibovitch
0,Peter Van Esch
0,Richard An
0,Ryan Nelson
0,Ryan Chapman
0,Thai Villaluna
0,Theodore Poor
0,Thomas Paff
0,Thomas Farmer
0,Tim Doan
0,Yali Goldstein
25,Akiva Covner
b,r,e,a,k
Cal State-Long Beach,14
teamInfo,Pyramid Scheme,"Long Beach, California",https://www.instagram.com/pyramidschemeultimate/,,https://twitter.com/PyramidSchemeLB
2,Brandon Martin
5,Raul Martinez
7,Nicholas Maalouf
8,Rushil Prajapati
9,Sam Moreno
13,Andrew Singer
22,Caleb Young
24,Mateo Dominguez
25,Alexander Russell
27,Leonardo Fregoso
31,Zachary Lewis
54,Thomas Galvan
77,Cristofer Serrano
b,r,e,a,k
Puget Sound,11
teamInfo,Postmen,"Tacoma, Washington",http://www.upsultimate.com/,https://www.facebook.com/PugetSoundPostmen,https://twitter.com/upsultimate
0,Chris Nicol
0,Elliot Williams
0,Gabriel Guinn
0,Gunner Jorgensen
0,Kevin Cuda
0,Lucas Calaff
0,shota Fletcher
0,Xander  Nobel Rudolph
3,Alex Rossmeissl
7,Sahaj Olivar
14,Charles DeRussy
20,Jasper Hitchman
24,Quinn Rosen
34,Jeremy Gordon
50,Nainoa Ohata
64,Daniel Johnson
69,Nathan Ludington
72,Noah Hornecker
b,r,e,a,k
Occidental,6
teamInfo,Detox,"Los Angeles, California",,https://www.facebook.com/detoxultimate/,
coaches,Reilly Dalleska
0,Alex Bukovec
0,Ches Campbell
0,Dylan Feldman
0,Eli Friedman
0,Levi Trestan
0,Oliver Jackson
0,Paul Finn
2,Luke West
5,Jack Loudermilk
9,Max Brown
10,Ian Terell
13,Will Carter
20,Zsombor Kari
23,Elias  Davatzes
24,Theodore McGowan
31,Graham Hess
31,Nathan Crawford
33,Quentin Folds
42,Jessie Lowpensky
69,Colter Mason
77,James Herink
88,Alexander Nguyen
b,r,e,a,k
Cal Poly-SLO (B),3
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Ari Dean
0,Beau Usry
0,Brandon Howell
0,Caleb Rosen
0,Colin Moore
0,Daniel Monge
0,Drew Larson
0,Elliot DeJong
0,Garrett Kunkler
0,Henry Frierson
0,Jack Karpinski
0,Layne Sutton
0,Luca Perri
0,Kamron Kelley
0,Matthew Lu
0,Nathan Shaffer
0,Owen  Lutz
0,Quintan Davis
0,Sumanth Thokala
0,Zach Kwast
1,Jack Toyama
2,Alec Gibbs
3,Paul Nassar
14,Marcus Hawley
16,Cody Krawczyk
16,Zachary Wallpe
20,Josh Hall
23,Griffin Dyal
26,Cole Aymond
27,Landon Block
28,Wyatt Barnes
77,Matthew Chak
99,Owen Peay
b,r,e,a,k
California (B),15
teamInfo,Ursa Minor,"Berkeley, California",,,
0,Alex Parikh-Briggs
0,Arya Goutam
0,Boyang Gan
0,Bruno McDarrah
0,ChenYou (Yoyo) Tang
0,Huachen Wang
0,Matthew Yang
0,Quinn Gavin
0,Samuel Callahan
9,Matthew Weymer
12,Jacob Sharadin
21,Bowie Yang
24,Andrew Shen
32,Samuel Kemball-Cook
39,Raymond Li
44,Jayden Pulickal 
48,Benjamin Karish
49,Joong Won Lee
69,Skyler Luk
81,Dylan Miller
95,Michael Karish
96,Sriram Sridhar
99,William Tang
b,r,e,a,k
Cal Poly-Humboldt,10
teamInfo,Humboldt Buds,"Arcata, California",https://recsports.humboldt.edu/,,
0,Cameron Fox
0,Carles Montijano
0,Emmett Gargaro
0,Gabriel Sekel
0,Griffin Jarrell-Desch
0,Jackson Ramirez
0,Jacob Harn
0,Jaden McCarthy
0,Jimmy Carrerad
0,Joaquin Bartosh
0,Matteo Bowman
0,Sean Clarken
0,Tait de Boer
0,Timothy Hoang
0,Travis Brown
18,John Wolohan
b,r,e,a,k
California-Davis,4
teamInfo,Davis Dogs,"Davis, California",https://davisdogsultimate.weebly.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,https://twitter.com/dogsultimate
69,Aaron Li
69,Aidan McKelvey
69,Alec White
69,Alejandro Pagan
69,Alexandro Murillo
69,Cooper Bass
69,Diego Ramirez
69,Ethan Leshan
69,Ethan Kilgard
69,Ian Morritse
69,Joshua Chasnov
69,Julian Korchin
69,Kaden Brownie
69,Kincaid  Johnson 
69,Leo Grossinger
69,Leo Johnson
69,Liam Ginsberg
69,Miles Kim
69,Owen Zuidema
69,Peter Reifenstein
69,Reilly Berberian
69,Roberto Hernandez
69,Timo Williamson
69,Yahir Mariles Guzman
b,r,e,a,k
Santa Clara,5
teamInfo,SCAB,"Santa Clara, California",,,https://twitter.com/SCABUltiFris
coaches,Ryan Messersmith
0,Alexander Von Banck
0,Andrew Kimball
0,Brett de la Fuente
0,Elliott Becker
0,Jacob Salazar
0,JJ Xu
0,Johnathon Dickey
0,Joshua Colleran
0,Michael Cooper
0,Nick Grace
0,Owen Duffy
0,Patrick Crowell
0,Liam Reese
0,Lucas Woodman
2,Kieran Greeley
17,James Freeman
18,Agustin Pace
20,Mason Gerwig
22,Rowan Olds
23,David Cummings
24,Daniel Flores
