Great Lakes D-I College Men's Regionals,College - Men ,27,4,2024
Zeeland,MI,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Illinois,1
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
0,Eli Artemakis
2,Nathaniel Astrom
3,Dean Gottlieb
7,Timothy Sheehan
9,Kai Tang
10,Carter Rodgers
15,Evan Sebastian
17,William Voss
19,Griffin Kelley
21,Alex Zheng
22,Ryan Roach
24,Kevin Lui
25,Simon Perez
26,Kushal Kothapalli
28,Pupetch Nimnark
29,Sean Hickey
33,Trevor Scott
34,Carson Splear
40,Emil Weisfeld
43,Mehlum Anjarwala
44,Daniel Sawai
49,Nathan Zock
68,Kai Bowen
75,Matthew Rylander
85,Hunter Latson
86,Kevin Tan
b,r,e,a,k
Southern Illinois-Edwardsville,13
teamInfo,Geese,"Edwardsville, Illinois",,,
00,Christian Kult
00,Dalton Steinkamp
00,Dillon McGinnis
00,Evan Driscoll
00,Hector Chaidez
00,Jonathan Zawitkowski
00,Keaton Anderson
00,Nathan  Burrell
00,Patrick Driscoll
00,Victor Chaidez
03,Colin Mclaren
05,Augustino Ojeda
06,Lucas Hanson 
12,Edward Prenzler
23,Joshua Stout
32,Evan Squire
68,Jacob Geisen
b,r,e,a,k
Kentucky,8
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
00,Garrett Hamilton
00,Kenneth Hodge
01,Joshua Alden
02,Colby Wort
03,Alex Reichert
04,Shane McCarthy
05,Isaac Madill
08,James Powell
09,Nathan Haynie
11,Gabriel Shir
11,Reece Rode
12,Cole Bernstein
13,Dominic Busby
16,Jack DeLong
18,Henry Walke
20,Nathan Riffell
21,Noel Houser
23,Andrew Bacarella
26,Owen Woodward
30,Ethan Gutberlet
39,Joseph Lindemuth
59,Jacob Vejar
72,Andrew Blair
85,Dominic Gates
b,r,e,a,k
Loyola-Chicago,12
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
0,Aidan Chapman
0,Aran Baphna
0,Brennan Perkins
0,Diedrick Nikoi
0,Elliott Laibson-Brown
0,James Warholy
0,Nate Pascale
0,Otto Koops-Elson
0,Samuel Libis
0,Kelvin Nguyen
0,Matthew Kumar-Montei
0,William Gresh
2,Siddharth Mehrotra
3,Will Betterman
6,Michael Quiroga
14,Maxwell Mercer
17,Andrew Najjar
19,Joe Piacitelli
23,Sebastian Kirkpatrick
24,Anthony Scibelli
77,James Goodfriend
88,David Portnow
b,r,e,a,k
Michigan,2
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
coaches,Michael Dagher-Margosian,Joseph Besser
00,Aaron Bartlett
00,Daniel Marlin
00,Gabriel Scheck
00,Jack Schmader
00,Jose Dasilva
00,Kenneth Tien
00,Tobey Chang
00,Zach Wanger
01,Zachary Loyd
02,Bradley Kerr
05,Trent Moon
06,Andrew Kim
07,Jordan Bacharach
08,Nicholas Alfonso
09,Jack Davis
10,Thomas Roberts
11,Max Karnik
12,Emmet Payette
13,James Baker Jr
15,Nick Amano
17,Hugh Finnigan
21,Austin Ngan
22,Chris Doehring
23,Theo Shapinsky
24,Josh Solomon
26,Matthew Cao
29,Samuel Teppo
36,Charlie Huang
37,Julius Cohen
55,Joshua Wang
87,Ray Chen Hao
88,Kion Young
b,r,e,a,k
Indiana,7
