FCS D-III Tune Up 2024,College - Men ,2,3,2024
Advance,NC,2024-03-02,2024-03-03
https://play.usaultimate.org/events/FCS-D-III-Tune-Up-2024/schedule/Men/CollegeMen/
Whitman,19
teamInfo,UNC Asheville Mudpuppy,"Asheville, North Carolina",,https://www.facebook.com/bulldogultimateunca,https://twitter.com/UNCAshUltimate
0,Spencer Brotherton
1,Mathias Farley
3,Forrest Nottingham
4,Hugo Warshauer
7,Kevin Stegall
10,Jackson Stanley
11,Jackson Carawan
14,Travis Turner
17,Gavin Wilgus
19,Kyle Bernstein
21,Sawyer Hegler
24,Owen Stout
25,David Bahena Gutierrez 
33,Spencer Chandler
44,Adam Pohl
71,John Deaver
72,Brandon Bass
77,Simon Segovia-Welsh
b,r,e,a,k
Richmond,17
teamInfo,Spidermonkeys,"Richmond, Virginia",https://sites.google.com/view/richmondspidermonkeys/home?authuser=0,,https://twitter.com/urspidermonkeys?s=21
coaches,Matthew Graves,Keys Pattie
0,Conor Morrisroe
0,Eli Beech-Brown
0,Jeffy Joshy
1,Maxwell Caputo
3,William Martin
4,Alexander Ertel
6,Miles Goldman
7,Tommy Bennett
9,Sam Hussey
10,Ethan Greeley
12,Luke Howey
13,Nicolas Moreira
14,Liam Gilpin
18,Michael Stein
20,Henry Groves
21,Eric Harnisher
24,Matt Fliegel
25,Sassan Fahim
27,Rowan Keller
30,Matthew Timoney
31,Devon Shepherd
35,Clay Rosselot
36,Anthony Longo
38,Christopher Elvin
40,Calvin Ciorba
44,Gabriel Graceffo
55,Nathan Winiarski
b,r,e,a,k
Davidson,5
teamInfo,DUFF,"Davidson, North Carolina",,https://www.facebook.com/DavidsonUltimate/,https://mobile.twitter.com/DUFF_Cats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
coaches,Ken Porter
0,Andre Phillips
0,Beckett Ledahl
0,Ben Atherton
0,Ben Wagner
0,Bradley Towner
0,Changtai Li
0,Ethan Maddox
0,Jack Bray
0,Jacob Suchman
0,Jerry Wang
0,Jingyan Chi
0,Nicholas Layke
0,Nirvan Bernstein
0,Patrick Grimes
0,Ryan Wu
0,Seth Pace
0,Srijit Banerjee
0,Steve M
0,Truman Sandy
0,Nate Green
2,Garrett Ryan
4,Wesley Smail
6,Nicholas Skarbek-Borowski
20,Isaac Franks
42,John Ready
69,Shane Winner
77,Josh Matushak
b,r,e,a,k
Navy,14
teamInfo,Poseidon,"Annapolis, Maryland",,facebook.com/navyultimate,twitter.com/navyultimate
03,Caleb Miller
04,Ethan Goodson
05,Asher Nguyen
07,Allan Ramaroson
08,Sean McCormick
09,Ryan Hogg
10,Julian McCloud
12,John Bassett
17,Lily Shaughnessy
19,Chris Paris
21,Alex Eltaher
24,Hayden Lenhard
27,Thomas Korsmo
28,Sara Fetter
29,Ian Clark
35,Mac Spurling
42,Dalton Jones
45,Will Smyth
46,Ayush Padhi
54,Jessica Bakken
88,Nathan Palmer
b,r,e,a,k
Berry,2
teamInfo,Bucks,"Berry, Georgia",,,https://twitter.com/berry_bucks
0,Wyatt Johnson
01,Elliot Green
02,Ivan Khoo
06,Gavin Zielke
07,Manuel Estevez
10,Mikey Curtis
11,Jonathan Blake
13,Simon Dowdy
15,Matthew Peterson
17,Jackson Knox
18,Michael  Johnson
22,Elijah Hoshide
23,Anthony Frattaroli 
24,Silas Camp
25,Collin Hill
34,Stephen Kise
42,Ian VanOrder
51,Ryan Perry
b,r,e,a,k
Union (Tennessee),18
teamInfo,Tennessee) (Union Jaxx,"Jackson, Tennessee",,https://www.facebook.com/jaxxclubultimate,https://twitter.com/jaxxultimate
0,Joseph Hinrichs
01,Christopher Stonecipher
02,William Pettigrew
03,Nate Barnard
07,Joshua Kersey
09,David Zilkie
11,Bennett Wilson
14,Timothy Griffith
15,Joshua Kelley
18,Daniel Lancaster
20,Jacob Arehart
21,Landrum Redmond
22,Nate Thomas
23,Samuel Moss
25,Connor Rigby
26,benjamin Earnest
28,Marcel van der Wel
37,Jasper Carrette
44,Joel Salazar
69,Noah Harms
87,Noah Windham
b,r,e,a,k
Xavier,20
teamInfo,B.L.O.B.,"Cincinnati, Ohio",,,https://twitter.com/BLOB_ultimate
01,Nolan Krimpenfort
03,David Nolan
05,Emery Tullis
07,Roberto  Gonzalez Garcia
08,Alex Huseman
09,Anthony  Caccavari 
11,Patrick McLaughlin
17,Jack Fitzgerald
19,Benjamin Adair
22,Colin Bruggeman
23,Matthew  Pabin
27,Aidan Foley
31,Seth Ellis
32,Andrew Templeton
34,Maxwell Hanson
42,Connor Driscoll-Natale
44,Declan Le Warn
52,Aidan Dwyer
54,Ryan Stark
66,Brian Huber
74,Ryan Greeson 
77,Jonas Dargis
81,John Flynn III
93,Christian Geary
b,r,e,a,k
Oberlin,16
teamInfo,Flying Horsecows,"Oberlin, Ohio",,,
coaches,Meghan Drews
0,Aaron Bedi
0,Benjamin Eichner
0,Bix Weissberg
0,Jonah Feinstein
0,Riah Burrows
0,Ryan Fontanez
0,Griffin O'Neal-Freeman
0,Issandro Trenard
0,Soren Callahan
2,Zachary Marshall
3,Samuel  Guarino
4,Ben Fuguet
10,Braque Pike
11,Jack Ryan
12,Simon Korotzer-Mariani
13,Saxon Egge
14,Ryan Ward
21,Shawn Ho
25,Alexander Hunkins
32,Charles Forster
35,Adam Wright
71,Sebastien Kline
b,r,e,a,k
Christopher Newport,4
teamInfo,Skymaul,"Newport News, Virginia",,,https://twitter.com/CNUultimate
coaches,Ben Slade
0,Jaiden Powell
0,William Fisher
2,Zachary Fox
5,Jeremy Jordan
8,Ryan McDonnell
07,Caden Mills
11,Colin Sullivan
13,Isaac Sanger
14,Grant Anderson
17,Nalin Theodore
19,Stephen Harding
20,Thomas Funka
21,Nathan Emmatty
22,Joseph Parks
23,Garrett Brundick
24,Nolan Reynolds
29,Jackson Reed
31,Lucas Aberg
34,Hans Wirkkala Burkholder
35,Jackson Daughters
39,Joseph Baldi
42,Jackson DeHoust
44,Charles Gartner
47,Luke Elliott
58,Evan Hermosilla
67,Charles McCoy
69,Liam Owens
88,Lynh Vo
90,Esteban Olivares
94,Anselmo Feliciano
95,Palmer Bogdan
b,r,e,a,k
Missouri S&T,13
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
0,Aidan Tow
0,Aidan Byrne
0,Andrew Clayton
0,Carson Kempf
0,Jacob Mathew
0,Kana Chung
0,Kenneth Stanley
0,Kevin Wyle
0,Michael Preisack
0,Mitchell Gordon
0,Owen Thoms
0,Praneshkirtan Sundararajan
0,Sam Papin
0,Shane Keeton
0,Thomas O'Hanlon
0,Zachary Sanders
3,Wesley Fransen
b,r,e,a,k
Embry-Riddle,7
teamInfo,Dirty Birds,"Daytona Beach, Florida",,,
02,Lynn Vonder Haar
03,Benjamin Jost
04,Jonah Hagstad
05,Grant Michael Cashin
07,Rumi Barsotti
08,Zach Shafer
11,Carl Dahlberg
12,Aaron Watt
15,Cassandra Patterson
18,Kristopher Dennison
28,Matthew Hein
40,Sean Nguyen
42,Seth Tracy
47,Eli Leonard
49,Gregory Callaghan
54,Jonny Rudolph
71,Douglas Stevenson
77,Samuel Bock
b,r,e,a,k
Kenyon,9
teamInfo,SERF,"Gambier, Ohio",,,https://twitter.com/kenyonserf
0,Ezra Powers
0,Max Fishman
03,William Margeson
04,Griffin Meyer
06,Aidan Cullen
08,Peter Krosniak
10,Nicolas Williams
11,Liam Savona
12,August Greer
13,Paul Snyder
14,Henry Markwardt
15,Tobias Hughes
16,Brendan Kolerich
18,Ryan Yarcusko
19,Nicholas Weber
22,William Taylor
23,Nicholas Forsyth
25,Ethan Wagner
27,Ryan Madison
28,Adam Blum
30,Finn Anders
36,Isoo O’Brien
69,Kyle Boozer
76,Liberty Evans
95,Conor Kennealy
99,Micah Arenstein
b,r,e,a,k
Air Force,1
teamInfo,Afterburn,"USAF Academy, Colorado",,,
02,Easton McCarty
03,Spencer Grubbs
12,Mason Daily
13,Nathaniel Sabotchick
15,Simon Bidne
17,Cole Super
18,James Russ
18,Joseph Worth
21,Riley Lubic
23,Noble Rasmussen
25,Nathan Nelson
28,Bryan Cao
31,Junhyung Park
36,David Anand
39,Geoffrey Freeman
41,Matthew Dickson
45,Xavier Gaefke
49,Joel Bryant
63,Guy Lockhart
72,Zachary Krar
95,Jacob Palenapa
b,r,e,a,k
Messiah,11
teamInfo,Falcons,"Mechanicsburg, Pennsylvania",messiah.edu,https://www.facebook.com/messiahultimate,https://www.twitter.com/messiahultimate
coaches,JM Rallo
0,Andrew Fretz
0,Bryan Birch
0,Carlo Bonvissuto
0,Cole Myers
0,Colin Wages
0,Connor Hoffstetter
0,Ian Shank
0,Jordan Phillips
0,Josh Cook
0,Justin Sweat
0,Khye Shen Regan Tan
0,Noah Richert
6,Aaron Smith
09,Samuel Cottrell
15,Ryan Silvis
16,Kaleb Egelkamp
18,Joel Herman
30,Matthew Siegrist
37,Zachary McIntire
43,Gavin Kinch
78,Sean Lau
86,Gabriel Henry
87,Sam Alderfer
88,Matthew Merlo
97,Isaiah Cottrell
b,r,e,a,k
Butler,3
teamInfo,Butler Big Dog,"Indianapolis, Indiana",,,https://twitter.com/but_club
coaches,Arthur Small
0,Benjamin Fruit
1,Carter Hart
3,Samuel Ingham
4,Trevor Fox
5,William Bengston
6,Sam Reichenbach
7,James Hiltebrand
12,Andrew Schmidt
14,Daniel Field
18,Ryan Murdock
19,Aaron Conde
20,Tanner Kutoloski
23,Silas Andersen
26,Gavin Arkinstall
32,Silas Owens
35,Michael Malone
37,Nathan Barry
43,Josh Cann
70,David Tuohy
85,Will Denning
98,Parker Hirschle
b,r,e,a,k
s,t,a,g,e,s
pools,FCS Shootout Format
pool,Pool A
Union (Tennessee),Navy,13,9,"03/02/2024, 08:30",Pool A,Final
Oberlin,Berry,7,13,"03/02/2024, 08:30",Pool A,Final
Franciscan,Richmond,12,11,"03/02/2024, 08:30",Pool A,Final
Elon,Messiah,13,9,"03/02/2024, 08:30",Pool A,Final
Xavier,Christopher Newport,13,8,"03/02/2024, 08:30",Pool A,Final
Air Force,Embry-Riddle,12,13,"03/02/2024, 08:30",Pool A,Final
Kenyon,Butler,12,10,"03/02/2024, 08:30",Pool A,Final
Michigan Tech,North Carolina-Asheville,13,7,"03/02/2024, 08:30",Pool A,Final
Kenyon,Michigan Tech,6,13,"03/02/2024, 10:15",Pool A,Final
Christopher Newport,Embry-Riddle,13,12,"03/02/2024, 10:15",Pool A,Final
Xavier,Union (Tennessee),5,13,"03/02/2024, 10:15",Pool A,Final
Whitman,Davidson,13,6,"03/02/2024, 10:15",Pool A,Final
Messiah,Butler,13,11,"03/02/2024, 10:15",Pool A,Final
Oberlin,Richmond,11,12,"03/02/2024, 10:15",Pool A,Final
Elon,Berry,12,13,"03/02/2024, 10:15",Pool A,Final
Lewis & Clark,Missouri S&T,13,11,"03/02/2024, 10:15",Pool A,Final
Embry-Riddle,Michigan Tech,10,13,"03/02/2024, 12:00",Pool A,Final
Navy,Lewis & Clark,9,13,"03/02/2024, 12:00",Pool A,Final
North Carolina-Asheville,Kenyon,13,10,"03/02/2024, 12:00",Pool A,Final
Oberlin,Elon,12,13,"03/02/2024, 12:00",Pool A,Final
Missouri S&T,Davidson,8,13,"03/02/2024, 12:00",Pool A,Final
Air Force,Franciscan,7,13,"03/02/2024, 12:00",Pool A,Final
Butler,Xavier,6,13,"03/02/2024, 12:00",Pool A,Final
Christopher Newport,Whitman,6,13,"03/02/2024, 12:00",Pool A,Final
Berry,Whitman,11,13,"03/02/2024, 13:45",Pool A,Final
Union (Tennessee),Lewis & Clark,4,13,"03/02/2024, 13:45",Pool A,Final
North Carolina-Asheville,Messiah,13,9,"03/02/2024, 13:45",Pool A,Final
Richmond,Kenyon,13,3,"03/02/2024, 13:45",Pool A,Final
Michigan Tech,Franciscan,10,13,"03/02/2024, 13:45",Pool A,Final
Missouri S&T,Navy,9,13,"03/02/2024, 13:45",Pool A,Final
Air Force,Butler,13,11,"03/02/2024, 13:45",Pool A,Final
Davidson,Xavier,11,6,"03/02/2024, 13:45",Pool A,Final
Lewis & Clark,Messiah,13,5,"03/02/2024, 15:30",Pool A,Final
Berry,Richmond,11,13,"03/02/2024, 15:30",Pool A,Final
Navy,Whitman,4,13,"03/02/2024, 15:30",Pool A,Final
North Carolina-Asheville,Union (Tennessee),13,12,"03/02/2024, 15:30",Pool A,Final
Air Force,Elon,3,13,"03/02/2024, 15:30",Pool A,Final
Embry-Riddle,Davidson,9,13,"03/02/2024, 15:30",Pool A,Final
Franciscan,Christopher Newport,13,7,"03/02/2024, 15:30",Pool A,Final
Missouri S&T,Oberlin,7,13,"03/02/2024, 15:30",Pool A,Final
Whitman,Richmond,13,11,"03/03/2024, 08:30",Pool A,Final
Butler,Navy,6,13,"03/03/2024, 08:30",Pool A,Final
Davidson,Lewis & Clark,10,12,"03/03/2024, 08:30",Pool A,Final
Elon,Kenyon,13,11,"03/03/2024, 08:30",Pool A,Final
Xavier,Michigan Tech,8,13,"03/03/2024, 08:30",Pool A,Final
Missouri S&T,Messiah,13,11,"03/03/2024, 08:30",Pool A,Final
North Carolina-Asheville,Embry-Riddle,13,8,"03/03/2024, 08:30",Pool A,Final
Air Force,Christopher Newport,8,13,"03/03/2024, 08:30",Pool A,Final
Whitman,Kenyon,13,7,"03/03/2024, 10:15",Pool A,Final
Butler,Elon,6,13,"03/03/2024, 10:15",Pool A,Final
Air Force,Navy,3,13,"03/03/2024, 10:15",Pool A,Final
Union (Tennessee),Franciscan,11,13,"03/03/2024, 10:15",Pool A,Final
Michigan Tech,Lewis & Clark,10,13,"03/03/2024, 10:15",Pool A,Final
Missouri S&T,Embry-Riddle,0,0,"03/03/2024, 10:15",Pool A,Scheduled
North Carolina-Asheville,Oberlin,8,13,"03/03/2024, 10:15",Pool A,Final
Christopher Newport,Berry,9,13,"03/03/2024, 10:15",Pool A,Final
Davidson,Michigan Tech,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Missouri S&T,Xavier,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Union (Tennessee),Oberlin,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Christopher Newport,Messiah,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Whitman,Butler,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Franciscan,Berry,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Lewis & Clark,Richmond,0,0,"03/03/2024, 12:00",Pool A,Scheduled
Davidson,Oberlin,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Air Force,North Carolina-Asheville,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Berry,Kenyon,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Xavier,Elon,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Navy,Franciscan,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Messiah,Embry-Riddle,0,0,"03/03/2024, 13:45",Pool A,Scheduled
Richmond,Union (Tennessee),0,0,"03/03/2024, 13:45",Pool A,Scheduled
b,r,e,a,k
