2024 Nor Cal Mixed Sectional Championship,Club - Mixed ,7,9,2024
Stockton,CA,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Nor-Cal-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Polar Bears,2
teamInfo,,"San Francisco Bay Area, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
coaches,Steve Sullivan
01,Matthew Crawford
02,Molly Munson
03,Joel Miller
04,Gabriel Edwards
05,Aaron Shi
06,Courtney Greenley
07,Brooke Nishida
08,Emma Ressler
11,Carolyn Drewry
12,Visakha Hoang
13,Robert Yeagle
15,Marissa Lerner
16,Vincenzo Vitiello
18,Vail Dark
22,Andrew Ouyang
25,Jonah Malenfant
32,Margo Donahue
33,Aviva Weinbaum
36,Sara Nolan
38,Jessica Wu
51,Jesse Song
72,Devin Drewry
78,Juleon Robinson
90,Saul Wildavsky
92,Seamus Shogren
97,Ryan Hoffman
b,r,e,a,k
BW Ultimate,8
teamInfo,,"Bay Area, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
coaches,Sunny Saini
7,Lewis Parkinson
01,Jessica Lee
02,Dahlia Quinn
04,Iman  Haq
05,Walter Wu
06,Angela Louh
07,Michelle Slaughter
09,Melissa Slaughter
10,Cullen Coyne
13,Michelle Chen
15,John Dugan
16,Max Herrmannsfeldt
19,Jashan Shetty
21,Amy Sullivan
22,Gretchen Berndt
22,Ricardo Rosas
23,Vincent Su
25,Bernadette Hsu
26,Krista Holden
27,Aaron Hom
28,Sam Asin
40,Anthony Davis
42,Akhil Nori
43,Bettina Chen
44,Conor Bauman
96,Ashton Paulus
b,r,e,a,k
DR,11
teamInfo,,"Berkeley, California",https://www.instagram.com/dr_ulti,,
00,Elvys Dang
03,Halleh Balch
08,Joseph Gorelik
08,Molly Perlmutter
09,Matthew Weymer
11,Yevanit Reschechtko
14,Meryl Charleston
15,Michael Suey
16,Vishal Yadav
16,Brendan Champlin
17,Eli Weiss
18,Erica Pool
19,Maya Bruguera
21,Kate Kraft
21,Nic Domek
24,Joey Durkin
24,David Whiteneck
31,Jules Fogarty
32,Alsu Missarova
44,Jacob Buckley
53,Jonathan Marr
55,Kelly Billings
75,Riley O'Neill
76,Annie Joss
80,Scott Beamer
98,Kiana Hu
b,r,e,a,k
Masala Magic,17
teamInfo,,"Bay Area, California",,,
coaches,Manisha Daryani
0,Aaron Colverson
0,Anil George
0,Devyani Kumari
0,Ginger Wong
0,Janani Ragothaman
0,Joe Bormolini
0,Manisha Daryani
0,Ruby Holman
0,Samarth Mishra
0,Satish Raj
0,Scott McMahon
0,Radhika Bhargav
0,Vishnukarthik Lakshmanan
4,Mitali Mathur
10,Maria Dumanis
19,Manickam Narayanan
23,Shashank Sasidharan
23,Sheena Madan
49,Reena Badyal
88,James Gallerani Jr
b,r,e,a,k
American Barbecue,6
teamInfo,,"San Francisco, California",www.abbq.org,www.facebook.com/ABBQfamily/,@ABBQfamily
0,Conrad Walsh
0,Delilah Masket
0,Elise Bruguera
0,Everett Grass
0,Georgia  Van der Linden
0,Isabel Clayter
0,Amelia Farinas
0,Caela Brazelton
0,Jacqueline Martinez
0,Kai Agueros
0,Karen Reyes
0,Kayla Hickey
0,Liam Kreiss
0,Myron Liu
0,Nicholas Murphy
0,Nicholas Weiss
0,Noel Arsenault
0,Thalia  Tzetos
6,Jackson Knox
8,Chenxi Sun
