Filling the Void 2024,Club - Men ,13,7,2024
Charlotte,NC,2024-07-13,2024-07-14
https://play.usaultimate.org/events/Filling-the-Void-2024/schedule/Men/Club-Men/
Alliance,1
03,Ricardo DeLeon
04,August Specht
05,Justin Montalbano
06,Alex Nelson
07,Ryan Hiser
08,Jaime Perez
09,Clayton Partlow
10,Michael Arbutine
11,Jacob Clary
12,Jarett Cox
13,Bhagya Patel
15,Dustin Travaglini
17,Louis Nagle
20,Joshua Webb
22,Joel Fromkin
23,Logan Diehl
24,Stephen Krajeski
25,Unmil Patel
28,Ryan Thomas
55,Moses Jaffa
88,Luke Alexander
91,Garrett Knobel
99,Jack Clydesdale
b,r,e,a,k
Black Lung,3
teamInfo,,"Lexington, Kentucky",,,https://twitter.com/blacklungulti?lang=en
0,Cole Bernstein
0,Daniel Swastek
0,David Durrance
0,Garrett Hamilton
0,Joseph Neuzel
0,Kendrick Yuen
0,Mason Montgomery
0,Matthew  John
0,Nathan Riffell
0,Qi Yan
0,Tadhg Young
1,Adam Houk
2,Tyler Karnes
5,Joshua Wu
7,Vanderley Guerrero
10,Larry Farmer Jr
14,Ezekiel Miller
23,Reid Gouge
27,Wyatt Driskell
44,Levi Branan
53,Jacob Gowan
55,John Blair
61,Chris Bauer
b,r,e,a,k
Triumph,10
teamInfo,,"Morrisville, North Carolina",https://rb.gy/6knme4,,
0,Adam Luthman
0,Allen Zhai
0,Christopher Heim
0,Daniel Zhang
0,Dillon Lesniak
0,Luke Cornelius
0,Michael Wetzel
0,Nathan Silverman
0,Paul Fang
0,Quinlan Collier
0,Ryan Norris
0,Stefan Isaza
0,Stephen Poulos
0,Tate Wilson
3,Michael Paniagua
5,Jason Zwierzynski
6,Harrison Karlok
11,Josh Louie
12,Adam Becker
13,Eric Feigin
13,Christopher Byrd
13,Jacob Luksik
14,Zachary Baldwin
38,Jeffrey Perkins
45,Rees Braam
47,Brian Maulucci
b,r,e,a,k
PARLAY,19
teamInfo,,"Charlotte, North Carolina",,,
0,Alex Fischer
2,Josh Holder
3,Rashaad Saunders
4,Anthony Beauregard
5,Michael Gentry
7,Allen Meese
8,Connor Wood
12,Andy Dinh
14,Matthew Lundstrom
18,Luke Risse
23,Taylor Crotts
23,Jacob Guzi
25,Adrian Martinez
26,Joshua Lich
42,Felix Du Sablon
69,Cliff Totherow
80,Michael Farnham
b,r,e,a,k
Tennessee Folklore,15
teamInfo,,"Knoxville, Tennessee",,,
02,Joe Neglia
07,Caleb Batchelder
13,Diego Morales
14,Garrett Berger
19,John Smith
20,William Acker
21,Brady Terechenok
25,Mark Filer
28,John Fang
33,Skyler Swafford
36,Joshua Epstein
39,Elijah Greene
42,Sterling Burnett
44,Kyle Dolwick
48,Jackson Lange
53,Josh Laughrun
55,Austin Lillis
b,r,e,a,k
Lost Boys,4
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Cameron Ramsey
0,Michael Miller
0,William Caspino
1,Nicholas Hocking
2,Adam Chase
3,Coleman Devaney
5,Aaron Crockett
6,Brandon Wider
7,Caspar Tarr
8,Matthew Hogue
11,Nicholas Headden
13,Tyler Catton
15,Corey Bennett
17,Joseph  Cammarata
18,Chris Wilson
21,Stephen Trello
21,Michael Cote
22,Matthew Herbst
23,Kyle Woodberry
25,Sambath Vong
29,Daniel Ouk
34,Ethan Johnson
64,Jacob Blackman
83,Cleve Fisher
84,Jacob McClary
b,r,e,a,k
Tanasi,5
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Braden Beebe
0,Jeffrey Flanagan
0,Neil Taylor
0,Philip Throckmorton
0,Pryce Bevins
0,Steele Davies
0,Timothy Lumsdaine
3,Jared Beazley
6,Ethan Phillips
7,Daniel Robinson
10,Zeke Plewniak
11,Liam Savona
11,Marshall  Hodges 
14,Colin Flowers
15,Jack Wellons
18,Yanni Killebrew
19,Nico Ranabhat
20,David Wilkins
21,Carson Chamberlain
28,Charles Cianciolo
29,Hayden Chappel
37,David Evans
80,William Fleming
85,Aaron Wilder
b,r,e,a,k
BDC,20
teamInfo,,"Washington , District of Columbia",,,
0,Connor McCartney
0,Diego Soto
2,Christiaan Sengers
3,Daniel Dresser
7,Mateo Schneider
9,William Shields
10,William Hines
10,Bryan Frumkin
13,Evan Garrison
14,Andres Huenneke
16,Kennon Arnold
38,Lucius Kahng
38,Micah Craine
64,George Liacouras
b,r,e,a,k
Queen City Kings,9
teamInfo,,"Charlotte, North Carolina",,,
0,Avery Dunham
0,Brad Thomson
0,Brooks Fleming
0,Daniel Papazian
0,Daniel Eure
0,Daniel Dabnis
0,Jake Hutchinson
0,Jeffy Joshy
0,Juan Mancera
0,Matthew Alexander
0,Max Povejsil
0,Patrick Kennes
0,Shawn Cook
0,Spencer Brotherton
0,Thomas Wray
4,Nicholas Lopez
5,Rocky Morris
8,Jackson  Dye
11,Timothy Rees
14,Simon Jenkins
16,Jaren Robbins
19,Jordan Knox
21,Kevan Nikolich
24,Nate Sutherland
71,John Deaver
92,John Colyer
b,r,e,a,k
Oakay,16
teamInfo,,"Raleigh, North Carolina",,,
0,Arjun Keshava
0,Jovan Sanford
0,Lucas Kaplan
11,Nicolas Munsen
17,Camen Royse
19,Zachary Benson
22,Ari Pena
29,Mitchell O'Connor
36,Christopher Li
40,Sean Nguyen
42,Jaxon Turner
50,Kurtis Wang
82,William Gulker
84,Joshua Lewis
90,Kevin Stroud
99,Carson Selander
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Bloom,NC Brickhouse,12,13,"07/13/2024, 08:00",Pool A,Final
John Doe,Gambit,13,3,"07/13/2024, 08:00",Pool A,Final
Alliance,Bloom,13,6,"07/13/2024, 09:45",Pool A,Final
NC Brickhouse,Gambit,13,9,"07/13/2024, 09:45",Pool A,Final
John Doe,Bloom,13,8,"07/13/2024, 11:30",Pool A,Final
Alliance,NC Brickhouse,13,4,"07/13/2024, 11:30",Pool A,Final
Alliance,John Doe,13,6,"07/13/2024, 13:15",Pool A,Final
Bloom,Gambit,13,7,"07/13/2024, 13:15",Pool A,Final
Alliance,Gambit,13,1,"07/13/2024, 15:00",Pool A,Final
John Doe,NC Brickhouse,12,10,"07/13/2024, 15:00",Pool A,Final
pool,Pool B
Crypt,Psychedelic,13,11,"07/13/2024, 08:00",Pool B,Final
Charleston Heat Stroke,Hydra,13,9,"07/13/2024, 08:00",Pool B,Final
baNC,Crypt,13,5,"07/13/2024, 09:45",Pool B,Final
Psychedelic,Hydra,13,11,"07/13/2024, 09:45",Pool B,Final
Charleston Heat Stroke,Crypt,9,13,"07/13/2024, 11:30",Pool B,Final
baNC,Psychedelic,13,8,"07/13/2024, 11:30",Pool B,Final
baNC,Charleston Heat Stroke,13,6,"07/13/2024, 13:15",Pool B,Final
Crypt,Hydra,13,6,"07/13/2024, 13:15",Pool B,Final
baNC,Hydra,13,5,"07/13/2024, 15:00",Pool B,Final
Charleston Heat Stroke,Psychedelic,13,9,"07/13/2024, 15:00",Pool B,Final
pool,Pool C
Triumph,Tennessee Folklore,13,6,"07/13/2024, 08:00",Pool C,Final
Florida Untied,PARLAY,13,0,"07/13/2024, 08:00",Pool C,Final
Black Lung,Triumph,13,8,"07/13/2024, 09:45",Pool C,Final
Tennessee Folklore,PARLAY,8,11,"07/13/2024, 09:45",Pool C,Final
Florida Untied,Triumph,13,4,"07/13/2024, 11:30",Pool C,Final
Black Lung,Tennessee Folklore,13,3,"07/13/2024, 11:30",Pool C,Final
Black Lung,Florida Untied,5,13,"07/13/2024, 13:15",Pool C,Final
Triumph,PARLAY,13,3,"07/13/2024, 13:15",Pool C,Final
Black Lung,PARLAY,11,4,"07/13/2024, 15:00",Pool C,Final
Florida Untied,Tennessee Folklore,13,0,"07/13/2024, 15:00",Pool C,Final
pool,Pool D
Queen City Kings,Oakay,13,5,"07/13/2024, 08:00",Pool D,Final
Tanasi,BDC,13,4,"07/13/2024, 08:00",Pool D,Final
Lost Boys,Queen City Kings,13,6,"07/13/2024, 09:45",Pool D,Final
Oakay,BDC,8,13,"07/13/2024, 09:45",Pool D,Final
Tanasi,Queen City Kings,13,1,"07/13/2024, 11:30",Pool D,Final
Lost Boys,Oakay,13,3,"07/13/2024, 11:30",Pool D,Final
Lost Boys,Tanasi,11,10,"07/13/2024, 13:15",Pool D,Final
Queen City Kings,BDC,11,12,"07/13/2024, 13:15",Pool D,Final
Lost Boys,BDC,13,4,"07/13/2024, 15:00",Pool D,Final
Tanasi,Oakay,13,2,"07/13/2024, 15:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Alliance,Tanasi,0,0,"07/14/2024, 08:00",Quarters,Scheduled
Florida Untied,Crypt,0,0,"07/14/2024, 08:00",Quarters,Scheduled
Lost Boys,John Doe,0,0,"07/14/2024, 08:00",Quarters,Scheduled
baNC,Black Lung,0,0,"07/14/2024, 08:00",Quarters,Scheduled
bracket,3rd Place Game
bracket,5th Place Bracket
bracket,7th Place Game
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
NC Brickhouse,Queen City Kings,0,0,"07/14/2024, 08:00",9th Place Quarters,Scheduled
Triumph,Psychedelic,0,0,"07/14/2024, 08:00",9th Place Quarters,Scheduled
Charleston Heat Stroke,PARLAY,0,0,"07/14/2024, 08:00",9th Place Quarters,Scheduled
BDC,Bloom,0,0,"07/14/2024, 08:00",9th Place Quarters,Scheduled
bracket,11th Place Game
bracket,13th Place Bracket
bracket,15th Place Game
b,r,e,a,k
pools,17th Place Consolation Pool
pool,Pool E
Gambit,Tennessee Folklore,0,0,"07/14/2024, 08:00",Pool E,Scheduled
Hydra,Oakay,0,0,"07/14/2024, 08:00",Pool E,Scheduled
Gambit,Oakay,0,0,"07/14/2024, 10:00",Pool E,Scheduled
Hydra,Tennessee Folklore,0,0,"07/14/2024, 10:00",Pool E,Scheduled
Gambit,Hydra,0,0,"07/14/2024, 12:00",Pool E,Scheduled
Tennessee Folklore,Oakay,0,0,"07/14/2024, 12:00",Pool E,Scheduled
b,r,e,a,k
