2024 Southeast Men's Regional Championship,Club - Men ,21,9,2024
Bermuda Run,NC,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Ring of Fire,1
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
coaches,Michael Lee,Liam Searles-Bohs
3,Henry Fisher
3,Suhas Madiraju
4,Suraj Madiraju
5,Andrew Li
5,Ben Dameron
6,Dylan Hawkins
7,John McDonnell
11,Allan Laviolette
14,Josh Singleton
15,Eric Taylor
16,Anders Juengst
19,Justin-Cooper Williams
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
25,Rutledge Smith
30,Andrew McKelvey
32,Christian Belus
35,Xander Wilcox
50,Matthew McKnight
51,Kevin Pignone
76,Trevor Lynch
77,Ben Snell
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Hooch,14
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Kyle Johnson
0,Zachary Hart
3,Sam Merritt
01,William Lindquist
02,Lyle Caballes
04,Bradley Seuntjens
05,Ashton HIll
06,Curtis Landry
08,Charles Loudermilk
12,Jeffrey Oravic
13,Joseph Griffing
15,Ryan Flick
16,Kolbie Carrell
17,Alexander (Sascha) Vogel
18,Matthew Entrekin
19,Collin Cassidy
20,Austin Poole
21,Ferry Akbar Buchanan
22,Skyler Pitts
23,Stephen Mckinney
25,Robert Hunt
33,Edward Stephens
39,Antoine Cava
47,David van Pelt
52,Kevin Halprin
58,Jon Ross Ingley
b,r,e,a,k
baNC,8
teamInfo,,"Charlotte, North Carolina",,,
0,Alex Ballentine
0,Andrew Rogers
0,Jason Chung
0,Jordan Perry
0,Kevin Mateer
0,Nick Talone
0,Ransome Martin
0,Samuel Lee
0,Sathvik Avulapati
0,Tejas Sivarajakumar
0,Wesley Dudas
0,Michael Sweeney
2,Hunter Loftin
8,Ryan Manuel
9,Frederick Hennighausen
11,Atharv Patil
12,Nathan Silvestri
13,Kevin Zhang
14,Carter Kletch
16,Derek Raufeisen
25,Kyle Brun
29,Mason Cary
51,Damian Delgado
81,Dylan Lipps
88,Christopher Saacks
88,Samuel Dunlap
b,r,e,a,k
Lost Boys,11
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Cameron Ramsey
0,Michael Miller
0,William Caspino
1,Nicholas Hocking
2,Adam Chase
5,Aaron Crockett
6,Brandon Wider
6,David VanAuker
8,Matthew Hogue
11,Nicholas Headden
12,Logan McMillen
13,Joel Wooten
13,Tyler Catton
15,Corey Bennett
17,Joseph  Cammarata
18,Chris Wilson
21,Michael Cote
21,Stephen Trello
22,Matthew Herbst
23,Kyle Woodberry
25,Sambath Vong
29,Daniel Ouk
34,Ethan Johnson
64,Jacob Blackman
83,Cleve Fisher
84,Jacob McClary
b,r,e,a,k
Chain Lightning,2
