Commonwealth Cup Weekend 2 2024,College - Women ,24,2,2024
Martinsville and Axton,VA,2024-02-24,2024-02-25
https://play.usaultimate.org/events/Commonwealth-Cup-Weekend-2-2024/schedule/Women/CollegeWomen/
Tufts,1
teamInfo,EWO,"Somerville, Massachusetts",https://www.instagram.com/tuftsewo/,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
0,Brooke Chomko
0,Cindy Zhang
0,Clara Margulius
0,Edi Lam
0,Eleanor Tyne
0,Amelicha Trinidad Gonzalez
0,Annabel White
0,Emily Kemp
0,Megan Mathieu
0,Michelle Wu
0,Mina Brown
0,Ryanne Barrett
0,Sadie  Schmitz
0,Sophie Hankin
0,Kate Gearing
9,Ariel Felcan
16,Jessie Chan
24,Eleni Kauffman
27,Yayla Tur
45,Ellie Kowalski
99,Lia Schwartz
b,r,e,a,k
Notre Dame,6
teamInfo,Echo,"Notre Dame, Indiana",http://ndultimate.wordpress.com/,,https://twitter.com/ndultimate
coaches,Christopher Miller
0,Carolina Bolivar
0,Catherine Heidenreich
0,Charlotte Tuohy
0,Claire Hackl
0,Courtney Croak
0,Elena Dansdill
0,Ellie Oif
0,Isabella Weiner
0,Liliana Hobday
0,Macie Anundson
0,Mary Menger
0,Anna Wagner
0,Monica Caponigro
0,Nalani Malackowski
0,Sydney Herczeg
3,Emma Baran
4,Megan Klein
11,Cara Tinson
b,r,e,a,k
Georgia,7
teamInfo,Athena,"Athens, Georgia",,https://www.facebook.com/UniversityOfGeorgiaWomensUltimate/,https://twitter.com/UGAUltimate
coaches,Jami Cashin,Grant Cashin
0,Paige Robinson
1,Jemia Johnson
3,Fiona Cashin
4,Sami Chambers 
5,Keely Baker
6,Sarah Lang
7,Sadie Zweben
9,May McDonnell
10,Mia Tomay Bongcaron
11,Quincy Booth
13,Ellison Martin
14,Lucy  Wylie 
17,Reese Rathur
19,Ava Samford
20,Mae Kline
21,Addyson Hale
27,Abigail Clark
29,Alyssa Fallon
72,Mechelle Chen
98,Kensley West
99,Zoe DeLuca
b,r,e,a,k
Virginia,12
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
coaches,Emma Colavincenzo,Keila Strick
0,Ava Foulk
0,Aviva Kosto
0,Breanna  Donahue
0,Bridget Williams
0,Carolina Otal
0,Dorian Gaines
0,Dorothy Beck
0,Elsa Norman
0,Emily Schroeder
0,Emma  Vorathiankul
0,Ivy Watson
0,Keisha Enriquez
0,Kelsey Bernal
0,Leila Troxell
0,Madeline Crowe
0,Megan Kennedy
0,Nora LeVasseur
0,Olivia Bearman
0,Rachel Lisner
0,Rebecca Bang
0,Rose Haron
0,Ryann Boudreau
0,Shea Ruzich
0,Sydney Rohrbach
8,Sydney Mannion
11,Paulina Pelaez
27,Irene Chen
b,r,e,a,k
Chicago,2
teamInfo,Supernova,"Chicago, Illinois",https://uchisupernova.weebly.com,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/uchi_supernova
0,Carolyn Lee
0,Emiko Wu
0,Eva Verner
0,Georgie Williams
0,Letitia Ho
0,Megan Morales
0,Sarah Sommer
0,Sofia Brady
0,Stephanie Wang
0,Wenxin Zou
0,Julia Chu
15,Kriti Arunkundrum
94,Abigail Pavlicek
97,Gloria Adeola
b,r,e,a,k
Pittsburgh,5
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerulti
0,Claire Fukuchi
0,Claudia Porter
0,Colleen Kilpatrick
0,Ella Homa
0,Ellen Kurr
0,Emily Heyman
0,Emily Rittenhouse
0,Haylee Mullen
0,Anna Nocco
0,Ava Millard
0,Cady Westkaemper
0,Madison Pisone
0,Margaret Sweitzer
0,Rachel Kallan
0,Taylor Conroy
0,Taylor Kuhn 
3,Madeline Franz
6,Celeste Picone
10,Helen Wu
13,Meghan McGrory
15,Katya Piskun
22,Jenna Goulart
27,Leah Fandel
32,Maggie Lincoln
33,Caroline  Burns
36,Paige Dillon
38,Celina Zhao
42,Stephanie Le
89,Mac McCormick
b,r,e,a,k
Yale,8
teamInfo,Ramona,"New Haven, Connecticut",http://www.yale.edu/ramona,https://www.facebook.com/yaleramona,https://twitter.com/yaleramona
coaches,Shane Skriletz,Joshua (Slater) Levey
0,Cosima Deetman
0,Destiny Montero 
0,Ella Moran
0,Emilia Oliva
0,Felicia Zheng
0,Han Pimentel-Hayes
0,Liddy Boland
0,Annabelle Brothers
0,Caroline Sun
0,Louise Puchalla
0,Morgan Taylor
0,Peregrine Todd
0,Sophia DeLuca
0,Stephanie Hu
