Huck Finn 2024,College - Men ,30,3,2024
O'Fallon,IL,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Huck-Finn-2024/schedule/Men/CollegeMen/
Washington University,1
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
coaches,Blake Larson
0,Ethan  Zhang
0,Evan Tompkins 
0,Christopher Heron
0,Jackson Freeman
0,Jake Hyman
0,Michael Coyne
0,Noah Kaller
1,Noah Stovitz
2,Rohan Patel
3,Cameron Freeman
6,Bennett Schwartz
7,Sam Schwartz
8,Joel Brown
9,Nicholas Jeschke
13,Wilson Tryon
14,Ian Grochocinski
15,Jacob Tindall
17,Isaac Trommer
23,David Bix
24,Seth Fisher-Olvera
25,Benjamin Deppen
26,Raphael Epstein
28,Elie Weitzman
33,Nicolas Sprague
36,Jakob Ayala
44,Isaac Fenster
69,Charles Gluck
81,Nate Ackerman
96,Joe Hess
b,r,e,a,k
Virginia,2
teamInfo,Night Train,"Charlottesville, Virginia",,,https://twitter.com/nighttrainatuva
0,Asher Friedman-Rosen
0,Andrew Thepvongs
0,Connor McCartney
0,Guy Cardwell
1,Farhan Khan
2,Nicolas West
5,Ben Doniger
6,Tyler Husband
7,Gregory Cho
9,Vivaswath Naini
12,Joseph Burton
15,Kevin Chung
16,Rohan van Heyningen
18,Jack Vietmeyer 
19,Akiva Dienstfrey
20,Josh Rosenberg
21,Nathaniel Stevenson
23,Calvin Roe
24,Christopher Letai
25,Joseph Dokken
29,Matthew Callen
32,Andrew London
33,Owen Solomon
34,Ganesh Nanduru
40,Benjamin Tnaib
42,Patrick Fox
43,Kian Thomasbeer
52,Zeya Min-Fink
81,Will Girard
90,Brendan Selby
99,Christopher Messmore
b,r,e,a,k
Alabama,3
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Andrew Rake 
0,Ben Anderson
0,Benjamin Forton
0,Devin Kelly
0,Jeffrey Martin
0,Kempster Horne
0,Lachlan Campbell
0,Steven Ladenberger
0,William Nash
7,Jacob Ham
8,Logan Ashwell
24,Noel Sarver
24,Garrett Murphy
57,Dylan Doherty
69,Zachary Powers
84,Joshua Lewis
b,r,e,a,k
St Olaf,4
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
coaches,Caleb Szydlo,Aidan Clements,Dave Truesdale,Luke Bleers
0,Eric Crosby Lehmann
1,Gordon Larson
2,Henry Geffert
3,Matthew Kompelien
4,Jake Schmidt
5,Luke Williams
7,Cade Ashland
8,Zane Ross
9,Owen Lehmkuhl
10,Daniel Brown
11,Will Brandt
12,Josh Stanton
13,Liam Griffin
14,Carter Petrella
16,Taro Jelinek
19,Sean Rogers
19,Jonas Geere
21,David  Kim
22,Carter Schafer
23,Loren Griffin
24,Jackson Forebaugh
33,Grant Klebig
42,Kemble Rains
46,Jake Magner
64,Hayden Fahnhorst
66,Ramesses Zhou
67,Luke Goeddeke
68,Maclain  Everson-Rose 
77,Max Sponseller
86,Kelby Anderson
89,Ethan Landgreen
91,Gabriel Badillo Moorman
99,Quinn Munson
b,r,e,a,k
Purdue,5
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Alan Chi
0,Alex Kelley
0,Andrew Sin
0,Chase Fehrenbacher
0,Christiaan Sengers
0,Cian Flaherty
0,Daniel Kelley
0,Elijah Gornik
0,Matthew Imm
0,Nickolas Azanov
0,Owen Edwards
0,Rohit Aralikar
0,Samuel Bourne
0,Scott Gilden
0,Spencer Walsh
0,John Hanish
0,John Snitzer
0,Zhizhen Zhou
10,Kole Pempek
13,Eric Palia
22,Logan Williams
36,Jonathan Jackson
43,Benjamin Spergel
69,William Lilegdon
76,Chandler Moy
77,Kevin Asaro
b,r,e,a,k
Indiana,6
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
coaches,Connor Regan
0,Camilo Santiago
0,Ethan Meyers
0,Ethan Uribe
0,Ethan  Teske
0,Evan Taylor
0,Hayden Bosch
0,Jack Galle
0,Jacob Moore
0,Jeremy Weese
0,John Tyndall
0,Nicky Walker
0,Noah Rowland 
0,Rowland Sorrick
0,Collin Rassel
0,Conner Blalack
0,Will Quigley
3,Aidan Ball
4,Jonathan Gerth
6,Andrew Vetne
11,David Woods
12,George Peterson
13,Charlie Riedel
66,Sam Berebitsky
b,r,e,a,k
Iowa State,13
teamInfo,ISUC,"Ames, Iowa",https://www.stuorg.iastate.edu/isuc,https://www.facebook.com/IowaStateUltimate,https://twitter.com/ISUltimate
coaches,Jacob Thomae,Dayton Wright
0,Andrew Olson
0,Bradley Nordwall
0,Caleb Kugel
0,Ellery Sabado
0,Ellis Perniel
0,Ishaan Patel
0,Luka Elges
0,Matthew Glanzmann
0,Nicholas Messerges
0,Noah Arends
0,Owen Jewell
0,Ramon Puente Jr.
0,Stephen Mann
1,Logan Castle
2,Daniel Neese
4,Zachary Bye
11,Hrushi Bhatt
13,Gabriel Schoepke
14,Will Hager
24,Abram Demo
32,Holden Fahnhorst
32,Tommy Rohlinger
33,Sean Fjellman
42,Tanner Holtz
62,Justin  Hua
87,Jason Dejung
99,Jacob  Shockley
b,r,e,a,k
Mississippi State,14
teamInfo,Dark Horse,"Starkville, Mississippi",https://instagram.com/msudarkhorse?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
05,Daniel Grisham
07,Ethan Kilpatrick
08,Daniel Hurley
09,Cooper Daras
10,Dawson Archer
20,Joshua Mitchell
21,Gideon Miller
22,Caleb Byers
24,Zachary Crane
26,Nathan Reynolds
31,Grant Houston
31,Matthew Morin
33,Drew Laird
35,Noah Probst
47,Dawson Johns
50,Ka'Von Spivey
69,Diego Torrez
73,Evan Garrison
b,r,e,a,k
Oklahoma,21
teamInfo,Apes of Wrath,"NORMAN, Oklahoma",oklahomaultimate.com,https://www.facebook.com/OklahomaUltimate/,@wrathfulapes
0,Aryav Mehrotra
0,Avery Frick
0,Jackson Morton
0,Jared Rodums
0,Jonathan Zell
0,Jose Saldivar 
4,Tyler Van Horn
7,Samuel Crapitto
9,Adam Hanizeski
12,Andrew Kenny
20,Andrew Davis
24,Aidan Callahan
30,William Wilson
33,Carson Nowland
39,Grey Lashbrook
44,Gregory Allen
47,Sebastian Puerta
b,r,e,a,k
Colorado College,7
teamInfo,Wasabi,"Colorado Springs, Colorado",wabenith.com,,
coaches,Jimmy Donnellon
0,Fremont Forsberg
1,Matan Fields
3,Tanner Flagg
4,Cooper Quatrochi
5,Jack Hills
7,Obadiah King-Bagley
10,Thomas Nielsen
11,Oliver van Linder
13,Will Wallace
15,Daonysos Hatzigiannis
17,Tobin Spiller
18,Cole Wennrich
19,Leo McGaraghan
21,Graham McWeeny
23,Miles Katzen
25,Lev Sugerman-Brozan
32,Anders Pohlmann
34,Isaac Holtz
37,Oden Hoff
44,Nico Martinez
66,Sean McGonigle
74,Eliot Kirkham
85,Walker Thompson
99,William Gorman
b,r,e,a,k
Wisconsin-Milwaukee,12
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Declan Dahm
3,Jackson McCausland
5,Jonny Holstead
6,Leo Ohkerrmann
11,Tristin Bird
12,Liam VandeZande
13,Xavier Schultz 
15,Charlie Benforado
17,Connor Schuberth
18,Abraham Frolichstein-Appel
19,Ryan Waller
21,James Rebholz
22,Dylan Heater
23,Zach Vosberg
30,Austin Junk
36,Sam Stocklein
51,Alex Henige
69,Benjamin Michalak
69,Reid Lancaster
77,Josh Lopez
94,Charles Waechter
b,r,e,a,k
Northwestern,15
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
coaches,Penelope Wu
0,Hari Maheswaran
0,Nathan Rachwalski
1,Isidore Donnelly
2,Bernie Waldman
4,Kevin Su
5,Gabriel Bassin
6,Andrew Shen
7,Jett House
8,Ian Falck
11,Jordan Bass
13,Jack Daenzer
20,Kevin Ji
21,Benjamin  Fried
22,Charlie Geci
24,Ayush Gaggar
35,Albert Luo
37,Ezra Danzig
42,Ezra Rich
44,Ethan Less
55,Jack Peckham
