2024 USA Ultimate D-III College Championships,College - Men ,18,5,2024
Milwaukee,WI,2024-05-18,2024-05-20
https://play.usaultimate.org/events/2024-USA-Ultimate-D-3-College-Championships/schedule/Men/CollegeMen/
Middlebury,1
teamInfo,Pranksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/pranksters69
00,Nadav Melamede
02,Max Rogers
03,Charles Harder
04,Ethan Lavallee
05,Vincent Sullivan
09,Toby Graf
10,Noah Gettings
11,Jack DiCola
13,Peter Mans
14,Jake Lyons
17,Aidan DeLorenzo
18,Max Zeltsar
19,Owen Snyder-Smith
20,Calder Lange
21,John Savage
23,William  Fenimore
24,Malachi Raymond
25,Louis Douville Beaudoin
34,Colman Bashore
44,Kai Hoadley
47,Liam Reynolds
53,Jorre Dahl
69,Grady Welsh
77,Jack Waitz
81,Geir Hartl
83,Gavin Rice
b,r,e,a,k
Davenport,12
teamInfo,Panthers,"Grand Rapids, Michigan",davenport.edu/sports/ultimate,,
coaches,Mike Zaagman,Joseph Cubitt
02,Juraj Hurny
03,Jahiem Upchurch
07,Landon Hall
09,Collin Colegate
10,James Pekel
11,Jacob Felton
12,Rowan Jamieson
14,Richard Dragicevich 
16,Ian Neal
18,Aidan Williams 
23,Joe Claramunt
24,Darren Dyer
26,Tyler Shanahan
27,Cameron  Meier
33,Samuel Rysko
34,Jonathan Newman
b,r,e,a,k
Lewis & Clark,8
teamInfo,Bacchus,"Portland, Oregon",https://www.instagram.com/bacchusultimate/?hl=en,https://www.facebook.com/bacchusultimate/,https://twitter.com/BacchusUltimate?lang=en
coaches,Sam Franer,Benjamin Whitenack,Christopher Olson,Jack Hochberg
02,Toby Rivera
03,Leo Farley
04,Charlie Wagner
07,Max Zwerin
08,Joniah Helperin-Lange
09,Ben Eichel
11,Sebastian  Williamson
12,Noah Goldberg
13,Akshay Bhatia
15,Benjamin Travers
16,Zoe Lang
17,Uri Boaz
18,David Allen
20,Oliver Sumners
21,James Fishman-Morren
28,Jonas Kra-Caskey
44,Tyler Shelton
50,Kahlil Gould-Bayba
71,William Ahlstrom
77,Daniel Corbo
83,Jericho Stern
b,r,e,a,k
Oberlin,13
teamInfo,Flying Horsecows,"Oberlin, Ohio",,,
02,Zachary Marshall
04,Ben Fuguet
05,Riah Burrows
08,Benjamin Parsons 
09,Jonah Feinstein
10,Braque Pike
11,Jack Ryan
12,Simon Korotzer-Mariani
13,Saxon Egge
20,Ryan Fontanez
24,Griffin O'Neal-Freeman
25,Alexander Hunkins
28,Ryan Ward
32,Charles Forster
35,Adam Wright
36,Issandro Trenard
52,Aaron Bedi
55,Bix Weissberg
66,Benjamin Eichner
69,Samuel  Guarino
71,Sebastien Kline
99,Soren Callahan
b,r,e,a,k
Oklahoma Christian,2
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,twitter.com/@OCEaglesulti
coaches,Garrett Taylor
0,Nathan Hunt
01,John Liaz
02,Thomas Preston
03,Micah Tatro
07,alex santai
09,Colin Dunn
10,David Peterson
11,Surafel Sharpe
14,Keagan Gustin
15,TJ Lee
16,logan krehbiel
17,Caleb Lance
22,Christian Johnson
24,Daniel Griffin
30,Kong Hui Lim
37,Logan Hammersmith
42,Cameron White
56,milton adina
57,Samuel Roberts
60,Emmanuel Kameri
69,Couper Kerns
74,Ryan  Loui-Ying
82,Gage Cowan
88,Joshua Gill
b,r,e,a,k
Richmond,7
teamInfo,Spidermonkeys,"Richmond, Virginia",https://sites.google.com/view/richmondspidermonkeys/home?authuser=0,,https://twitter.com/urspidermonkeys?s=21
coaches,Matthew Graves,Keys Pattie
00,Eli Beech-Brown
01,Maxwell Caputo
04,Alexander Ertel
05,Jeffy Joshy
06,Miles Goldman
09,Sam Hussey
10,Ethan Greeley
11,Anthony Longo
12,Luke Howey
13,Nicolas Moreira
14,Liam Gilpin
18,Michael Stein
20,Henry Groves
21,Eric Harnisher
24,Matt Fliegel
25,Sassan Fahim
27,Rowan Keller
30,Matthew Timoney
31,Devon Shepherd
35,Clay Rosselot
38,Christopher Elvin
40,Calvin Ciorba
44,Gabriel Graceffo
55,Nathan Winiarski
b,r,e,a,k
Rochester,14
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
01,Benjamin Goldstein
02,Dylan McKellips
03,Avi Skolnick
04,Ian Hill
06,Raffael Venterea
07,Sumedh Anantha Krishna 
08,Mitch Whisner
10,Noah Paradise
15,Teddy Schwartz
20,Cameron Lowe
22,Joel Escobar
23,Ruben Mendoza
26,David Leder
27,Emerson Jenen
29,Jacob Trokel
32,Timothy Loftus
33,Miles Frank
38,Benjamin Perry
40,John Mogyordy
42,Isaac Degenholtz
47,Sopheakdey  Bov
49,Adam Cummings
50,Jack Ringel
81,Ezra Tock
88,Abraham Lovich
b,r,e,a,k
Berry,11
teamInfo,Bucks,"Berry, Georgia",,,https://twitter.com/berry_bucks
coaches,Walter Ellard
0,Wyatt Johnson
01,Elliot Green
02,Ivan Khoo
04,Andrew Purcell
05,Ben Noerager
06,Gavin Zielke
07,Manuel Estevez
10,Mikey Curtis
12,Angelo Hernandez
13,Simon Dowdy
15,Matthew Peterson
16,William Hindman
17,Jackson Knox
18,Michael  Johnson
19,Copelan Brown
21,Jonathan Blake
22,Elijah Hoshide
23,Anthony Frattaroli 
24,Silas Camp
25,Collin Hill
26,Elliot Mayo
31,John Drury
34,Stephen Kise
42,Ian VanOrder
51,Ryan Perry
70,Adriel Portillo
b,r,e,a,k
St Olaf,3
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
coaches,Caleb Szydlo,Dave Truesdale,Luke Bleers,Aidan Clements
00,Eric Crosby Lehmann
01,Gordon Larson
02,Henry Geffert
03,Matthew Kompelien
04,Jake Schmidt
05,Luke Williams
06,Sean Rogers
07,Cade Ashland
08,Zane Ross
09,Owen Lehmkuhl
10,Daniel Brown
11,Will Brandt
12,Josh Stanton
13,Liam Griffin
14,Carter Petrella
16,Taro Jelinek
19,Jonas Geere
21,David  Kim
22,Carter Schafer
23,Loren Griffin
24,Jackson Forebaugh
33,Grant Klebig
42,Kemble Rains
46,Jake Magner
64,Hayden Fahnhorst
67,Luke Goeddeke
68,Maclain  Everson-Rose 
77,Max Sponseller
86,Kelby Anderson
89,Ethan Landgreen
91,Gabriel Badillo Moorman
99,Quinn Munson
b,r,e,a,k
Franciscan,6
teamInfo,Fatal,"Steubenville, Ohio",,https://www.facebook.com/franciscanfatalultimate/?fref=ts,https://twitter.com/FranciscanFATAL
00,Luke Forrester
01,Justin Wallace
02,Wesley Steele
03,Patrick Fontenot
04,Andrew Carmody
05,Anthony Camastro
07,Gian Asci
10,Luke Surovec
11,Joe Salitsky
13,John Cordier
14,Joseph Duerr
15,Nick Canavan
21,James Euston
24,Peter Free
36,Maximilian Schmiesing
44,Nathaniel Scott-Avery
51,Matthew Gregor
58,David Stamp
63,Jude Schmiesing
86,Matthew Evans
96,Joseph Dauchess
98,Luke Updike 
b,r,e,a,k
Bates,10
teamInfo,Orange Whip,"Lewiston, Maine",https://sites.google.com/bates.edu/batescollegeorangewhip/home,,https://twitter.com/bateso_whip?lang=en
00,Jack Huysmans
04,Finn Sheehy
07,Quinn Frank
10,Marco Willen
11,Miles Miller
13,Owen Haddad
15,Thomas Davis
16,Eno Little
18,Benjamin Morse
19,Daniel Snider
21,Eric Treyz
30,Benjamin Bushley
42,Noah Edmonds-Estes
71,Benjamin Sparks
72,Aidan Stark-Chessa
73,Wade Intrator
99,Zach Van Dusen
b,r,e,a,k
Missouri S&T,15
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
coaches,Brandyss Sherman-Hall,Michael Lahmeyer
02,Thomas Clayton
03,Wesley Fransen
04,Kevin Wyle
07,Owen Thoms
09,Andrew Clayton
12,Kana Chung
16,Sam Papin
18,Mitchell Gordon
21,Aidan Tow
22,Aidan Byrne
28,Zachary Sanders
33,Jacob Mathew
34,Thomas O'Hanlon
49,Shane Keeton
64,Kenneth Stanley
b,r,e,a,k
Williams,5
teamInfo,WUFO,"Williamstown, Massachusetts",http://williamsultimate.com,,https://www.twitter.com/wufoultimate
coaches,Will Savage
00,Reed Kendall
01,Sebastian  Espinal
02,Kawika Tu
03,Killian Reilly
05,Eric Zhou
06,Alexander Kim
08,Charles Tantum
10,Presley Smith
11,Karthik Subbiah
12,Nathaniel Snow
14,Leo Gentile
17,Reece Overholt
19,Amir Jeudy
22,Aidan Slovinski
23,Minh-Huy Le
24,Kjellen MacBain
27,David Kimberly
29,Wade Buchheit
32,Nicholas Bollman
35,Orr Teva
41,Danny Klein
76,Kai LaMothe
87,Christopher Brown
88,Kiva Zimmerman
91,Adam Kohn
92,William Beyreis
b,r,e,a,k
Whitman,4
teamInfo,Whitman Sweets,"Walla Walla, Washington",,https://www.facebook.com/Whitman-Sweets-Mens-Ultimate-236959183065222/,https://twitter.com/MWhitman_Sweets
00,Max Fleming
01,Jasper Brown
02,Owen Alvord
03,Connor Scott
07,Colin Pfister
08,Dash Fitzgerald
09,brodie monohan
10,Hans Frautschi
11,Daniel Sutton
13,Soren Severens
14,Larson Selvig
15,Wade Nichols
17,Benjamin Canty
18,Henry Currie
20,Sawyer Linehan
21,Lyle Hahn
22,Nico Darringer
29,Cooper Andersen
33,Kai Kirsch
34,Liam O’Shea 
35,Elan Siegler
62,Leo Dungan-Seaver
b,r,e,a,k
Carleton College-CHOP,9
teamInfo,Carleton House of Pancakes,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/chop_rocks
coaches,Matt Forster,Michael Massad
0,Pah Na
01,Collin Pearson
02,Miles Collins
03,Tomomi Perry
04,Emmett Forster
06,Jonah Barer
07,James Texter
08,Andrew Yeh
10,Henry Weismann
11,Beckett Schafer
12,Liam Atkins
13,Gabriel Driscoll
14,William Anderson
15,William Hassell
17,Graham Gordon
18,Jesse Barker Plotkin
19,Jonah Tannen
21,Danny Shope
22,Gavyn Jensen-Schneider
23,Alex Gran
24,Ed Dowling
30,Adam Ali
33,Ami Endo
43,Nathan Wang
57,Christopher O'Mara
62,Liam Etelson
68,Cameron Dolbow
81,Elk Thomas-Toth
85,Henry Nieckarz
90,Brendan Banfield
b,r,e,a,k
Claremont,16
teamInfo,Braineaters,"Claremont , California",https://www.brainsultimate.com,,https://twitter.com/BrainsUltimate
coaches,Walter Kasprzycki
00,Samuel Winkler
02,Michael Yu
03,Arenaria Cramer
04,Sebastian Heredia
05,Jacques Paradis
07,Elias Gradinger
08,Emmett Levine
09,Ezra Marcus-Tyler
10,Tanveer Singh Chabba
15,Sloan Senofsky
16,Leo Furr
20,luxuan Chang
23,Johnny Russell
28,Jamie Miller
30,Isamu Masayoshi Sims
31,Sam Fischer
43,Griffin Campion
56,Clay Rasmussen
71,Elijah Axt
77,Jeremy Kaufman
80,Isaiah Curtis 
88,Noah Pershing
93,Jack Sheehan
99,Jacob Leichter Wilson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Middlebury,Davenport,15,8,"05/18/2024, 08:30",Pool A,Final
Lewis & Clark,Oberlin,15,10,"05/18/2024, 08:30",Pool A,Final
Middlebury,Oberlin,15,7,"05/18/2024, 10:45",Pool A,Final
