2024 East Coast Men's Sectional Championship,Club - Men ,7,9,2024
Chattanooga,TN,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-East-Coast-Mens-Sectional-Championship/schedule/Men/Club-Men/
Little Red Wagon,1
teamInfo,,"Atlanta, Georgia",,,
0,Alex Winsness
0,Alex Liu
0,Andrew Chung
0,Cole Flournoy
0,Daniel Price
0,Ishaan Dave
0,Jacques Perivier
0,Jason Evans
0,Matthew Davidorf
0,Matthew Hardman
0,Michael Price
0,Victor Lesniewski
3,Matthew Knowles
7,Christopher Zuo
8,Samuel Munnis
10,Adam Burgess
12,Jeremy Sanders
13,Flavius Penescu
33,Devon Rogers
35,Drew Wentworth
39,Jarrett Swanson
42,Jon Fey
63,Zubair Abdulla
72,Rylan Gordon
81,Joseph Burns
91,Matthew Allan
b,r,e,a,k
Nocturnal,8
teamInfo,,"Nashville, Tennessee",,,https://x.com/nashnocturnal?s=21&t=ys11M78omUf_sVAeUhU03Q
0,Sterling Grant
1,Brian Vilayphanh
2,Brendn Swam
3,Charles Wheeler
5,Joseph Brown
7,Nate Niles
8,Zane Ransburgh
9,Aaron Jolly
10,Will McGilvra
11,Eugene Michael Campos
12,Maguire Heady
17,Brian Greenbaum
18,Shelby Salkar
19,William Dickens
21,Felix Curley
23,Charles Kidd
28,Will Mims
43,Matthew Carmichael
51,Christian Cendrowski
53,Kyle Maples
75,Jake Shoyer
81,Hunter Beard
88,Christian Strom
90,William Huser
96,Dillon Knight
b,r,e,a,k
Space Cowboys,9
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,Austin Rauch
0,Brandon Creasap
0,Cal Cheek
0,Christopher LoFrese
0,Devin Beckerle
0,Gray Fisher
0,Nicholas Borchich
0,William Smolka
2,Daniel Sargent
3,Jackson Sudermann
4,Lane Hudson
5,Ian Stone
7,Eric Gluckman
8,Jonathan Brennan
19,Ari Livanos
20,Quentin Fossing
25,Julian Cacua
27,Jacob Goyne
29,Brian Carbon
29,Liam Chandler
