East Plains Mens Sectionals,Club - Men ,6,9,2014
Versailles,OH,2014-09-06,2014-09-07
https://play.usaultimate.org/events/East-Plains-Mens-Sectionals/schedule/Men/Club-Men/
HIGH FIVE,1
teamInfo,,"Ann Arbor, Michigan",,modules/common/www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
01,Alex Edinger
02,Christo Ferguson
03,Matt Wilken
05,Travis Martin
06,James Highsmith
06,ELI LEONARD
07,Jesse Ellwood
09,John-Michael Guest
10,Nate Pascale
11,CHARLES HYDE
12,KRISTOPHER COLEY
15,Sam Greenwood
20,Tierney Fitzgerald
21,Ben Ayres
22,Michael Dagher-Margosian
23,Andy Barnhart
24,ALEXANDER HEATLIE
28,Michael Jahn
32,Alexander Russomanno
33,Noah Fisher
34,Jesse Buchsbaum
42,Ryan Schechtman
44,Nicholas Kolderman
55,Johnny Bansfield
77,David Wozniak
82,Seth Buchsbaum
98,Braeden Emrick
b,r,e,a,k
CAKti,9
teamInfo,,"Canton-Akron, Ohio",,,@CAKti_Ultimate
1,Zack Valletta
02,Jonathan Mast
03,Richard Copley
05,Josh Graber
06,Matt Woods
07,Stephan Maxe
08,PAUL FOLK
09,KYLE PLATT
10,Anthony Davis
13,Doug Meislahn
17,nathanael Rodd
18,MATT PETERSON
20,CAMDEN HAYES
21,DANIEL MORGAN
25,ALEX RUFF
26,Jacob Lamier
27,Felipe Delgado
29,Christian Martin
42,P. Mike Rattanasengchanh
99,KYLE BENSEN
b,r,e,a,k
Jurassic Shark,8
teamInfo,,"Toledo, Ohio",,,
0,Marc Soldini
0,Cole Osborn
0,Brendan Schwalm
0,MONTE JONES
0,ALEX GILSON
1,Joshua Lyder
2,Evan Hughes
4,CHAD SCHRAMM
5,MICHAEL SMITH
6,AARON COOLMAN
6,DANNY HUNT
9,Christopher Auman
10,DREW WOOD
11,ALEXANDER HUNT
13,John Akers
14,RYAN HOFFER
21,Patrick Krantz
31,jeremy klosterman
33,TIM SHREEVE
33,Austin Winner
67,Ross Osborn
69,Timothy Chrzanowski
85,Dafeng Chen
99,Alex Smith
b,r,e,a,k
Lunchbelly,17
teamInfo,,"Columbus, Ohio",,,
0,Jacob Bailey
0,TANNER WIELAND
7,Anthony Lokar
03,KEVIN SMEARSOLL
06,ETHAN SPADE
08,Zachary Weaver
09,Ryan Kindell
10,RYAN KAST
11,DAVID ABOOD
17,Ben Krumpelman
20,Andrew Klarner
23,Benjamin Whiteman
24,JEREMY MOSS
25,Dan Urbanek
26,Jon Simpson
b,r,e,a,k
Ghetto Farce,16
teamInfo,,"Dayton, Ohio",,,
0,Ryan Schubert
0,BRANDON RUSH
0,BRENDAN BALASKO
0,Patrick Murphy
12,JORDAN MANKE
17,Conner Haenszel
38,ERIK MYERS
43,Stephen Moore
72,Matthew Michalak
77,Scott Klein
b,r,e,a,k
Madcow,2
teamInfo,,"Columbus, Ohio",http://www.madcowultimate.com/,https://www.facebook.com/pages/Madcow-Ultimate/157287037421?ref=br_tf,https://twitter.com/madcowultimate
0,Stephen Mckinney
1,Shawn McCarthy
2,JOE TARIS
3,Justin Baumann
4,Eric Schumacher
7,Cody Fox
8,JESSE WOHL
9,Michael Meilstrup
11,Christopher Misleh
13,Tim Meyers
14,HAMZA DODO
15,Ethan Stahlman
19,Andrew Theiss
23,Paul Arters
25,Scott Schriner
27,Brandon Thomas
41,Adam Turner
45,Kevin Baumann
47,Phil Cherosky
50,Jon DeAmicis
66,Zachary Ford
70,Jacob Turner
99,Kevin Ryan
b,r,e,a,k
Midnight Meat Train,7
teamInfo,,"Grand Rapids, Michigan",,,
0,Gabriel Anzivino
0,Tyler Hanna
0,Alex Horn
0,Mike Zaagman
0,Adam Koehler
12,Conner Carrico
16,Jeff Martin
19,Luke Rynbrandt
22,Joe Deppe
23,Tyler Denooyer
23,Marty Dekker
27,Nathan Sherman
49,JACOB BAXTER
74,JONATHAN CERNANEC
79,NATHAN EMMERT
b,r,e,a,k
Spoiler,10
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/SpoilerUltimate
0,Michael Digiovanni
0,Benjamin Bielajew
0,Robert (Bobby) Moyer
0,Zachary Goulson
0,ZACH LEMIS
0,Alexander Gaggino
0,Jack Singleton
0,Ryan Silvester
0,Benjamin Page
0,Noah Weber
0,Matt Cornish
0,Victor Arena
0,Max Teener
0,Parker Howard
2,TODD HERSHBERGER
7,Jonathan Lee
8,CHAD MILANDO
12,Krishna Mahajan
17,Jake Moyer
17,Andrew Foldesi
22,Nathan Adamski
26,Owen Funk
41,Daniel Lee
66,Daniel Fonte
83,Andrew Curtin
87,Josh Becker
91,Nicholas Simopoulos
b,r,e,a,k
Revolution,18
teamInfo,,"Cincinnati, Ohio",,,
11,John Morris
13,Luke Monnin
20,Josiah Kenniv
21,DANIEL SCHUSTER
22,Dominic Schuster
30,Jordan Monnin
33,Frank Strasser
34,JAY RATAJCZAK
39,NICHOLAS BISSONNETTE
43,Stephen Kenny
77,Tom Koch
89,EVAN BISSONNETTE
98,Jeremy Bucher
b,r,e,a,k
FoG,15
teamInfo,,"Cincinnati, Ohio",,,
0,Peter Tran
0,JAMES FOLEY
0,Russell Johnson
0,Ian Stevens
0,Samuel Lieberman
0,ROBERT BATTY
0,Robert (Bob) Scheadler
0,Neal Earley
0,Nick Shaver
0,Tim Wolff
0,Kyle Root
0,David Arters
0,David Schenck
0,Michael Kaylor
0,MARK STREVELS
10,Steve Loomis
20,David Fry
88,Tom Phillips
b,r,e,a,k
BroCats,3
teamInfo,,"Athens, Ohio",,,https://twitter.com/BroCatsUltimate
0,KYLE HONE
0,Andrew Ball
0,Lloyd Furuta
0,SCHUYLER REDDING
0,Nigel Daniels
0,TRAVIS NEAL
0,Nicholas Wetzel
0,Mike Bruce
0,MARK HRITZ
0,MATTHEW DOWNIE
0,ALEXANDER DOKSA
0,Logan Kruger
0,Cody Petitt
0,JAMES HERRON
0,DANIEL OLSON
0,CONNOR HUNT
