Great Lakes Men's Regionals,Club - Men ,20,9,2014
West Chester,OH,2014-09-20,2014-09-21
https://play.usaultimate.org/events/Great-Lakes-Mens-Regionals/schedule/Men/Club-Men/
Chicago Machine,1
teamInfo,,"Chicago, Illinois",https://www.youtube.com/user/MachineUltimate,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
0,Jonathan Helton
01,Craig Poeppelman
04,Patrick Shriwise
06,Xtehn Frame
07,Brett Kolinek
08,Stephan Mance
09,Charlie Hubbard
10,Von Alanguilan
11,Bob Liu
15,Andrew Sheehan
17,Tom Annen
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
21,David Wiseman
25,Ron Kubalanza
26,Kevin Kelly
29,Taylor Kraemer
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
51,Andrew (AJ) Nelson
58,Christopher Vandervoort
64,Neal Phelps
76,BEN REHMANN
b,r,e,a,k
Kentucky Flying Circus,13
teamInfo,,"Harlan, Kentucky",kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
00,Ben Sever
00,Michael Rudy
00,ALEX BERUSCHA
00,MICHAEL SENDELBACH
00,Colin Grandon
00,Chaz DeBord
00,Aaron Corley
00,Tyler Williams
00,Preston Goulson
00,Darin Graves
00,Russell Allen
00,Eric Brinkman
00,Larry Farmer Jr
00,Philip Hills
00,Matt Brown
00,Chris Gallagher
00,Josh Turner
00,BEN BLATZ
00,Kane Olson
00,Corey Hardesty
00,JOE KOZICKY
00,Benjamin Parris
00,Jesse McInturf
00,JASON MCGEENEY
00,BRIAN PATE
00,Anthony (Tony) Hobert Jr
00,Scotty Crabtree
b,r,e,a,k
Haymaker,8
teamInfo,,"Chicago, Illinois",,,
00,Richard Aycock
00,Michael Hanley
02,Ricky Chung
03,Michael Egan
04,Alex Drlica-Wagner
05,Richard Andy Spencer
07,Dean Acheson
08,Joshua Stevens-Stein
09,Robert Berg
10,Eugene Chong
11,Cameron Albin
12,Rodrigo Arcibar
13,Kevin Jamieson
15,James Wolf
17,Rob Greenberg
22,Alexander Rummelhart
23,Keith Hernandez
24,Andrew Fischer
27,Andy Leinbach
33,John Malloy
44,ANDREW BAILL
45,Gary LeDonne
47,Dan Kang
54,Alex Stumphauzer
63,Zubair Abdulla
66,William Schmitt
96,Daniel Baker
b,r,e,a,k
CAKti,12
teamInfo,,"Canton-Akron, Ohio",,,@CAKti_Ultimate
01,Zack Valletta
02,Jonathan Mast
03,Richard Copley
05,Josh Graber
06,Matt Woods
07,Stephan Maxe
08,PAUL FOLK
09,KYLE PLATT
10,Anthony Davis
13,Doug Meislahn
17,nathanael Rodd
18,MATT PETERSON
19,Jacob Lowden
20,CAMDEN HAYES
21,DANIEL MORGAN
26,Felipe Delgado
26,Jacob Lamier
29,Christian Martin
42,P. Mike Rattanasengchanh
69,Adam Green
99,KYLE BENSEN
b,r,e,a,k
HIGH FIVE,2
teamInfo,,"Ann Arbor, Michigan",,www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
01,Alex Edinger
02,Christo Ferguson
03,Matt Wilken
05,Travis Martin
06,James Highsmith
07,Jesse Ellwood
08,ELI LEONARD
09,John-Michael Guest
10,CHARLES HYDE
11,ALEXANDER HEATLIE
12,KRISTOPHER COLEY
15,Sam Greenwood
20,Tierney Fitzgerald
21,Ben Ayres
22,Michael Dagher-Margosian
23,Andy Barnhart
28,Michael Jahn
32,Alexander Russomanno
33,Noah Fisher
34,Jesse Buchsbaum
42,Ryan Schechtman
44,Nicholas Kolderman
55,Johnny Bansfield
77,David Wozniak
82,Seth Buchsbaum
98,Nate Pascale
98,Braeden Emrick
b,r,e,a,k
Midnight Meat Train,11
teamInfo,,"Grand Rapids, Michigan",,,
00,Luke Rynbrandt
00,Tyler Denooyer
00,Marty Dekker
00,Nathan Sherman
00,Joe Deppe
00,Gabriel Anzivino
00,Tyler Hanna
00,Alex Horn
00,Conner Carrico
00,Jeff Martin
00,JONATHAN CERNANEC
00,NATHAN EMMERT
00,Mike Zaagman
00,Adam Koehler
00,JACOB BAXTER
b,r,e,a,k
Beachfront Property,7
teamInfo,,"Chicago, Illinois",,,
0,ANDREW PAUL EDWARDS
0,MICHAEL CALDERBANK
0,Jeffrey Spetter
0,Nick Myhre
0,Alex Nimmer
0,Alex Birko
0,Milo Korman
0,BEN CARVER
0,Drew Levorsen
0,Kyle Sternkopf
0,Michael Ng
1,NICK PROZOROVSKY
2,MARK MASTRANGELO
3,Casey Degnan
5,Alex Shipps
00,JAMES TUNNEY
00,CY HENDRICKSON
00,Michael Wormley
06,Bradley Bolliger
10,Robert Lau
14,David Geeslin
16,Nick Lindeke
27,Edward Speyer
28,Tom Abell
33,Wesley Groth
45,Jeff Robinson
81,Michael McCafferty
b,r,e,a,k
Taft-Punk,14
teamInfo,,"Cincinnati, Ohio",,,
0,Daniel Latz
0,CHRIS KISH
0,Joshua Fisher
0,Blake Weaver
0,Steven Kolp
0,Timothy Hale
0,Brandon Cannell
0,Gregory Dinan
0,ZACHARY WARNER
5,Alexander Riahi
7,THOMAS HEIN
12,YOUSSEF EL-BARRAD
13,John Cassidy
15,Zachary Radcliff
18,Kevin Parker
23,Patrick Cannell
98,Lucas Tarnowski
b,r,e,a,k
Madcow,3
teamInfo,,"Columbus, Ohio",http://www.madcowultimate.com/,https://www.facebook.com/pages/Madcow-Ultimate/157287037421?ref=br_tf,https://twitter.com/madcowultimate
00,Stephen Mckinney
01,Shawn McCarthy
02,JOE TARIS
03,Justin Baumann
04,Eric Schumacher
07,Cody Fox
08,JESSE WOHL
09,Michael Meilstrup
11,Christopher Misleh
13,Tim Meyers
14,HAMZA DODO
15,Ethan Stahlman
19,Andrew Theiss
23,Paul Arters
25,Scott Schriner
27,Brandon Thomas
41,Adam Turner
45,Kevin Baumann
47,Phil Cherosky
50,Jon DeAmicis
66,Zachary Ford
70,Jacob Turner
99,Kevin Ryan
b,r,e,a,k
Black Market,6
teamInfo,,"Naperville, Illinois",,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
00,Sean Hill
00,Chris Santiago
00,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
05,Jimmy Wiesbrock
06,Kevin Cleary
07,Adam Wright
08,Johnny Saniat
10,Max Willis
11,JONATHAN MCKOY
12,Chris O'Connell
13,Daniel Miller
16,Kevin DeAngelis
19,Steven Czechowski
22,Brian Rathunde
23,Ryan Smith
29,James Roush
34,Christopher O'Hara
39,Ross Tuttle
42,Nathan Kinsinger
46,KEVIN BIRCHOK
57,Max Richards
80,Peter Bennett
81,Chris Buchta
88,Kevin Bruns
b,r,e,a,k
Enigma,10
teamInfo,,"Dayton, Ohio",http://enigmaultimate.blogspot.com/,,
0,JT FISCHER
01,Michael Mills
02,Evan Wilder
03,CHRIS PICKARD
05,TODD CHAMBERLAIN
06,JASMINDER GREWAL
07,JACK KELLY
08,Zach Peugh
09,Alex Flamm
10,Chad Gregory
11,Michael Koho
13,Benny Rider
15,Brian Walsh
16,KAZ TEOPE
17,Alex Semaca
19,Dylan Corwin
22,Matthew Muhlenkamp
27,Ian Cannon
34,Joshua Fries
37,Tony Donato
54,Avery Moeller
66,ZACH KNIGHT
68,DAN MINER
73,Adam Luthman
76,Jordan Kinde
88,MATTHEW MCDONALD
97,Alan Huels
b,r,e,a,k
Jurassic Shark,15
teamInfo,,"Toledo, Ohio",,,
0,Marc Soldini
0,Cole Osborn
0,Brendan Schwalm
0,MONTE JONES
0,ALEX GILSON
1,Joshua Lyder
2,Evan Hughes
3,Eric Hubbard
4,CHAD SCHRAMM
5,MICHAEL SMITH
6,AARON COOLMAN
6,DANNY HUNT
9,Christopher Auman
10,DREW WOOD
11,ALEXANDER HUNT
13,John Akers
14,RYAN HOFFER
21,Patrick Krantz
31,jeremy klosterman
33,Austin Winner
33,TIM SHREEVE
67,Ross Osborn
69,Timothy Chrzanowski
85,Dafeng Chen
99,Alex Smith
b,r,e,a,k
BroCats,4
teamInfo,,"Athens, Ohio",,,https://twitter.com/BroCatsUltimate
0,Nicholas Wetzel
0,William Kent Butler
0,MATTHEW DOWNIE
0,Logan Kruger
0,ALEXANDER DOKSA
0,SCHUYLER REDDING
0,Nigel Daniels
0,KYLE HONE
0,MARK HRITZ
0,Lloyd Furuta
0,Mike Bruce
0,Andrew Ball
0,TRAVIS NEAL
0,ERIC CONVERSE
0,Cody Petitt
0,DANIEL OLSON
0,CONNOR HUNT
0,JAMES HERRON
4,ANDREW BAUMGARTNER
7,Todd Grace
12,Mitch Cihon
21,Connor Haley
28,MICHAEL JURATOVAC
44,Luke Eastman
63,Andrew Foley
88,Robert Olson
99,Andrew Grogan
b,r,e,a,k
Brickyard,9
teamInfo,,"Indianapolis, Indiana",,,
00,Brian Ventura
00,Rick Gross
00,Steven Naji
00,Jason Yoder
00,Nathan Page
00,Kyle Cox
00,William (Drew) Shepherd
00,Eric Johnson
00,Nickolas Hutton
00,Lance Young
00,Travis Carpenter
00,Jarod Brock
00,Joseph Cari
00,Chris Ginet
00,Benjamin Gerroll
00,Levi Jacobs
00,Donovan Triplett
00,STEVEN HIGHTSHUE
00,Connor Halloran
00,Phillip Simcox
00,Cameron Brock
00,John Cecil
00,Samuel Sohn
00,Alexander Hutton
00,David Hortemiller
66,ERIC LEONARD
b,r,e,a,k
Smokestack,5
teamInfo,,"Cleveland, Ohio",http://smokestackultimate.com/,,https://twitter.com/CLE_Smokestack
00,Michael Fioramonti
00,Kyle Murray
00,Jacob Lunn
00,Daniel Young
00,DANIEL LEHMAN
00,Daniel Lynch
00,COLIN DUKLES
00,Richard Stacklin
00,Joseph Marmerstein
00,Erik Lindberg
00,Ethan Yourd
00,Zach Johnston
00,Adam Davenport
00,Jason Beffel
00,Robert Strohmeyer
00,Adnan Raslan
00,John Marotta
00,David Picone
00,SAM NEMETH
00,MATT TEDESCO
00,Aidan Shapiro-Leighton
00,Weston Miller
00,Jeffrey Brauning
05,Amir Kaghazwala
10,Eric Zarobila
82,Dutch Kirkman
b,r,e,a,k
Bear Jordan,16
teamInfo,,"Chicago, Illinois",,,https://www.twitter.com/JumpBear23
00,Cooper Lane
03,Justin Prevost-Schultz
04,ERIC DAHL
05,BRADLEY MATOLA
06,BRENT  GUSTAFSON
08,GARRETT MCLINN
10,RYAN KOLEGAS
11,TIMOTHY KRUMLAND
12,Scott Sivright Jr
13,Thomas Williams
15,Carlton Nelson
19,John Morton
21,Dan Holley
22,MICAH SUSSMAN
23,Jonathan Burrell
24,Greg Wycklendt
28,Alexander McEachin
29,Ross Price
31,Daniel Miller
33,DAVID IRWIN
37,Steve Janda
45,Matt West
47,BRIAN PORRETT
91,PATRICK KIMUTIS
99,Zach Zebarth
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Chicago Machine,CAKti,13,3,"09/20/2014, 10:45",Pool A,Final
Haymaker,Kentucky Flying Circus,7,11,"09/20/2014, 10:45",Pool A,Final
Chicago Machine,Kentucky Flying Circus,13,1,"09/20/2014, 12:30",Pool A,Final
Haymaker,CAKti,13,9,"09/20/2014, 12:30",Pool A,Final
Chicago Machine,Haymaker,13,5,"09/20/2014, 14:15",Pool A,Final
CAKti,Kentucky Flying Circus,3,13,"09/20/2014, 14:15",Pool A,Final
pool,Pool B
HIGH FIVE,Midnight Meat Train,13,8,"09/20/2014, 09:00",Pool B,Final
Beachfront Property,Taft-Punk,13,5,"09/20/2014, 09:00",Pool B,Final
HIGH FIVE,Taft-Punk,13,5,"09/20/2014, 10:45",Pool B,Final
Beachfront Property,Midnight Meat Train,8,13,"09/20/2014, 10:45",Pool B,Final
HIGH FIVE,Beachfront Property,13,8,"09/20/2014, 12:30",Pool B,Final
Midnight Meat Train,Taft-Punk,13,6,"09/20/2014, 12:30",Pool B,Final
pool,Pool C
Madcow,Enigma,12,11,"09/20/2014, 09:00",Pool C,Final
Black Market,Jurassic Shark,13,5,"09/20/2014, 09:00",Pool C,Final
Madcow,Jurassic Shark,11,6,"09/20/2014, 12:30",Pool C,Final
Black Market,Enigma,13,8,"09/20/2014, 12:30",Pool C,Final
Madcow,Black Market,10,8,"09/20/2014, 14:15",Pool C,Final
Enigma,Jurassic Shark,12,11,"09/20/2014, 14:15",Pool C,Final
pool,Pool D
BroCats,Brickyard,11,7,"09/20/2014, 09:00",Pool D,Final
Smokestack,Bear Jordan,13,9,"09/20/2014, 09:00",Pool D,Final
BroCats,Bear Jordan,13,3,"09/20/2014, 10:45",Pool D,Final
Smokestack,Brickyard,9,10,"09/20/2014, 10:45",Pool D,Final
BroCats,Smokestack,13,11,"09/20/2014, 14:15",Pool D,Final
Brickyard,Bear Jordan,13,4,"09/20/2014, 14:15",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Chicago Machine,HIGH FIVE,15,10,"09/21/2014, 13:00",1st Finals,Final
Chicago Machine,BroCats,15,3,"09/21/2014, 11:00",1st Semis,Final
Madcow,HIGH FIVE,7,14,"09/21/2014, 11:00",1st Semis,Final
Chicago Machine,Enigma,15,5,"09/21/2014, 09:00",1st Quarters,Final
BroCats,Beachfront Property,12,10,"09/21/2014, 09:00",1st Quarters,Final
Madcow,Haymaker,15,7,"09/21/2014, 09:00",1st Quarters,Final
HIGH FIVE,Smokestack,15,8,"09/21/2014, 09:00",1st Quarters,Final
Midnight Meat Train,Enigma,13,14,"09/20/2014, 16:30",1st PQ,Final
Black Market,Beachfront Property,8,15,"09/20/2014, 16:30",1st PQ,Final
Haymaker,Brickyard,15,12,"09/21/2014, 16:30",1st PQ,Final
Smokestack,Kentucky Flying Circus,11,10,"09/21/2014, 16:30",1st PQ,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,3rd Place Bracket
BroCats,Madcow,9,15,"09/21/2014, 13:00",3rd Place Game,Final
bracket,5th Place Bracket
Haymaker,Beachfront Property,9,13,"09/21/2014, 13:00",5th Place Game,Final
Enigma,Haymaker,6,15,"09/21/2014, 11:00",Placement,Final
Beachfront Property,Smokestack,11,9,"09/21/2014, 11:00",Placement,Final
b,r,e,a,k
brackets,Consolation
bracket,9th Place Bracket
Enigma,Brickyard,0,0,"09/21/2014, 11:00",Consolation,Scheduled
Kentucky Flying Circus,Smokestack,0,0,"09/21/2014, 11:00",Consolation,Scheduled
Midnight Meat Train,Brickyard,11,15,"09/21/2014, 09:00",Consolation,Final
Black Market,Kentucky Flying Circus,8,15,"09/21/2014, 09:00",Consolation,Final
bracket,13th Place Bracket
