Spring Awakening,College - Men ,22,3,2014
Saratoga Springs,NY,2014-03-22,2014-03-23
https://play.usaultimate.org/events/Spring-Awakening/schedule/Men/CollegeMen/
Bentley,9
04,Charles Mott
07,ETHAN EDMANS
08,IAN KELLEY
11,JAMES WHITE
14,Louis Pratt
15,Chris Linkletter
22,Austin Hills
25,Timothy Berglin
26,John BURKE
31,PETER ALFORD
36,Justin Aragosa
38,Ben Lounsbery
42,JOEL WHITMORE
44,NATHAN TABOR
67,Kevin Egan
84,Troy Lounsbury
b,r,e,a,k
SUNY-Cortland,20
teamInfo,Team Rocket,"Cortland, New York",,,
0,victor spadaro
0,Arjun Ramani
0,Eric London
0,Steven Malouf
0,Cody Updike
0,KYLE MCPADDEN
0,Dylan Winter
0,Dan Grogan
0,Michael Ortiz
0,CALEB KNEESHAW
0,RANDY WERKMEISTER
2,CHARLIE KENLINE
11,Tim Kominos
13,SCOTT CURRY
17,ANTHONY TERZOLO
21,MATTHEW ALMES
33,MICHAEL HILL
62,MATTHEW BISHOP
80,Anthony Coppola
91,PHILIP  RASCONA
94,James  O'Connell
b,r,e,a,k
Siena,12
teamInfo,Siena Saints,"Albany, New York",,,
00,Max Morse
00,Conor McDonald
00,Robert Ewing
00,Anthony Pelliccia
00,Adam Nelson
00,Jonathan McRae
00,LUIS ROYO ROMERO
00,Kyle Sloup
00,John Schoonmaker
00,David Hall
00,Mike Montaruli
11,Adam Mihalek
b,r,e,a,k
College of New Jersey,17
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,
00,JOSEPH SCHWINDT
00,John Irvine
00,Dmitry Suvorov
00,Colin Kochenash
00,JASON PFUND
00,BRIAN MIGLIORE
00,NICHOLAS CASCIA
00,Derek Carper
00,Brian Litt
00,Cole Knaster
00,Alec Antunes
00,LUCAS J. SNARSKI
00,JOSHUA KESTENBAUM
00,KEITH O'HANDLEY
00,Max Gruttadauria
00,Nicholas Landolfi
00,Kevin Lakritz
00,David Kosoy
00,JAMES ETHERIDGE
00,Jordan Disick
00,Levi Klinger- Christiansen
00,Michael Jozwiak
00,CHARLES GUNNINGHAM
00,David Hubert
b,r,e,a,k
Skidmore,13
teamInfo,open),"Saratoga Springs, New York",,,https://twitter.com/Seabiscuit_Ulti
0,Patrick Thieringer
0,Sky Segal-Wright
0,Jack Steketee
0,Samuel Sinemus
0,NOAH KERNIS
0,Richard Landry
0,ALLAN BROWN
0,Maxwell Koenig
0,Andrew Frank
0,JOHN SCHNEIDER
0,Rob Pierce
0,Charles Tetelman
0,Kevin Wang
0,Matt Gaydar
0,Nicholas Cleves
0,MAX CONLEY
13,Antonio Valentin
14,Joshua Norton
18,Graham Turner
b,r,e,a,k
Cornell (B),16
teamInfo,Shake),"Ithaca, New York",https://orgsync.com/73413/chapter,,
00,CONRAD HAIN
00,Howard Weisz
00,Kyle Easop
00,Ashwin Murthy
00,Bryan Warrington
00,LEE CHANG
00,Yuchen Sun
00,Mike Walker
00,ELLIOTT CASPARIAN
00,Brendan Bloodnick
00,Lee Blecher
00,Walker Grimshaw
00,Donald Quinones
00,Jacob Gaines
00,Kyle Darling
00,RYAN DOUMA
00,Tristan Keil
00,JOSEPH GOLDBERGER
00,KYLE RUDGE
00,WILLIAM PETTEE
00,Samuel Hoffman
00,Max Van Zile
00,ALEXANDER AGNE
13,Daniel Vandam
b,r,e,a,k
Tufts (C),21
teamInfo,Tufts C,"Medford, Massachusetts",www.tuftsemen.org,,
0,JEM WILNER
0,DAVID  KHEYMAN
0,Alex Jackson
0,ADAM ZIEBA
0,CHRISTOPHER SHULTZ
0,Hiram Reynolds
0,CHRISTOPHER RODRIGUEZ
0,Morgan Gellert
0,JESSE GERSHMAN
0,Jacob Barr
0,ZACHARY FLICKER
0,DANIEL GARFIELD
0,MARC BUCCHIERI
0,Orlando Economos
27,IAN GRAY
48,Benjamin Skach
b,r,e,a,k
Tufts (B),14
teamInfo,Tufts B,"Medford, Massachusetts",www.tuftsemen.org,,
0,Cornell Wilson
0,Raphael Parens
0,NATHAN HARADA
0,SAWYER MCLAUGHLIN
0,MATT LONG
0,WILL NORRIS
0,David McIntyre
0,CHARLES YI
0,MARTIN VAN MIERLO
0,JACOB ROSENBERG
0,Nick Harmon
0,Kevin O'Brien
0,TROY HARRINGTON-WOODARD
0,BEN ZUCKERT
0,JESSE COOPER
2,Owen Martin
7,Torsten Johnson
15,Tyler Starr
29,BEN WINKEL
36,KEVIN HEBARD
77,Walton (Yuito) Lee
83,DOUG DAVIS
99,Brandon Mestnik
b,r,e,a,k
Muhlenberg,22
teamInfo,Flying Squirrels,"Allentown, Pennsylvania",email:%20muhlenbergultimate@gmail.com,https://www.facebook.com/groups/32938927289/,https://twitter.com/MCFlynSquirrels
00,David Peitzer
00,Alex Solomon
00,Joe Bond
00,Jordan Simmons
00,Jason Ulman
00,David Budnick
00,Aaron Schwartz
06,Jeremy Fus
12,ZACHARY CHARREN-DIEHL
13,James Custer
16,EMILY SACHS
18,Seth Fried
19,Ben Schuster
84,Matt Lubitz
91,Samuel Goldman
b,r,e,a,k
Brown (B),15
teamInfo,Brown - B,"Providence, Rhode Island",,,
0,AUSTIN MERTZ
0,Jacob Douglas
0,SAMUEL MASSION
0,MICAH SWANN
0,Michael Rowland
0,Jonathan Sheinfeld
0,GEORGE STEELE
0,Yotam Tubul
0,Max Lesser
11,Finn van Krieken
29,Jaime Jimenez
77,Matthew Wong
87,Matthew Knowlton
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Queens-Kingston,Bentley,11,12,"03/22/2014, 10:00",Pool A,Final
Wentworth,Columbia,11,12,"03/22/2014, 10:00",Pool A,Final
Queens-Kingston,Stevens Tech,10,12,"03/22/2014, 11:40",Pool A,Final
Columbia,Bentley,7,13,"03/22/2014, 11:40",Pool A,Final
Stevens Tech,Columbia,10,12,"03/22/2014, 13:20",Pool A,Final
Wentworth,Bentley,7,13,"03/22/2014, 13:20",Pool A,Final
Wentworth,Stevens Tech,6,13,"03/22/2014, 15:00",Pool A,Final
Queens-Kingston,Columbia,12,13,"03/22/2014, 15:00",Pool A,Final
Queens-Kingston,Wentworth,13,10,"03/22/2014, 16:40",Pool A,Final
Stevens Tech,Bentley,9,12,"03/22/2014, 16:40",Pool A,Final
pool,Pool B
Brown,New Hampshire,13,8,"03/22/2014, 10:00",Pool B,Final
Bowdoin,Delaware,10,12,"03/22/2014, 10:00",Pool B,Final
Brown,Lehigh,13,10,"03/22/2014, 11:40",Pool B,Final
Delaware,New Hampshire,13,8,"03/22/2014, 11:40",Pool B,Final
Lehigh,Delaware,9,11,"03/22/2014, 13:20",Pool B,Final
Bowdoin,New Hampshire,12,11,"03/22/2014, 13:20",Pool B,Final
Bowdoin,Lehigh,6,13,"03/22/2014, 15:00",Pool B,Final
Brown,Delaware,12,9,"03/22/2014, 15:00",Pool B,Final
Brown,Bowdoin,13,4,"03/22/2014, 16:40",Pool B,Final
Lehigh,New Hampshire,12,9,"03/22/2014, 16:40",Pool B,Final
pool,Pool C
Bates,SUNY-Oneonta,13,11,"03/22/2014, 10:00",Pool C,Final
Boston University,SUNY-Oneonta,13,7,"03/22/2014, 11:40",Pool C,Final
Bates,Boston University,11,13,"03/22/2014, 13:20",Pool C,Final
pool,Pool D
Siena,SUNY-Cortland,10,12,"03/22/2014, 10:00",Pool D,Final
College of New Jersey,SUNY-Cortland,8,13,"03/22/2014, 11:40",Pool D,Final
Siena,College of New Jersey,13,6,"03/22/2014, 13:20",Pool D,Final
pool,Pool E
Skidmore,Tufts (C),13,3,"03/22/2014, 10:00",Pool E,Final
Cornell (B),Tufts (C),12,9,"03/22/2014, 11:40",Pool E,Final
Skidmore,Cornell (B),13,3,"03/22/2014, 13:20",Pool E,Final
pool,Pool F
Tufts (B),Muhlenberg,13,6,"03/22/2014, 10:00",Pool F,Final
Brown (B),Muhlenberg,10,12,"03/22/2014, 11:40",Pool F,Final
Tufts (B),Brown (B),13,1,"03/22/2014, 13:20",Pool F,Final
b,r,e,a,k
clusters,CO
cluster,1D1E
SUNY-Cortland,Skidmore,10,12,"03/22/2014, 15:00",,Final
cluster,2C3D
Bates,College of New Jersey,8,12,"03/22/2014, 15:00",,Final
cluster,2D3C
Siena,SUNY-Oneonta,13,10,"03/22/2014, 15:00",,Final
cluster,2E3F
Cornell (B),Brown (B),13,9,"03/22/2014, 15:00",,Final
cluster,2F3E
Muhlenberg,Tufts (C),13,6,"03/22/2014, 15:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,CHAMPIONSHIP-MERCER COLLEGE
Tufts (B),Siena,13,10,"03/22/2014, 16:40",Prequarters,Final
Skidmore,College of New Jersey,10,11,"03/22/2014, 16:40",Prequarters,Final
Bentley,Tufts (B),13,3,"03/23/2014, 10:00",Quarterfinals,Final
Delaware,Stevens Tech,13,8,"03/23/2014, 10:00",Quarterfinals,Final
Columbia,Lehigh,4,11,"03/23/2014, 10:00",Quarterfinals,Final
Brown,College of New Jersey,13,3,"03/23/2014, 10:00",Quarterfinals,Final
Bentley,Delaware,13,7,"03/23/2014, 11:40",Semifinals,Final
Lehigh,Brown,7,13,"03/23/2014, 11:40",Semifinals,Final
Bentley,Brown,8,12,"03/23/2014, 13:20",Final,Final
bracket,5TH
Tufts (B),Stevens Tech,0,1,"03/23/2014, 13:20",Semifivals,Final
Columbia,College of New Jersey,0,1,"03/23/2014, 13:20",Semifivals,Final
Stevens Tech,College of New Jersey,12,7,"03/23/2014, 15:00",Fival,Final
bracket,7TH
Tufts (B),Columbia,1,0,"03/23/2014, 15:00",Final,Final
bracket,9TH-Reflection
Queens-Kingston,Boston University,13,8,"03/23/2014, 10:00",Quarterninals,Final
New Hampshire,Siena,13,5,"03/23/2014, 10:00",Quarterninals,Final
Bowdoin,SUNY-Cortland,13,3,"03/23/2014, 10:00",Quarterninals,Final
Wentworth,Skidmore,12,14,"03/23/2014, 10:00",Quarterninals,Final
Queens-Kingston,New Hampshire,7,13,"03/23/2014, 11:40",Semininals,Final
Bowdoin,Skidmore,13,7,"03/23/2014, 11:40",Semininals,Final
New Hampshire,Bowdoin,13,5,"03/23/2014, 13:20",Ninal,Final
bracket,13TH
Boston University,Siena,7,12,"03/23/2014, 11:40",Semifinals,Final
Wentworth,SUNY-Cortland,13,8,"03/23/2014, 11:40",Semifinals,Final
Siena,Wentworth,9,7,"03/23/2014, 13:20",Final,Final
bracket,17TH
Tufts (C),Bates,2,13,"03/23/2014, 10:00",Quarterfinals,Final
Brown (B),SUNY-Oneonta,1,13,"03/23/2014, 10:00",Quarterfinals,Final
Cornell (B),Bates,2,13,"03/23/2014, 11:40",Semifinals,Final
Muhlenberg,SUNY-Oneonta,9,13,"03/23/2014, 11:40",Semifinals,Final
Bates,SUNY-Oneonta,13,7,"03/23/2014, 13:20",Final,Final
bracket,EXTRA
Muhlenberg,SUNY-Cortland,11,3,"03/23/2014, 13:20",Game,Final
bracket,19th Place
Muhlenberg,Cornell (B),13,5,"03/23/2014, 15:00",19th Place,Final
b,r,e,a,k
