Cat Fight,College - Men ,22,2,2014
Lexington,KY,2014-02-22,2014-02-23
https://play.usaultimate.org/events/Cat-Fight/schedule/Men/CollegeMen/
Kansas,1
teamInfo,Horrorzontals,"Lawrence, Kansas",,,
00,BRENT KIMMI
02,Zach Hunter
03,NICK JACKSON
04,Jason Finkelstein
07,Jonathan Puebla
08,Nathan Bray
09,JOHNNY DENLINGER
11,Trent Kuhl
12,Matt Primovic
14,ERIC WINKLER
15,ETHAN LOVELL
16,ALEX ZIMMER
21,William Mason
22,KYLE STRICKLAND
24,Lucas Wallace
27,Nehal Patel
31,Taylor Ivey
50,Patrick McNamee
74,Jakob Yedo
93,Charles Rotter
b,r,e,a,k
Oberlin,8
teamInfo,Flying Horsecows,"Oberlin, Ohio",,,
0,Conrad Schloer
0,Benjamin Garbus
0,Evan Holliday
0,Robert Lewis-Nash
0,MIKE PLOTZ
0,Jonah Bregstone
0,Jy Francis
08,Jason Freedman
11,Alex Kapiamba
12,Ben Rabin
23,NIKHIL KALATHIL
b,r,e,a,k
Illinois State,9
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/pages/Illinois-State-Ultimate/223013237713080,https://twitter.com/isugnomes
0,Stephen McCracken
00,Justin Reeverts
00,Matthew Trygg
00,Ben Gibbons
00,ANDREW HEGG
00,ANDY KIESER
00,TJ Czop
00,Aaron MIller
00,SAM GESESSEW
00,Blake Kiefner
05,JAMES TUNNEY
16,Kevin DeAngelis
23,SHANE O'FARRELL
64,CHASE ANDREE
71,MATT RADES
83,BRADLEY CLARK
93,Nick Storter
b,r,e,a,k
Northwestern (B),16
teamInfo,Bolt,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/NUTUltimate
00,Neel Patel
00,John Lanuti
00,Michael Hamburger
03,Cameron Albert-Deitch
05,COLLIN BARNWELL
07,Sahaj Kumar
11,ROBERT LUDEW
12,Nicholas Hall
20,NICHOLAS WANG
25,Jonathan Piech
31,Christopher Pierce
32,Alex Rubin
33,Jakub Jezusek
36,Will Frolich
39,Alex Lin
41,Christian Rozolis
57,Bif Reiser
59,LINCOLN OLIVER-ONEIL
70,Rudolf Newman
82,William Hoover
93,MARSHALL KRASSENSTEIN
95,Jeremy Piech
98,JOON PARK
b,r,e,a,k
Western Kentucky,17
teamInfo,Toppers Ultimate,"Bowling Green, Kentucky",,,
b,r,e,a,k
Illinois,2
teamInfo,Illinois,"Champaign, Illinois",http://illinoisultimate.com/,,
0,Max Willis
1,NICK PROZOROVSKY
3,Sean Hill
4,MICHAEL POHLING
6,NICHOLAS JUNWEI OO
8,Johnny Saniat
10,Joe Moyles
11,JONATHAN MCKOY
12,ZI YANG KAN
17,PRAYAG  PATEL
18,Eric Bultman
21,Chris Buchta
22,Brian Rathunde
23,GREGORY HILL
24,Jim Riddle
27,Wilson Wang
30,Steve Brand
35,Marty Markenson
38,Grant Hallan
39,Ross Tuttle
44,MICHAEL COSMOS
46,KEVIN BIRCHOK
64,Neal Phelps
69,Tyler Denooyer
81,ARTHUR DING
b,r,e,a,k
Ohio Wesleyan,7
teamInfo,Firedogs,"Delaware, Ohio",,,https://twitter.com/OWUFiredogs
01,Kyle Murray
04,Ryan Klein
05,Brian Williams
06,Brock Berlin
07,Gabe Kaufman
08,Jimmy Burgess
09,TRUMAN HAYCOCK
10,LEHLOHONOLO MOSOLA
12,WILLIAM MILANICK
13,COLBREN TROGSTAD-ISAACSON
14,Saar Rajpuria
17,TAD BUSTIN
