Huckfest,Club - Men ,12,7,2014
Decatur,AL,2014-07-12,2014-07-13
https://play.usaultimate.org/events/Huckfest/schedule/Men/Club-Men/
Prairie Fire,1
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,
0,Jay Froude
0,David Woods
0,Christian Simpson
0,CAMERON BOND
0,Jesse White
0,Colin Lord
0,Peter (PJ) Matulka
0,Logan Nesseth
0,BEN DENEKA
0,LEE N CLARK
0,Brett Hidaka
0,TAYLOR BOYD
0,Robert Coffin
1,Joe Nickels
2,Zach Hunter
3,Matthew Hudspith
4,Joe Young
5,Allen Jones
10,BRENDAN ORWIG
13,Clarence Dennis
15,Cameron Hunter
17,Joe Wheelock
20,KYLE WELCH
24,Danny Kurz
34,AARON DUFF
77,Tim Robbins
85,Valley Renshaw
b,r,e,a,k
Six Pack,6
teamInfo,,"Atlanta, Georgia",https://sites.google.com/site/6packultimate/,https://www.facebook.com/pages/Six-Pack-Mens-Ultimate-Frisbee-Team/243226202370428,https://twitter.com/SixPackHasHeart
coaches,AMBLE JOHNSON
01,Daniel Jones
02,Brian Mitchell
03,DEREK POOLE
05,ZACH ELLARD
06,Chunghyun Kim
07,William Carmichael
09,Timothy Stapleton
10,WOODY PASCHAL
11,Robert Locke
14,Marshall Walker
15,Gavin Richards
17,Jacob Evans
19,KEVIN ANDERSON
20,Chuck Turner
21,Jeffrey Graiff
23,MONTEZ JONES
25,Robert Bradham
32,Karl Staber
33,Devon Rogers
37,REID  ALMAND
41,Ryan Simmons
42,Devin Cox
50,JAMES COX
71,WILLIAM GORDON
82,Michael Price
83,Cardinal Clarke
86,Devin Waldrop
b,r,e,a,k
Ironmen,12
teamInfo,,"Birmingham, Alabama",,https://www.facebook.com/Ironmenultimate,https://twitter.com/BhamIronMen
0,CORY CASELLA
0,Josh Currey
0,Michael Burke
0,Richard (Jay) Pigford
0,Will Newton
0,Patrick Philbin
0,Taylor Schoel
0,Chris Browning
0,Ray Davenport
0,Taylor Hide
1,Gregory Harris II
2,Stevie Holloway
4,Tevon Edwards
8,Matthew Smith
8,Kevin Shrestha
10,Scott Stone
11,Kelvin Williams
12,Jordan Quinn
13,Ethan Downs
14,Hill Balliet
16,Alexander Cape
18,Dane Jorgensen
22,Brandon Deihl
24,Travis Midkiff
28,Joseph Fisher
b,r,e,a,k
Kentucky Flying Circus,7
teamInfo,,"Harlan, Kentucky",modules/common/kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
0,MICHAEL SENDELBACH
0,Colin Grandon
0,Chaz DeBord
0,Aaron Corley
0,Ben Sever
0,Darin Graves
0,Robert Wharton
0,Zachary Goulson
0,Philip Hills
0,Matt Brown
0,Josh Turner
0,BEN BLATZ
0,Hobart Yeager
2,Tyler Williams
4,Michael Rudy
7,Evan Mack
9,Preston Goulson
9,Russell Allen
10,Larry Farmer Jr
10,ALEX BERUSCHA
11,Chris Gallagher
11,Corey Lockridge
13,Michael Harr
34,Eric Brinkman
52,Kane Olson
b,r,e,a,k
PLEX,2
teamInfo,,"Dallas, Texas",modules/common/www.plexultimate.com,modules/common/www.facebook.com/PLEXUltimate,www.twitter.com/plexultimate
0,Dustin Thai
1,Stephen Treanor
2,Jason Christian
3,Arthur Corbitt
4,Chris Larberg
7,ANDREW EUBANKS
9,Bryan Hoffman
11,Montrell Pyron
12,Kevin Christian
13,Kai Marshall
14,William Dubose
16,Tim Records
17,John Dunlop
19,Kevin Richardson
21,ZACH RIGGINS
23,Kevin Bowman
24,SCOTT SAMPLE
25,JEREMY LLEWELLYN
45,WILLIAM TOHLEN
46,MATTHEW COSTELLO
48,Alex Welcing
56,PAUL BURT
71,DAVID RICHARDSON
89,Jack Wooldridge
97,JOE TYLUTKI
99,Gabriel Bidot
b,r,e,a,k
Freaks Uv Nature,5
teamInfo,,"Huntsville, Alabama",http://huntsvilleultimate.com/wordpress/,https://www.facebook.com/FreaksUvNature?ref=hl&ref_type=bookmark,@Freaksultimate
0,Jason Cunningham
2,Ryan Manning
4,Jason Williams
5,Chris Brackbill
7,Riley Mog
9,Mark Daigle
10,COLBY ROBINSON
11,E.C. Gibbs
13,Andy Sieja
14,WILL STEVENSON
16,Michael Delp
17,Michael Robie
19,Matthew Radcliffe
22,Cameron Heck
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
28,Jake Brouwer
34,Isaiah Radcliffe
37,Keith Mize
39,PETER WILKERSON
43,Rob Ferguson
44,Jordan Matthews
55,Tom Radcliffe
88,MARTIN ROGERS
89,ANDREW MONTGOMERY
96,Mark Ullom
b,r,e,a,k
Cash Crop,11
teamInfo,,"Triangle, North Carolina",,,
00,Aaron Wan
00,Alexander Taylor
01,Mason Gardner
03,JD Hastings
08,Matthew Rushing
09,Jacob Mouw
10,Theran Riedel
11,Evan Howey
12,Christopher Bonuel
13,Andrew Cohen
14,Kiron Allen
15,Daniel Rolando
15,Vikram Sethuraman
16,J. Zachary Saffa
18,Dain Nielsen
22,Adam Russell
23,James Zuraw
26,Hunter Wilson
29,Mark Stumpf
76,Clayton Noblit
99,Joshua Hartzog
b,r,e,a,k
Jockamo,8
teamInfo,,"Baton Rouge, Louisiana",,,
0,Mark Graham
0,SAM JOYCE
0,Thomas Echols
0,ROBERT ANDY FARMER
0,Brian Mart
0,SEAN DRENNAN
00,Kenny Berthelot
00,Dylan Zeringue
00,DYLAN SHANNON
00,Mitchell Lutz
00,Wesley Freeburgh
00,William Steindorf
00,Travis Vermaelen
b,r,e,a,k
Southern Hospitality,4
teamInfo,,"Pine Apple, Alabama",,,https://twitter.com/SohoUltimate
0,Garris Bugg
0,JOHN RHODES MARTIN
0,John (Jack) Dowling
0,Brian Newsom
0,West Dickens
0,Matthew Hardman
0,Michael Venezia
0,Preston Thompson
1,DANIEL GILSTRAP
1,Matthew Johnson
4,Blake Waldron
8,Timothy Martin
04,Eric Sjostrom
06,Andrew Francis
08,Patrick Dougherty
11,Jon Thomas Williams
15,MATTHEW BRYANT
17,ANDREW WICK
27,Blake Galloway
45,Nathan Oaks
85,Evan Boecking
b,r,e,a,k
Space City Ignite,3
teamInfo,,"Houston, Texas",,/SpaceCityUltimate,@SpaceCityUlty
00,Colby Keen
00,RESTON DOOLY
00,Nick Thomas
00,Matt Lyle
00,Maxwell Grove
00,Doug Richardson
00,Asif Mohammed
00,DAVID BOYEA
00,Robert Reid
00,JOHN WILDER
00,TIMOTHY LEE
00,Glenn Lenberger
00,Brandon Dial
00,Jason Best
00,CONER STEPHENSON
00,Matthew Brackney
00,David Ryan
00,Ames Fegert
b,r,e,a,k
CaSTLe,9
teamInfo,,"St. Louis, Missouri",,,@CASTLE_ultimate
0,Stephen Hawkins
1,THOMAS LUX
3,Thomas  Kulczak
7,JACOB SLABY
02,EVAN GROOPMAN
04,Henry Sundermann
06,DANIEL ELFANBAUM
14,Evan Thornberry
16,Ben Gibson
22,Ben Krupp
23,MICHAEL HERMAN
25,Ross Welch
26,Grant Eschmann
29,SHAUN HAUTLY
44,Patrick Porter
50,CHARLES MISSI
53,Arjun Kumar
98,Matthew Beers
99,Kyle Hill
b,r,e,a,k
Strong Hand,10
teamInfo,,"Atlanta, Georgia",,,
0,DANIEL NEW
0,RYAN CROSS
0,Sun Choi
0,Chris Sears
0,Samuel Trent
0,Joshua Glasser
0,ROBERT LUX
0,Anders Olsen
0,Matthew Berry
0,Cole Flournoy
0,Andrew Chow
0,MICHAEL SAEGER
0,Jonathan Clark
0,ALEX KROPP
0,James Waddell
0,Howard Tong
0,STEWART BOYD
0,DANIEL STEVENSON
0,ZACHARY JEFFREY
0,Chris Sayad
5,Malcolm Clark
6,Alex Jackson
18,Chad Borer
34,Robert White
44,WILLIAM GRESCH
b,r,e,a,k
Prairie Squids,18
teamInfo,,"Memphis, Tennessee",modules/common/www.memphisultimate.com,https://www.facebook.com/groups/146328562210034/,
0,CHRISTOPHER MOYER
0,BRIAN GARROTT
0,JULIAN MALONE
0,David Sun
2,Nathan Wiemers
7,Andy Ballard
12,BENJAMIN LANG
13,Brian Koch
16,ANDREW WILLIAMS
44,Robert Stroup
b,r,e,a,k
Howlers,19
teamInfo,,"Fayetteville, Arkansas",,,
coaches,Thomas Dockery
0,ANDREW GOODE
0,GERALD ETHEREDGE
0,LAKE HOLLOWELL
0,David Irico
0,Luc Sutherland
1,Luke Dockery
2,Thomas Dockery
2,Imran Mumtaz
3,DAVID SIGLE
8,CHRISTOPHER GENHEIMER
15,Jacob Moore
17,Cameron Umbarger
19,Zac Petty
24,Taylor Stamps
28,Taren Goins
42,NATHAN HOWELL
99,Chris Dascalos
b,r,e,a,k
Queen City Thunder,13
teamInfo,,"Charlotte, North Carolina",modules/common/charlotteultimate.com,,
2,CHRIS PITILLO
3,Andrew Hager
8,SEAN OLERT
9,Lance McNicoll
10,THOMAS NICOL
11,JASON CASILLAS
12,Anthony Morlacci
14,Kartik Sethuraman
16,Sean Kelley
28,Nathan White
33,Samuel Lee
34,Daniel Lee
44,Anthony Grillo
50,MATTHEW HUYNH
73,Adam Bostian
b,r,e,a,k
Freaky Too,24
teamInfo,,"Huntsville, Alabama",,,
0,Kevin Kanzelmeyer
0,Stephen Doud
0,Soteara Ouk
0,Michael Mobley
0,todd archer
0,Spencer Harrison
0,Ben Lauer
0,George Bekken
0,Nate Hilliard 
0,Jack Missildine
0,JOSH NEWSOME
0,Dominick Zarnesky
3,Anthony Lowther
12,Justin Pearson
22,Jonathan Lee
24,Danny Lee
35,Clark Missildine
94,James Gauldin
b,r,e,a,k
Smokestack,14
teamInfo,,"Kansas City, Kansas",,,
0,Andy Yu
0,KYLE STRICKLAND
0,RYAN REYNOLDS
0,Beau Atkinson
0,Chris Brettell
0,NICK JACKSON
0,Joshua Smith
0,Ryan Schroeder
0,SEAN REED
0,Derek Newman
0,Bryon Brooks
0,Caleb Cauthon
0,Jonathan Puebla
0,Stephen Mckinney
0,Kyle Kotzman
0,Alan O'Brien
0,Michael Montesano
4,Jason Finkelstein
8,Nathan Bray
11,Trent Kuhl
12,Matt Primovic
17,Clayton Smith
24,Lucas Wallace
25,Anthony Chartier
33,Ryan Tuschhoff
34,Ben Weintraub
35,Alex Lord
b,r,e,a,k
Shotgun,17
teamInfo,,"New Orleans, Louisiana",,,https://twitter.com/ShotgunUltimate
0,BRANDON XUEREB
0,JAMES KINGERY
00,WILLIAM MILLER
00,ANDREW GROSS
00,Nicholas Ferguson
00,Alexander Antrum
00,DOUGLAS HARRINGTON
00,PATRICK MURPHY
00,Shamit Dua
00,RICKY POLLOCK
b,r,e,a,k
Pocket City Approach,20
teamInfo,,"Evansville, Indiana",http://www.evansvilleultimate.com/club.html,,
0,Jesse Wyatt
01,John Raleigh
02,Nathaniel Mull
04,AARON MAYO
06,DREW COLES
08,Travis Tison
11,Jonathan Ellis
12,Andrew Martin
15,DOUG WHEATON
17,ALAN PRITCHETT
18,Kyle Wood
22,David Langner
24,Nathanael Sparks
28,Ryan Bell
31,Brian Wilson
33,Dana Granholm
37,ABRAHAM MAZE
49,Derek Berggren
b,r,e,a,k
Riders of Brohan,23
teamInfo,,"Madison, Alabama",,,
6,Jimmie Taylor
7,ZAC CAIN
9,Dustin Register
10,PHILLIP LANGLAND
11,Cody Wheeler
12,Brooks Phillips
18,Robert Alongi
21,John Davidson
28,Reid Thackerson
29,Chris Atchison
47,Joshua Connelly
83,Nathan Pass
b,r,e,a,k
Blade,21
teamInfo,,"Nashville, Tennessee",,https://www.facebook.com/bladeultimate,
0,Daniel Caplan
0,HUGHES MILLER
0,Nathaniel Rosenberg
0,David Trett
0,Russell Meade
0,Jared Fletcher
0,ARI STOLER
0,Leekon Wang
1,Scott Soule
2,PATRICK SIMS
3,CALEB GOFF
12,STEVEN GAITTENS
23,Robert Johnson
28,Will Mims
b,r,e,a,k
Crude Ultimate,15
teamInfo,,"Dallas, Texas",,https://www.facebook.com/groups/156706574418616/,
0,Javier Oliver
0,Eric Wilkins
1,Michael Berman
2,MIKE MANNIS
4,Travis Bieda
5,Steve Johnson
6,Daniel Thai
8,CODY REYNOLDS
10,CORY VAN EENENAAM
16,Ryan Kyle
18,Kevin Lambert
21,NICK LAREDO
31,BRIAN GINSBURG
36,CAMERON PRICKETT
41,James Robarge
45,Daniel Tipton
51,ADAM ROBARGE
56,Brian Bittner
99,CEDRIC ATWOOD
b,r,e,a,k
Jurassic,16
teamInfo,,"Hattiesburg, Mississippi",,https://www.facebook.com/JurassicUltimate,
0,CHRISTOPHER PARTIN
0,Matthew Riddle
0,Patrick Mart
0,Cody Shirley
0,Tyler Brackett
4,Jaysal Patel
5,Mark Sandefur
6,JEFFREY GARNER
9,Brandon Hollingsworth
10,Daniel Beck
11,Gary Lee
12,Harry Walker
13,JOHN CHASTAIN
15,Carter Kittrell
18,KEITH MEEK
27,JOSEPH STIEFFEL
32,Benjamin Leiker
44,Robert Benson
64,Jake Kealhofer
81,Amit Tzivion
84,John Arender
b,r,e,a,k
Lagniappe,22
teamInfo,,"Baton Rouge, Louisiana",,,
00,Patrick Thang
00,Thomas Hannie
00,Marshall LaMoyne
00,ZACHARY JOHNSON
00,Grant Hardy
00,JOHN ZIMMER
00,COREY DURAND
00,Hilliard Chesteen
00,Daniel Nan
00,IAIN FORGEY
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pools
pool,Pool A
Prairie Fire,Kentucky Flying Circus,15,7,"07/12/2014, 08:30",Pool A,Final
Six Pack,Ironmen,17,16,"07/12/2014, 08:30",Pool A,Final
Prairie Fire,Ironmen,15,2,"07/12/2014, 10:30",Pool A,Final
Six Pack,Kentucky Flying Circus,17,16,"07/12/2014, 10:30",Pool A,Final
Prairie Fire,Six Pack,15,8,"07/12/2014, 13:15",Pool A,Final
Kentucky Flying Circus,Ironmen,9,15,"07/12/2014, 13:15",Pool A,Final
pool,Pool B
PLEX,Jockamo,15,11,"07/12/2014, 08:30",Pool B,Final
Freaks Uv Nature,Cash Crop,15,12,"07/12/2014, 08:30",Pool B,Final
PLEX,Cash Crop,15,13,"07/12/2014, 10:30",Pool B,Final
Freaks Uv Nature,Jockamo,15,13,"07/12/2014, 10:30",Pool B,Final
Jockamo,Cash Crop,13,15,"07/12/2014, 13:15",Pool B,Final
PLEX,Freaks Uv Nature,15,8,"07/12/2014, 13:15",Pool B,Final
pool,Pool C
Space City Ignite,CaSTLe,15,7,"07/12/2014, 08:30",Pool C,Final
Southern Hospitality,Strong Hand,15,8,"07/12/2014, 08:30",Pool C,Final
Space City Ignite,Strong Hand,15,7,"07/12/2014, 10:30",Pool C,Final
Southern Hospitality,CaSTLe,15,7,"07/12/2014, 10:30",Pool C,Final
CaSTLe,Strong Hand,15,7,"07/12/2014, 13:15",Pool C,Final
Space City Ignite,Southern Hospitality,11,14,"07/12/2014, 13:15",Pool C,Final
b,r,e,a,k
pools,Non-Power Pools
pool,Pool D
Queen City Thunder,Howlers,13,14,"07/12/2014, 08:30",Pool D,Final
Prairie Squids,Freaky Too,15,4,"07/12/2014, 08:30",Pool D,Final
Queen City Thunder,Freaky Too,15,13,"07/12/2014, 10:30",Pool D,Final
