Chicago Invite College,College - Men ,28,3,2014
Chicago,IL,2014-03-28,2014-03-30
https://play.usaultimate.org/events/Chicago-Invite-College/schedule/Men/CollegeMen/
North Dakota State,28
33,Ryan Tuschhoff
35,Lars Erickson
50,Patrick McNamee
60,Zak Beasley
74,Jakob Yedo
80,James Davis
93,Charles Rotter
b,r,e,a,k
Michigan State University,32
teamInfo,ARC,"East Lansing, Michigan",http://msultimate.com/,https://www.facebook.com/michiganstateultimate?ref=hl,https://twitter.com/msu_ARC
b,r,e,a,k
Washington University,2
teamInfo,Contra,"St. Louis, Missouri",,,
0,Patrick Buggy
0,Ian Bernstein
0,Jeffrey Shi
0,KUNAL KOPPULA
0,JOHNNY HEIN
0,Andrew Brown
0,DAVID ZUCKER
0,AARON DAVIDOFF
0,Ben Krupp
0,Jeff Shipkin
0,Lucas Christopherson
0,ZEEV LAILARI
0,Anthony Cabrera
0,ERIC MCLEAN
0,Darren Yu
1,Evan Karson
2,Jeremy Davis
3,Joseph Marmerstein
5,Rett Hooper
10,Tony Bumatay
11,Maor Gordon-Guterman
12,Alexander Antrum
13,Akshay Shanker
14,Matthew McElduff
16,KENNETH MACNEAL
17,Evan Wilder
19,John (Christian) Lukas
23,Eric Sussman
b,r,e,a,k
Notre Dame,31
teamInfo,Papal Rage,"Notre Dame, Indiana",,,
0,Charles Labuz
0,Kyle Hill
0,William Hefferon
0,DAVID TERRY
0,CONOR HANNEY
0,Joe Nolan
0,DANIEL KEREKES
0,PETER HALL
11,Jacob Scobey-Polacheck
20,Patrick McMahon
23,ERICH KEREKES
25,Jordan Lange
28,Joseph Fisher
44,Daniel Verzuh
51,MATTHEW FARRELL
72,Joseph Norby
73,PATRICK HANSEN
73,Steven Zurawski
74,JONATHAN CERNANEC
75,Jeremy Doyle
77,KEITH PODGORSKI
98,Jason Wassel
b,r,e,a,k
Ohio Wesleyan,34
teamInfo,Firedogs,"Delaware, Ohio",,,https://twitter.com/OWUFiredogs
01,Kyle Murray
04,Ryan Klein
05,Brian Williams
06,Brock Berlin
07,Gabe Kaufman
08,Jimmy Burgess
09,TRUMAN HAYCOCK
10,LEHLOHONOLO MOSOLA
12,WILLIAM MILANICK
13,COLBREN TROGSTAD-ISAACSON
14,Saar Rajpuria
17,TAD BUSTIN
18,Shane Gorbett
22,Alec Weyneth
24,Sam Schurer
25,Graydon Weaver
27,Stephen Telepak
30,Zachary Ford
54,MATTHEW WASSERMAN
57,Max Richards
66,CHRISTOPHER ALONZO
75,Jonathan Metz
b,r,e,a,k
Oregon State,63
teamInfo,Beavers,"Corvallis, Oregon",,,
0,Eric Callahan
0,Branden Fitzke
0,STEPHEN LEUNG
0,Shaelon Ross
1,Sam Amaro
3,Jacob Ramsey
7,Jacob Wigen
8,Ryan Rogers
10,Jared Fitzpatrick
13,Jacob Chickadonz
20,Robby Duffy
21,William Carter
28,George Rear
29,MAXWELL SWENSON
48,Brian Pearson
51,Alan Emmot
62,Patrick Buermeyer
b,r,e,a,k
Case Western Reserve,3
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",modules/common/ultimate.case.edu,,
b,r,e,a,k
St John's,30
teamInfo,Saint John's Ultimate,"Collegeville, Minnesota",,https://www.facebook.com/pages/Saint-Johns-Ultimate/169796783097127,https://twitter.com/SJUultimate
coaches,John Groess
0,RYAN  MORD
01,Michael Ruble
03,NOAH SPEETER
04,Chuck  Dudek
05,MARK HEINEN
07,John Schmelzer 
08,Jeffrey McGurran
09,Mitch Rotert
10,DAN ANFINSON
11,Justin Wollin
12,Brady  Ross
13,Sam Eherenman
14,LUCAS WALD
15,MAXFIELD ROTERT
16,TYLER TORBORG
17,Bradley Olijnek
20,zachary borer
21,PATRICK KUNKEL
23,David Stemper
24,KEVIN LEBAHN
25,Jordan Baker
29,CONOR MCDONALD
31,DAN CAHILL
33,Nihal Bhakta
44,Christopher Camber
47,BENJAMIN BERTHIAUME
52,MATTHEW BERTHIAUME
73,Charlie Enders
84,Edward Mallak
96,Samuel Raths
b,r,e,a,k
Illinois State,35
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/pages/Illinois-State-Ultimate/223013237713080,https://twitter.com/isugnomes
b,r,e,a,k
Purdue,36
teamInfo,Undue Ultimate,"West Lafayette, Indiana",http://web.ics.purdue.edu/~ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Kevin Hamilton
0,CHRISTOPHER MALACKANY
0,Bobby Leroy
0,Dylan Neff
0,WILLIAM HOGGATT
0,Isaac Mock
0,Grant Wagner
0,RYAN FERGUSON
0,Samson Zhou
0,NEIL BROWN
0,Trevor Kyle
0,Collin Koury
7,Mike Dehnbostel
11,Colton Steiner
18,Mike Kobyra
19,Daniel Blanc
52,Jacob Fella
59,Todd Miller
69,Nick Loughran
74,Jacob Greenberg
86,Michael Lee
87,ZACH NELSON
b,r,e,a,k
Indiana Wesleyan,29
teamInfo,Huck Dynasty,"Greenwood, Indiana",,https://www.facebook.com/IWUultimate,https://twitter.com/IWU_Ultimate
01,Andrew Warren
02,Zakk Mabrey
03,Micah Osbron
07,CALEB LIGHT
09,Liz DeMoss
11,Shane Toombs
12,Nick Martens
13,Derric Gowan
14,Kiana Broadley
37,Travis Carpenter
b,r,e,a,k
Winona State,4
teamInfo,Experience,"Winona, Minnesota",,https://www.facebook.com/WinonaSateExperienceFanClub,
00,SEBASTIAN ROMAN
01,TYLER HEATH
04,ALEX LYZHOFT
06,Luis Caballero
09,JOSEPH WYMORE
10,ALEX CARDA
12,Brent Gothmann
13,Hans Hollander
14,BRIAN BARBELN
15,Benjamin Streukens
18,Jesse Illian
20,Michael Czeiska
20,Robert  Amerling
21,Cody Rondeau
22,ARDEN PIFER
24,Ryan Baillif
26,NATHANIEL LILL
28,Caleb Bednarski
29,Nicholas Helberg
32,Spencer Ellerbusch
33,Tyrie Williams
34,COLIN HANZEL
42,Brandon Matis
44,Austin Carda
55,ADAM FREDERICK
77,WILL AHLBERG
99,SEAN KELLEY
b,r,e,a,k
Wisconsin-Whitewater,61
teamInfo,Sub*Par,"Whitewater, Wisconsin",,,
b,r,e,a,k
American,37
teamInfo,Stall 11,"Washington, District of Columbia",http://www.americanultimate.com/main-site#!__main-site,https://www.facebook.com/stall11,twitter.com/AU_Ultimate/
0,ZACH DUEY
0,Raymond Mendoza
0,SAWYER GILBERT
0,Joshua King
0,Cole Flournoy
0,Eric Tagliaferre
0,Aaron Langley
0,Cortland Broyles
2,JORDAN NATELSON
5,KRISTOPHER M. GUNDERSEN
7,DAVID SHIRBROUN
10,PAUL BETTENCOURT
17,Aaron Besser
23,Norris Kpamegan
24,MICHAEL CIPRIANO
27,Bretton Caws
43,ANTHONY MALINAUSKAS
56,Robert Gilmor
77,KEVIN COLLINS
89,SAM STERLING
96,LEONARD DONADIO
b,r,e,a,k
Eastern Illinois,60
teamInfo,Reaper,"Charleston, Illinois",,,
0,JOSHUA KLUESSENDORF
0,Stephen Langyher
0,RYAN KALLAS
0,ZACH COFFEY
0,Lovie Garcia
0,Chas Cox
0,AARON FAGALDE
0,ALEX LORE
2,Byron A Arellano
4,RYAN BROWN
12,Caleb Gurujal
13,Alex Castillo
23,Kyle Breen
32,GEORGE JONES
34,DERRIC MEYER
51,Nathan Page
57,MIKE HINZE
80,NATHAN KISSEL
91,CLAYTON COFFMAN
b,r,e,a,k
Olivet Nazarene University,59
teamInfo,Black Penguins,"Bourbonnais, Illinois",http://www.blackpenguinsultimate.com,https://www.facebook.com/pages/Olivet-Nazarene-Black-Penguins/141726015948860?ref=ts&fref=ts,https://twitter.com/blackp3nguins
01,REECE STOREY
02,RYAN CLENDENING
03,CHARLTON GARR
04,RYAN CLARK
05,AARON ABRASSART
06,BEN PRINCE
07,RILEY DALE
08,PEYTON CLOSE
10,MATTHEW POSLADEK
11,Jaron Parke
12,DANIEL MITCHELL
13,David Decker
16,Luke Vihnanek
17,JACK SALSGIVER
19,NICHOLAS GEEVER
20,Benjamin Emanuel-Prude
21,Nick Schoon
24,John Gargiulo
25,Scott Fischer
28,Will Mims
33,Mitch Brummel
34,TYLER MCKENZIE
36,Zac Carlton
83,JACOB RYAN
b,r,e,a,k
Missouri S&T,6
teamInfo,Miner Threat,"Rolla, Missouri",,,
0,William (Billy) Imming
0,Steven James Richardson
0,Tyler Kemner
0,Jason Jarquio
0,Anthony  Innes
0,Richard Murphy
0,Tyler Hembrock
1,Byron Erand
5,Mark McBride
7,Dillon Feely
8,NICHOLAS MOLONEY
9,WESLEY MUNIE
10,David Dalton
15,MICHAEL STARSHAK
16,David Druzynski
18,EVIN BARBER
21,Brody Johnson
25,Kelly Mauntel
28,Zachary Johnson
32,Cedric Jones
40,Neil Wessling
44,ROBERT REYNOLDS
52,JUSTIN  LAMBERT
80,Nicholas Spitznagel
83,JEREMY COVEY
86,Matt LaFever
b,r,e,a,k
Wisconsin-Parkside,27
teamInfo,Wisconsin-Parkside,"Kenosha, Wisconsin",,,
0,JASDEEP RANDHAWA
0,TIM KULIGOSKI
0,JIEF TOLOSA
0,CHRISTOPHER BEHLING
0,Tanner Morgan
0,tyler Hadley
0,Brice Slamann
0,aaron novak
0,AUSTIN KNAPP
0,Joseph Vital
7,David Ashmore
12,David Zickus
23,DAVID HUGHES
b,r,e,a,k
Western Michigan,38
teamInfo,Dark Horse,"Kalamazoo, Michigan",,,https://twitter.com/DarkHorseUlt
00,Evan Weese
00,MATT BRACEY
00,ADAM HASTINGS
03,RICHARD YOUNG
11,KOLTEN CHAUVEZ
15,Alex Bertoia
17,CALE SIMANSKEY
19,NICHOLAS MUNYAN
22,JACOB AFTON
30,Ryan Shore
36,Peter Galea
44,Patrick Devine
67,Ross Osborn
69,Noah Gillespie
77,Cole Osborn
99,Michael Sharp
b,r,e,a,k
Central Arkansas,7
teamInfo,Abduction,"Little Rock, Arkansas",,,
0,EVAN FRY
0,LAKE HOLLOWELL
0,PATRICK OTTO
0,GARRETT SPENCER
0,Alex Davis
0,ALEX BARNES
0,David Irico
0,Alexander Ano
0,SAM JOHNSON
1,CHRISTIAN BIGGS
2,Hayden Halbert
23,JOSEPH COX
b,r,e,a,k
Western Illinois,58
teamInfo,Mass Hysteria,"Macomb, Illinois",,https://www.facebook.com/mass.hysteria.7?fref=ts,
1,Sze Jin Ooi
3,STUART BAITS
7,Michael Schwartz
8,Zack Riel
10,BEN RING
10,Noble Peters
15,Matt Lindstrom
15,Craig Jochman
19,Daniel Choi
22,Andrew Almeter
25,ZACHARY FRERICHS
30,KYLE PIEGORE
66,Bailey O'Brien
87,Timothy Roegge
99,Nathan Cook
b,r,e,a,k
Northern Michigan,40
teamInfo,Riptide,"Marquette, Michigan",http://www.nmu.edu/sportsrecsports/node/85,https://www.facebook.com/WildcatsUltimate,https://twitter.com/MightyFitz
0,MICHAEL MARIUZZA
02,ANDREW JOHNSON
03,MIKE HERMANSON
05,JACOB GAUDETTE
07,JOSEPH PAULSON
10,NOLAN WARN
11,RYAN STUART
13,THOMAS MCDONALD
15,John Schenning
16,ERIC LEINONEN
17,ADAM NOEL
18,Connor Boudreau
22,Michael  Srodes
27,Nathan Sherman
27,Matthew Sundell
37,TRAVIS MELLAND
42,Eric Martin
52,JOSH COLLINS
69,TIM SMITH
77,Adam Knapp
88,Zach Taggart
99,Stefan DeLong
b,r,e,a,k
Valparaiso,8
teamInfo,Deus Vult,"Valparaiso, Indiana",,https://www.facebook.com/ValpoUltimate,https://twitter.com/ValpoUltimate
0,CHARLES SAYGER
0,Jeffrey Daniels
0,CAMERON FEDDE
0,GRAEME ROBERTS
0,PETER KIMBALL
0,Zachary Paradis
0,BRETT KELLY
0,SCOTT MILLER
0,STEPHEN PLACE
0,Jonathan Ogland-Hand
0,WILL HAENNI
0,JUSTIN MORTENSON
0,Reid Zimmerman
0,JOHN MCCUTCHAN
0,Adam Abrell
0,Tyler Light
1,JESUS OSORIO
3,John Verhayden
4,Gabriel Valencia
8,Matt West
15,ADAM CLARK
22,Max Carpenter
b,r,e,a,k
IUPUI,24
teamInfo,Jaguars,"Indianapolis, Indiana",,,
3,RYAN DONOVAN
8,Alex Harford
02,Nickolas Hutton
13,JOSH LANTZ
14,MAARTEN VERMEULEN
15,MATHEW TAYLOR
19,Jacob Baynes
20,Freddie Dixson
50,JACOB BONTRAGER-SINGER
52,Jacob Phillips
69,SPENCER LOSCAR
80,JOHN ERICKSON
99,Benjamin Hannan
b,r,e,a,k
Drake,56
teamInfo,DUC,"Des Moines, Iowa",,https://www.facebook.com/drakeultimate,https://twitter.com/Drake_Ultimate
0,Jonathan Opheim
0,Eric Olsen
0,Peder Hopkins
0,Mackenzie Grimes
0,ZACH BERMAN
0,Timothy Webber
0,matthew conrady
2,Huynh Vo
2,MAXWELL CAVETT
3,JEFFREY MOONEY
7,ZACH LOUGH
9,Daniel Hansen
10,Robert Mitchell McCarthy
11,Jack Davidson
13,Neal Patel
23,james glass
24,AUSTIN LEWIS
26,WARD  WESTRAY
29,MATTHEW SCHNEPEL
54,Alex Stumphauzer
72,JEFFREY ALLEN
99,Dylan DeClerck
b,r,e,a,k
Wisconsin-La Crosse,9
teamInfo,LUC,"La Crosse, Wisconsin",https://uwlmyorgs.collegiatelink.net/organization/mensultimate,https://www.facebook.com/LaCrosseUltimateClub,https://twitter.com/UltimateLUC
coaches,Andrew Dornbush
0,NICK OPGENORTH
0,MARTIN TOUCHETT
0,MARK MIRESSE
0,Tyler Havel
0,Tommy Treb
0,Tyler Latham
0,ALEC FLYNN
0,JAMES WERDAL
0,Christopher Verga
0,Ryan Sneath
0,ALEX FREY
0,Aaron Bennett
0,Simon Stuttgen
0,Evan Handley
0,Jesse Wolfe
0,MICHAEL KEMPF
0,Daniel McKee
0,Ross Canales
7,SHAUN FLEISCHHACKER
10,Andy Conway
11,Marcus Menzel
13,CORY NOLTEMEYER
25,Jeremy Schroeder
34,Chase O'Brien
84,Jake Kretschmer
89,Ryder Mack
b,r,e,a,k
Rose-Hulman,41
teamInfo,Elephantitis,"Terre Haute, Indiana",http://www.rose-hulman.edu/ufc/,,
0,SETH KIEFER
0,KENJI KUNUGI
0,DREW BLANDFORD
0,MATTHEW LASH
0,JORDAN MUTH
0,QUINN CUNNINGHAM
0,CHARLES CHRISTENSEN PHILLIPS
0,JOSH MAURER
0,GABRIEL GLENN
0,JOHN PETRY
0,Robert Larson
10,Elias White
11,NICHOLAS FRENCH-SEATS
12,Colin Ringwood
13,JOSHUA COOK
14,Christian Owen
22,Alexander Alvarez
35,Akhil Midha
46,ALIJAH OCONNOR
b,r,e,a,k
Michigan (B),10
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com/reserve/,,https://twitter.com/Reserve2K14
13,Benjamin Bielajew
16,KEVIN LAVELLE
19,JOSEPH MONDRAGON
21,PHILIP BUNGE
25,DAVID ZICK
26,NOAH NEWMAN
29,CHRISTIAN VAN EPPS
30,Parker Howard
31,Thomas Haley
32,Jayson Toweh
35,Christopher Greenough
36,Andrew Chen
38,MARK HENLEY
47,Ian Hecker
49,ALEC LYBIK
55,Michael Digiovanni
69,Joris von Moltke
73,Ryan Silvester
77,ALEXANDER ROBERTS
84,Joe Krieger
86,Felix Zhu
87,Josh Becker
91,Nicholas Simopoulos
95,Michael Vizzini
b,r,e,a,k
Northern Illinois,42
teamInfo,Dog House,"Dekalb, Illinois",http://doghouseultimate.wix.com/doghouseultimate,https://www.facebook.com/groups/311126708958272/,
0,JOSEPH POLAREK
0,KEVIN HAYWOOD
0,Alex Wilson
0,DANIEL KRZAK
0,Jose Villagomez
0,JASON FORBY
3,Michael Armstrong
8,Canaan Murray
12,Erik Leonard
13,Rene Quintana
19,Karl Fauerbach
32,David Disegna
33,Robert Gough
41,ANDREW CLOS
42,James Sykora
b,r,e,a,k
Creighton,55
teamInfo,Tuskers,"omaha, Nebraska",,,
0,MITCHELL HAGEN
0,Nathaniel Brandl
2,NICK BARTSCHAT
3,COLIN BURRIS
5,Adam Dilla
11,BILL MANSUR
13,Aidan Campolettano
16,Gregory Tschann
18,JOHN BRENNAN
19,Dominic Antonelli
20,COLE CRAWFORD
22,NICK MATHY
23,Lucas McRaith
24,Blake Wach
45,SETH JOHNSON
89,Connor Fikes
b,r,e,a,k
Dupage,54
teamInfo,CoDfish,"Naperville, Illinois",,,
00,BEN CARVER
00,Ben Royko
00,CONNOR POWER
00,Evan Power
00,GENE POLETTO
00,Jordan Dong
00,Kevin Jamieson
00,Matthew Wenzel
00,Matthew Mayorga
00,MICHAEL MAYORGA
00,Nathan Reid
00,Nick Johnson
00,Zachary Diener
b,r,e,a,k
Elgin CC,11
teamInfo,Blue Crew,"Elgin, Illinois",,https://www.facebook.com/SpartansUltimate,https://twitter.com/SpartansUlti
b,r,e,a,k
Washington University (B),22
teamInfo,Contraband,"St. Louis, Missouri",,,
0,Sawyer Kelly
0,Jacob Pepe
0,Josh Epstein
0,Aditya Yadavalli
0,Alexander Roesch
0,NAN ZHAO
0,PAUL GOODMAN
2,Imran Mumtaz
4,NICHOLAS STRAHAN
8,JOSHUA JAFFE
11,Ben Hutchinson
16,Robert Hsu
17,BEN SASS
18,Avery Suter
20,Daniel Cohen
22,ANDREW SCHOER
29,ADAM FRANK
42,ARI EISENSTADT
89,AARON WILDAVSKY
96,ZACHARY FRAZER
b,r,e,a,k
Carthage,43
teamInfo,Carthage Blitzkrieg,"Kenosha, Wisconsin",,https://www.facebook.com/groups/246330382070418/,
b,r,e,a,k
Bradley,12
teamInfo,Angry Otters,"Peoria, Illinois",,,
0,Andrew Maki
0,Jackson Cavett
0,Robert Pegg
0,MAX BROMLEY
0,BRADLEY WERNER
3,ANGELO SORCE
7,BRENDAN KELLY
9,Kyle Hanley
15,ERIC SPILKY
21,JASON PECK
23,Christopher Leeson
32,JOEL STRUBHAR
43,ANTHONY PETRASKO
b,r,e,a,k
Loras,21
teamInfo,LoCo,"Dubuque, Iowa",,,
02,Julian Gallo
05,Erich Awender
06,KYLE HILBURGER
13,JOHN HEANEY
16,Jason Painter
17,Zach Whitmore
19,JAKE BREAKEY
23,Gina Biancalana
26,Jimmy Rubino
47,BEN PREGLER
50,Mitchell Rubino
84,AnnMarie Biancalana
b,r,e,a,k
Michigan Tech,53
teamInfo,DiscoTech,"Houghton, Michigan",,,
0,ALEX LIERMANN
05,JOSEPH GIANCARLO
07,JUSTIN LEVANDE
09,ERIC LEONARD
12,KYLE MILLS
13,COLIN HOEKJE
16,TYLER RICE
17,Michael Merwin
23,Jacob Schoff
27,Jacob Loew
34,Peter Jurica
37,Christopher Schnettler
62,Nicholas Dal Pra
b,r,e,a,k
Missouri (B),44
teamInfo,Mizzou-B,"St. Louis, Missouri",,,
3,Thomas  Kulczak
6,Nate Dummerth
8,Arvin Bustos
9,CLARK GRIBBLE
11,Colin OBrien
15,BRENDON WOODY
19,PHILLIP NGUYEN
24,Scott Hodnefield
37,joshua ludwinski
43,GAVIN MOORE
63,MICHAEL ROTONDI
77,Kendrick Davis
78,JOHN RUSSELL
89,BRENDAN HELLEBUSCH
b,r,e,a,k
Bethel,45
teamInfo,Bethel Ultimate,"Saint Paul, Minnesota",,,@Bethel_Ultimate
02,JAMISON BROOKS
03,JOEL ANDERSON
04,RYAN SCHROER
05,Joshua  Prescher
06,Danny Schmitz
07,Toey Lidstone
08,Adam Wagner
09,CONNOR ROEMELT
10,Sam Harris
12,Alex Tunell
13,Timothy Heck
14,DAVID KROLAK
16,Brandon O'Connor
17,ANTHONY MILLER
19,Jake Sandquist
21,BRENT CRAMER
22,Jeremy Lieberson
23,Jake  Bursaw
24,Robbie  Edwards
27,DANIEL KOPSENG
31,ROBERT JOHNSON
32,JARED JOHNSON
33,Erick Tunell
36,Joel Koski
48,DALTON MATTHIES
77,SEAN MINER
b,r,e,a,k
Southern Illinois,13
teamInfo,Southern Illinois,"Carbondale, Illinois",,,
b,r,e,a,k
Milwaukee School of Engineering,20
teamInfo,Ducks,"Milwaukee, Wisconsin",,https://www.facebook.com/MSOEUFO,
0,ANDREW JAX
0,Dominic Frost
0,Jordan Downing
3,Zach Regnier
5,CHRISTOPHER PEROUTKA
7,Grant Postier
09,KYLE SCHOMMER
10,LANDON MARA
12,GABRIEL NELSON
14,TOM KRAL
22,Brian Witkowski
24,Matthew Foster
30,Jessica Johnson
31,ZACHARY KOUKIOS
77,RAYMOND DOUDLAH
b,r,e,a,k
Michigan State (B),52
teamInfo,Riot Control,"East Lansing, Michigan",,,
00,Ian Crane
03,Ian Koskinen
05,Alexander Potoniec
07,Patrick Sharp
08,Will Lefler
09,MATT HILL
11,Robert Auger
13,Paul Herring
19,David Vanderzee
24,Daniel Stephens
33,William Held
b,r,e,a,k
Wisconsin (B),51
teamInfo,Wisconsin - B,"Madison, Wisconsin",,,
0,Branavan Yogarajah
0,ELIAS DEVOE
0,ANDREW EITER
3,Travis Husman
07,ERIC WALSH
10,ELI GOMEZ
11,DANIEL CHANTIGIAN
12,Michael Gionet
15,CONNOR HARTIGAN
17,JOEL PRINCE
18,Scott Groux
21,RICHARD GIZA
23,ISAIAH MITCHELL
24,Eric von Kampen
31,MICHAEL BAHRMASEL
34,KEVIN ETZEL
37,Beau Rigstad
46,Amien Paust
67,LUKE WENNEN
84,Andreas Noack
b,r,e,a,k
DePaul,19
