The Culture 2020,College - Men ,7,3,2020
Vineland,NJ,2020-03-07,2020-03-08
https://play.usaultimate.org/events/The-Culture-2020/schedule/Men/CollegeMen/
SUNY-Buffalo,5
teamInfo,Green Eggs and Ham,"Buffalo, New York",,https://www.facebook.com/pages/SUNY-Buffalo-Ultimate/296407140442,https://twitter.com/gehultimate
0,Christian Wilenski
0,Conor Lenahan
0,Julian Alfaro
0,Matthew Benner
0,Michael Buxton
0,Nick Lenhard
0,Philip Moraski
0,Ryan Bellinger
0,Sam Sommers-Thaler
3,Richard Milleville
3,Joseph Avallone
8,Joshua Seale
17,Carson Essenburg
19,Ben Feldman
20,Andrew Voerg
21,Justin Seale
26,Matthew Montera
29,Austin Van Vorst
42,Matthew Cherwonik
55,Jason Hughes
63,Jack Puttre
69,Inaki Latorre
88,Martin Bustamante
99,Eoin Joyce
b,r,e,a,k
SUNY-Albany,4
teamInfo,SCAM,"Albany, New York",,,
0,Kenny Eckenberg
1,Matthew Zell
02,Jon Risedorf
10,Christopher Munsch
12,David Anes
12,Nathaniel Simons
15,Jason Wu
16,Jack Pica
17,Ryan Cornell
22,Matthew Vaccaro
24,David Gray
25,Anthony Provenzano
34,William Tangel
41,Jacob Grabois
42,Thomas Danz
49,Corey Ott
53,Kevin  Gelabert
88,Samuel Barron
95,Nicholas Granados-Kramer
b,r,e,a,k
Yale,1
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
01,Masayuki Nagase
02,Daniel Monteagudo
03,Seho Young
04,Jackson du Pont
05,Ryan Chiao
06,Leo Lehrer-Small
07,Jake Levin
09,Robert  Luo
10,Colin McCloskey
11,Anthony Ji
12,Kent Perlmutter
17,Kosuke Tominaga
21,Andrew Weitzman
22,Joseph Lybik
24,Conrad Cuevas
32,Mac Schmidt
37,Ian Denzer
64,George Reichenbach
77,Daniel Ortega
90,Todd Warshawsky
b,r,e,a,k
College of New Jersey,9
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,
0,Brian Boyle
0,Christian DeSanctis
0,Christopher Goodwin
0,Connor  Stine
0,Ethan Bedrock
0,Evan Sapirman 
0,Kush Patel
0,Myles Campbell
0,Nigel Pacheco
