Queen City Tune-Up 2020 (Open),College - Men ,8,2,2020
Charlotte,NC,2020-02-08,2020-02-09
https://play.usaultimate.org/events/Queen-City-Tune-Up-2020-Open/schedule/Men/CollegeMen/
Georgia,4
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Ben Ayres
0,Matthew Davidorf
0,Noah Li
0,Thomas Zaiah Bongcaron
0,Zach Brennan
2,Drew Di Francesco
2,Isaac Huntington
3,Jared Bennett
3,Sam Merritt
4,Tyler Randall
5,Connor Hanson
6,Aidan Downey
7,Jon Ross Ingley
9,Julian Shrader
11,Matthew Cook
13,Jake Powell
13,Coleman Benedict
14,Ryan Flick
18,Adam Miller
21,Coleman Tappero
23,John Roorbach
24,Carter Rathur
26,Miles Griffin
27,Hayden Austin-Knab
28,Mack Hodges
29,Mason Cary
35,Travis Kellogg
41,Theodore Sifnaios
44,Ryan Hill
55,Jeremiah Adeola
69,Michael Catucci
88,Brandon Li
b,r,e,a,k
North Carolina,1
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
00,Thomas Harley
01,Jonathan Su
02,Liam Searles-Bohs
03,Seth Lee
04,Suraj Madiraju
05,Andrew Li
06,Jason Manning
07,Kevin Pignone
08,Walker Garrett
10,Ben Dameron
11,Luke Duan
12,Elijah Long
13,Jack McCleary
16,Anders Juengst
17,Wesley Britt
19,Ted Randby
20,Thomas Williams
22,Mukil Guruparan
25,Jayden Feagans
27,Christopher Humphrey
28,John Watters
42,Jeremy Vlacancich
50,Matthew McKnight
77,Daniel Zhu
80,John McDonnell
97,Kai Marcus
b,r,e,a,k
North Carolina State,3
teamInfo,NC State Alpha,"Raleigh, North Carolina",http://alphaultimate.com/,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Conor Chickos
0,Daniel Ferriter
0,Justin-Cooper Williams
0,Sean Murray
0,Zac Kuelz
1,Davis Fields
2,Suhas Madiraju
3,Austin von Alten
5,Chris Cole
6,Matt Tucker
7,Henry Poe
11,Michael Agner
12,Hiatt von Alten
15,David Jones
17,John Laney
18,Dylan Hawkins
20,Phillip Sellers
21,Trevor Lynch
23,Archer Gordon
23,Judah Jodrey
24,Michael Lee
25,Avery Acierno
29,Paul James
30,Robert McAllister
57,Alexander Lerner
80,Will Scudder
81,Rhys Gretsch
85,Bryan Anuel
88,Hunter Shumaker
b,r,e,a,k
Ohio State,2
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,James Bott
0,Ryan O’Brien
9,Marshal Paz
02,Chan Woo Park
04,Timothy Harmody
07,Luke Groom
10,Rishi Nair
11,Nicholas Ondrejko
12,Sion Agami Contreras
13,Jackson Shorey
15,Connor Chatlos
16,Anthony Sanderell
17,Marcus Perry
18,Axel Agami Contreras
20,Andrew Osborn
21,Alex Rudy
22,Eric Binder
23,Jack Engle
24,Michael Verma
27,Chase Gregory
30,Joey Chiu
33,Kyler Waites
49,Logan Frey
55,Eric Coglianese
69,Hartley Stevenson
77,Richard Johnson
91,Noah Krumme
98,Zachary Braun
b,r,e,a,k
Notre Dame,13
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Aidan Vogel
0,Aidan Boyd
0,Benjamin Theis
0,Isaac Bushue
0,Jackson Amigh
0,Jacob Anthuvan
0,Jesse Shank
0,Joseph Crnkovich
0,Mark Livengood
0,Matthew Capps
0,Nicholas Botzer
0,Nicholas Newton
0,Thomas Lawton
0,Thomas Connor
0,Zach Jaromin
0,Zack Veldman
0,Owen Kranz
4,Landon Shank
19,Sebastian Miner
20,Kent Hardart
27,Austin Walter
30,Oliver Hirn
41,Joseph Oswald
55,Adam Wiechman
73,Chris Walsh
76,Steven Wagner
85,Chase Rawlins
b,r,e,a,k
William & Mary,6
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Bjorn Shockey
0,Bryce Whitney
0,Carl Lasker
0,David Hill
0,David Bishop
0,Ethan Dewald
0,Gabe Westergren
0,Gus Norrbom
0,Harrison Littel
0,Jack Helms
0,John Buchholz
0,Joshua Zinger
0,Kai Sherwood
0,Kyle  Vanhoy
0,Langston Lee
0,Philip Ignatoff
0,Ryan Cooper
0,Scott Kilmer
0,Theodore Bennett
0,Zackery Johnson
0,Aidan O'Connell
1,Aaron Groves
4,Lucas Reichert
5,Ethan Ruh
21,August Wagner
34,Austin Alvarado
53,Jonny Malks
b,r,e,a,k
North Carolina-Wilmington,5
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
0,Alex Bleuzen
01,James Lockamy
02,Michael Richards
03,Colin White
04,Quinn Garner
05,Jacobb Murphy
06,Owen Maskelony
07,Zachary Clark
08,Jack Liebling
09,Gabe Thomas
10,Ryan Watson
11,Patrick Grossheim
12,Sean O'Kelley
13,Kevin Huerta
15,Jup Patel
17,Colby Francfort
21,Caleb Avery
22,Jalen  Goodwin 
24,Christopher Nelson
27,Dasan Bender
31,Cole Feltman
33,Jesse Thornton
48,Santiago Velosa
52,Connor Russell
55,Kameron Williamson
88,Lukas Becker
96,Ethan Ylizarde
b,r,e,a,k
Alabama,7
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Adam Graff
0,Crayton Patterson
0,Devin Kelly
0,Grant Kern
0,Grayson Holbert
0,Jacob Lipford
0,Josh Van Cleave
0,Landon Sagle
0,LaNolan Billingsley
0,Logan George
0,Michael Cornett
0,Nathan Lyle
0,Noel Sarver
0,Steven Ladenberger
0,Tallon Hairston
0,William Parker
1,Trip Crowley
3,Addison Wirt
4,Jacob Bultman
42,Watson Anderson
57,Dylan Doherty
b,r,e,a,k
Virginia,9
teamInfo,Night Train,"Charlottesville, Virginia",,,https://twitter.com/nighttrainatuva
0,Bart Turney
2,John Bagli
4,Bryce Foster
5,Nicholas  Glovsky
5,Quinn Hermann
10,Alexander Rudin
13,Josh Barnard
14,Daniel Carrier
16,Hayden Ratliff
18,Jacob Dillard
19,Christopher Zaino
20,Chris Hawkins
22,Sawyer Linde
27,Joe Spaeth
29,Nick Robinson
30,Danny Krug
31,Alex Turney
33,Tanner Dellett-Wion
34,Trent Ballard
42,Christopher Letai
42,James Zhu
44,Jack Pipatti
44,Stephen Dolan
45,Owen Mahoney
73,Dylan Dellett-Wion
78,Isaac Roberts
80,Brody McDevitt
b,r,e,a,k
Purdue,11
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Sean O'Donovan
4,Andrew Deuschle
5,Jackson Moore
6,Richard Tang
7,Eric Hoy
02,Jacob Just
03,Patrick Dunn
10,Kole Pempek
12,Joseph Byerly
13,Alex Green
14,Matthew Viscido
17,Griffin Snead
