Queen City Tune Up 2020 (Women) ,College - Women ,8,2,2020
Charlotte,NC,2020-02-08,2020-02-09
https://play.usaultimate.org/events/Queen-City-Tune-Up-2020-Women-/schedule/Women/CollegeWomen/
Carleton College,1
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Logan Weiss,Courtney Kiesow
03,Emma Gautier
04,Brigitte Forster
06,Nora Mertz
08,Maya Powell
09,Alyssa Ehrhardt
10,Claire Dettelbach
11,Hannah Babcock
11,Rebecca Shapiro
13,Nariah-Belle Sims
14,Anna Stubbs
17,Karen Ehrhardt
23,Anika Thomas-Toth
26,Georgia Paulig
29,Ada Wright
31,Lauren Yamasaki-Liske
34,Kate Lanier
36,Margaret Little
38,Allison Fridkin
43,Carly Campana
81,Eleanor Vandel
87,Emma Chin
b,r,e,a,k
Virginia,8
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Abby Herrod
0,Annabel Tripodi
0,Aubrey Leaser
0,Birgitta Taylor-Lillquist
0,Elena Lensink
0,Emily Harris
0,Jane Frankel
0,Katherine Tramonte
0,Kira Flores
0,Paulina (Syd) Kirk
0,Sarah Jordan
0,Seanna Adam
0,Stephanie Skahen
5,Khin  Kyaw 
9,Isabella Savage
11,Erin Flores
16,Caroline Bereuter
17,Shuchi Amin
18,Bryn Kabiri
22,Claire Reagan
27,Nora Wagner
29,O'Linda (Blaise) Sevier
29,Kelsey Schoeman
36,Maya Nir
39,Selina Cheng
69,Megan Kenny
99,Chandler Smith
b,r,e,a,k
Michigan,9
teamInfo,Flywheel,"Ann Arbor, Michigan",http://www.flywheelultimate.com,,https://www.twitter.com/UMichFlywheel
0,Hanna Schechter
0,Sylvia Gisler
2,Marguerite Harris
3,Claire Blazewicz
9,Emily Evans
14,Jade Turner
15,Miranda Baltaxe
16,Riely Kuznicki
17,Nicole Kleinsorge
20,Madison Nightingale
22,Madison Haas
23,Loriann Hom
24,Kristina Nunez
25,Sarah Jordak
27,Megan Gordon
32,Elizabeth Rott
33,Rita Hathaway
34,Annie Mei
35,Hannah Cheng
36,Naomi Kantor
54,Elizabeth Kirk
69,Zoe Engle
77,Katrina McGuire
98,Katie Wagner
99,Sophia Leiter
b,r,e,a,k
Pennsylvania,17
teamInfo,Venus,"Philadelphia, Pennsylvania",http://www.dolphin.upenn.edu/ultimate/Venus/,https://www.facebook.com/VenusUltimate/,https://twitter.com/venusultimate
coaches,Matt Zumbrum
5,Katherine Neupauer
01,Julia Lasater
02,Shannon Lin
03,Lauren Hoang
04,Michelle Paolicelli
06,Sarah Hahn-Du Pont
07,Emma Francis
12,Sophie Ishiwari
14,Stephanie Walsh
17,Cassidy Bruner
18,Marisa Senkfor
21,Roopa Chandra
25,Dagny Lott
27,Stephanie Xie
28,Julia Comer
33,Hannah Devlin
35,Melissa Frankil
37,Katie Fazio
