Huck Finn 2025,College - Men ,29,3,2025
Saint Louis,MO,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Huck-Finn-2025/schedule/Men/CollegeMen/
Notre Dame,17
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Anders Butsch
0,Christian Maynard
0,Ethan Stack
0,Henry Lytle
0,Isaac Howk
0,Dominic D'Onofrio
0,Luke Fowler
0,William Richardson
2,Paul Fletcher
3,Colin Knapp
5,Zachary Koh
04,Sean Miranda
08,Patrick Schwartz
10,Michael Rauch
11,Daniel Harrison
14,Carson Nickel
18,Seth Green
25,Alfredo Huete
28,Marc Chahoud
44,Dylan Greco
50,Colin Stevens
59,Camden Wozniak
78,Kevin Wakakuwa
99,Zachary Quirk
b,r,e,a,k
Iowa State,9
teamInfo,ISUC,"Ames, Iowa",https://www.stuorg.iastate.edu/isuc,https://www.facebook.com/IowaStateUltimate,https://twitter.com/ISUltimate
coaches,Dayton Wright
0,Andrew Chizek
0,Caleb Kugel
0,Ellery Sabado
0,Ellis Perniel
0,Jake Ebersole
0,Matthew Glanzmann
0,Nicholas Messerges
0,Owen Jewell
0,Stephen Gaul
1,Logan Castle
1,Gabe Schoepke
2,Joey Clarke
3,Destiny Adams
4,Zachary Bye
6,Logan Heileman
9,Emerson Sabado
11,Hrushi Bhatt
25,Brian Cacioppo
32,Holden Fahnhorst
33,Sean Fjellman
42,Tanner Holtz
62,Justin  Hua
64,Tommy Rohlinger
87,Jason Dejung
98,Luke Walsh
b,r,e,a,k
Alabama,16
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Arden Markin
0,Benjamin Forton
0,Brady Grogan
0,Christopher Sullivan
0,David Hunt
0,Drew Anderson
0,Jackson Whitlow
0,Justin Weaver
0,Lachlan Campbell
0,Thomas Cagle
0,Thomas Reed
0,Timothy Sullivan IV
0,John Prendergast
0,Joshua Scheuer Haeker
0,William Nash
3,William Hagan
7,Jacob Ham
8,Logan Ashwell
8,Alex Brown
9,Sam Pilgreen
14,Jack Libby
64,Conley Brooks
84,Joshua Lewis
95,Zachary Powers
b,r,e,a,k
Saint Louis,24
teamInfo,Archangel,"St. Louis, Missouri",,,https://twitter.com/Archangel_SLU
0,Adam Zabel
0,Alex Davis
0,Ardian Hoxhaj 
0,Biraj Pokhrel
0,Brian Weigus
0,Brian Leesman
0,Caleb Yatchak
0,Carson Enge
0,Conor Corcoran
0,Daniel Juergens
0,Derian Ryker
0,Gavin Martin
0,Grant Thornberry
0,Grant Gorman
0,Henry Davis
0,Ian Roudebush
0,Rahul Chetty
0,Russel Hymel
0,Samuel Liu
0,Sean Gillen
0,Shane Grippi
0,Tamish Sapkota
0,Trenton Schultz
0,Willow Parker
0,Martín Olmedo
17,Matthew Kolnik
22,Jared Thornberry
35,Max Yue
b,r,e,a,k
Cincinnati,10
teamInfo,Bearcats,"Cincinnati, Ohio",,,https://twitter.com/UCUltimate
0,Nihaal Sidhu
1,Jalal Sylvester
3,Scott Bingham
4,Sam Moushey
6,Zachary Lewis
7,William Sheridan
8,Tyson Neff
9,Brady Smith
11,William Wettengel
18,Michael Bruggeman
19,Nate Montgomery
23,Ian Hailey
24,Robby Fitzgerald
25,Bradley Caldwell
27,Westley  Laughton
42,Christopher Fischer
46,James Butz
47,Brock Spencer
48,Lloyd Goldstein
54,Nick Miller
55,Zachary Robinson
75,Aidan Sommer
88,Jake Wahl
b,r,e,a,k
Southern Illinois-Edwardsville,15
teamInfo,SIEGE,"Edwardsville, Illinois",,,
coaches,Matthew Rehder
0,Kevin Chavers
01,Hector Chaidez
02,Jadin Johnson
03,Patrick Driscoll
05,Kaden Schleeper
07,Augustino Ojeda
08,Jonathan Zawitkowski
09,Lucas Hanson 
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
14,Victor Chaidez
15,Colin Mclaren
18,Keaton Anderson
26,Evan Driscoll
30,Jesse Zawitkowski
88,Sam Dawson
b,r,e,a,k
Missouri S&T,18
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
0,Aidan Tow
0,Aidan Byrne
0,Andrew Clayton
0,Aron Katon
0,Carson Kempf
0,Griffen Anderson
0,Jacob Mathew
0,Jesse Lynch
0,Kenneth Stanley
0,Kevin Wyle
0,Michael Preisack
0,Mitchell Gordon
0,Owen Thoms
0,Sam Papin
0,Thomas Clayton
0,Wesley Fransen
0,Zachary Sanders
5,Sean  Sharp
12,James Landon
15,Mason Schiefer
25,Aiden Meinkoth
27,Brandyss Sherman-Hall
35,Katelyn Griebel
40,Clifton Ruh
44,Evan DeJournett 
54,Theodore Guidry
55,Dylan Brewer
72,Charlie Harp
79,Joseph Hubenschmidt
90,Benjamin Pillsbury
b,r,e,a,k
Kentucky,23
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,A. J. Witheril
0,Colin Winter
0,Darius Jackson
0,Kian Perry
0,Nathan Ogilvie
0,Nick Quatman
3,Alex Reichert
4,Nicholas Wood
5,Isaac Madill
7,Reed Brixey
17,Jakob Spencer
18,Henry Walke
20,Nathan Riffell
21,Noel Houser
23,Andrew Bacarella
26,Owen Woodward
42,Kenneth Hodge
47,Jacob Culver
53,Jacob Gowan
55,John Blair
59,Jacob Vejar
72,Andrew Blair
85,Dominic Gates
b,r,e,a,k
Ohio State,14
teamInfo,Leadbelly,"Columbus, Ohio",,,
0,Ben Pickels
0,Brady Aneshansel
0,Camron Chambers
0,Alex Warrington
0,Andrew DePuy
0,Evan Butsch
0,Jared Monsen
0,Jeremiah Sablak
0,Lucas Antoszewski
0,Lucas Nestor
0,Luke Lorence
0,Miles DiNardo
0,Noah Saidel
0,Sai Pittala
0,Tanion Misawayee
0,Vlad Estrin
4,Aadit Shah
14,David Butz
15,Anthony Zelinskas
22,Rea Hederman
39,Christopher Arevalo
43,Tyler McCarthy
99,Christian Colon
b,r,e,a,k
Texas A&M,19
teamInfo,Dozen,"COLLEGE STATION, Texas",dozenultimate.com,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
0,Cyrus Deeds
0,Gareth May
0,Jonathan Jin
0,Joshua Henson
0,Karthik Jayakumar
0,Mason Marsh
0,Noah Loy
0,Peter Saudale
3,Mark Henke
4,Decker Padgett
6,Aidan Lesseraux
7,Vinay Patel
10,Maren Monsivais
15,Josiah Padgett
16,Timothy Mosher
21,Luke Henke
22,Tony Cao
23,Garrison Abide
35,Richard Pena
44,Solomon Moon
66,Ethan Horng
77,David DeVaull
b,r,e,a,k
Macalester,22
teamInfo,Macalester Open Ultimate,"Saint Paul, Minnesota",https://macalesteropenulti.weebly.com/,,https://twitter.com/macalesterulti
0,Austin Flatness
0,Benjamin Westergren
0,Boaz Lieberman
0,Brayden Mathias
0,Caleb Bartlett
0,Emory Shoaff
0,Erik Lindell
0,Isaac Gilchrist
0,Kyle Suelflow
0,Liam Athas
0,Nathan Blatman
0,Alex Brinkman
0,Sanjeev Sridhar
0,Spencer Hazleton
0,Theo Zuckerman
0,William Chapman-Renaud
2,Addison Zheng
3,Ezra Cohen
7,Rocky Slaymaker
11,Stellah Marienthal-Legendre
14,Andrew Dong
22,Nicholas Miller
36,Gavin Davis
37,Seamus McMurrer
69,Dylan Lian
77,Owen Suelflow
b,r,e,a,k
Missouri,11
teamInfo,Missouri,"Columbia, Missouri",,https://www.facebook.com/University-of-Missouri-Mens-Ultimate-Frisbee-Club-485959944787244,https://twitter.com/MizClubMFrisbee
0,Alon Barzilay
0,Brooks Laughlin
0,Cameron Smith
0,Devon Quello
0,Drew Lanio
0,Dylan Schearf
0,Eric Wilson
0,Henry Strauss
0,Isaac Faust
0,Jamison Martin
0,Michael Rashford
0,Michael Nece
0,Owen Levins
0,Robby Thompson
0,Siddanth Kuchangi
0,Thomas Abbate
0,Trent Wetherington
0,Zachary Gibson
3,Joseph Goessling
4,Luke Schultz
5,Landon Evans
10,Caleb Dorsch
12,Spencer Keith
16,Elliott Eberhahn
17,Drew Law
27,Evan Schreiner
b,r,e,a,k
Purdue,12
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Alan Chi
0,Arda Fazla
0,Christiaan Sengers
0,Grant White
0,Isaac Fegelman
0,John Hanish
0,Matthew Imm
0,Max Egendoerfer
0,Owen Edwards
0,Rohit Aralikar
0,Spencer Walsh
0,Tristan Ferguson
1,Jake Hanson
9,Ryan Hogg
13,Eric Palia
17,Andrew Gasson
24,Daniel Spillane
25,Henry Cooper
36,Jonathan Jackson
43,Benjamin Spergel
69,William Lilegdon
77,Kevin Asaro
91,Elijah Gornik
b,r,e,a,k
St Olaf,13
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
coaches,Caleb Szydlo
0,Jake Schmidt
1,Ian Westerberg
2,Zach Bollman
3,Caleb Hanse
4,Jackson Forebaugh
6,Oskar Nunemacher
7,Cade Ashland
9,Owen Lehmkuhl
12,Josh Stanton
13,Liam Griffin
14,Carter Petrella
16,Taro Jelinek
19,Jonas Geere
21,Leo Benson
22,Owen Monge
23,Loren Griffin
24,Bjorn Lief
33,Grant Klebig
37,Hayden Fahnhorst
39,Kai Assef
41,Murphy Galvin
42,Kemble Rains
46,Jake Magner
67,Luke Goeddeke
68,Maclain  Everson-Rose 
77,Max Sponseller
89,Ethan Landgreen
91,Gabriel Badillo Moorman
99,Quinn Munson
b,r,e,a,k
Mississippi State,21
teamInfo,Dark Horse,"Starkville, Mississippi",https://instagram.com/msudarkhorse?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
3,Matt Blaylock
4,Jacob Davis
4,Will Kalahar
5,Daniel Grisham
6,Graham Williams
9,Abe Young
10,Dawson Archer
13,Jackson Stoneham
14,James Tindell
15,William Clark
16,Madison Glidewell
16,Felix Airhart
17,Joshua Hamann
18,Ron Jenkins
19,Jordan Jaucian
19,Brannan Tisdale
20,Joshua Mitchell
21,Gideon Miller
24,Zachary Crane
27,Bastian Tully
29,Bryce Taneri
29,Noah Carpenter
30,Charles Shannon
31,Grant Houston
31,Matthew Morin
33,Drew Laird
35,Noah Probst
37,Timothy Ferrell
45,Jeremy Baxter
47,Dawson Johns
69,Diego Torrez
70,Peyton Raggio
73,Evan Garrison
77,Jackson Thomas
78,Barnes Lowry
88,James Harms
95,Nicholas Lake
99,Sean Glasgow
99,Cade Besaw
b,r,e,a,k
Northwestern,20
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
coaches,Abby Shure,Kyle Rutledge,Seokhee Burningham,Anthony Colucci
0,Ethan Weiss
0,Hari Maheswaran
0,Jesse Hart
0,Mintesinot Sturm
0,Nathan Rachwalski
0,Tony Cheng
0,Truman Margolies
1,Isidore Donnelly
2,Bernie Waldman
3,Taye Bradford
4,Tyler Zarybnisky
5,Gabriel Bassin
8,Ian Falck
9,Keuyrbel Zewedu
20,Kevin Ji
21,Benjamin  Fried
22,Charlie Geci
24,Ayush Gaggar
29,Mateo Liguori
37,Ezra Danzig
51,Miki Ling
61,Jett House
