Great Lakes D-I College Men's Regionals,College - Men ,26,4,2025
Holland,MI,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Great-Lakes-D-I-Mens-Regionals-2025/schedule/Men/CollegeMen/
Chicago,1
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
coaches,Claire Schmitt
0,Benjamin O'Donnell
0,Duncan Fuehne
0,Garrett White
0,Mason Wright
0,Maxwell Devine
0,Suhaas Katikaneni
0,Nicholas Rose
00,Quinn Hauck
00,Tom Dupor
00,Trevor Ung
00,Tuhin Ghosh
00,Michael Hlavaty
00,Nathaniel Alden
00,Gavin Kelly
00,Grant Harris
00,Han Zhang
00,Joseph Sifakis
00,Joseph Kaplan
00,Josh Edington
00,Kevin Yuan
00,Leon Tan
00,Emmanuel Abayev
00,Aiden Tandiono
00,Ben Brink
00,Caleb Friedman
00,Christopher Nowak
00,Cory McCormack
00,Derek Hsu
b,r,e,a,k
Southern Illinois-Edwardsville,8
teamInfo,SIEGE,"Edwardsville, Illinois",,,
coaches,Matthew Rehder
0,Kevin Chavers
01,Hector Chaidez
02,Jadin Johnson
03,Patrick Driscoll
04,Harrison  Feco
05,Kaden Schleeper
07,Augustino Ojeda
08,Jonathan Zawitkowski
09,Lucas Hanson 
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
14,Victor Chaidez
15,Colin Mclaren
16,Nicholas  Smith
18,Keaton Anderson
26,Evan Driscoll
30,Jesse Zawitkowski
32,Evan Squire
88,Sam Dawson
b,r,e,a,k
Michigan (B),12
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com,,https://x.com/bagnUMultimate?s=20
0,Alain Zhou
0,Alex Meyer
0,Alex Johnson
0,Caleb Strom
0,Collin McDonald
0,Eli Rangarajan
0,Gabriel Sanborn
0,Ian Kennedy
0,Kevin Toland
0,Krish Patel
0,Lucas Busch
0,Peter Schoenherr
0,TJ Moody
0,Xingzhi Cui
00,Erich Zhang
02,Leo Huyghe
04,Kyle Fischer
06,Jiayou Liu
07,Aidan Nakhleh
08,Chad Cao
09,William Bushey
10,Lucas Reading Sunol
12,Noah Feigenbaum
13,Jener Balk
20,Asher Strayhorn
22,Kyle Fick
23,Jonah Traub 
26,Matthew Cao
27,Bingqian Pan
33,Jake Rivett
37,Jack Miller
42,Chris van Lent
56,Nathan Mills
68,Jerry Mao
99,Will Dulaney
b,r,e,a,k
Illinois State,13
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
00,Alessandro Gibson
01,Dillon Yocum
02,Kacper Wujda
03,Thomas  Diveley
04,Rishi Boghra
05,Justin Burnett
06,Logan Dudley
07,Carter Whitlow
11,Jacob Lyszczarczyk
12,Ethan  Moore 
15,Zachary Zietara
16,Zach Ohlsson
17,Maksymilian Zajdel
20,Jalen Thomas
22,Brandon Hill
27,Peder Sevig
29,Reilly Nawrocki
33,Truman Arie
34,Patrick Corlett
37,Levi Cardoso De Campos
44,Andrew Roth
95,John Chambers
97,Benjamin Thomson
98,Ian Wiegel
99,Alex Zielinski
b,r,e,a,k
Michigan,2
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
00,Filip Icev
02,Enzhuo Yu
04,Adam Wang
05,Trent Moon
06,Andrew Kim
06,Jose Dasilva
07,Jordan Bacharach
08,Nicholas Alfonso
09,Jack Davis
10,Xavier Silva
12,Emmet Payette
13,Lincoln Boyd
14,Aaron Bartlett
19,Aidan Hale
21,Austin Ngan
23,Gabriel Dowd
24,Josh Solomon
24,Charlie Rosenfeld
25,Andrew Armstrong
27,David Braden
28,Gabriel Scheck
29,Samuel Teppo
33,James Hill
36,Charlie Huang
37,Julius Cohen
55,Joshua Wang
77,Ryan Barrett
88,Mekhi PhillipsRincher
89,Stanley Jian
92,Tobey Chang
99,Daniel Marlin
b,r,e,a,k
Michigan State,7
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
00,Elton Howard
00,Ethan Fox
00,Harrison Keathley
00,Hayden Monk
00,Jack Bembenek
00,Jacob Crosby
00,Jaden Hanold
00,James Kloss
00,Joey Fishkind
00,Joseph Sogno
00,Joseph Flynn
00,Lucas Wade
00,Marc Canellas-Salles
00,Aiden Rudy
00,Connor Griffin
00,Dean Golminas
00,Noah Sawyer
00,Samuel Pierson
00,Sayato Henney
00,Tomokai Timmer
00,Will Zamsky
00,Yihun Mazor
32,Elliot Davis
44,Matthew Chamberlain
b,r,e,a,k
Kentucky,11
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Darius Jackson
00,A. J. Witheril
00,Colin Winter
00,Jacob Gowan
00,John Blair
00,Kenneth Hodge
00,Kian Perry
00,Nathan Ogilvie
00,Nick Quatman
03,Alex Reichert
04,Nicholas Wood
05,Isaac Madill
07,Reed Brixey
17,Jakob Spencer
18,Henry Walke
20,Nathan Riffell
21,Noel Houser
23,Andrew Bacarella
26,Owen Woodward
30,Ethan Gutberlet
47,Jacob Culver
59,Jacob Vejar
72,Andrew Blair
85,Dominic Gates
b,r,e,a,k
Loyola-Chicago,14
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
00,Aidan Chapman
00,Aran Baphna
00,Diedrick Nikoi
00,Elliott Laibson-Brown
00,Brennan Perkins
00,James Warholy
00,James Goodfriend
00,Matthew Kumar-Montei
00,Max Wuest
00,Maxwell Mercer
00,Michael Quiroga
00,Nate Pascale
00,Otto Koops-Elson
00,Owen Cooper
00,Sameeh Shafi
00,Samuel Libis
00,Sebastian Kirkpatrick
00,Will Betterman
00,William Gresh
00,Kelvin Nguyen
02,Bjorn Anderson
03,Britton Cone
18,Anthoine  Godin 
22,George Gustafson
24,Anthony Scibelli
29,Jack Kuhlman
33,Jude Ratajczak
77,Leo Engelke
99,Nicholas Rottman
b,r,e,a,k
Illinois,3
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
coaches,Eric Badger
00,Aadit Bhatia
00,Abe Palmer
00,Eric Cai
00,Samuel Astrom
02,Nathaniel Astrom
05,Arjun Samudrala
08,Andrew Chen
09,Kai Tang
10,Carter Rodgers
15,Evan Sebastian
17,William Voss
18,Rishabh Srinivas
19,Griffin Kelley
22,Spencer Sadler
25,Simon Perez
26,Kushal Kothapalli
27,Jake Fujiwara
28,Pupetch Nimnark
29,Sean Hickey
34,Carson Splear
40,Emil Weisfeld
44,Daniel Sawai
49,Nathan Zock
68,Kai Bowen
76,Jeffrey Lefkovitz
85,Hunter Latson
b,r,e,a,k
Purdue,6
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
00,Alan Chi
00,Andrew Gasson
00,Arda Fazla
00,Benjamin Spergel
00,Christiaan Sengers
00,Cian Flaherty
00,Daniel Spillane
00,Elijah Gornik
00,Grant White
00,Henry Cooper
00,Isaac Fegelman
00,Jake Hanson
00,John Hanish
00,Jonathan Jackson
00,Kevin Asaro
00,Matthew Imm
00,Max Egendoerfer
00,Owen Edwards
00,Rohit Aralikar
00,Ryan Hogg
00,Spencer Walsh
00,Tristan Ferguson
00,William Lilegdon
13,Eric Palia
b,r,e,a,k
Grand Valley,10
teamInfo,Lakers,"Allendale, Michigan",,,
00,Jonah Sanchez
01,Phillip Hayes
01,Garrett McFarlane
03,Blake Baumann
04,Gabe Ecenbarger
06,Jordan Gabrielse
07,Caleb Westhouse
09,Evan Smith
10,Gatlin Mosby
12,Jacob Timmer
17,Grant Bush
19,Max Mensik
22,Harrison Smith
24,Kodey Howland
26,Dennis Rennells
27,Isaac Haapala
42,Braxton Sipes
58,Todd Leatherman
69,Isaac Hagedorn
b,r,e,a,k
Illinois (B),15
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
8,Sujay Subramanian
00,Ronin Banerjee
00,Jeff Burda
06,Matthew Conroy
09,JT DeLongchamp
10,Sam Dong
11,Ryan Hof
13,Jackson Kiedaisch
14,Shea Sturtevant
15,Samuel Wleklinski
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
25,Arnav Poddar
28,Zichao Lin
29,Jeff Gao
30,Gang Xu
38,Nick Owen
41,Abbey Mullen
67,Robert Skrentny
78,Patrick Huang
84,Ben Lareau
87,Elliot Weisfeld
88,Eric Ho
b,r,e,a,k
Indiana,4
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
coaches,Connor Regan
00,Camilo Santiago
00,Charlie Riedel
00,Chris Azar
00,Collin Rassel
00,Conner Blalack
00,Daniel Messe
00,Ethan Uribe
00,Ethan  Teske
00,Evan Taylor
00,George Peterson
00,Grayson  Irwin
00,Hayden Bosch
00,Henry Vahl
00,Jack Galle
00,Jake Rabinowitz
00,Jeremy Weese
00,John Tyndall
00,Mario Bellavia
00,Nicky Walker
00,Noah Rowland 
00,Rahul R
00,Sam Berebitsky
00,Samuel Greenfield
00,Will Quigley
00,Aidan Ball
06,Andrew Vetne
b,r,e,a,k
Notre Dame,5
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
00,Anders Butsch
00,Christian Maynard
00,Dominic D'Onofrio
00,Dylan Greco
00,Ethan Stack
00,Henry Lytle
00,Isaac Howk
00,Luke Fowler
00,Michael Rauch
00,Paul Fletcher
00,Seth Green
00,William Richardson
03,Colin Knapp
04,Sean Miranda
05,Zachary Koh
08,Patrick Schwartz
11,Daniel Harrison
14,Carson Nickel
25,Alfredo Huete
28,Marc Chahoud
50,Colin Stevens
59,Camden Wozniak
78,Kevin Wakakuwa
99,Zachary Quirk
b,r,e,a,k
Northwestern,9
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
coaches,Seokhee Burningham,Anthony Colucci,Abby Shure,Kyle Rutledge
00,Benjamin  Fried
00,Ethan Weiss
00,Mateo Liguori
00,Miki Ling
00,Mintesinot Sturm
00,Nathan Rachwalski
00,Taye Bradford
00,Tony Cheng
00,Truman Margolies
00,Tyler Zarybnisky
00,Jesse Hart
00,Jett House
00,Keuyrbel Zewedu
00,Hari Maheswaran
01,Isidore Donnelly
02,Bernie Waldman
05,Gabriel Bassin
08,Ian Falck
20,Kevin Ji
22,Charlie Geci
24,Ayush Gaggar
37,Ezra Danzig
68,Emmett Broustis 
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Chicago,Michigan (B),13,7,"04/26/2025, 10:00",Pool A,Final
Southern Illinois-Edwardsville,Illinois State,13,5,"04/26/2025, 10:00",Pool A,Final
Chicago,Illinois State,13,2,"04/26/2025, 12:00",Pool A,Final
Southern Illinois-Edwardsville,Michigan (B),13,7,"04/26/2025, 12:00",Pool A,Final
Chicago,Southern Illinois-Edwardsville,13,5,"04/26/2025, 14:00",Pool A,Final
Michigan (B),Illinois State,13,12,"04/26/2025, 14:00",Pool A,Final
pool,Pool B
Michigan,Kentucky,13,2,"04/26/2025, 10:00",Pool B,Final
Michigan State,Loyola-Chicago,13,0,"04/26/2025, 10:00",Pool B,Final
Michigan,Loyola-Chicago,13,5,"04/26/2025, 12:00",Pool B,Final
Michigan State,Kentucky,12,10,"04/26/2025, 12:00",Pool B,Final
Michigan,Michigan State,13,8,"04/26/2025, 14:00",Pool B,Final
Kentucky,Loyola-Chicago,13,7,"04/26/2025, 14:00",Pool B,Final
pool,Pool C
Illinois,Grand Valley,13,6,"04/26/2025, 10:00",Pool C,Final
Purdue,Illinois (B),13,6,"04/26/2025, 10:00",Pool C,Final
Illinois,Illinois (B),13,6,"04/26/2025, 12:00",Pool C,Final
Purdue,Grand Valley,13,7,"04/26/2025, 12:00",Pool C,Final
Illinois,Purdue,13,10,"04/26/2025, 14:00",Pool C,Final
Grand Valley,Illinois (B),13,10,"04/26/2025, 14:00",Pool C,Final
pool,Pool D
Indiana,Northwestern,14,10,"04/26/2025, 10:00",Pool D,Final
Notre Dame,Northwestern,14,13,"04/26/2025, 12:00",Pool D,Final
Indiana,Notre Dame,13,11,"04/26/2025, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Indiana,Michigan,9,14,"04/27/2025, 13:00",Championship,Final
Michigan State,Indiana,9,11,"04/27/2025, 11:00",SemiFinals,Final
Illinois,Michigan,9,13,"04/27/2025, 11:00",SemiFinals,Final
Chicago,Michigan State,13,14,"04/27/2025, 09:00",QuarterFinals,Final
Purdue,Indiana,10,12,"04/27/2025, 09:00",QuarterFinals,Final
Illinois,Notre Dame,13,12,"04/27/2025, 09:00",QuarterFinals,Final
Northwestern,Michigan,8,15,"04/27/2025, 09:00",QuarterFinals,Final
Michigan State,Grand Valley,14,11,"04/26/2025, 16:00",Play-In,Final
Purdue,Kentucky,15,8,"04/26/2025, 16:00",Play-In,Final
Michigan (B),Notre Dame,7,15,"04/26/2025, 16:00",Play-In,Final
Southern Illinois-Edwardsville,Northwestern,10,14,"04/26/2025, 16:00",Play-In,Final
bracket,3rd Place
Michigan State,Illinois,15,13,"04/27/2025, 13:00",3rd Place,Final
bracket,5th Place Bracket
Purdue,Northwestern,15,9,"04/27/2025, 13:00",5th Place,Final
Chicago,Purdue,8,15,"04/27/2025, 11:00",5th Place Semis,Final
Notre Dame,Northwestern,12,15,"04/27/2025, 11:00",5th Place Semis,Final
bracket,7th Place
Chicago,Notre Dame,0,0,"04/27/2025, 13:00",7th Place,Scheduled
b,r,e,a,k
pools,Consolation Pools
pool,9th Place Pool
Grand Valley,Michigan (B),0,0,"04/27/2025, 09:00",9th Place Pool,Scheduled
Kentucky,Southern Illinois-Edwardsville,15,14,"04/27/2025, 09:00",9th Place Pool,Final
Grand Valley,Southern Illinois-Edwardsville,12,15,"04/27/2025, 11:00",9th Place Pool,Final
Kentucky,Michigan (B),15,11,"04/27/2025, 11:00",9th Place Pool,Final
Grand Valley,Kentucky,9,11,"04/27/2025, 13:00",9th Place Pool,Final
Michigan (B),Southern Illinois-Edwardsville,2,7,"04/27/2025, 13:00",9th Place Pool,Final
pool,13th Place Pool
Loyola-Chicago,Illinois (B),6,9,"04/27/2025, 09:00",13th Place Pool,Final
Illinois State,Illinois (B),15,9,"04/27/2025, 11:00",13th Place Pool,Final
Illinois State,Loyola-Chicago,15,10,"04/27/2025, 13:00",13th Place Pool,Final
b,r,e,a,k
