2025 Southeast Men's Regional Championship,Club - Men ,20,9,2025
Winston-Salem,NC,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Chain Lightning,1
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
coaches,Miranda Knowles,Mark Poole
0,Jeremy Langdon
02,Andrew Thai
05,Michael Fairley
06,Brett Hulsmeyer
07,Samuel Munnis
08,Lukas McClamrock
09,Kenni Taylor
11,Tyler Randall
14,Jakeem Polk
15,Ryan Flick
16,Edward Ramsey
17,Hayden Austin-Knab
18,Adam Miller
19,Tannon Hedges
21,Coleman Tappero
22,Tanner Robinson
23,Jack Krugler
34,Bradley Fleming
35,Drew Wentworth
36,Nick Spiva
55,Chris Youngblood
61,Simon Dastrup
69,Michael Poe
77,Ki Greene
83,Michael-Angelo Humm
99,Brandon Van Deusen
b,r,e,a,k
Triumph,8
teamInfo,,"Morrisville, North Carolina",https://rb.gy/6knme4,,
0,Benjamin Kinnaird
0,Christopher Heim
0,Dillon Lesniak
0,Luke Cornelius
0,Ryan Norris
0,Samson Bienstock
0,Stefan Isaza
0,Tanner Plentl
0,Tate Wilson
0,Quinlan Collier
0,Robert Locke
2,Bobby Patterson
3,Michael Paniagua
5,Jason Zwierzynski
6,Harrison Karlok
7,Brian Dahlben
11,Josh Louie
13,Jacob Luksik
13,Eric Feigin
13,Christopher Byrd
14,Zachary Baldwin
19,Robert Castaneda
25,Daniel Huggins
31,David Tulin
86,Connor Norris
87,Benj Thomsen
b,r,e,a,k
Elysium,11
teamInfo,,"Atlanta, Georgia",,,
0,Chase Miller
0,Christian Thomas
0,Cole Flournoy
0,Daniel Palladino 
0,Davis Elder
0,Ephraim Connor
0,Boden Retherford
0,Grady Freeman
0,Ian Maddox
0,Ronaldo Cruz Garcia
0,Sam Diffin
0,Samuel Trent
0,Will Roberts
0,William Lindquist
4,Eric Sinkler
11,Grady Richman
13,Ryan Murphy
14,Charles Loudermilk
20,James Rink
50,James Cox
62,Ross Barnes
b,r,e,a,k
El Niño,14
teamInfo,,"Fort Lauderdale, Florida",http://elninoultimate.com,,https://twitter.com/ElNinoUltimate
0,Avery Cypress
0,Carlos Hernandez
0,Chris O'Connor
0,Andrew Canzano
0,Edward Bou
0,Franco Basualto Sanchez
0,froilan campos atencio
0,Greg Hulet
0,Jack Kelly
0,Jonathan Holmes
0,Kevin Rooney
0,Luis Paz
0,Michael Birnbaum
0,Nicholas Pontarelli
0,Nicholas Rauch
0,Nicholas Lester
3,Odalis Almonte
8,Tyler Hedges
9,Robert Bronchick
11,Christian Luneburg
14,Kevin Carles
15,Wes Geisenberger
21,Anish Indhupuru
22,Edwin Sanchez
29,Francisco Benito-Agostini
33,Alex Jacoski
b,r,e,a,k
Ring of Fire,2
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
coaches,Michael Avila
0,Brayden Morrison
01,Seth Fried
02,Suhas Madiraju
04,Suraj Madiraju
05,Andrew Li
06,Dylan Hawkins
07,John McDonnell
09,Samuel Redinbo
11,Jake Thorne
14,Josh Singleton
15,Andrew Swanson
16,Henri Lessard
18,Jake Schwartz
19,Justin-Cooper Williams
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
24,Michael Lee
35,Matthew Barcellos
51,Kevin Pignone
61,Brian Trowbridge
76,Trevor Lynch
80,Alexander Davis
87,Ethan Bloodworth
98,Tanner Roberts
b,r,e,a,k
Tanasi,7
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Braden Beebe
0,Camden Eslick
0,Alex Stevenson
0,Conor Coakley
0,Graham Barrett
0,Matthew Peterson
0,Neil Taylor
0,Pryce Bevins
0,Steele Davies
0,Sterling Grant
0,Timothy Lumsdaine
0,Jeffrey Flanagan
2,Anthony Hoenie
7,Daniel Robinson
10,Zeke Plewniak
11,Marshall  Hodges 
11,Jacob Felton
14,Colin Flowers
18,Yanni Killebrew
20,David Wilkins
21,Carson Chamberlain
24,Jacob Guzi
