Boston Invite 2025,Club - Men ,12,7,2025
Devens,MA,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Boston-Invite-2025/schedule/Men/Club-Men/
Houndd,1
0,Devan Hernandez
0,Igor Smola
0,John Repucci
0,JT Kirages
0,Marc Gleason
0,Matt Kolk
0,Eliot Fenton
0,Nathaniel Cramer
0,Pierre Fabris
0,Sean Timmons
0,Siddharth Yende
4,William  Ullmann
5,Cameron Park
11,Alexander Fick
12,Michael Carando
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
63,Griffin Smith
73,Eric Peters
b,r,e,a,k
BAG,13
teamInfo,,"Somerville, Massachusetts",,,
0,Aditya Shanbag
0,Andrew Halloran
0,Angus Fuori
0,Benjamin Rowland
0,Daniil Koval
0,gunnar heckler
0,Jacob Frasu
0,Jayden Amirault
0,Jonathan (JP) Webel
0,Naoya Miyamoto
0,Samuel Speciale
0,Sunay Patel
0,Toshihiro Nagase
2,Kieran Egan
6,Cooper Nissenbaum
7,Brian Strothman
7,Sam Greenberg
10,Cedar Noonan
13,John Buchanan
38,Matt Caswell
40,Holden Cookson
47,Adam Rogers
57,James Berliner
59,Thomas Yoxsimer
80,John Riley
b,r,e,a,k
BUDA U20B,18
teamInfo,,"Boston, Massachusetts",buda.org/yc,,
coaches,John Rice,Alex Hecht
0,Andres Granofsky
0,Calvin Guswa
0,Cooper Whitney
0,Everett Woo
0,Luke Hedlund
0,Malcolm Cooper
0,Russell Herbert
0,Sam Agranat
1,Kaiyan Talavia
1,Cameron Levine
2,Arnav Manchala
3,Owen Bogumil
4,Carter Crooks
7,Adrien Prioul-Ritz
8,Luke Li
10,Zach Phan
13,Kolin Broderick
16,Michael Fink
44,Miles Schiefer
69,Rand Marcovski
88,Jacob Hesik
97,Henry Michael
b,r,e,a,k
Ascension,10
teamInfo,,"Sherbrooke, Quebec CA",,,
0,Adam Leonard
0,Alexis Roy
0,Christophe Morin
0,David Vigneau-Lecomte
0,David Letourneau
0,David Deschambault
0,Edan Chicoine
0,Étienne Pilon
0,Frédéric Lapierre
0,Karl Thibault
0,Louis Patrick Geoffroy
0,Louis-Philip Mercier
0,Noah Brouillet-Ferir
0,Philippe Gendron
0,Simon Gagné
0,Tommy Dion
0,Tristan Roy
3,Xavier Blanchette
5,Mikael Lacombe
31,Simon Trepanier
b,r,e,a,k
Red Tide,3
teamInfo,,"Portland, Maine",https://maineultimate.org/p/red-tide?fbclid=IwAR0bDNru2gankJXHGP3ETZUI78rng5ue4-aPUdGmhDgjlY6sqcg5lmuNHkg,https://www.facebook.com/RedTideUltimate,
0,Chuck Cantone
0,Cole Fairfield
0,Justin Strout
0,Karl Hokkanen
2,Stewart Kelley
5,Noah Backer
5,James Flynn
6,Cole Moore
6,Boden Iris
6,Rocco Essex-Linehan
7,Griffin Conley
11,Aidan Hayes
11,Miles Miller
11,Sam McCarty
12,Henry Babcock
13,Charlie Norris
16,Luke Tierney-Trevor
19,Daniel Snider
23,Davis Ritger
25,Tucker Livingston
29,Josh Musica
33,Ryan Woodhouse
33,Ryan Woodhouse
69,Gabriel Smestad
97,Daniel Bronshvayg
b,r,e,a,k
Odyssey,11
teamInfo,,"Medford , Massachusetts",https://www.instagram.com/odyssey_ult?igsh=czI4a2ZyM2xseG4y&utm_source=qr,,
coaches,Andrew  Polcari
0,Arjun Samudrala
0,Eddie Zhao
0,Finn Hawley
0,Halaf Montarroyos
0,Jaden Sailer
0,Jason Berube
0,Jonathan Coombs
0,Joshua Gill
0,Kayl Murdough
0,Nick Blake
0,Qijin Chau
0,Ryan Hilton
0,Timothy Corkery
3,William Pascoe
6,Benjamin Weber
8,Nicholas Kochersperger
10,Elliot Mintz
11,Anthony Longo
11,Joe Brod
12,Trevor Spadafora
14,Max Gledhill
20,Adrian Baker
23,Isaiah Irwin
38,Nicholas  Dell'Amore
52,Gabriel Rhodes
71,Sebastien Kline
b,r,e,a,k
Colt,6
teamInfo,,"Hartford, Connecticut",,,https://twitter.com/coltimate
coaches,Bryan Jones
00,Denis Cha
02,Simon Cordes
04,Jeremy Bernier
05,Joseph Dwork
07,James Tibolla
10,Adam D'Antonio
11,Eamon Conneely
12,Alexander Manos
13,Ben Chaimberg
14,Alden Rosakranse
16,Andong Li
18,Eviatar Ashkenazi
20,Michael Levy
22,Nathan Getz
23,Luke Smith
24,Nitesh Desai
28,Aidan Martin-Weinbaum
30,Daniel Glickman
40,James Pardo
41,Bobby Elston
43,Hillel Rosenheim
44,Nicholas Lambert
45,Philip Murray
81,Matthew Kearney
88,Michael Lovisa
95,William McGlynn
b,r,e,a,k
Crossfire,16
teamInfo,,"Boston , Massachusetts",,,
0,Benjamin Whidden
0,Dylan Duhamel
0,Ian Bowe
0,Jeremy Becker
0,John Park
0,Ethan King
0,Francois Gu
0,Josh Gauyo
0,Kevin Yuan
0,Lucas Brown
0,Luke Lorence
0,Max Woolf
0,Trevor Gold
0,Tristan Leung
0,Umar Katumba
10,Liam Jensen
10,Jonathan Monderer
36,Henry Berger
38,Ben Grimes
56,Edward Wu
84,Andrew Rogers
88,Franklin Mejia
b,r,e,a,k
BUDA Regional CUT,19
teamInfo,,"Lexington, Massachusetts",,,
0,Dillon Evans
0,Elijah Staples
0,Jacob Lee
0,Liam Carmody
0,Liam Dudgeon
0,Mackenzie Preston
0,Micah Lee
0,Sam Goentzel
0,Theo Carey
0,Zachary Ditkoff
0,Bruno Garcia Lavanchy
0,Caleb Thompson
1,Zakariya Gdihi
25,Davide Bussone
b,r,e,a,k
Magma Bears,4
teamInfo,,"ALL OF NEW YORK, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Adam Newman
0,Andrew Lass
0,Christopher Wong
0,Christopher Novielli
0,Daniel Katz
0,Eric Zhang
0,Jacob Margolis
0,Jacob Graybow
0,Kaizen Conroy
0,Kyle Chylinski
0,Lee Martel
0,Matt Bartley
0,Neal Vasireddi
0,Nicolas Leitmann-Niimi
0,Noam Brenner
0,Sal Pepe
0,Sam Masling
4,Johnny Jiang
6,Frederick Perlman
13,Summer Zheng
19,Andrew Marshall
21,Andrew Seiden
35,Adam Wright
77,Kevin Asaro
83,Raymond Feng
87,Brandon Chan
b,r,e,a,k
Big Wrench,5
teamInfo,,"Somerville, Massachusetts",,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Alex Kapinos
0,Charles Marokhovsky
0,Chris Yang
0,Christopher Richmond
0,Christopher Layden
0,Conor McManamy
0,Jack Facey
0,Jacob Taylor
0,Mike Voelpel
0,Noah Baumann
0,Nolan Prince
0,Patrick Ó Súilleabháin 
0,Samuel Whitney
0,Sanjeev Sridhar
0,Stephen Abel
1,Evan Karson
3,Henry Laseter
3,Colin Mclaughlin
11,William Burke
23,Ethan Cardi
30,Lucas Johnson
33,Vincent Fan
44,Matt Sehgal
84,Sam Farnsworth
99,Jordan Kaufman
b,r,e,a,k
Resurgam Ultimate,15
teamInfo,,"North Yarmouth, Maine",,,
0,Alberto Morales
0,David Kallin
0,Eytan Carolan
0,Heiki Kuhrt
0,Joshua Lench
0,Lucas  Morales
0,Nathan Kallin
0,Silas Doane
13,John Simmons
14,Jackson Leding
17,Evan Campbell
17,Evan Campbell
33,Doug Wagner
38,Kevin Massey
58,James Wickham
59,Brian Avants
b,r,e,a,k
Charleston Heat Stroke,12
teamInfo,,"Charleston, South Carolina",charlestonopenulty@gmail.com,https://www.instagram.com/heatstroke_ultimate,
0,Cannon Yarborough
0,Chai Kirshtein
0,Gabriel  Pires
0,Jett Kirshtein
0,Logan Johnston
0,Matt Hardie
0,Tanner Martin
0,Will McDonald
11,Hunter Poe
18,Oddom Vong
25,Sambath Vong
25,Andrew Zavada
95,Tyler Myers
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Houndd,MBTA,13,4,"07/12/2025, 09:00",Pool A,Final
Skeleton Squad,Alibi,10,12,"07/12/2025, 09:00",Pool A,Final
Houndd,Skeleton Squad,13,9,"07/12/2025, 10:30",Pool A,Final
Crypt,Alibi,11,10,"07/12/2025, 10:30",Pool A,Final
Alibi,MBTA,0,0,"07/12/2025, 12:00",Pool A,Scheduled
Crypt,Skeleton Squad,0,0,"07/12/2025, 12:00",Pool A,Scheduled
Houndd,Alibi,0,0,"07/12/2025, 13:30",Pool A,Scheduled
Crypt,MBTA,0,0,"07/12/2025, 13:30",Pool A,Scheduled
Houndd,Crypt,0,0,"07/12/2025, 15:00",Pool A,Scheduled
Skeleton Squad,MBTA,0,0,"07/12/2025, 15:00",Pool A,Scheduled
pool,Pool B
Sprout,BUDA U20B,13,11,"07/12/2025, 09:00",Pool B,Final
Ascension,BAG,10,11,"07/12/2025, 09:00",Pool B,Final
Sprout,Ascension,13,6,"07/12/2025, 10:30",Pool B,Final
Lantern,BAG,13,6,"07/12/2025, 10:30",Pool B,Final
BAG,BUDA U20B,0,0,"07/12/2025, 12:00",Pool B,Scheduled
Lantern,Ascension,0,0,"07/12/2025, 12:00",Pool B,Scheduled
Sprout,BAG,0,0,"07/12/2025, 13:30",Pool B,Scheduled
Lantern,BUDA U20B,0,0,"07/12/2025, 13:30",Pool B,Scheduled
Sprout,Lantern,0,0,"07/12/2025, 15:00",Pool B,Scheduled
Ascension,BUDA U20B,0,0,"07/12/2025, 15:00",Pool B,Scheduled
pool,Pool C
Red Tide,BUDA Regional CUT,13,2,"07/12/2025, 09:00",Pool C,Final
Odyssey,Crossfire,13,5,"07/12/2025, 09:00",Pool C,Final
Red Tide,Odyssey,13,5,"07/12/2025, 10:30",Pool C,Final
Colt,Crossfire,0,0,"07/12/2025, 10:30",Pool C,Scheduled
Crossfire,BUDA Regional CUT,0,0,"07/12/2025, 12:00",Pool C,Scheduled
Colt,Odyssey,0,0,"07/12/2025, 12:00",Pool C,Scheduled
Red Tide,Crossfire,0,0,"07/12/2025, 13:30",Pool C,Scheduled
Colt,BUDA Regional CUT,0,0,"07/12/2025, 13:30",Pool C,Scheduled
Red Tide,Colt,0,0,"07/12/2025, 15:00",Pool C,Scheduled
Odyssey,BUDA Regional CUT,0,0,"07/12/2025, 15:00",Pool C,Scheduled
pool,Pool D
Big Wrench,Charleston Heat Stroke,13,5,"07/12/2025, 09:00",Pool D,Final
Magma Bears,Resurgam Ultimate,13,9,"07/12/2025, 09:00",Pool D,Final
Magma Bears,Charleston Heat Stroke,13,3,"07/12/2025, 10:30",Pool D,Final
Big Wrench,Resurgam Ultimate,13,12,"07/12/2025, 10:30",Pool D,Scheduled
Charleston Heat Stroke,Resurgam Ultimate,0,0,"07/12/2025, 12:00",Pool D,Scheduled
Magma Bears,Big Wrench,0,0,"07/12/2025, 12:00",Pool D,Scheduled
b,r,e,a,k
brackets,1st place bracket
bracket,1st
bracket,3rd
bracket,5th
bracket,7th
b,r,e,a,k
brackets,9nals
bracket,9th place 
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
pools,consolation pool
pool,Pool E
b,r,e,a,k
