2025 USA Ultimate D-III College Championships,College - Men ,17,5,2025
Burlington,WA,2025-05-17,2025-05-19
https://play.usaultimate.org/events/2025-USA-Ultimate-D3-College-Championships/schedule/Men/CollegeMen/
Davenport,1
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman,Michael Weber,Melissa Witmer
1,John Peterson
00,Kai Creed
01,Jacob Felton
02,Juraj Hurny
03,Jahiem Upchurch
05,Connor Concannon
06,Kale Peterson 
08,Jonathan Newman
09,Collin Colegate
10,James Pekel
12,Rowan Jamieson
13,Connor Lodholtz
14,Richard Dragicevich 
16,Ian Neal
18,Aidan Williams 
20,Alex Ballentine
22,Miguel  Suarez
23,Noah Schade
24,Darren Dyer
25,Collin Hill
26,Tyler Shanahan
27,Amir Sims
30,Conner Millison
33,Samuel Rysko
34,Noah Callewaert
86,Andrzej Porter
b,r,e,a,k
Bowdoin,13
teamInfo,Clown,"Brunswick, Maine",,,https://twitter.com/stoned_clown?lang=en
coaches,Michael Pistrang,Cole Moore
00,Ilo Holdridge
01,Ethan Borland
02,Henry Anderson
03,Will Gaston
04,Theodore Barton
06,Thayer Frankel
07,Axel Hicks
08,Anders Larson
09,Benjamin Israel
10,Josh White
11,Eric Traub
12,Dudley Holdridge
13,Stone Zhou
14,Sam Ralston
16,Spencer Sussman
17,Alexander Kelly
19,Jamie Roan
20,Zachary Widmyer
21,Cole Fairfield
22,Benjamin  Turnbull
23,Michael Martinez
24,Miles Berry
26,Khalil Wilkinson
30,Dane  Crandall
45,Henry Doerr
49,Ari Faulkner
66,Felipe Perez
88,Benjamin Halperin
b,r,e,a,k
Missouri S&T,12
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
02,Thomas Clayton
03,Wesley Fransen
04,Kevin Wyle
05,Sean  Sharp
07,Owen Thoms
09,Andrew Clayton
10,Carson Kempf
12,James Landon
14,Michael Preisack
15,Mason Schiefer
16,Sam Papin
18,Mitchell Gordon
22,Aidan Byrne
25,Aiden Meinkoth
27,Brandyss Sherman-Hall
28,Zachary Sanders
40,Clifton Ruh
44,Evan DeJournett 
54,Theodore Guidry
64,Kenneth Stanley
77,Griffen Anderson
79,Joseph Hubenschmidt
b,r,e,a,k
Franciscan,8
teamInfo,Fatal,"Steubenville, Ohio",,https://www.facebook.com/franciscanfatalultimate/?fref=ts,
01,Justin Wallace
02,Peter Free
03,Patrick Fontenot
04,Andrew Carmody
06,Augustine Schmiesing
09,Sam Derendorf
10,James Collins
13,John Cordier
14,Joseph Duerr
15,Nick Canavan
17,Taylor Lange
21,Anthony Lynch
27,Brendan Vander Woude
35,Jacob Mayers
40,Joe Redmond
44,Nathaniel Scott-Avery
51,Matthew Gregor
58,David Stamp
63,Jude Schmiesing
98,Luke Updike 
b,r,e,a,k
Elon,2
teamInfo,Big Fat Bomb,"Elon, North Carolina",http://elonultimate.wix.com/bigfatbomb,https://www.facebook.com/ElonUltimate/,https://x.com/elon_ultimate
00,Brayden Morrison
01,Reed Burkert
02,Camden Perkins
03,Justin Brader-Araje
05,Alex Frame
06,Jacob Bean
07,Benjamin Patterson
08,Brady Jackson
11,Myles Sawin
12,Toren Coulter
18,Tyler Strenk
20,Danny Stern
23,Ben Bronstein
24,Kalen Morrison
30,Joseph Sweeney
33,Jacob Lairson
47,Nathaniel Kelly
50,Riley Alkove
62,Aden Balser
69,Benjamin Farmer
99,Oscar Kardon
b,r,e,a,k
Carleton College-CHOP,7
teamInfo,Carleton House of Pancakes,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/chop_rocks
coaches,Matt Forster,Michael Massad
01,Collin Pearson
02,Miles Collins
03,Tomomi Perry
04,Nicholas McGlashan
05,Dashiell Brenner
06,Jonah Barer
07,James Texter
08,Andrew Yeh
09,Max Resnik
12,Liam Atkins
13,Julian Kägi
14,William Anderson
17,Graham Gordon
18,Benjamin Garcia
19,Jonah Tannen
21,Danny Shope
22,Gavyn Jensen-Schneider
23,Alex Gran
28,Jesse Barker Plotkin
30,Adam Ali
42,Linyi Liu
43,Nathan Wang
68,Cameron Dolbow
69,Koa Klose
81,Elk Thomas-Toth
85,Henry Nieckarz
88,Brendan Banfield
96,Isaiah Irwin
b,r,e,a,k
Rochester,11
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
00,Rain Xia
01,Benjamin Goldstein
03,Avi Skolnick
04,Ian Hill
07,Sumedh Anantha Krishna 
09,Robert Vogt
15,Teddy Schwartz
16,Niels Weisbeek
17,Skylar Abruzese
20,Cameron Lowe
22,Joel Escobar Amurrio
26,David Leder
27,Emerson Jenen
32,Timothy Loftus
33,Miles Frank
34,Elijah Clymer
45,Zach Greenwell
46,Aidan Lieberman
50,Jack Ringel
81,Ezra Tock
88,Abraham Lovich
91,Seth Rozen
b,r,e,a,k
Berry,14
teamInfo,Bucks,"Berry, Georgia",,,https://twitter.com/berry_bucks
coaches,Walter Ellard
00,Wyatt Johnson
01,Elliot Green
02,Ivan Khoo
03,David Carroll
05,Ben Noerager
06,Gavin Zielke
07,Manuel Estevez
08,Josh Zielke
09,Rory Strickland
10,Mikey Curtis
11,Tyner Rowley
13,Simon Dowdy
15,Matthew Peterson
17,Jackson Knox
18,Domenic Ciavarro
19,Caleb Coons
20,Samuel Crow
21,Jonathan Blake
22,Elijah Hoshide
23,John Drury
24,Silas Camp
26,Elliot Mayo
30,Beckett Yelton
47,Adriel Kershner
51,Ryan Perry
52,Ian VanOrder
70,Adriel Portillo
b,r,e,a,k
Whitman,3
teamInfo,Whitman Sweets,"Walla Walla, Washington",,https://www.facebook.com/Whitman-Sweets-Mens-Ultimate-236959183065222/,https://twitter.com/MWhitman_Sweets
coaches,Kevin Monohan
0,Max Fleming
01,Eldon Nichols
02,Owen Alvord
03,Sawyer Linehan
07,Colin Pfister
09,brodie monohan
10,Hans Frautschi
11,Daniel Sutton
12,Kainoa Taylor
13,Soren Severens
14,Larson Selvig
15,Wade Nichols
18,Henry Currie
21,Lyle Hahn
22,Nico Darringer
23,Jay Senstra
29,Cooper Andersen
30,Jasper Brown
31,Ethan Murray
33,Kai Kirsch
34,Liam O’Shea 
35,Elan Siegler
39,Jeremiah Harder
62,Leo Dungan-Seaver
b,r,e,a,k
Claremont,15
teamInfo,Braineaters,"Claremont , California",linktr.ee/brainsult,,
coaches,Walter Kasprzycki
00,Samuel Winkler
01,Josh Marx
02,Ryan Williams
03,Arenaria Cramer
05,Jacques Paradis
07,Elias Gradinger
08,Martín Jimenez-Williams
09,Emmett Levine
10,Tanveer Singh Chabba
13,Silas Brock
13,Cid Maciel
24,Luca Davis
28,Jamie Miller
30,Isamu Masayoshi Sims
31,Sam Fischer
45,Sebastian Harvey
57,Mitchell Yam
63,Leo Godsberg
71,Elijah Axt
77,Jeremy Kaufman
80,Isaiah Curtis 
88,Noah Pershing
93,Jack Sheehan
99,Jacob Leichter Wilson
b,r,e,a,k
Oklahoma Christian,6
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,
coaches,Samuel Roberts
04,Brendon Mersincavage
06,Milton Adina
07,Alex Santai
09,Surafel Sharpe
10,David Peterson
11,Ian Hammersmith
12,Isaiah Platt
15,TJ Lee
16,Logan Krehbiel
17,Caleb Lance
20,Yuto Hiraki
21,Alex Babler
22,Luke Norby
23,Andrew Sullivan
31,Kong Hui Lim
32,Bowen Bigby
37,Logan Hammersmith
57,Samuel Roberts
60,Emmanuel Kameri
69,Couper Kerns
88,Joshua Gill
b,r,e,a,k
Richmond,10
teamInfo,Spidermonkeys,"Richmond, Virginia",,,https://twitter.com/urspidermonkeys?s=21
coaches,Matthew Graves,Owen Donovan,Ariel Vogel
00,Theo Burdick
01,Brenton Dolan 
02,Chris Johnson
06,Ian Silver
07,William Martin
09,Jack Healey
11,Anthony Longo
12,Kyle Bjornson
13,Nicolas Moreira
15,Jackson Carbonier
18,Eric Harnisher
19,Conor Morrisroe
20,Will Sharpe
22,Garrett Jay
23,Ben Edelman
25,Sassan Fahim
26,Benton Gunter
27,Rowan Keller
30,Owen Smith
31,Devon Shepherd
33,Gabriel Gehtland
35,Clay Rosselot
40,Calvin Ciorba
42,Jeyaraj Keeley
50,Ryan Casey
55,Nathan Winiarski
64,Griffin Newhouse
77,Eli Amantia
99,Finn Garside
b,r,e,a,k
Middlebury,5
teamInfo,Pranksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/pranksters69
coaches,Hannah Baranes
0,Nadav Melamede
01,Max Chalfin-Jacobs
02,Max Rogers
03,Charles Harder
04,Michel Abboud
05,Vincent Sullivan
07,Theo Holdsworth
08,Hayden Herrick
10,Luke Staples
11,Jack DiCola
12,Jasper Pearcy-Kahn
13,Peter Mans
14,Oscar  de Swaan Arons 
15,Ned Cutler
17,Aidan DeLorenzo
20,Calder Lange
25,Louis Douville Beaudoin
31,Panhan Chen
35,Avery Hackett
37,Lucas Nerbonne
40,Anders Weber
47,Liam Reynolds
53,Jorre Dahl
76,Ryan Muller
81,Geir Hartl
83,Gavin Rice
b,r,e,a,k
