Stanford Open-Men's,College - Men ,8,2,2025
Stanford,CA,2025-02-08,2025-02-09
https://play.usaultimate.org/events/Stanford-Open-Mens/schedule/Men/CollegeMen/
Cal Poly-SLO (B),1
7,Chris Eppley
18,Zack Seidler
22,Ethan McLaughlin
48,Aaron Cho
85,Amanat Ali
b,r,e,a,k
Washington (B),3
teamInfo,Washington B,"Seattle, Washington",,,https://twitter.com/undodgers
0,Arni Hoang
0,Asa Norman
0,Charles Craemer
0,Corey Mack
0,Finn Hilty
0,Hank Buttleman
0,Hongyu Mu
0,Jacob Boyce
0,Jake Stevenson
0,Jalen Li
0,Nicholas Wyatt
0,Quinnan Mack
0,Ryan Kelleher
0,Sevens Baertsch Kovalchick
0,Slava Trifonov
0,Tyler Watkins
0,Varun Iyer
0,William Yik
0,Joseph Hess
15,Jonah Lin
27,Xander Geurkink
28,Sangbeom Yang
54,Max Gillespie
b,r,e,a,k
San Diego State,8
teamInfo,Federales,"San Diego, California",,,https://twitter.com/SDSUFederales?s=20
02,Camden Lunceford
10,Teo Camacho
11,Christian Vicars
14,Calvin Fletcher
15,Nathan Young
16,Landon  McDowell
17,Tzu-Jen Su
23,Nicholas Hon
24,Owen Bettencourt
25,Conor Murphy
26,Jake Hooper
33,Michael Corcoran
35,Jake Weaver
48,Joshua Frojelin
55,Riley Magrini
56,Alex Bindschadler
71,Jake Dellisant
77,Jaka Starman
80,Chase Ketterling
88,Ethan DeForest
94,Braeden Langell
99,Kyle Loutzenhiser
b,r,e,a,k
Chico State,13
teamInfo,Chico State,"Chico, California",,,
0,Colby Downs
0,forrest lefebvre
0,Liam Gallagher
0,Noa Grossi
0,Stephen Kodur
0,Zachary Bursek
1,Elliott Schwarz
2,Ryan Niizawa
3,Reilly Bernal
4,Spencer Carr
5,Kyle Miller
13,Alexander Ballou
17,Dane Wright
18,Niko Cornett
23,Ryan Branca
33,Erik Stenstrom
52,Jason Ellis
69,Milton Diaz
72,Kaleb Paige
75,Garrett Holt
88,Owen Onatanian
b,r,e,a,k
Seven Hills Bx,18
teamInfo,,"Seattle, Washington",,,
coaches,Jordan Smith
0,Atticus  Pak
0,Brendan Johnson
0,Brijesh Berrington
0,David Andrew Isom
0,Elijah Dominguez-Velasco
0,Elliott Ku
0,Graham Goodrum
0,Justin Li
0,Liam Duffy
0,Luciano Falzone
0,Maddox Woo
0,Makoa Costales-Gaon
0,Max Goglia
0,Phong  Hang
0,Roy Amazona
0,Ryan Baker
0,Tanner Monohan
0,Teague Song
0,Thien Hoang
11,Nikolas Goodrum
b,r,e,a,k
UCLA (B),4
teamInfo,UCLA Smoke,"Los Angeles, California",http://www.uclaclubsports.com/index.aspx?path=muf,https://www.facebook.com/UclaSmaugUltimate,https://x.com/UltimateSmoke
0,Danyang Wang
0,Ian Ye
0,Isaac Sterling
0,Jacob Wallis
0,Jiachen Xie
0,Joshua Jin
0,Kyle Ouyang
0,Nathan Rifkin
0,Oliver Pan
0,Porfirio Mendes
0,Ray Min
0,Ronan Ereneta
0,Sergio Chavez
0,Vaughn Culler
7,Zi Wang
10,Vivek Punn
18,Billy Peir
36,Christian Ee
40,Jonas Holdaway
84,Henrik Zhang
99,Roy Jeong
b,r,e,a,k
Loyola Marymount,7
teamInfo,Lions,"Los Angeles, California",,https://www.facebook.com/groups/1146553248769383/,https://twitter.com/UltimateLMU
6,Tobias Jay
7,Joseph Rhee
8,Kellen Hill
13,Ben Johnson
17,Stephen Cummings
20,Joshua Amador
21,Alexander Won
25,Anna Cummings
34,Palmer Alig
51,Evan Shoji
77,Tony Zheng
95,Julius Rockczar
b,r,e,a,k
California-Santa Cruz (B),14
teamInfo,Ooze,"Santa Cruz, California",,,
coaches,Justin Cheng
0,Aidan Hewitt
0,Aryan Dasika
0,Cole Lukens
0,Cole Pine
0,Daniel Perlov
0,Eetai Shwartz
0,Evangel Hightower-Rojas
0,Henry Bellevin
0,Joseph Donovan
0,Julien Tremblay
0,Lincoln Zaltas
0,Luca Guiga
0,Mateo Monroy
0,Milo Ridenour
0,Mithilesh Kowshik
0,Paul Leibovitch
0,Peter Van Esch
0,Richard An
0,Ryan Chapman
0,Skye Loomis
0,Theodore Poor
0,Thomas Farmer
0,Tim Doan
0,Tripp Daon
0,Yali Goldstein
b,r,e,a,k
Gold Rush,17
teamInfo,,"San Francisco, California",https://www.bayultimateyouth.org/club-teams,,https://twitter.com/GoldRushU20
0,Adil Ali
1,Muhammad  Awais 
9,Jasper Graf
01,Henry Garcia
02,Stefan McCall
03,Anders Elson
05,Oscar Mendelson
07,Hugo Tsai
08,Nicolas Rusa
10,Lewis Parkinson
11,Sulek Dopman
12,Ezra Grziwok Dowling
13,Son Mai-Clark
14,Dylan Tams
15,Eliseo Vaquerano
17,Reggie Masket
19,Sarek Mallareddy
20,Elliot Mok
23,Lane Mires
24,Ronan Mai
27,Logan Song
29,Jonah Marquart
32,Zulqarnain Sheikh
50,Alex Poy
77,Elliot Elson
99,Lawrence James Dixon 
b,r,e,a,k
British Columbia  (B),5
teamInfo,B-Birds,"Vancouver, British Columbia CA",,,
coaches,Shintaro Tsukamoto
0,Ahmed Ma
0,Andrew Yan
0,Brendan Fellows
0,Connor Guy
0,Corin Wallace
0,Ding-Han Yan
0,Eleazar Leyson
0,Justin Rao
0,Leven Saunders
0,Maxim Chouinard
0,Owen Cook
0,Ronan Pon
0,Sebastian Calderon
3,Ethan  Low
3,Caleb Lee
6,Duncan Murch
10,Mu Han Li
11,Peter Riegle
18,Hsuan-Ting Yang
23,Jonathan Aaron Fos-oy
24,Gil Rowe
b,r,e,a,k
Portland,6
teamInfo,Uprise,"Portland, Oregon",,,
0,Brian Parks
0,Christian Lopez-Parra
0,Kian Craig
0,Matthew Boland
0,Samuel Paci
0,Toby Okoji
0,Tony Gonzalez Villaraldo
7,Brennen Gibbins
07,Matt David
08,Ashton Char
09,Diego Basham
11,Jonah Talmadge
12,Luke Sage
21,Shoji Mori
22,Mason Choy
24,Wyatt Ashley
26,Remington Reinking
42,Troy Carpenter
46,Sam Catelani
51,Charlie DeKlotz
b,r,e,a,k
Stanford University (B),15
teamInfo,Huck Syndrome,"Stanford, California",,,
0,Mengze Gao
0,Milo Kevorkian
0,Ross Hamilton
0,Sam Peterson
0,Steven Diaz
0,Axel  Wennström
0,Daniel Pack
0,Yash Kankariya
8,James Talbot
24,Tyler Colenbrander
b,r,e,a,k
Santa Clara University  (B),16
teamInfo,SCRATCH,"Santa Clara, California",,,
0,Agustin Pace
0,Alexander Von Banck
0,Daniel Flores
0,Daniel Gerregano
0,Eli Filner-Hutchison
0,Gavin OCarroll
0,Johnathon Dickey
0,Jordan Wong
0,Kyle Forrest
0,Luis Zamudio
0,Nick Grace
0,Omar Bazan
0,Owen Duffy
0,Pablo Jonsson
0,Reid Bonewitz
21,Michael Cooper
27,Jonah Engelmann
31,Will DeGasparis
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Cal Poly-SLO (B),Nevada-Reno,0,0,"02/08/2025, 08:30",Pool A,Scheduled
Cal State-Long Beach,Gunn,0,0,"02/08/2025, 08:30",Pool A,Scheduled
Cal Poly-SLO (B),Gunn,0,0,"02/08/2025, 10:00",Pool A,Scheduled
Cal State-Long Beach,Nevada-Reno,0,0,"02/08/2025, 10:00",Pool A,Scheduled
Cal Poly-SLO (B),Cal State-Long Beach,0,0,"02/08/2025, 11:30",Pool A,Scheduled
Nevada-Reno,Gunn,0,0,"02/08/2025, 11:30",Pool A,Scheduled
pool,Pool B
San Jose State,Cal Poly-Humboldt,0,0,"02/08/2025, 11:30",Pool B,Scheduled
California (B),Oak Storm,0,0,"02/08/2025, 11:30",Pool B,Scheduled
San Jose State,Oak Storm,0,0,"02/08/2025, 13:00",Pool B,Scheduled
California (B),Cal Poly-Humboldt,0,0,"02/08/2025, 13:00",Pool B,Scheduled
San Jose State,California (B),0,0,"02/08/2025, 14:30",Pool B,Scheduled
Cal Poly-Humboldt,Oak Storm,0,0,"02/08/2025, 14:30",Pool B,Scheduled
pool,Pool C
Washington (B),Chico State,0,0,"02/08/2025, 08:30",Pool C,Scheduled
San Diego State,Seven Hills Bx,0,0,"02/08/2025, 08:30",Pool C,Scheduled
Washington (B),Seven Hills Bx,0,0,"02/08/2025, 10:00",Pool C,Scheduled
San Diego State,Chico State,0,0,"02/08/2025, 10:00",Pool C,Scheduled
Washington (B),San Diego State,0,0,"02/08/2025, 13:00",Pool C,Scheduled
Chico State,Seven Hills Bx,0,0,"02/08/2025, 13:00",Pool C,Scheduled
pool,Pool D
UCLA (B),California-Santa Cruz (B),0,0,"02/08/2025, 11:30",Pool D,Scheduled
Loyola Marymount,Gold Rush,0,0,"02/08/2025, 11:30",Pool D,Scheduled
UCLA (B),Gold Rush,0,0,"02/08/2025, 13:00",Pool D,Scheduled
Loyola Marymount,California-Santa Cruz (B),0,0,"02/08/2025, 13:00",Pool D,Scheduled
UCLA (B),Loyola Marymount,0,0,"02/08/2025, 14:30",Pool D,Scheduled
California-Santa Cruz (B),Gold Rush,0,0,"02/08/2025, 14:30",Pool D,Scheduled
pool,Pool E
British Columbia  (B),Stanford University (B),13,2,"02/08/2025, 08:30",Pool E,Scheduled
Portland,Santa Clara University  (B),0,0,"02/08/2025, 08:30",Pool E,Scheduled
British Columbia  (B),Santa Clara University  (B),0,0,"02/08/2025, 10:00",Pool E,Scheduled
Portland,Stanford University (B),0,0,"02/08/2025, 10:00",Pool E,Scheduled
British Columbia  (B),Portland,0,0,"02/08/2025, 14:30",Pool E,Scheduled
Stanford University (B),Santa Clara University  (B),0,0,"02/08/2025, 14:30",Pool E,Scheduled
b,r,e,a,k
brackets,Sunday Bracket
bracket,Championship
bracket,Third Place
bracket,Fifth Place
bracket,Seventh Place
b,r,e,a,k
brackets,Sunday Consolation
bracket,Ninth Place
bracket,Eleventh Place
bracket,Thirteenth Place
bracket,Fifteenth Place
b,r,e,a,k
clusters,Sunday Youth Crossover
cluster,Sunday Youth Crossover
Gold Rush,Gunn,0,0,"02/09/2025, 08:30",,Scheduled
Seven Hills Bx,Oak Storm,0,0,"02/09/2025, 08:30",,Scheduled
Gold Rush,Oak Storm,0,0,"02/09/2025, 10:00",,Scheduled
Seven Hills Bx,Gunn,0,0,"02/09/2025, 10:00",,Scheduled
Gold Rush,Seven Hills Bx,0,0,"02/09/2025, 13:00",,Scheduled
Oak Storm,Gunn,0,0,"02/09/2025, 13:00",,Scheduled
b,r,e,a,k
