Dust Bowl 2025,College - Men ,22,2,2025
Tulsa,OK,2025-02-22,2025-02-23
https://play.usaultimate.org/events/Dust-Bowl-2025/schedule/Men/CollegeMen/
Oklahoma Christian,1
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,
0,milton adina
0,Surafel Sharpe
4,Brendon Mersincavage
11,Ian Hammersmith
12,Isaiah Platt
15,TJ Lee
17,logan krehbiel
20,Yuto Hiraki
21,Alex Babler
22,Luke Norby
23,Andrew Sullivan
24,Kong Hui Lim
32,Bowen Bigby
60,Emmanuel Kameri
69,Couper Kerns
b,r,e,a,k
Northern Iowa,9
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Jordan Mills
0,Lane Wunderlich
0,Elliot Drew
0,Hollis Bode
0,Sean Sheets
3,Carson Boyer
9,Devin Spahn
39,Trevor Rial
61,Owen Blumhagen
69,Brendan Finley
69,Isaac Timm
91,Phillip Hanlon
96,Dan Eades
b,r,e,a,k
Texas-Dallas,8
teamInfo,Woof,"Richardson, Texas",,,https://twitter.com/utd_ultimate
0,Arjun Nayak
0,Asher Niedzwiedz
0,Brett Porter
0,Alexander Skerbitz
0,Alvin Mathew
0,Jacob Spillars
0,Khoi Nguyen
0,Reid Smith
0,Zachary Caudle
6,Christian Adusei
8,Samuel Chen
9,Ivan Yau
12,Lucas Morgan
17,Owen Hall
19,Cole Zlomke
21,Uriel Rodriguez
24,Boris Strots
25,Braedon Kotko
34,ryan neumann
37,Andy Flathmann
42,Jeffrey Gilbert
87,Connor Harris
88,Ethan Hughes
99,Riley Johnson
b,r,e,a,k
Washington University (B),16
teamInfo,Contraband,"St. Louis, Missouri",https://sites.wustl.edu/contraband/,,https://www.twitter.com/wucontraband
0,Andre Leger
0,Ben Hoette
0,Benjamin Modiano
0,Benny Septer
0,Daniel Bailen
0,Daniel Palmer
0,Dhruv Mathur
0,Doug Wagner
0,Ethan Engelman
0,James Richard
0,Joseph Lynch
0,Kellen Zoberi
0,Owen Rice
0,Samuel Leopold
0,Theodor Martin
0,Thomas Biggs
0,Weldon Smith
43,JP Torack
b,r,e,a,k
Kansas State,17
teamInfo,Wizards,"Manhattan, Kansas",,,
2,Matthew Dusin
03,Xavyer Nouanlasy 
05,Adam Church
08,John Davis
20,Tyler Price
23,Timothy  Keesecker 
26,Erik Kaufman
33,TIMOTHY PEARCE
58,Brett Reaves
64,Eli Ferguson
89,James Worth
b,r,e,a,k
Grinnell,7
teamInfo,Grinnellephants,"Grinnell, Iowa",,,https://twitter.com/Grinnellephants
0,Fergus Braun
0,Jacob Unzicker
0,Jeronimo Camargo Ochoa
0,Joseph Barrows
0,Nathan Starhill
0,Niko Vamvakides
0,Nolan McGrane-Moffitt
0,Paul Spang
0,Sam Bigham
0,Samuel Gerardi
0,Benjamin Shulman
0,Carter Ottele
0,Colby Jaros
0,David Rhoades
0,Dominic D’Ascenzo
1,Theo Bonin
17,Eli Boeding
31,Duncan Lambert
b,r,e,a,k
Wichita State,18
teamInfo,Wheaties,"Wichita, Kansas",,https://www.facebook.com/WSUUltimate,https://twitter.com/wheatiesulti
0,Evan Holman
00,Aidan Caudle
01,Brandon Griffith
03,Madison Boadu
05,Derek Van Lanen
13,Logan Langel
21,Kayden  Rawls 
22,Isaac Dong
25,Laura Nobles
40,Caleb Schwing
b,r,e,a,k
Kansas,2
teamInfo,Horrorzontals,"Lawrence, Kansas",https://www.instagram.com/horrorzontals/,,https://twitter.com/HorrorZontals
0,Adam Richardson
0,Andrew Korah
0,Brennan Donner
0,James Jansen
0,Maren Proplesch
0,Ned Wanda
0,Nickolas Krehbiel
0,Reed Pfeifer
0,Ryan Looney
0,Luke Dahlen
0,Luke Wirtz
2,Connor Looney
4,Curtis Criswell
7,Alejandro (Alex) Perez
8,Ryley Ballard
11,Seppo Hoijarvi
14,Connor Anderson
17,Elijah Ditto
20,Oscar Sanchez Christensen
21,Manu Redd
22,Benjamin Abell
40,Liam Marsh
51,Judson Miller
61,Aiden Jacobs 
b,r,e,a,k
Texas Tech,15
teamInfo,Tumbleweed,"Lubbock, Texas",www.Tumbleweedultimate.com,https://www.facebook.com/groups/TTUUltimate/,https://twitter.com/techtumbleweed?lang=en
0,Aidan Wenham
0,Alexander Johnson
0,Andrew Leurs
0,Cooper Hale
0,Matthew Borch
0,McLendon Keim
0,Michael Widmar
0,Nathan Koach
0,Nathan Abel
0,Nathan Parker
0,Parker Guerry
0,Eyal Refaeli
0,Jonah Ainley
0,Juan Rojas
0,Tyler Brooks
6,Cameron Fortenbaugh
8,Zac Ford
04,Domonic Mirelez
10,Quinton Cook
22,Bret Dickey
24,Grayson Adams
26,Chris Young
40,William Hennig
42,Logan Drake
44,John Miles
b,r,e,a,k
Harding,10
teamInfo,Harding Apocalypse,"Searcy, Arkansas",,,
0,Cameron Hembree
0,DJ Holder
0,Gabriel Todd-Hamilton
0,Jon Dorsey
0,Landon Brajnik
0,Matthew Kendall
0,Stephen Mitchell
3,Noah Sears
8,Ezra Duckworth
10,Parker Davis
11,Wesley Preskenis
13,Elijah Duke
15,Scott Sims
25,Denver Mitchell
34,Nathanael Weber
36,Clay Hawley
66,Luke Bensinger
b,r,e,a,k
Missouri S&T,6
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
0,Aidan Byrne
0,Aidan Tow
0,Andrew Clayton
0,Aron Katon
0,Carson Kempf
0,Griffen Anderson
0,Jacob Mathew
0,Jesse Lynch
0,Kenneth Stanley
0,Kevin Wyle
0,Michael Preisack
0,Mitchell Gordon
0,Owen Thoms
0,Sam Papin
0,Thomas Clayton
0,Wesley Fransen
0,Zachary Sanders
5,Sean  Sharp
12,James Landon
15,Mason Schiefer
25,Aiden Meinkoth
27,Brandyss Sherman-Hall
35,Katelyn Griebel
40,Clifton Ruh
44,Evan DeJournett 
54,Theodore Guidry
55,Dylan Brewer
72,Charlie Harp
79,Joseph Hubenschmidt
90,Benjamin Pillsbury
b,r,e,a,k
North Texas,14
teamInfo,UNT,"Denton, Texas",,,https://twitter.com/UltimateUnt
0,Brayden  Walker
0,James Novinski
0,Jason  Borchers 
0,Joel Polley
0,John Lawton
