Queen City Tune-Up 2025,College - Women ,15,2,2025
Rock Hill,SC,2025-02-15,2025-02-16
https://play.usaultimate.org/events/Queen-City-Tune-Up-2025/schedule/Women/CollegeWomen/
Vermont,1
14,Josie Berra
15,Chelsey Foster
22,Hattie Cope
24,Annie Peters
31,Maggie Mcilroy
32,Georgia Jellyman
b,r,e,a,k
North Carolina,2
teamInfo,Pleiades,"Chapel Hill, North Carolina",http://www.uncpleiades.com,https://www.facebook.com/unc.pleiades/,https://twitter.com/UNC_Pleiades/
0,Dhara Buebel
0,Emily Przykucki
0,Erica Birdsong
0,Genesis Ponce
0,Gracie Rogers
0,Jordan Britt
0,Kailyn Lowder
0,Abigail Stevens
0,Allison Reilly
0,Kiryn Paine-Heise
0,Lisa Wei
0,Lucy Murray
0,Catherine Fradenburg
0,Martha Plaehn
0,Megan Buchsbaum
0,Sohie Ryang
0,Tree Konvalinka
6,Claudia Dare
22,Macy Hudson
23,Bella Russell
25,Rachel Yao
41,Delphine Liu
54,Alex Hecht
57,Kika Larrick
b,r,e,a,k
Minnesota,9
teamInfo,Minnesota A,"Minneapolis, Minnesota",https://umnwomensultimate.weebly.com/,,
coaches,Carlos Lopez,Emma Peaslee,Matt Zumbrum
0,Alexis Trousil
0,Ariana Golemis
0,Ashwini Sandanayake
0,Emily Yoon
0,Gabby Demeny
0,Hattie Tschida
0,Julia Melcher
0,Julia Mueller
0,Kiersten Lee
0,Lauren Thon
0,Lily Monorom
0,Margaret Swenson
0,Morgan Sweeney
0,Olivia DeJarnett
0,Stella Bultman
0,Veronica Janzen
16,Emily Mulhern
19,Isabel Demo
21,Sadie Haas
22,Lara Newton
24,Rhea Joshi
25,Olivia Lagos
28,Abigail Keuhn
67,Abigail Halverson
95,Megan Nguyen
b,r,e,a,k
Alabama-Huntsville,12
teamInfo,Terror,"Huntsville, Alabama",,,
0,Eliza Wilson
0,Emily Mecklenburg 
0,Emma Wade
0,Hannah Kosek
0,Jessica  Landberg
0,Joy Berlin
0,Kara Hoover
0,Naomi Sweets
0,Savannah Sillivant
0,Susannah Sorrells
9,E'lana Parnell
24,Kelly Campo
27,Olivia  Williams
b,r,e,a,k
Case Western Reserve,19
teamInfo,Fighting Gobies,"Cleveland, Ohio",ultimate.case.edu,https://www.facebook.com/GobyWarriors/,https://twitter.com/FightingGobiesW
2,Emily Cichocki
4,Kelsi DeSimone
5,Mariel McInnes
8,Joanne Jou
11,Andreea Merzianu
12,Enysah Roberts
13,Anuvi Gupta
15,Abigail Morse
16,Adeline Laster
17,Claire Cahall
18,Alice Dawson-Hollow
19,Enya Luo-Wimmer
22,Brynn Lampert
42,Isabelle Deputy
47,Angela Li
63,Selena Liu
88,Fiona Lyon
b,r,e,a,k
Carleton College,3
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Courtney Kiesow,Louis Burruss
0,Elle Christakos
02,Melba Henley
03,Florence Basile
05,Eliza Barton
06,Audrey Parrott
07,Naomi Fina
08,Jing Jing Munson
09,Clara Gale
10,Kyliah Mcroy
11,Opal Burruss
12,Matilda Pro
13,Shanti Chier
17,Chagall Gelfand
19,Mimi Kniser
22,Pilar Abele
24,Samantha Merritt
25,Eva Fischer
27,Nomi Zeidenberg
37,Audrey Goeddeke
49,Madeline Kallin
98,Mia Beeman-Weber
b,r,e,a,k
Northeastern,8
teamInfo,Valkyries A,"Boston, Massachusetts",https://valksultimate.sites.northeastern.edu/,,https://twitter.com/ValksUltimate
coaches,Duschia Bodet,Caitlin Go
02,Grace Schifilliti
03,Elise Freedman
04,Erin McCrea
07,Elyse Hall
12,Nisha Nayak
14,Taylor Kenneth
15,Ellie Garrett
18,Irene Ren
19,Sara Bauman
21,Lily Yan
25,Taylor Dunn
27,Jess Montgomery
31,Averil Sahagian
33,Carly Cameron
35,Alice Crawford-Muscat
36,Kirsten Mauer
43,Temiloluwa Akinyoade
44,Gabriela  Ewing
55,Nellie Clark
64,Erin Schustek
77,Johanna Raine Guarin
88,Annecy Blanck
96,Rona Liu-Zhong
99,Lucy Perkins
b,r,e,a,k
South Carolina,13
teamInfo,Scorch Ultimate,"Columbia, South Carolina",https://www.instagram.com/scorchultimate/,https://www.facebook.com/scorchultimate/,https://twitter.com/ScorchUltimate
0,Irena Enuica
0,Jaden Conner
0,Julia Daquanno
0,Karina Sheth
0,Sarah Luna
0,Savanna Pierson
0,Sophie Johnson
0,Tristin Ray
0,Virginia Arnold
0,Anna Bogdan
0,Briellie Turner
2,Catherine Hannah
4,Elizabeth Williams
17,Elle Rose
25,Gabriella Cruz
26,Zora Bergey
b,r,e,a,k
Florida,18
teamInfo,FUEL,"Gainesville, Florida",http://gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
0,Amelia Gomez Uribe
0,Annika York
0,Chihyu Kang
0,Aly Aldrich
0,Hailey Rohlfing
0,Hayley Rouadi 
0,Isabella Katz
0,Kelly Ganner
0,Kira Schwartzberg
0,Madeline O'Sullivan
0,Rachel Stewart
0,Sarah Duckett
0,Semaj Butler-Drinks
0,Sereen Hussain
2,Jordan Harrow
3,Hannah Amaya
6,Jemima Tolentino
11,Kaylen Chiang
18,Hannah Palka
19,Hannah Waite
19,Jia Johnson
21,Amanda Manausa
42,Delena Nguyen
75,Quinn Kahle
99,Kennedy Lerner
b,r,e,a,k
Tufts,4
teamInfo,EWO,"Somerville, Massachusetts",https://www.instagram.com/tuftsewo/,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
04,Clara Margulius
06,Lila Nields-Duffy
07,Morgan Owens
08,Megan Mathieu
10,Ryanne Barrett
11,Amelicha Trinidad Gonzalez
12,Sakina Cotton
13,Mina Brown
14,Megan Chien
15,Emily Kemp
16,Jessie Chan
17,Brooke Chomko
19,Michelle Wu
22,Annabel White
23,Sadie  Schmitz
24,Eleni Kauffman
27,Yayla Tur
28,Amy Tse
29,Sophie Hankin
36,Katherine Lew
37,Ann-Ping Shangguan
45,Ellie Kowalski
88,Kate Gearing
99,Lia Schwartz
b,r,e,a,k
Virginia,14
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Ava Foulk
0,Ava Amato
0,Avery Leppo
0,Breanna  Donahue
0,Chloe Schueman
0,Elisabeth Doty
0,Ellie Ngo
0,Emily Huber
0,Ivy Watson
0,Katelyn Souza
0,Kelsey Bernal
0,Leila Troxell
0,Madeline Crowe
0,Megan Kennedy
0,Meredith Stilley
0,Rebecca Bang
0,Sloane Solley
0,Grace Yoo
0,Sydney Rohrbach
8,Sydney Mannion
9,Atti Rattelman
17,Gabriella  Everett
27,Irene Chen
33,Emma Cole
b,r,e,a,k
Pittsburgh,7
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerulti
coaches,Kayla Emrick,Annelise Peters,Madison Pisone
0,Anna Nocco
0,Ava Millard
0,Cady Westkaemper
0,Claudia Porter
0,Colleen Kilpatrick
0,Ellen Kurr
0,Amelia Staresinic
0,Emily Rittenhouse
0,Giavanna Jacobs 
0,Julia Jordan
0,Margaret Sweitzer
0,Rachel Kallan
0,Tanushree Tejankar
0,Taylor Kuhn 
0,Taylor Conroy
0,Victoria Kadar
3,Madeline Franz
11,Emily Feldstein
12,Chloe Acuna 
15,Katya Piskun
16,Angela Ngo
22,Jenna Goulart
27,Leah Fandel
28,Helen Bates
31,Mia Pisacane
36,Paige Dillon
42,Stephanie Le
b,r,e,a,k
Appalachian State,17
teamInfo,Nonads,"Boone, North Carolina",,,
2,Dorothy  Halliday 
3,Elise Knotts
5,Josie Brand
6,Emma Talton
7,Eloise Wherren
10,Anastasia Hammond
11,Zoey Martinek
14,Lillie O'Neill
15,talia DeBenedette
17,Mary O’Connell
19,Ella Isaacson
22,Gracie Gardner
23,Kat Foy
24,Carolyn Coffey
33,Qiuhu Louie
37,Mavis MacIver
44,Kennedy Madren
58,Grace McDaniel
69,Margaret Lester-Niles
72,Michelle Pisciotta
b,r,e,a,k
Michigan,5
teamInfo,Flywheel,"Ann Arbor, Michigan",https://umichflywheel.wixsite.com/morecowbell,,https://www.twitter.com/UMichFlywheel
coaches,Michael Jahn,Tracey Lo
0,Katelyn Abellera
0,Maeve Larco
0,Michelle Tong
0,Rebecca  Lyons 
0,Riley Dickson
0,Sofia Oertel
0,Stella Moelis
8,Joyce Liang
8,Cynthia  Shi
04,Sophia Harvey
07,Zejun Li
09,Meghan Quigley
12,Emma Scznsny
14,Clara Moss
15,Calliope Cutchins
16,Rebecca Zhang
17,Sabrina Mannion 
18,Maeve Magura Comey
19,Constanza Capriles
28,Vivian Kaufman
41,Amiya Johnson
44,Lauren Moore
72,Emma Remien
77,Katrina McGuire
91,Gwendolyn McGuire
b,r,e,a,k
Georgia,6
teamInfo,Athena,"Athens, Georgia",,https://www.facebook.com/UniversityOfGeorgiaWomensUltimate/,https://twitter.com/UGAUltimate
1,Jemia Johnson
3,Mia Tomay Bongcaron
4,Sarah Annie Pickren
5,Keely Baker
6,Aeryn Craig
7,Sadie Zweben
8,Sara Logsdon
9,May McDonnell
11,Quincy Booth
13,Ellison Martin
14,Lucy  Wylie 
16,Susannah Parker
18,Kaiden Burkes
19,Ava Samford
20,Mae Kline
21,Addyson Hale
22,Camryn  Simpson
23,Callamei Chan
26,Kensley West
27,Abigail Clark
29,Alyssa Fallon
30,Emma Tucker
33,Evelyn Ford
40,Ella Grace Walls
72,Mechelle Chen
b,r,e,a,k
North Carolina State,16
teamInfo,Jaga Monsta,"Raleigh, North Carolina",https://catalog.ncsu.edu/about/student-services/academic-success-center/,https://www.facebook.com/pages/J%C3%A4ga-NCSU-Womens-Ultimate/153552627991990,https://twitter.com/NCSUJagaMonsta
0,Bel Javorski
0,Blaire Garrett
0,Caitlin McDade
0,Elizabeth Sieburg
0,Evie  Bick 
0,Grace Xiang
0,J Sanchez-Collins 
0,Liana Lessard
0,Maria Carswell
0,Mary Maceda
0,Peyton Gardner
0,Zephyr Parker
0,Zoe Huntington
04,Isabella Bevans
11,Darcy Boast
20,Noah Cole
63,Rithika Vatchavai
b,r,e,a,k
Northwestern,15
teamInfo,Claw,"Evanston, Illinois",,https://www.facebook.com/NUclaw,https://twitter.com/NUclaw_
coaches,Kenneth Allen,Adam Klaus
0,Emilie Tueting
0,Faith Cramer
0,Grace Volchok
0,Hannah Zhou
0,Lauren Levinson
0,Lucy Madsen
0,Maggie Harrison
0,Margaret Pirozzolo
0,Natalie Gurganus
0,Sophie Hyman
0,Wengyin Ho
0,Yang Qian
0,Yaxi Chen 
0,Zora Warren
0,Addison Stover
0,Amalia Laguna
0,Danielle Nevett
0,Ella Waldman
20,Ellie Lind
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Vermont,Wisconsin,13,2,"02/15/2025, 17:30",Pool A,Final
William & Mary,North Carolina-Wilmington,13,2,"02/15/2025, 17:30",Pool A,Final
Vermont,North Carolina-Wilmington,13,1,"02/15/2025, 19:10",Pool A,Final
William & Mary,Wisconsin,0,0,"02/15/2025, 19:10",Pool A,Scheduled
Vermont,William & Mary,0,0,"02/15/2025, 20:50",Pool A,Scheduled
Wisconsin,North Carolina-Wilmington,0,0,"02/15/2025, 20:50",Pool A,Scheduled
pool,Pool B
North Carolina,Alabama-Huntsville,13,1,"02/15/2025, 17:30",Pool B,Final
Minnesota,Case Western Reserve,13,2,"02/15/2025, 17:30",Pool B,Final
North Carolina,Case Western Reserve,13,1,"02/15/2025, 19:10",Pool B,Final
Minnesota,Alabama-Huntsville,13,3,"02/15/2025, 19:10",Pool B,Final
North Carolina,Minnesota,0,0,"02/15/2025, 20:50",Pool B,Scheduled
Alabama-Huntsville,Case Western Reserve,0,0,"02/15/2025, 20:50",Pool B,Scheduled
pool,Pool C
Carleton College,Florida,13,0,"02/15/2025, 17:30",Pool C,Final
Northeastern,South Carolina,0,0,"02/15/2025, 17:30",Pool C,Scheduled
Carleton College,Northeastern,0,0,"02/15/2025, 19:10",Pool C,Scheduled
South Carolina,Florida,0,0,"02/15/2025, 19:10",Pool C,Scheduled
Carleton College,South Carolina,0,0,"02/15/2025, 20:50",Pool C,Scheduled
Northeastern,Florida,0,0,"02/15/2025, 20:50",Pool C,Scheduled
pool,Pool D
Tufts,Virginia,13,4,"02/15/2025, 08:00",Pool D,Final
Pittsburgh,Appalachian State,13,9,"02/15/2025, 08:00",Pool D,Final
Tufts,Appalachian State,13,0,"02/15/2025, 09:45",Pool D,Final
Pittsburgh,Virginia,7,13,"02/15/2025, 09:45",Pool D,Final
Tufts,Pittsburgh,13,2,"02/15/2025, 11:30",Pool D,Final
Virginia,Appalachian State,12,4,"02/15/2025, 11:30",Pool D,Final
pool,Pool E
Michigan,Northwestern,13,0,"02/15/2025, 08:00",Pool E,Final
Georgia,North Carolina State,13,8,"02/15/2025, 08:00",Pool E,Final
Michigan,North Carolina State,13,2,"02/15/2025, 09:45",Pool E,Final
Georgia,Northwestern,13,2,"02/15/2025, 09:45",Pool E,Final
Michigan,Georgia,13,6,"02/15/2025, 11:30",Pool E,Final
Northwestern,North Carolina State,4,13,"02/15/2025, 11:30",Pool E,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
bracket,17th Place
bracket,19th Place
b,r,e,a,k
