HoDown Showdown 2025,Club - Men ,9,8,2025
Asheville; Waynesville,NC,2025-08-09,2025-08-10
https://play.usaultimate.org/events/HoDown-Showdown-2025/schedule/Men/Club-Men/
Crypt,6
teamInfo,,"Richmond, Virginia",https://linktr.ee/rvacrypt,https://www.instagram.com/rvacrypt/,https://twitter.com/rvacrypt
coaches,Andy Routzahn,Trent Tolley
01,Corey Vaccaro
09,Alexander Williamson
10,Mehmet Kutlug
12,Sam Bean
13,Caleb Riener
15,Thomas Edwards
17,Andrew Byers
18,Eric Harnisher
19,James Dangler
20,Dylan Hitt
21,Akram Abudheer
22,Matthew Taleghani
23,Ryan Reynolds
24,Trent Cooper
27,Jericho Payne
35,Clay Rosselot
41,Michael Chisholm
45,James Hill
56,Owen Donovan
57,Matias Pineiro
64,Kai Jensen
66,Nicholas Gigliotti
69,Joe Spaeth
77,Ben Doniger
81,Colin Doescher
95,Ryan Lowe
b,r,e,a,k
baNC,1
teamInfo,,"Charlotte, North Carolina",,,
0,Addison Carnow
0,Clayton Carey
0,Michael Sweeney
0,Nick Talone
0,Quinn Scott
0,John Shelley
0,Jordan Perry
0,Robert Scott-Williams
0,Tejas Sivarajakumar
0,Wesley Dudas
0,Zachary Clark
0,Samuel Lee
0,Sathvik Avulapati
2,Hunter Loftin
5,Dong Lam
8,Ryan Manuel
11,Atharv Patil
11,Zachary Abbott
14,Simon Jenkins
15,David Chalmers
24,Carter Rathur
24,Ransome Martin
29,Mason Cary
51,Damian Delgado
81,Dylan Lipps
88,Samuel Dunlap
b,r,e,a,k
GVL Trout,7
teamInfo,,"Greenville, South Carolina",https://www.instagram.com/gvl_trout_ultimate/,,
0,Brian Carbon
0,Bryn Barton
0,Daniel Sargent
0,David Wingo
0,Drew Ficarotta
0,Isaac Esuary
0,Andrew Sentell
0,Jay BRIGGS
0,Michael Preus
0,Nathan Donaldson
0,Nathaniel Bieling
0,Nicholas Borchich
0,Nick Ellison
0,Patrick Kuzbary
0,Logan Piercy
0,Samuel Graham
0,Thomas Loar
3,Jackson Sudermann
12,Quentin Fossing
12,Brandon Creasap
16,Jon Thomas Williams
21,Anthony Gibson
27,Jacob Goyne
34,Drew Flesch
77,Michael Hultquist
99,Michael Hayes
b,r,e,a,k
Tennessee Folklore,12
teamInfo,,"Knoxville, Tennessee",,,
0,Charles Wilt
0,Corey Crawford
0,Dalton Densel
0,Daniel Hasso
0,Dylan Catton
0,Eli Duncan
0,Emmett Lee
0,Gabriel Weber
0,Jackson Lange
0,Ben Epstein
0,Benjamin Sayre
0,Benjamin Cooper
0,Brady Terechenok
0,Mark Filer
0,Preston Nash
0,Sterling Burnett
0,Wade Herren
0,Will McGilvra
7,Caleb Batchelder
8,Brandon Clackum
19,John Smith
28,John Fang
36,Joshua Epstein
40,Skyler Swafford
52,Tyler Catton
55,Austin Lillis
b,r,e,a,k
PARLAY,13
teamInfo,,"Charlotte, North Carolina",,,
0,Allen Meese
0,Anthony (Tony) Hobert Jr
0,Dane  Crandall
0,James Nietering
0,Logan Eidell
0,Scott Keen
2,Josh Holder
3,Rashaad Saunders
5,Michael Gentry
8,Jackson  Dye
21,Kevan Nikolich
25,Adrian Martinez
52,Jackson Danley
69,Cliff Totherow
77,Nino Paraiso
80,Michael Farnham
b,r,e,a,k
Lost Boys,2
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Adam Chase
0,Andrell Caldwell
0,Michael Miller
1,Nicholas Hocking
2,Hunter Taylor
4,Nicholas Lopez
6,Hussain Bhagat
6,David VanAuker
7,William Carmichael
8,Matthew Hogue
10,Colin Sauls
11,Joel Wooten
11,Nicholas Headden
12,Logan McMillen
15,Matt Green
20,Johnnie Lynch
22,Matthew Herbst
23,Kyle Woodberry
23,Gavin Russell
24,Stephen Trello
26,Christian Gaeta
