Filling the Void (Men's & Women's) 2025,Club - Men ,12,7,2025
Hickory,NC,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Filling-the-Void-Mens--Womens-2025/schedule/Men/Club-Men/
baNC,1
teamInfo,,"Charlotte, North Carolina",,,
0,Addison Carnow
0,Clayton Carey
0,John Shelley
0,Jordan Perry
0,Nick Talone
0,Quinn Scott
0,Robert Scott-Williams
0,Samuel Lee
0,Sathvik Avulapati
0,Tejas Sivarajakumar
0,Wesley Dudas
2,Hunter Loftin
5,Dong Lam
8,Ryan Manuel
11,Atharv Patil
11,Zachary Abbott
14,Simon Jenkins
15,David Chalmers
24,Carter Rathur
24,Ransome Martin
29,Mason Cary
51,Damian Delgado
81,Dylan Lipps
88,Samuel Dunlap
b,r,e,a,k
GVL Trout,13
teamInfo,,"Greenville, South Carolina",https://www.instagram.com/gvl_trout_ultimate/,,
0,Andrew Sentell
0,Ari Livanos
0,Blake Huffman
0,Brian Carbon
0,Bryn Barton
0,Daniel Sargent
0,Drew Ficarotta
0,Isaac Esuary
0,David Wingo
0,Jaxon Wilkins-Graham
0,Jay BRIGGS
0,Michael Preus
0,Nathan Donaldson
0,Nathaniel Bieling
0,Patrick Kuzbary
0,Samuel Graham
0,Thomas Loar
0,Logan Piercy
3,Andrew Allen
3,Jackson Sudermann
12,Brandon Creasap
16,Jon Thomas Williams
27,Jacob Goyne
30,David Allen
34,Drew Flesch
99,Michael Hayes
b,r,e,a,k
Hooch,8
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Joseph Cicione
0,Zachary Hart
2,Tyler Butterfield
00,JULIAN CUELLAR
01,Ashton HIll
01,Trip Crowley
02,Skyler Pitts
04,Bradley Seuntjens
07,Reece Overholt
09,Joseph Griffing
10,Logan Ogletree
11,Johnny Griffing
12,Jeffrey Oravic
17,Alexander (Sascha) Vogel
22,Brock Billings
23,Austin Poole
25,Kevin Halprin
33,Edward Stephens
47,David van Pelt
50,Charles Huff
52,Phillip Clifford
69,Michael Catucci
71,Héctor  Segovia 
b,r,e,a,k
Pittsburgh Stealers,12
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
0,Aarush Panda
0,Benjamin Farmer
0,Brandon Zhou
