TCT Select Flight Invite - East 2019,Club - Men ,27,7,2019
Columbus,OH,2019-07-27,2019-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2019/schedule/Men/Club-Men/
Furious George,1
teamInfo,,"Vancouver, British Columbia CA",modules/common/furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
coaches,Matthew Berezan
0,Patrick Church
0,Robbie Brennan
1,William Vu
5,Ty Barbieri
6,Andre Gailits
7,Charles Eyrich
8,Morgan Hibbert
9,Brayden Gee
11,Ari Nitikman
12,Patrick Baylis
14,Cole Keffer
16,Tim Tsang
17,Mathew Goodkey
21,Andrew Dick
23,Fred Lam
24,Peter Yu
27,Alexander Davis
44,Devon Thomson
45,Malcolm Bryson
50,Jonah Lee-Ash
68,David Neilson
73,Ben Burelle
77,Hugh Knapp
86,Samson Hoy
89,Kevin Underhill
98,Brendan Wong
b,r,e,a,k
Nitro,8
teamInfo,,"Dallas, Texas",,,
2,Emmanuel Bilolo
3,Tyler Criss
4,Ryan Kyle
6,Preston Howell
7,Andrue Guerrero
9,Bryan Hoffman
10,Jason Hustad
11,Andrew Maloney
12,Phillip Young
13,Christopher Fogel
17,Darren Phillips
19,Victor Mao
21,Alexander Brouwer
22,Scott Zachary
25,George Lampron
27,Jeffrey Adams
32,Joseph Welkener
35,Ryan Buckingham
43,Peter Rangel
48,Jimmy Pignetti
81,Colin Doescher
89,Jack Wooldridge
99,Tanner Roberts
b,r,e,a,k
CITYWIDE Special,12
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
04,Roger Chu
06,Thomas Nye
10,Eric Witmer
13,Greg Mohler
14,Joshua Norton
16,Matthew Michelson
17,James Pollard
18,Connor Boyle
19,Devin Foster
21,Allan Michel
22,Dylan Smith
23,Jordan Ciccarone
24,Colin McIntyre
24,Dustin Henken
25,Nate Long
27,Matthew Brenfleck
31,Patrick Lindsey
35,Ian Dietrich
39,Matt Burke
43,Leo Decter
44,Reed Forman
47,Nate Little
56,James (Jimmy) Clarke
66,Joel Prushan
82,John Protopapa-Henkel
93,Daniel Wickens
b,r,e,a,k
MKE,13
teamInfo,,"Milwaukee, Wisconsin",modules/common/mkeultimateclub@gmail.com,https://www.facebook.com/MKEUltimate/,https://twitter.com/MKE_ultimate
0,Benjy Keren
0,Blake Marlowe
0,Dan Magnant
0,Eric Blais
0,Jordan Liff
0,Joseph Blankenheim
0,Kristian Taylor
0,Luke Marks
0,Nick Wismans
0,Peter Kuenzle
0,Ryan Sutter
3,Jackson McCausland
3,Jeffery  Schubert
8,Tate Halberg
9,Greg Maddox
9,Kyle Dreger
11,Will Casperson
16,Troy Roberts
17,Drew Chapman
30,Stephen Becker
33,Joe M Rogers
69,Jacob Thomae
82,Andrew Czekalski
88,Brad Ellis
b,r,e,a,k
GOAT,2
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
1,Akifumi Muraoka
2,Kieran Charnock
3,Andrew Carroll
5,Luc Comire
6,Jason  Lam
8,Paul Mensah
9,Jaret Meron
11,Jonathan (JJ) Edwards
13,Iain MacKenzie
15,Jacky Hau
16,Ben Pries
17,Isaiah Masek-Kelly
19,Thomson McKnight
21,Geoffrey Powell
24,Jeremy Norden
26,Bryan Kuo
27,Nathan Hirst
34,Philip Turner
36,Scott Graham
43,Andrew Ouchterlony
77,Michael MacKenzie
80,Kevin Quinlan
86,Dan LaFrance
b,r,e,a,k
Mad Men,11
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
0,Alexander Hegg
