Women's College Centex 2019,College - Women ,23,3,2019
Austin,TX,2019-03-23,2019-03-24
https://play.usaultimate.org/events/Womens-College-Centex-2019/schedule/Women/CollegeWomen/
Wisconsin,1
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnaatropa.wordpress.com,,https://www.twitter.com/bdultimate
coaches,Glenn Poole,Emily Langland
01,Jackie Welsch
02,Sabrina Hoffman
03,Carly Siewert
04,Vanessa Villasenor
06,Rachel Knutson
07,Katie Fan
08,Madeline Sullivan
09,Lilly Iverson
10,Caitlin Murphy
11,Tessa Berry
12,Kaitlynne Roling
13,Brittney Kokinos
14,Courtney Trescher
15,Katharine Lewer
16,Margaret Walker
17,Maya Banks
18,Sarah Mondschein
19,Emily Cohen
22,Michelle Zaber
24,Camila Flowerman
25,Karen Hill
46,Dominique  Maderal
99,Jane Zheng
b,r,e,a,k
Northeastern,5
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,,https://twitter.com/ValksUltimate
2,Brianna  Considine
3,Katharine Gilbert
5,Eleanor Patten
7,Lamia Farah
9,Duschia Bodet
11,Arielle Nelson
13,Ellen  Harsha 
15,Julianne Kloza
18,Natalie Hopkins
19,Isabel Tripp
25,Sophie Shen
28,Ariel Bloch
30,Nancy  Jin 
46,Sofia Horan
63,Lucy Jin
73,Clara Stewart
76,Emma Palacio
81,Jasmine Der
84,Gabriella Fernando-McKinley
91,Anna Sciaruto
b,r,e,a,k
UCLA,4
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
0,Angela  Lin
0,Anna Reed
0,Annie Whalen
0,Athena Lynch
0,Cameron Jewett
0,Hannah Daijo
0,Juliette Oliver
2,Emily Beck
3,Stephanie Yen
4,Katherine Jordak
5,Cameron Hastings
6,Malia Smith
7,Maddy Fisher
8,Francesca Clarke
9,Morgan Baxter
12,Sonia Lele
14,Amy Zhu
19,Erin Doyle
26,RT Kan
99,Olivia Alicea
b,r,e,a,k
Chicago,8
teamInfo,Supersnatch,"Chicago, Illinois",,,@snatchsuper
0,Annie Yang
0,Bayle Smith-Salzberg
0,Briana Morales
0,Caitlyn Tien
0,Daisy Barbanel
0,Emily Pardo
0,Emily Williams
0,Isabella Xu
0,Jessica Hanlon
0,Kristine McLellan
0,Madeleine Beckner
0,Molly O’Donnell
0,Nancy Cheng
0,Sophia Kierstead
3,Madison Moore
9,Cassandra Brown
10,Gianna Sparks
13,Thara Nallamothu
28,Sofia Collins
b,r,e,a,k
Colorado,3
teamInfo,Quandary,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/Kaliultimate
coaches,Claire Chastain,Christina Mickle,Elliott Erickson
0,Tess Cartin
4,Mei Hecht
5,Rachel Wilmoth
6,Emma Capra
7,Liza  Hasan
8,Allison Liu
9,Mahalie Hill
10,Katiana Hutchinson
11,Megan Henderson
14,Elizabeth Rothrock
16,Ali Swafford
17,Laura Sheffield
19,Bailey Shigley
21,Saioa Lostra
22,Jordan Stockdale
23,Elnaz Navid
24,Riley Swift
26,Becky Nevin
33,Fiona Dragonfly
35,Britta Bergstrom
41,Katherine Macri
89,Camilla Hallin
93,Sarah Nadler
94,Mikayla Seaward
99,Zoe Collins Rath
b,r,e,a,k
Minnesota,6
teamInfo,Ninjas,"Minneapolis, Minnesota",http://ninjawomensultimate.weebly.com,https://www.facebook.com/NinjaWomensUltimate,https://twitter.com/NinjaUltimate
coaches,Carlos Lopez
5,Ellie Sjordal 
8,Erin McCann
12,Vivian Hett
13,Maggie Peck
14,Emma Jaschke
16,Carolyn Brand
17,Betty Stringfield
19,Sadie Reding
20,Sofie Fitzsimmons
21,Jane Koch
22,Rachel Elbing
30,Louise Beck
31,Lily Kelley
33,Kayla Blanek
34,Elise Gallup
39,Jessica Halverson
42,Mara Stephan
48,Macy Vollbrecht
69,Cassidy Krawczak-Kummrow
93,Sylvie Mercil
b,r,e,a,k
Texas,2
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facebook.com/utexasultimate/,https://twitter.com/txmelee
coaches,Shereen Rabie,Kayla Ramirez
02,Alysa Chiovatero
03,Domenica Sutherland
04,Cameron Bryan
06,Ivy Harrison
07,Madison Hiu
08,Sierra Jensen
09,Summer Wilson
11,Emma Berrigan
12,Caroline OConnell
13,Jasmine Anand
14,Lauren Gregorczyk
18,Carolina Bayon
22,Amberly Malone
28,Alana Hughes
29,Shannon Ray
30,Kathryn Raska
32,Megan Bell
33,Sanja Stojcic
44,Katia Krupa
47,Anna Hutton
72,Hannah DeVault
b,r,e,a,k
Tufts,7
teamInfo,Elephant Women),"Somerville, Massachusetts",,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
0,Cameron Rusin
0,Caroline Passalacqua
0,Claire Dunn
0,Emily Smith
0,Fernanda Brena
0,Hannah Paborsky
