Southwest Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
Norco,CA,2019-09-21,2019-09-22
https://play.usaultimate.org/events/Southwest-Club-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Mischief,1
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
coaches,Andrew Berry
1,Alexi Zalk
2,Corinne Hanson
3,Deanna Abrams
5,Matthew Crawford
6,James Hansell
8,Emilia (Mia) Bladin
9,Ben Feng
11,Cody Kirkland
12,Jacob Smith
13,Robin Meyers
18,Caitlin Rugg
19,Lily Steponaitis
19,Sean Childers
23,Jordan Jeffery
25,Audrey Wei
27,Connie Chan
31,Ethan Falat
33,Scott Gatto
36,Jenny Wang
47,Gina Schumacher
48,Julia Salvacion
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
85,Evan Brydon
96,Patricia Anderson
99,Max de Visser
b,r,e,a,k
Classy,8
teamInfo,,"San Francisco, California",http://classy.team,https://www.facebook.com/classyultimate/,
02,Ashwin Anantharaman
03,Anna Liu
06,Claudia Vasquez
08,Justin Hinman
10,Andrew Koerner
11,Zachary Bruno
14,Nicolas Sayavedra
15,Zhimin Xie
17,Sheila Robles
18,Cappy Pitts
19,Morgan Walker
20,Melissa Hassler
21,Anne Hemmelgarn
23,David Shipway
30,James Sheridan
30,Jeremy Kharrazi
31,Tim Records
32,Christy Cheung
37,Frances Hamkins-Indik
55,Tyler Condit
75,Riley O'Neill
82,Joel Anton
85,Simone Stolzoff
86,Daniel Speer
88,Peter Bonanno
98,Janelle Lee
99,Angela Xiong
b,r,e,a,k
Rubix,10
teamInfo,,"Phoenix, Arizona",,,ultimate_rubix
0,Alan Bowers
0,Caitlin Winterbottom
0,Dawson Peters
0,Joseph Huegerich
0,Melissa Huegerich
0,Tori Queeney
3,Michael Ising
3,Aaron Kees
5,Dakota Lippincott
8,Shelby Petty
9,Dylan George-Sills
11,Jesse Schwartz
12,Christopher Bernard
15,Zac Petty
16,Samantha Myland
17,Erin Donahue
18,Rudy Jimenez
19,Mariana Lopes
22,Lindsey Doyle
25,Sabrina Bonaci
27,Mark Borger
29,Mike  Hall
33,Kaetlynn Daoust
42,Christopher Sowards
b,r,e,a,k
California Burrito,15
teamInfo,,"San Diego, California",,,https://twitter.com/BurritoUltimate
0,Anders Ruden
0,Esau Gotlieb
0,Auralee Walmer
0,Blair Messner
0,Christina Debowski 
0,Christine Chen
0,Corey Atkins
0,Abe Shklar
0,Eimear Keyes
0,Emily Czar
0,Graham Gerhart
0,Jeremy Cho
0,Jesse Song
0,Jordan Denecour
0,Kylie Shen
0,Luke Sanford
0,Maria Zavala
0,Micah Blazar
0,Peter Osseward
0,Vincent Liang
4,Sara Zhang
4,Emily Baker
5,Jordan Harmer
11,Adam Bronstein
11,Dan Hunt
21,Yana Rose
23,Zoe Tessler
b,r,e,a,k
Blackbird,2
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
04,Deanna Bjorkquist
07,Rachel Holz
08,Donnya Ajdari
09,Adam Farren
10,Malina Wiebe
11,Corey Lee
13,Sally Mimms
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Sam Swink
21,Stephen Sullivan
24,Andrea Romano
25,Julia Ting
27,Abigail Edwards VanMuijen
30,Megan Schoellhamer
32,Vivian Chu
35,Lucas Dallmann
37,Molly Hallweaver
40,Mac Taylor
84,Shane Earley
89,Alexandra Stambaugh
98,Sonny Zaccaro
99,Tim Gilligan
b,r,e,a,k
BW Ultimate,7
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Cullen Coyne
0,Dhwani Shah
0,Hidemasa Kato
0,James Pollard
0,Jeff Roeder
0,Benjamin Petroski
0,Bernadette Hsu
0,Lucas Young
0,Matthew Yee
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Jordan Gatti
0,Kohji Sugioka
0,Monica Hsiue
0,Sarah Pihl
5,Radhika Bhargav
7,Michelle Slaughter
16,John Dugan
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Jenna Weiner
36,Pin-Wen Wang
43,Bettina Chen
b,r,e,a,k
Cutthroat,9
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Amy Schimschock
0,Becca Reighard
0,Gabriel Somoza
0,Monica Davis
0,Randi May
0,Rebecca Mills
0,Sage Kruleski
0,Warren Kinson
2,R. Miguel Gonzales
3,Logan Greenwood
4,Pete Marshall
9,Thomas Fiock
12,Ryan Takayama
12,Christopher Liu
12,Daniel Ortiz
13,Brent Moore
17,Eric  Nielsen
17,Maxwell Michelini
21,Kathleen Mills
23,Lydia  Morrison
23,Gabriel Camacho
24,Krista Takayama
27,Morgan Greenwood
35,Raymond Lopez
44,Giovanni Danforth
71,Ryan Polka
94,Ryan Schoenfeld
b,r,e,a,k
Instant Karma,16
teamInfo,,"Tucson, Arizona",,,
0,Jordan Harn
0,Joseph Lindsay
0,Joseph Wu
0,Laura Morehouse
0,Lauren Pisani
0,Michelle Gallagher
0,Michelle Tanner
0,Nicholas Arnaud
0,Nicole Garnes
0,Patrick Gaetz
0,Peggy Monkemeier
0,Russell Knox
0,Calyssa Zismann
0,Darrien Dorr
0,David Ball
0,Devon Chapman
0,Garrett Hable
0,Holt Newton
0,Shane Abeshaus
0,Stefanie Nguyen
0,Talia Troyo
0,Vincent Chase
0,Abigail Lindsay
3,James Weinstein
11,Scott Olmstead
21,Brendon Hudnell
36,Ryan Thornhill
b,r,e,a,k
Polar Bears,3
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
07,Charles Cao
09,Ellen Jacobus
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Kate Schlag
17,Margot Stert
18,Nicholas Alexander
19,Alexander Pan
21,Lisa Couper
22,Andrew Ouyang
23,Ryan Messersmith
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
34,Jesse Buchsbaum
36,Sara Nolan
42,Matt Jaffe
51,Tommy Lin
52,Samantha Applegate
88,Linh Hoang
90,Annie Lee
b,r,e,a,k
Firefly,13
teamInfo,,"San Francisco, California",www.fireflyultimate.com,facebook.com/fireflydisc,
0,Danielle Kleidon
0,Erica Messner
0,Jacqueline Bonner
0,Jake Rifkin
0,Jamie Lam
0,Kaitlin Marin
0,Katie Palmer
0,Lauren Margolis
0,Nicholas Davis
0,Abe McKay
0,Abigail Karp
0,Arianna Aldebot
0,Charles Stratton
0,Peter Zellman
0,Sarah Tenpas
0,Skylohr Taylor
4,Austin Benavides
5,Suk lyn Lim
7,Zachary Purdy
12,Simon Margolis
14,Dan  Greeley
17,Chris Godek
17,Noelle Nelson
23,Veera Sethuraman
44,Shane Tracy
66,Stephen Cockerill
97,Omar Cornejo-Esquivel
b,r,e,a,k
American Barbecue,12
teamInfo,,"San Francisco, California",www.abbq.org,,@ABBQfamily
