Founders Mixed Club Sectional Championship 2019,Club - Mixed ,7,9,2019
Allentown,PA,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Founders-Mixed-Club-Sectional-Championship-2019/schedule/Mixed/Club-Mixed
Loco,1
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/wcmixed/,https://twitter.com/loco_ultimate
0,Beata Artz
0,Christopher Pokorny
0,Claire Milton
0,Dustin Sullivan
0,Ian Coyne
0,Ashley Cantasano
0,Meghan Wadlinger
0,Paul Klimkowski
0,Quinn Hunziker
0,Layne Dodge
0,Lindsay McKenna
0,Richard Robinson
0,Sarah Roberts
0,Steven Broome
0,Will Hoehne
1,Abigail Thompson
3,Sarah Coyne
3,Austin Lillis
6,Jessica Brand
10,Ryan Dealy
18,Shayna Reppermund
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
84,Matt Lubitz
91,Kenneth Wells
b,r,e,a,k
Farm Show,8
teamInfo,,"Harrisburg, Pennsylvania",,,
0,Bradley Wilcox
0,Charis Wilcox
0,Hamilton Schlabach
0,Stacey Daniels
7,Bradley Dussinger
00,Josiah Gamble
01,Adam Callaghan
03,Derek Bigley
05,Corryn Vento
06,Jordan Roof
09,Kristin Thomas
10,Matthew Stilley
11,Mitchell Lauer
13,Ashlynn Trimmer
15,Christopher Man
18,Kerianne Durkin
19,Ruth Bigley
20,Timothy Holmes
22,Nicole Singiser
24,Taylor Howat
26,Angela Martin
33,Ian Preston
43,Brianna Miranda
49,Jordan Winey
68,Jennifer Schlabach
89,Benjamin Holmes
94,Nate Harnish
b,r,e,a,k
Philly Twist,9
teamInfo,,"Philadelphia, Pennsylvania",modules/common/twistcaptains@gmail.com,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
coaches,Elizabeth Cravens
0,Caroline O'Brien
0,Catherine Raney
0,Christina Holgado
0,Christine Siebels-Lindquist
0,Aly Goldberg
0,Dean Manno
0,Elizabeth Cravens
0,Jackie Weiss
0,Julian Galbraith-Paul 
0,Melissa Frankil
0,Michael Grzybowski
0,Matt Ferreri
0,Zachary Jacobs
2,Jamie McClintock
4,Emily Gallagher
7,Ben Fournier
13,David Paisner
