Queen City Tune Up 2019 (Women) ,College - Women ,9,2,2019
Charlotte,NC,2019-02-09,2019-02-10
https://play.usaultimate.org/events/Queen-City-Tune-Up-2019-Women-/schedule/Women/CollegeWomen/
Pittsburgh,1
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerultimate
coaches,Ben Banyas,Molly Moore,Lauren Franke
2,Jessie Sun
3,Rita Flanagan
6,Celeste Picone
01,Victoria Smith
07,Katie Schreiber
10,Helen Wu
11,Hannah Blizzard
12,Madison Pisone
14,Maya D'Mello
15,Hope Matyas
19,Abigail  Bomberger
20,Lakshmi Ilango
21,Elizabeth Manturuk
22,Ariana Bhatia
23,Hannah Boyd
24,Anna Dzuricky
27,Ashika Mani
37,Linn Bjanes
57,Charlotte (CJ) Dawson
70,Morgan Cioth
71,Miranda Kosowsky
72,Yumi Wong
84,Annie Koch
b,r,e,a,k
Florida,8
teamInfo,FUEL,"Gainesville, Florida",http://gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
3,Lia Groulx
4,Natalie Baumgarten
5,Allison Welch
6,Kathryn Chase
8,Rebecca Bryant
9,Pilar Alvarez
10,Emily Turner
11,Janina Freystaetter
12,Gabrielle  Krajniak
13,Tessa Ricker
14,Sydney Weiner
18,Madelynn Lovelady
19,AnaMaria Mendoza
22,Jamie Murbach
24,Katie Huettel
27,Bari Miller
28,Ava Cockey
33,Charlotte Talham
47,Caroline Hill
51,Gianna Arcuri
69,Jenn Maresca
77,Emily Matthews
83,Nevena Stanojevic
b,r,e,a,k
Clemson,9
teamInfo,Tiger Lilies,"Clemson, South Carolina",https://sites.google.com/site/clemsonwomensultimate/,,
00,Ally Barrera
00,Annie Woofter
00,Camryn Price
00,Claire Kennington
00,Clancy Kerr
00,Courtney Long
00,Delaina Allegretti
00,Elena Miyasato
00,Emily White
00,Emma Ressler
00,Hannah Abraham
00,Hannah Braswell
00,Isabela Galeano
00,Jennifer Smith
00,Julia Liland
00,Kathryn Cooke
00,Madison Foster
00,Meredith Smolka
00,Michaela Loar
00,Rachel Conway
00,Sarah DeMaria
00,Savannah Dale
00,Sydney Spears
00,Zoe Stapel
b,r,e,a,k
Harvard,16
teamInfo,Quasar,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~ultimate/index.php,https://www.facebook.com/quasarultimate,https://twitter.com/QuasarUltimate
0,Alison Tassone
0,Eliza Scharfstein
0,Erin Wong
0,Karen Reyes
0,Katherine Smith
0,Marina Matsudaira
0,Maya AlMoussa
0,Molly Wieringa
0,Sadia Demby
0,Sarah Beckwith
9,Isabel Musselman
08,Kate Diaz
12,Andrea Brown
15,Audrey  Sheehy
46,Amy Stoddard
b,r,e,a,k
Penn State,17
teamInfo,Crisis,"University Park, Pennsylvania",,,https://twitter.com/crisisultimate
coaches,Isaac Smith
0,Jessica Sourbeer
0,Kalle Weik
0,Katie Ridenour
0,Kayla Gomez
0,Keanna Haney
0,Maya Karl
0,Meaghan Kane
0,Melissa McCloskey
0,Melissa Javier
0,Molly Good
0,Molly Lynch
0,Rebcca  Tao
0,Sofia Donskaya
0,Abby Ridenour
0,Abena Dufie
0,Adison Staskiewicz
0,Alaina Demalis
0,Guinevere Rauch
4,Alyssa D'Costa
9,Emily Kiver
24,Erin Malonzo
31,Jackie Middleswarth
b,r,e,a,k
North Carolina,2
teamInfo,Pleiades,"Chapel Hill, North Carolina",http://pleiadesultimate.web.unc.edu/,https://www.facebook.com/unc.pleiades/,https://twitter.com/UNC_Pleiades/
coaches,Jessica Jones,Lindsay Soo
0,Alana Holder
0,Dawn Culton
0,Ella Juengst
0,Madoka  Takashima 
0,Sydney Rehder
4,Julia Zwierzynski
8,Alice Wang
9,Elisabeth Parker
10,Olivia Monroe
13,Tyler Smith
14,Meg Van Horn
15,Florence Brooks
20,Bridget Mizener
22,Anne Worth
27,Mary Rippe
28,Rachell Xu
34,Alexandra Barnett
35,Maggie Adams
37,Anna Xu
42,Rebecca Fagan
55,Erika Neave
86,Connie Cui
b,r,e,a,k
North Carolina-Wilmington,15
teamInfo,Seaweed,"Wilmington, North Carolina",,https://www.facebook.com/Seaweed-Ultimate-112707882088022/?fref=ts,https://twitter.com/SeaweedUltimate
2,Shanna Huffman
3,Lydia Brenneman
4,Shannon Sullivan
8,Arianna Triantis
11,Hannah Samuelson
13,Meredith Wiedenheft
15,Kellee Meiners
17,Erin Johnston
18,Eliza Rich
20,Anakin Gerics
21,Kathryn O'Leary
22,Kristen Reed
23,Sydney Meadows
24,Hannah Boettcher
31,Claire Sorensen
33,Cameron Nix
98,Julia Machado
99,Kelly McGillicuddy
b,r,e,a,k
Brigham Young,7
teamInfo,CHI,"Provo, Utah",,,
0,Annie Slater
0,Brittany Burnside
0,Ciera Kueser
0,Elli Dastrup
0,Kendra  Mitchell
0,Nancy Aleccia
0,Natalie Lopez
0,Sailor Ong
0,Samantha Kulka
0,Tayler Raff
23,Casstique Williams
25,Madeline Paskett
27,Quincey McKeen
35,Alicia Seeley
97,Elisabeth Schloss
b,r,e,a,k
Georgia Institute of Technology,10
teamInfo,Wreck,"Atlanta, Georgia",https://wreckultimate.wordpress.com/,https://www.facebook.com/gtwrecku/,@GTWreckU
01,Heather Song
06,Ushma Patel
08,Elena Smirnova
14,Jenny Choi
15,Emma Pettit
16,Almaze Lema
17,Kaushalya Chandraratna
19,Brita McAuliffe
24,Danae Rammos
27,Katie Dai
30,Harley Ovell
32,Grace Erlinger
33,Ollie Peterson
46,Juliann Pham
65,Gleymi Hernandez
71,Allison Wong
77,Jessica Ouyang
81,Samantha Loop
96,Maria Saito
98,Lycia Tran
b,r,e,a,k
Case Western Reserve,18
teamInfo,Fighting Gobies,"Cleveland, Ohio",modules/common/ultimate.case.edu,https://www.facebook.com/GobyWarriors/,https://twitter.com/cwruladygobies
0,Annika Gabriel
0,Cathy Wang
0,Emily Milner
0,Erin Frye
0,Greer Donnalley
0,Jane Carsey
0,Jenny Zhao
0,Julia Mickey
0,Kathleen Tong
0,Marta Trapero Bernabé
0,Mia Formato
0,Michelle Chu
0,Nicole Wilkinson
0,Olive Snider
0,Samantha Vinik
0,Sara Pascual Testón
0,Lucia Wei
0,Wonyoung Choi
0,Zoe  Legarrec
5,Sarah Wegman
11,Andrea Mael
12,Lauren Ficek
14,Kippie Douglas
29,Tiana Anthony
88,Madeleine Pletzke
b,r,e,a,k
Carleton College,3
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Logan Weiss,Courtney Kiesow
1,Lilian Hurtubise
2,Madeline Scott
3,Emma Gautier
4,Brigitte Forster
7,Kennadi Hairston
10,Claire Dettelbach
11,Rebecca Shapiro
13,Nariah-Belle Sims
14,Anna Stubbs
17,Karen Ehrhardt
21,Eliza Skoler
24,Allegra Johnson McKee
26,Hannah Barnstone
29,Ada Wright
31,Lauren Yamasaki-Liske
34,Kate Lanier
36,Margaret Little
37,Sylvie Polonsky
43,Carly Campana
b,r,e,a,k
Georgia,14
