Mardi Gras XXXII,College - Men ,2,3,2019
https://play.usaultimate.org/events/Mardi-Gras-XXXII/schedule/Men/CollegeMen/
LSU,1
1,Johnny Sims
2,Izack Bailey
3,Christian Lacoste
4,Jonah Hagstad
5,Dexter Turner
6,Tyler Rogers-Himel
7,Michael Crick
8,Hayden Jack
9,Kenny Hingle
10,Marty McGreal
11,Xavier Reyes
12,Jeffrey Oravic
15,Brock Thibodeaux
16,Miles Polito
18,Grant Odenwald
19,Tobias Bork
20,Matt Freeburgh
21,Eric Reviere
23,Dylan Reviere
25,Nicholas Major
29,Nicholas  Harper
32,Gabriel Hardy
45,Benjamin Mundt
99,Jacques Gaspard
b,r,e,a,k
Florida,4
0,Alec Hunziker
0,Joel Buenrostro
3,Alexander Janelle
5,Ryan Hiser
8,David Pincus
8,Joshua Layton
9,John Gonzalez
10,Michael Arbutine
11,Ross Lynam
12,Brandon Turnage
13,William  Field
16,Samuel Gordon
19,Enrico Bautista
25,Unmil Patel
26,Matthew Molinaro
27,Michael Heym
29,Hayden Chappel
31,Brendan Fieger
54,Jarett Cox
55,Logan Storts
72,Gabriel Cornejo
77,Javier Sahagun
98,Will Marberry
b,r,e,a,k
Texas State,5
0,Charles Branum
0,Ethan Klosterboer
0,Patrick Oyston
0,Ryan Blair
0,Weston Wolf
1,Rickie Stevenson
5,Paul Passmore
6,Eric Brodbeck
8,Noah Sheets
8,Zach Stence
11,Evan Dayton
16,Brandon Sanders
27,Jake Reinhardt
30,Ethan Swan
38,Chandler Wells
41,Tyler Glasgow
43,Joseph Wylie
67,Brandon Dial
69,Cole Smith
87,Josh Venter
b,r,e,a,k
Alabama,3
0,Adam Graff
0,Crayton Patterson
0,Grant Kern
0,Jacob Lipford
0,Josh Van Cleave
0,Landon Sagle
0,Nathan Lyle
0,Nick Gordon
0,William Parker
1,Trip Crowley
2,Scott Landers
3,Addison Wirt
4,Jacob Bultman
9,James  Poe
15,Matt Green
17,Philip Speegle
24,Fletcher Hare
32,John Stanfield
42,Watson Anderson
50,Terren Moore
b,r,e,a,k
Texas Tech,2
0,Austin Wargin
2,Carson Wilder
3,Michael Paniagua
6,John Aucar
8,Jace Keesee
9,Eric Menard
11,Broderick Watson
13,David Sacco
15,Caleb Hughes
16,Thomas McPherson
23,Kyle Henke
26,Dylan Chbeir
27,Michael Welsh
35,Alexander Brewster
44,Junaid Ramzan
49,Michael Wode
50,Christian Lauzy
66,Ryan Stomp
78,Jace Drennan
92,Benjamin Andrade
99,Nicole DiTolla
b,r,e,a,k
Wisconsin-Whitewater,6
0,Joey Freeman
0,Kyle Ferris
0,Matthew  McNulty
0,Nick Goran
0,Nick Trent
5,Jacob Dertz
11,Nirwant Pangli
12,Andrew Wilks
15,Jack Pulvermacher
18,Riley Lamberty
19,Zach Ostermann
21,Andrew Van Steenbergen
22,Liam McDonald
23,Grant Good
27,Shane Otis 
28,Benjamin Duval
33,Jonathan Humer
44,Alex Kreuger
53,Lucas Stuiber
69,Josh Kuse
71,Dylan Power
b,r,e,a,k
Alabama-Birmingham,14
0,Alex Schimmer
