Huck Finn XXIII,College - Men ,30,3,2019
St. Charles,MO,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Huck-Finn-XXIII/schedule/Men/CollegeMen/
Texas Tech,3
teamInfo,Tumbleweed,"Lubbock, Texas",www.Tumbleweedultimate.com,https://www.facebook.com/groups/TTUUltimate/,https://twitter.com/techtumbleweed?lang=en
01,Carson Wilder
03,Michael Paniagua
06,John Aucar
08,Jace Keesee
09,Eric Menard
11,Broderick Watson
13,David Sacco
15,Caleb Hughes
16,Thomas McPherson
23,Kyle Henke
26,Dylan Chbeir
27,Michael Welsh
35,Alexander Brewster
42,William Schneider
44,Junaid Ramzan
49,Michael Wode
50,Christian Lauzy
56,Jacob Garcia
66,Ryan Stomp
78,Jace Drennan
92,Benjamin Andrade
99,Nicole DiTolla
b,r,e,a,k
Michigan,1
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
00,Zachary Loyd
02,Ryan Chang
03,Elijah Scherz
05,Owen O'Neil
06,Ashwin Pothukuchi
07,Jake Kovalic
08,Jared Schwallie
13,Eli Weaver
14,Alvin Wang
16,Raymond Lu
18,Jeffrey Gao
20,Adam Stautberg
21,Orion Siu
23,Theo Shapinsky
25,Nicholas Colucci
28,Maxton Fil
35,Brian Tretter
42,Ben Sadis
59,Nicholas Gerber
70,Chenxi Sun
84,Cian Johnson
87,Pavel Mazza
96,Reuben Glasser
b,r,e,a,k
Vermont,2
teamInfo,Chill,"Burlington, Vermont",,,https://twitter.com/team_chill
0,Brandon Donahue
0,Carson Kurtz-Rossi
0,Conrad Sacher
0,Eli Conard
0,Ry Medeiros 
0,Ryan Dinger
0,Samuel Hare Steig
0,Samuel Rothkopf
0,Turner Allen
0,Walden Ng
4,Nick Auerbach
4,Aidan Deane
5,Quinn Ledak
6,Nathaniel Pucci
9,Aaron Wynmor
11,Stephen Donahue
13,Ethan  Jablonow 
16,Elijah Coolidge
17,Jason Hertzberg
20,Kyle Webb
22,John Sickles
29,Ben Mitchell
43,Timothy Bliss
64,Conor Murphy
69,Gabriel Smestad
b,r,e,a,k
Texas A&M,4
teamInfo,Dozen,"COLLEGE STATION, Texas",https://maroonlink.tamu.edu/organization/ultimate,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
0,Timothy Robison
01,Jarett Tyler
02,Ryan Smith
03,Erik Atwell
04,Kyle Sculley
05,Zachary Steffensmeier
07,Alexander Thompson
08,Drew Fitzwater
09,Hayes Duffy
10,Kyle Pellino
11,Connor Dolan
12,Connor Ughetta
14,Bryce Klosterboer
15,Micah Craig
17,Joshua Gregory
20,Christopher Ault
21,Nicolas Lanas
22,Charlie Clark
23,Nicholas Viggato
24,Shaun Seidenberger
25,Toya Chukwumerije
26,Mark Baldauf
27,Matthew Wilson
28,Parker Rzasnicki
33,Michael Wilson
37,Connor Okonski
41,Reece Rose
b,r,e,a,k
Iowa State,5
teamInfo,ISUC,"Ames, Iowa",http://www.isucultimate.com/,https://www.facebook.com/IowaStateUltimate,https://twitter.com/UltimateISU
0,Becker Mathie
0,Chase Lemley
0,Josh Poterack 
0,Luke Bertram
0,Michael Stevens
0,Nolan Cochran
0,Stephen Linden
3,Collin Lamb
5,Daniel Sullivan
6,Scott Hearne
8,Joseph Kosterman
11,Richard Poterack
11,Jacob Badger
12,Grant Larson
13,Evan Ford
15,Sam Stark
16,Jon Olson
17,Jacob Raatz
19,Austin Lee
23,Ben Joerger
34,Sam Habel
44,Chuan Jie Loy
52,Bryan Hall
69,Jacob Thomae
71,Dayton Wright
73,Jordan Wright
b,r,e,a,k
Cincinnati,12
teamInfo,Bearcats,"Cincinnati, Ohio",http://ucultimate.org,,https://twitter.com/UCUltimate
coaches,Joel Houmes
0,Eli Reising
0,Mark Schuster
01,Elliot Skindzier
02,Nicholas Betsch
03,Nate Berman
05,Matthew Simpson
06,Ryan Adams
07,Jacob Miller
08,Reece Stoughton
10,Calvin Caldwell
11,Anthony Tran
12,Mike Finke
13,Kyle Romard
14,Alex Young
16,Matthew Furnas
18,Kevin Parker
19,Kaleb Koelsch
24,Benjamin Snyder
25,Nick Siegert
28,Andrew Szczesny
29,Yuhao Wu
31,Jacob Witt
32,Benjamin Sherwood
38,Jose Mikalauskas
45,Trey Dynes
48,Ryan Grabowski
49,Xavier Baszuk
69,Connor Messmore
74,Matthew Bruggeman
82,David Brockhoff
95,Jonathan Lowe
b,r,e,a,k
Illinois State,13
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,Shivam Boghra
1,Evan Powers
2,Dexter Straczek
3,Kollin Kaczynski
4,Alex Cawley
6,Blake Seegers
7,Jason Belzer
8,Garrett Roth
10,Jacob Kaindl
11,Josh Graunke
13,Stone Swayze
15,John McElmeel
20,Phuoc-an Vo
21,Cal Tornabene
22,Dominick Pietrantonio
23,Maksymilian Sobkowicz
51,Austin Mitchell
88,Nick Espe
99,Joshua Sanabria
b,r,e,a,k
Illinois,6
teamInfo,Illinois Ultimate,"Champaign, Illinois",http://www.illiniultimate.com/#/home,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniMensUlti
0,Brandon Carrel
1,Drake Hill
2,Ben Sabourin
4,Asa Bowen
6,Jacob  Cuthbert
7,Alex Liu
8,Devin Kelly
13,Reid Martin
14,Aidan Levin
19,Joey Kennedy
20,Ryan Kantor
22,Lucas Gough
24,Josh Deeman
28,Frank Dore
35,Cameron Hartman
38,John Kulikowski
40,Rishav Rout
46,Nate Willis
74,Anthony Ruzzo
b,r,e,a,k
Marquette,19
teamInfo,Birdhouse,"Milwaukee, Wisconsin",,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
0,Joseph Branca
06,Matthew Goetsch
10,Shane Kealy
11,Peter Christian
13,Nicholas Becker
22,Jordan Liff
24,Jack Drolen
25,Jeffrey Weaver
28,John Smedley
47,Aidan Kellaher
51,Andrew Galgan
72,Andrew Pecunia
76,Benjamin Nowak
77,Peter Dobbs
99,Eric Blais
b,r,e,a,k
Tulane,11
teamInfo,Tucks,"New Orleans, Louisiana",,https://www.facebook.com/TulaneUltimateFrisbee/,https://twitter.com/TUultimate
0,Andrew Lewis
0,Billy Donatuti
0,Doll Yaaah
0,John Ellis
0,John Carl Begley
0,Joseph Martin
0,Kyle Graesser
0,Matthew Testore
0,Max Sandler
0,Nicholas Barnes-Batista
0,William Wedderburn
4,Jonah Golder
6,Zachary Karpen
7,Ryan Liberman
9,Samuel Butler
10,Josh Lane
11,Charles Lieberman
12,Marco Mirnics
18,Jacob Geisberg
20,Jaime Befeler
23,Everest Shapiro
25,Max Lang
27,Abe Passman
29,Edward Moy
38,Nicolas Villamil
44,Charles Ellsworth
99,Joshua Eisen
b,r,e,a,k
Washington University,14
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
0,Brandon Parr
0,Chance Bayles
0,Daniel Renbaum-Koss
0,Dotun Taiwo
0,Ethan Dan
0,Ethan Kadet
0,Evan Segal
0,Griffin Orser
0,John Bisognano
0,Lawrence Chen
0,Max Zalta
0,Maxwell Woods
0,Michael Lo
0,Robert Slutsky
0,Zachary Lin
7,Campbell Eshleman
10,Nirek Sharma
10,Aditya Krishnamachar
