The Incident 2019: Age of Ultimatron,Club - Mixed ,24,8,2019
Bronx,NY,2019-08-24,2019-08-25
https://play.usaultimate.org/events/The-Incident-2019-Age-of-Ultimatron/schedule/Mixed/Club-Mixed
HVAC,1
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Christine Derieux
03,Grace Alston
04,Richard Boyle
07,Jane Peabody
08,Travis Lynch
09,Hannah Lincoln
10,Phat Nguyen
13,Nicole Getter
16,Carolyn Fante
18,Fred Wolf
19,Markus Wolf
20,Nicole Wilkinson
21,Debbie Yoo
24,Jacob Watts-St. Germain
27,Tyler Coleman
28,Krista Woodward
30,Jeremy Neff
30,Joanne Tomaszkowicz
44,Eric Yoon
65,Josh Levin
81,Ben Frattini
84,Jason Davidson
99,Kees Humes
b,r,e,a,k
Superstition,9
teamInfo,,"Phoenix, Arizona",,https://www.facebook.com/superstitionultimate/?fref=ts,https://twitter.com/phxsuperstition
0,Abbey Estrada
0,Cheyenne Lopez
0,Kevin Liu
0,Lauren Berg
0,Leah Kunkel
0,Sabrina Roberts
0,Stephanie Blackman
3,Ryan Blackman
3,Ashley Stahl
5,Colby Wallace
9,Brad Kutler
10,Laura Tan
11,Nicole Ron
12,Dalton Heppler
12,Ethan Gaiser
13,Jake Hadziev
17,Kelsey Bradley
19,Clairissa Papa
22,Nathan Holzinger
24,William Hanson
30,Michael Simeone
42,Michael Nassief
69,Andrew Trichak
72,Lorraine Carnes
73,Nathan Brodie
80,Paul Otto
b,r,e,a,k
Varsity,17
teamInfo,,"New York, New York",https://twitter.com/varsityultimate,https://www.facebook.com/varsityultimate/,
0,Abigail Cain
0,Carter Hartmann
0,Dana Miller
0,Isabel Moroney
0,Jackie Espinosa
0,Jon Schlosberg
0,Elizabeth Lee
0,Sasinya Scott
1,Brittany Francis
2,Anna Lieberman
7,Cullen MacDowell
7,Fia Hargil
8,Kevin Boyce
9,Justin Fabrikant
10,Arleen Aguasvivas
12,Eri Okuma
17,Mark Popinchalk
17,Scott Borgstedt
22,Ling Sun
23,Jordan Tippitt
29,Steven Homberg
33,Matthew Delos Santos
33,Daniel Aronov
58,Tyler Curtis
69,Adam Pin
89,Zachai Kalet-Schwartz
b,r,e,a,k
Espionage,16
teamInfo,,"Washington, District of Columbia",,,@espionageulti
0,Abigail Austin
0,Christopher Grenier
0,Daniel Bernstein
0,Daniela Reeve
0,Grace Laudeman
0,Ian Decker
0,Jan Nowak
0,Julianna Gohman
0,Kyle Williamson
0,Marc Gottschalk
0,Matthew Kostman
0,Melissa Gilbert
0,Milonee Mehta
0,Jessica Matsuda
0,Josh Weinstock
0,Sean Degrace
4,David Erdley
9,Colby Cashion
12,Rachael Smith
15,Joshua Bransford
25,Glen Smithberger
33,Celia Goldfarb
50,Jeremy Steinel
77,Christopher Scoular
b,r,e,a,k
HAOS,8
teamInfo,,"Watertown, Massachusetts",,,https://twitter.com/haosultimate?lang=en
0,Anthony Spizzirri
0,Ariella Korn
0,Benjamin Duffy
0,Jane Hu
0,Jarrett Piette
0,Jessica Armstrong
0,Melanie Conn
0,Erica Anderson
0,Russell Brown
0,Sam Staples
0,Topher Brown
5,Pearce Kelley
11,Nicholas Steffen
29,Jaime Jimenez
42,Heather Dolan
69,David Guertin
b,r,e,a,k
Eat Lightning,7
teamInfo,,"New York City, New York",,,
0,Alex Becker
0,Amanda Loh
0,Anna Hermann
0,Ashton Carrick
0,Camille Victoria Delgado
0,Celeste Royo
0,Elizabeth (Cassie) Bradley
0,Eric Zimmerman
0,Ethan Jones
0,Hy Ha
0,Jennifer Song
0,Jessica Chen
0,John Patrick (JP) Letourneau
0,Jonathan Read
0,Jan Vanous
0,Nathan Abrams
0,Robert Devoogd
0,Sonia Bloom
0,Zach Bokhour
2,Jean Colangelo
4,Jaime Perez
15,Elizabeth Meiman
16,Kimberly Tan
20,Will Percival
22,Jordan Chow
39,David Chen
b,r,e,a,k
Philly Twist,10
teamInfo,,"Philadelphia, Pennsylvania",twistcaptains@gmail.com,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
00,Dean Manno
01,Marissa Coolidge
02,Jamie McClintock
03,Adam Federbusch
04,Emily Gallagher
07,Ben Fournier
08,Catherine Raney
11,Caroline O'Brien
