South Central Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
Tulsa,OK,2019-09-21,2019-09-22
https://play.usaultimate.org/events/South-Central-Club-Mixed-Regional-Championship-2019/schedule/Mixed/Club-Mixed
shame.,1
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
0,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
06,Ashley Daly Morgan
07,Kevin Coulter
09,Kiera Lindgren
10,Doug Stenclik
14,Jade McLaughlin
16,Nicholas Lance
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
23,Peter Raines
24,Zackary Fleming
25,Nicholas Snuszka
26,Owen Westbrook
27,Jon Snyder
31,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
51,Spencer Tibbs
52,Marilyn Reich
56,Danielle Love
69,Adrienne Altobelli
85,Vinny Fiacco
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
Mesteño,8
teamInfo,,"Denver, Colorado",bluehorseultimate@gmail.com,https://www.facebook.com/mestenoultimate,@MestenoUltimate
0,Alyse Doperalski
0,Andrew Larocque
0,Chris Van Thiel
0,Curtis Salcedo
0,Danielle Swales
0,Chelsea Tossing
0,Emily Paris
0,Jenna Hunt
0,Jessica Rabin
0,Jimmy Wiesbrock
0,Jose Maldonado
0,Kristen Dietrick
0,Megan Halverson
0,Moriah LaRocque
0,Nicholas Wetzel
0,Ryan Meinkoth
0,James Shanahan
2,Holly Lin
5,Stephen Lin
7,Chris O'Connell
7,David Wheeler
8,Lauren Foster
9,Charles Cannon
9,Jamian Jacobs
19,Teal Dabney
97,Andrea Uhl
99,Scott Salvati
b,r,e,a,k
Sweet Action,15
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SweetActionUltimate,https://twitter.com/SweetActionUlti
0,Adair Andre
0,Alison Walker
0,Ben Whitman
0,Brian Moore
0,Caleigh Moore
0,Callie Federer
0,Emma Boyd
0,Ian Whitman
0,Rachael Reddin
0,Roeland Reyniers
3,Andrew Bassett
4,Annie Scott
7,Anthony Rice
10,Jake Koplen
14,Matt Slowinski
16,Sarah Sanders
17,Will Eckert
20,Matt Cornish
21,Megan Vanderhooft
21,Connor Otheim
24,Kevin Hamilton
26,Courtney Traore
37,Laurel Baker
45,Nikki Roth
84,Willard Davis
93,Nick Storter
b,r,e,a,k
Risky Business,10
teamInfo,,"Dallas, Texas",http://www.riskybusinessultimate.com/,https://www.facebook.com/RiskyBusinessUltimate,https://twitter.com/RiskyBizUlti
0,Abigail Thorpe
0,Austin Wargin
0,Christina Jones
0,Colleen Casadaban
0,Cristina Carreon
0,Emiko FitzGerald
0,Yvette Tran
1,Austin Henke
3,Allie Long
4,Callista Benavides
5,Bryan Rowes
7,Christopher Schultz-Davis
7,Austin Reed
7,Matthew Melendez
9,Dalio Losch
14,Kristopher Dapprich
19,Eric LaPietra
21,Blake Abbott
22,Paul DiFiore
23,Angga Widodo
30,Andrew Morton
35,Alexander Brewster
65,Samuel Bondurant
69,Bristol Lovoy
73,Louisa Xie
88,Zoey Clark
b,r,e,a,k
Love Tractor,2
teamInfo,,"Denver, Colorado",,https://www.facebook.com/lovetractorultimate/,https://twitter.com/love_tractor
coaches,Jesse Kuroiwa
0,Austin Gregersen
0,Britta Bergstrom
0,Dena Slattery
0,Dorothe Franklin
0,Heather Kraft
0,Hilary Walker
0,Jesse Roehm
0,Maria Schwab
0,Matt Gleason
0,Michael Lun
0,Peter Gleason
0,Robin Fassett-Carman
3,Maggie Chen
3,Eric Hubbard
4,David Protter
5,Jack (John) McShane
7,Frances Gellert
9,James Cantwell
12,Heather Waugh
19,Garrett Moulder
19,Christina Mickle
24,Hilary Egan
27,Steve Schwab
33,David Kamin
35,Kate Pearson
42,Andrew Priester
83,Zachary Nager
b,r,e,a,k
Bexar,9
teamInfo,,"San Antonio, Texas",,https://www.facebook.com/BexarUltimate,
0,Blake Marlowe
0,Joe Iannacone
01,Kayleigh Renfro
02,Jessica Kishi
04,Sean Brady
05,Ellen Register
06,Alex Garcia
07,Gavin Hart
08,Fabian Briesmoore
09,Barbara Smith
10,Jaycee Jones
12,Jason Miller
13,Chloe Baldino
14,Brody Johnson
16,Jake Johnson
18,Jason Gerhart
21,Austin Wehrheim
22,Mia Loseff
23,Axel Anderson
27,Keith Register
31,Paul Wheaton
33,Corey Mika
39,Brittany Wheaton
42,Kevin McGloin
50,Ryan Walker
75,Amy Morrison
87,Michael McCartney
b,r,e,a,k
Ouzel,7
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/ouzelultimate/,
0,Brianna Rick
1,John Foeller
2,Jonathan Steiner
3,Philip Campbell
5,Heyward Gualandi
8,Stevie Shock
10,Kyle Keeler
11,Michelle Verant
13,Courtney Ngai
14,Emma Richardson
15,Rachel Ericson
18,Lewis Faller
20,Robert Perry
21,Ian Golembeski
22,Daniel Sponaugle
22,Amanda Benedict
24,Evan Barrientos
25,Jessica Rick
33,Ben Pettis
44,Kathryn Moore
50,Logan Stagg
83,Chris Dorich
87,Katie Abrahamson 
88,Max Abrahamson
89,Michael McCaffery
92,Alanna Pipkin
b,r,e,a,k
Tex Mix,16
teamInfo,,"Dallas, Texas",,https://www.facebook.com/TexMixUltimate/,https://twitter.com/TexMixUlti
0,Chinwe Obi
0,Christen McClure
0,Annaliza Bittner
0,David Santillan
0,Jena Douville
0,Kyle Boudreau
0,Marcus Payne
1,James Toh
2,Neil Campbell
3,Jenna Paterson
3,Bryan Bush
4,Clayton Moore
5,Morgan Heim
6,Merl Prichard
7,Jonathan Eubanks
15,Jenna Hay
15,Erin Heilman
16,Greg Mcclure
16,Macy Lang
26,Ryan Smith
26,Jackson Gillenwaters
29,David Moen
32,JT Riley
39,Mattina Maloney
41,James Robarge
64,Danielle Edwards
78,Mitchell Zimmmermann
b,r,e,a,k
Public Enemy,3
teamInfo,,"Dallas/Fort Worth, Texas",,https://www.facebook.com/ultimatepublicenemy,https://twitter.com/UltiPublicEnemy
coaches,Adam Goff
7,Ariana Glantz
01,Julie Eagle Malecek
02,Jason Christian
04,Eric Carter
05,Chris Casey
06,Chris Pleshek
09,Josh Moore
10,Nicolas Ceaser
11,Veronica Coombs
12,Kevin Christian
13,Megan Tormey
15,Abe Gambert
16,Michael Hays
19,Jonathan Costello
19,Emma Ackels
20,Casey Hogg
21,Danielle Runzo
24,Jenna Bigbie
26,Maricar Lafita Navarro
27,Jamie Eriksson
31,Brandon Malecek
34,Madison Tomasek
42,Skye Fernandez
46,Helen Eifert
50,Jon DeAmicis
72,Alan Villanueva
95,Brooke Wooldridge
b,r,e,a,k
Flight Club,6
teamInfo,,"Denver, Colorado",,,https://twitter.com/flightclubult
0,Andrew Kiminski
0,Anna Kassner
0,Betsy Basch
0,Erin Berg
0,Evan Doucett
0,Rachel Stockdale
0,Rex Fortgang
0,Savanna Guerrero
0,Tabetha Ridgway
0,Lindsay Merriken
0,Oliver Cunningham
0,Zacary Parkhill
2,Tom Parry
4,Ciaran Shaughnessy
4,Corey Nuechterlein
8,Brandon Galllagher
9,Rosemary Widenor
15,Christiana Hellinga
26,Weston Mauz
27,Jonah Jolley
36,Bryan Downey
45,Patrick (Ted) Barnett
81,Ryan Wolfe
b,r,e,a,k
Mixed Signals,12
teamInfo,,"Fort Collins, Colorado",,,
0,Amelia Schmidt
0,Andrew Stratford
0,Colleen Amori
0,Grace Trautman
0,Horacio Guzman
0,Jessica Larson
0,Kelly Moses
0,Lillian Tobias
0,Quinn Martindale-George
0,Riley Gustafson
0,Rita Hill
0,Ryan Colby
0,Sophia Thayer
0,Tim Kefalas
14,Matthew Bush
14,Brian Crabtree
16,Matthew Schoenwald
18,Jacob  Freedman
20,Marissa Melton
27,Ginie Kwan
30,Sten Larson
31,Jake Russell
34,Cody Spicer
36,Dan  Wiegert
45,Glenn Parr
b,r,e,a,k
blOKC party,13
teamInfo,,"Oklahoma City, Oklahoma",,,
0,Beth Dellenbaugh
0,Caitlin Harris
0,Chris Dellenbaugh
0,Eric Eitrheim
0,Garrett Taylor
