Huck Finn 2026,College - Men ,28,3,2026
St. Louis,MO,2026-03-28,2026-03-29
https://play.usaultimate.org/events/Huck-Finn-2026/schedule/Men/CollegeMen/
Minnesota,1
teamInfo,Minnesota A,"Minneapolis, Minnesota",http://umnmensulti.com/,https://www.facebook.com/umnmensulti,https://x.com/umnmensulti
coaches,Trevor Graham
0,Andrew Steinberg
0,Antonio Cervantes
0,Benjamin Brauer
0,Eric Crosby Lehmann
0,Gabriel Jagt
0,Johnny Haas
0,Johnny Quick
0,Kaiden Thiers
0,Leland Engelking
0,Levi Dohman
0,Levi Hasse
0,Parker Knudson
0,Ryan Steinberg
0,Samuel Benz
0,Sora Walker
0,Matthew Gunter
0,Travis Tiller
2,Marshall Wasmund
4,Akos Konkoly
10,Eli Hubbard
12,Joseph Lodahl
15,Noah Johnson
25,Tommy Selland
42,Evan Snyder
44,Ethan Ode
b,r,e,a,k
Colorado State,4
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
0,Benen Shea
0,Charlie Nestman
0,Daniel Lucas
0,Davis Cutforth
0,Dexter Luecke
0,Dexter Shafer-White
0,Jacob Evans
0,Nathan Heckel
0,Nathaniel Goodwin
0,Nick Goebel
0,Nolan Pardyjak
0,Paul McKinley
0,Rory Lenny
0,Ryan McCorrison
0,Samuel Marek
0,Theo Kim
0,Thomas Gale
0,Timothy Elliott
0,Evan Harris
7,Sam Ruiz Harding
19,Drew Grant
26,Hayden  Daley
28,Zane Tschirhart
44,Dale Kaiser
80,Cade Colston
b,r,e,a,k
Chicago,5
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
coaches,Rutledge Smith
0,Ben Brink
0,Benjamin O'Donnell
0,Caleb Friedman
0,Christopher Nowak
0,Derek Hsu
0,Duncan Fuehne
0,Garrett White
0,Gavin Kelly
0,Han Zhang
0,Mason Wright
0,Maxwell Devine
0,Michael Hlavaty
0,Nathaniel Alden
0,Nicholas Rose
0,Noah Peters
0,Sean Chew
0,Tom Dupor
0,Trevor Ung
0,Tuhin Ghosh
0,Joseph Sifakis
0,Joseph Kaplan
0,Kevin Yuan
4,Loren Pope
7,Javier Emilio Henriquez
8,Aston Tandiono
11,Daniel Ruskay-Kidd
21,Willy Gu
24,Dashiel Cockrill
35,Xander Wilcox
b,r,e,a,k
St Olaf,8
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
0,Jake Schmidt
1,Ian Westerberg
2,Zach Bollman
3,Caleb Hanse
4,Jackson Forebaugh
5,Harper O'Dowd
6,Oskar Nunemacher
9,Owen Lehmkuhl
10,Daniel Brown
12,Josh Stanton
13,Liam Griffin
14,Carter Petrella
15,Seamus  Sidney
16,Taro Jelinek
17,Isaac Van Sistine
19,Jonas Geere
21,Leo Benson
22,Walker Brownell
24,Bjorn Lief
41,Murphy Galvin
42,Kemble Rains
46,Jake Magner
64,Hayden Fahnhorst
68,Maclain  Everson-Rose
77,Max Sponseller
88,Taiga Kuzu
89,Ethan Landgreen
91,Gabriel Badillo Moorman
99,Ian O'Fallon
b,r,e,a,k
Ohio State,9
teamInfo,Leadbelly,"Columbus, Ohio",,,
0,Aaron Mogilner
0,Alex Warrington
0,Andrew DePuy
0,Ben Pickels
0,Brady Aneshansel
0,Bryan Brodsky
0,Bryce Dietrich-Rebillot
0,Evan Butsch
0,Evan Sanborn
0,Holden Labbe
0,Jared Monsen
0,Jeremiah Sablak
0,Joseph Valencik
0,Lucas Antoszewski
0,Luke Lorence
0,Noah Saidel
0,Oren Gilboa
0,Ryan Wu
0,Tanion Misawayee
0,Thomas McGuire
0,Vlad Estrin
0,Zoltan Onutz
14,David Butz
15,Anthony Zelinskas
22,Rea Hederman
23,Camron Chambers
99,Christian Colon
b,r,e,a,k
Michigan,2
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman
0,Connor Lodholtz
0,Connor Concannon
0,Gregory Moreno
0,Aidan Williams
0,Ian Neal
0,Mikush Malimban
0,Mitchell Savage
0,Noah Schade
0,Noah Callewaert
0,Richard Dragicevich
0,Juraj Hurny
7,Kai Creed
11,Kale Peterson
11,Jacob Felton
12,Rowan Jamieson
25,Collin Hill
52,Ian VanOrder
77,James Thomas
86,Andrzej Porter
b,r,e,a,k
Davenport,3
teamInfo,Elephant Men,"Medford, Massachusetts",http://www.tuftsmensultimate.org/,,https://twitter.com/tufts_emen
coaches,Toshihiro Nagase
0,Azi Levites-Cohen
0,Benjamin Rowland
0,Calvin Guswa
0,Isaac Margulius
0,Lucas Plumb
0,Sawyer Wright
2,Alexander Vu
3,Naveen Bleakney-Eastman
4,William Chesney
6,Silas Grossman
9,Ethan Smith
10,Rohin Gast
13,Spencer Anderson
14,Owen Jones
16,Nate Brophy
22,Simon Cordes
23,Peter Kuypers
24,Tucker Livingston
27,Tobias Potts-Drew
49,Wilson Wu
57,Nayan Talwalkar
81,Ram Sundaram
90,Dorsey Strasburger
99,Eliav Malone
b,r,e,a,k
Tufts,6
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
b,r,e,a,k
Purdue,7
teamInfo,Contra,"St. Louis, Missouri",http://contra.wustl.edu,,http://twitter.com/wucontra
0,Cash Budlong
0,Christopher Heron
0,Evan Tompkins
0,Hashim Benlhabib
0,Ivan Riley
0,Jared Buckman
0,Joshua Rifkin
0,Justin Lee
0,Nickolas Regas
0,Noah Kaller
3,Sykes Carlson
4,Jackson Freeman
4,Ben Fuguet
7,Campbell Tucker-Hill
12,Eddie Zhao
13,Mitchell O'Keefe
14,Jack Wellons
23,Finn Hanson
25,Dillon Lee
27,Nico Rose
32,Jake Bender
36,Jakob Ayala
77,Cyrus Beauvais
b,r,e,a,k
Washington University,10
