Great Lakes D-I College Men's Regionals,College - Men ,25,4,2026
Grand Haven,MI,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Michigan,1
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
5,Caiden Holt
6,Noah Feigenbaum
00,Xavier Silva
00,Gabriel Dowd
00,David Braden
00,Adam Wang
00,Filip Icev
00,Charlie Rosenfeld
00,Enzhuo Yu
00,Lincoln Boyd
00,Stanley Jian
03,Jose Dasilva
07,Ryan Barrett
08,Nicholas Alfonso
09,Jack Davis
12,Emmet Payette
14,Aaron Bartlett
15,Colin Jarvis
17,Bruno Garcia Lavanchy
18,Caleb Strom
19,Aidan Hale
24,Josh Solomon
29,Samuel Teppo
37,Julius Cohen
55,Joshua Wang
67,Chris van Lent
88,Augustus Wehrly
92,Tobey Chang
b,r,e,a,k
Southern Illinois-Edwardsville,8
teamInfo,SIEGE,"Edwardsville, Illinois",,,
01,Hector Chaidez
02,Jadin Johnson
06,Sam Dawson
07,Augustino Ojeda
08,Jonathan Zawitkowski
09,Lucas Hanson
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
16,Nicholas  Smith
17,Alec Screnchuk
18,Keaton Anderson
22,Logan Jaynes
26,Evan Driscoll
30,Jesse Zawitkowski
38,Arik Screnchuk
b,r,e,a,k
Grand Valley,12
teamInfo,Lakers,"Allendale, Michigan",,,
0,Isaac Haapala
0,Garrett McFarlane
0,Jacob Timmer
0,Jonah Sanchez
0,Isaac Root
0,Gabriel Johnson
0,John Beloskur
0,Jordan Gabrielse
0,Todd Leatherman
0,Aiden Webber
0,Blake Baumann
0,Dennis Rennells
0,Elijah Ernst
0,Brady Gallagher
0,Canon Kruger
17,Grant Bush
b,r,e,a,k
Michigan (B),13
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com,,https://x.com/bagnUMultimate?s=20
0,Jason Yi
0,Grantham Nelson
0,Mekhi PhillipsRincher
0,Kieran Coffey
0,Johan Landis Lewis
0,Samuel Land
0,Joe Sanders
0,Ryan Gavenda
00,Kevin Toland
00,Lucas Busch
00,Peter Schoenherr
00,Gabriel Sanborn
00,Matthew Cao
00,TJ Moody
00,Jener Balk
00,Erich Zhang
00,Alain Zhou
00,Alex Johnson
00,Asher Strayhorn
00,Eli Rangarajan
02,Leo Huyghe
08,Chad Cao
09,Kyle Fick
09,William Bushey
16,Jin Zhang
33,Jake Rivett
37,Jack Miller
56,Nathan Mills
67,Andrew Eklov
68,Jerry Mao
99,Will Dulaney
b,r,e,a,k
Davenport,2
